Country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,2141,1359,3407,4368,4097,9006,5618,3369,4569,10008,5030,4212,5482,1123,861,773,1528,4911,6447,5184,5765,6995,7421,7649,7690,11753,16893
Albania,,,,,,,,,,,6,,,,,,,,,,,,,,,,
Algeria,,1,34,274,801,1943,3035,1085,1813,3304,1153,1154,674,1071,714,500,231,292,494,345,527,252,268,258,222,83,81
Angola,2873,2608,526,2328,12398,3959,215,46,51,1179,2665,613,2154,573,81,49,11,6,1,4,25,7,1,1.5,2,,
Armenia,,,,85,37,30,8,7.3,6.6,5.9,5.2,4.5,3.8,3.1,2.4,1.7,1,2,3.1667,4.3333,5.5,6.6667,7.8333,9,1,8.5,16
Azerbaijan,,,35,2174,994,1239,54,3,29,34,18,13,6,6.6667,7.3333,8,24,5,12,30,7,20,21,16,11,45,56
Bahrain,,,,,,,,,,,,,,,,,,,,,,,26,,,,
Bangladesh,81,94,104,224,39,32,14,46,15,16,13,105,57,6,8,49,72,91,18,13,9,4,2.5,1,38,2,12
Bhutan,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,2,24,46,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,7047,5155,2571,9296,,,,,,,,,,,,,,,,,,,,
Botswana,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,,,,,42,28,42,20,33,13,59,33,74,61,49,86,54,22,40,20,40,4,31,11,4,1,
Burundi,,7,278,61,5,56,1145,2279,1473,1210,804,1920,1235,1242,1245,659,378,183,73,220,177.8,135.6,93.4,51.2,9,1,182
Cambodia,814,371,322,193,481,512,713,846,455,272,138,4,3,2,1,1.25,1.5,1.75,2,2,2,6,10,1,,,
Cameroon,,6,9,25,32,98,77,56,54,52,27,2,3.75,5.5,7.25,9,8.1111,7.2222,6.3333,5.4444,4.5556,3.6667,2.7778,1.8889,1,736,974
Canada,,,,,,3,24,2,2,27,11,23,1,,,,,,,,,,,,,,
"Central African Republic",,,,3,4,4.1667,4.3333,4.5,4.6667,4.8333,5,6,255,150,9,8.5,8,162,132,6,179,103,135,96,2700,2654,424
Chad,220,686,95,1072,288,402,53,4,135,195,394,1070,230,298,37,78,267,1956,431,994,135,4,4.5,5,5.5,6,394
China,931,22,19.4286,16.8571,14.2857,11.7143,9.1429,6.5714,4,5,6,7,8,9,10,11,12,37,62,87,189,158.3333,127.6667,97,66.3333,35.6667,5
Colombia,406,691,858,1501,335,1217,940,1416,908,1645,2077,2055,2363,2979,906,1762,1693,588,362,248,419,442,227,227,140,149,143
Comoros,29,32.375,35.75,39.125,42.5,45.875,49.25,52.625,56,40,,,,,,,,,,,,,,,,,
"Congo (Brazzaville)",,,,2,135,18,2,1,10412,3763,977,490,3,234,33,24,15,8.5,2,1,1,1,1,2,,,
Croatia,,,,141,373,425,477,,,,,,,,,,,,,,,,,,,,
Djibouti,6,60,74,44,33,39,17,14,11,16,25,26.1111,27.2222,28.3333,29.4444,30.5556,31.6667,32.7778,33.8889,35,29.3333,23.6667,18,12.3333,6.6667,1,
"Congo (Kinshasa)",28,18,33,48,529,330,514,32422,13478,7301,7235,2848,1334,7695,3278,610,274,259,881,1737,5004,781,474,1700,2115,1434,523
Ecuador,,,,,,,11,9.5,8,6.5,5,3.5,2,8.5,15,17,19,21,23,25,,,,,,,
Egypt,,4,8.5,13,108,162,233,149,143,29,4,5,12.5,20,27.5,35,124,2,2,2,1,1,31,75,130,249,969
"El Salvador",4924,848,88,4,,,,,,,,,,,,,,,,,,,,,,,
