Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,,,,,,,,,,,,,,,,,,,,,,,,,64.38335,65.17445,65.36742,64.16441,61.94022,62.82397,63.7218,65.14481,65.30288,66.48173,68.19857,68.37136,65.9215,64.93269,64.61858,66.00251,67.62838,67.66373,67.36479,67.80048,68.23203,69.09614,69.00098,69.35914,70.01125,70.29926,71.54403,72.12262,72.80006,73.20431,72.05107,72.37024,72.65786,72.34309,71.96675,71.56361,72.15628,72.42977,72.97919
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.525,68.5,68.375,68.75,68.95,66.525,67.4,68.575,69.875,70.825,70.325,70.775,71.1,71.425,71.4,71.075,71.1,71.55,72.2
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.3,60.525,59.95,59.9,59.6,60.35,61.075,61,62.025,62.4,61.6,62.025,61.925,61.825,61.8,61.9,61.8,62.3,63.125
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.525,67.35,67.98333,68.95,69.98333,70.9,70.79166,71.41666,72.18333,72.45,72.44167,72.75833,73.5,73.525,71.38333,71.475,71.84167,72.05,72.44167,72.30833,72.50833,72.56667,73.44167
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.325,65.625,64.975,65.025,65.425,64.725,64.175,64.8,65.275,66.075,66.55,65.375,64.975,65.725,66.55,67.725,68.975,70.225,71.95,73.625
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.05,76.25,76.2,75.875,75.125,75.675,75.9,77.375,77,77.85,75.375,73.35,73.15,72.575,72.55,72.8,73.5,74.85,74.2
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05,66.275,67.15,68.125,68.075,67.7,67.65,68.375,69.35,70.3,71.05,68.725,68.15,69.025,69.375,68.875,68.725,68.55,69.075,69.975
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.05,63.825,63.75,63.725,64.35,64.925,64.075,64,63.9,64.025,64.05,63.8,63.825,64.2,64.75
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45,67.15,68.975,70.1,70.325,71.25,72.7,73,73.5,73.775,73.975,74.65,75.25
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.975,55.9,56.45,56.325,57.375,58.5,59.075,59.625,60.55,60.875,61.425,60.85,59.1,55.1,50.8,48.8,49.425,50.8,52.025,53.5
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.55,56.225,56.2,56.225,57.025,56.75,56.9,57.35,57.025,56.4,55.05,54.95,55.425,56.675,58.075,61.775,63.95,66.525,68.175
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.25,82.275,83.775,84.6,85.15,83.575,78.325,78.175,78.475,79.675,81.1,82.95,84.725,86.525,86.1
Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.15,65.825,65.45,65.5,66.275,67.625,68.675,71.725,69.675,63.65,61,60.05,59.9,61.725,63.1,64.725,66.45,67.65
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.925,52.675,53.7,54.8,55.55,56.1,57.725,57.575,58.325,58.575,58.65,57.35,56.75,56.8,56.625,55.525,55.7,56.275,57.25,57.975
