"Data Item",1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
China,3,4,1,1,1,1,1,1,1,1,1,1,1,1.5,2,2,,
Europe,11,9,8,12,8,10,4,1,5,5,6,5,5,6,4,6,4,6
Russia,7,5,13,13,3,8,5,5,8,9,12,11,10,13,10,7,12,4
"United States",14,17,13,7,3,5,5,6,1,2,3,6,4,4,3,2,6,11
India,,,,,,,,,,,1,1,1,1,1,1,1,1
