Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,11.1428,11.7981,12.4535,13.1088,13.7641,14.4194,15.0748,15.7301,16.3854,17.0407,17.6961,18.3514,19.0067,19.662,20.3174,20.9727,21.628,22.2833,22.9387,23.594,24.2493,24.9046,25.56,26.2153,26.8706,27.5259,28.1813,28.8366,29.4919,30.1472,30.8026,31.4579,32.11322,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.49808,99.4443,99.3904,99.3366,99.2828,99.229,99.1751,99.12132,99.033,98.9446,98.85624,99.02019,,,,
Algeria,,,,,,,,,,,,,62.21148,63.8063,65.4011,66.996,68.5908,70.1857,71.7805,73.3753,74.9702,76.565,78.1598,79.7547,81.3495,82.9443,84.5392,86.13399,86.8851,87.6361,88.3872,89.13824,90.4391,91.73993,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18212,63.7516,64.321,64.8905,65.46,66.0294,66.5989,67.1684,67.7378,68.3073,68.8767,69.4462,70.0157,70.58513,,
Anguilla,,,,,,,,,,99.10314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,97.30248,97.415,97.5275,97.64,97.7526,97.8651,97.9776,98.0901,98.2026,98.3152,98.4277,98.54021,98.599,98.6577,98.7164,98.7752,98.8339,98.8927,98.9514,99.0102,99.0689,99.12767,99.1528,99.178,99.2032,99.2283,99.2535,99.2787,99.3038,99.329,99.3542,99.3793,99.4045,99.4297,99.4548,99.48,
Armenia,,,,,,,,,,,,,,,99.91057,99.9065,99.9024,99.8983,99.8943,99.8902,99.8861,99.882,99.878,99.8739,99.8698,99.8657,99.86167,99.8631,99.8646,99.866,99.8675,99.8689,99.8704,99.8718,99.8733,99.8747,99.87619,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.16637,99.182,99.1977,99.2134,99.2291,99.2447,99.2604,99.2761,99.2918,99.3074,99.3231,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.90149,99.9138,99.9261,99.9384,99.9507,99.9631,99.9754,99.9877,100,99.9729,99.94579,99.93333,99.93176,99.91767,99.9267,99.93638,99.92011,99.91648
Bahrain,,,,,,,82.07742,83.5276,84.9777,86.4278,87.878,89.3281,90.7782,92.2284,93.6785,95.1286,96.57877,96.646,96.7131,96.7803,96.8475,96.9147,96.9819,97.0491,97.1162,97.1834,97.25061,97.2875,97.3243,97.3612,97.398,97.4349,97.4718,97.5086,97.5455,97.58234,,,,,,
Bangladesh,,,,,,,27.15101,28.2349,29.3188,30.4026,31.4865,32.5704,33.6543,34.7381,35.822,36.9059,37.98975,40.2164,42.443,44.6697,46.8963,49.123,51.3496,53.5763,55.8029,58.0296,60.25623,61.4616,62.667,63.8724,65.0778,66.2832,67.48857,68.779,70.0693,71.3597,72.65009,76.8271,81.0042,85.1812,89.3583,93.53532
Belarus,,,,,,,,,,,,,,,99.80054,99.8033,99.8061,99.8088,99.8116,99.8144,99.8171,99.8199,99.8227,99.8254,99.82821,99.8301,99.832,99.834,99.8359,99.8378,99.8397,99.8416,99.8436,99.8455,99.84739,,,,,,,
Belize,,,,,,,,,,,,,,,,,78.01632,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,18.25518,18.904,19.5529,20.2017,20.8506,21.4995,22.1483,22.7972,23.446,24.0949,24.7437,25.3926,26.0414,26.69029,27.3451,27.9998,28.6546,29.3094,29.9641,30.6189,31.2737,31.9285,32.5832,33.238,32.6251,32.0123,31.3994,30.78655,32.4785,34.1705,35.8625,37.5544,39.2464,40.93838,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96426,70.3248,72.6853,75.0458,77.4062,79.7667,82.1272,84.48774,,,,
Bolivia,,75.84014,76.823,77.8059,78.7887,79.7716,80.7545,81.7373,82.7202,83.7031,84.6859,85.6688,86.6517,87.6345,88.6174,89.6003,90.5831,91.56598,92.0714,92.5768,93.0822,93.5876,94.093,94.5984,95.1038,95.6092,96.11462,96.6196,97.1246,97.6296,98.1346,98.6396,99.14458,98.87941,99.0843,98.9282,98.77202,98.82861,99.0205,99.2123,99.40421,
