Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,345.977,270.602,244.967,206.356,22.985,20.137,19.057,16.247,7.709,7.513,6.769,6.914,8.7,9.123,8.031,7.346
Albania,,,,,,,,,,,,,,,,,,72.194,71.184,68.183,63.769,60.613,64.097,60.245,57.474,58.203,56.688,53.55,55.14,59.666,57.72,59.413,62.144,70.391,71.992,74.052,73.309,
Algeria,,,,,,,,,,,,77.834,62.926,74.028,98.376,116.195,98.148,69.855,72.863,82.019,62.813,54.267,51.251,42.148,35.193,26.288,23.638,13.5,8.062,9.77,10.493,9.257,9.332,7.601,7.673,8.753,20.579,
Angola,,,,,,,,,,,,,,,,,,,,,104.542,102.053,70.948,68.692,51.954,35.737,18.697,16.066,16.647,22.71,44.261,33.801,29.854,32.874,40.676,64.644,79.82,
"Antigua and Barbuda",,,,,,,,,,,98.071,99.075,95.479,90.147,89.655,98.323,91.673,87.022,102.609,104.603,104.653,117.914,126.264,125.187,120.147,92.684,89.151,77.864,76.081,100.967,89.448,91.449,86.666,94.869,102.092,98.224,86.215,
Argentina,,,,,,,,,,,,,25.746,27.739,29.31,31.673,33.561,32.662,35.2,40.097,42.06,49.435,152.248,128.693,117.266,79.197,69.803,60.979,52.56,53.828,42.001,37.549,38.949,41.689,43.587,55.079,53.316,52.615
Armenia,,,,,,,,,,,,,,,,,40.782,46.503,45.189,39.191,39.362,37.824,38.105,32.88,26.432,20.467,16.183,14.249,14.631,34.136,33.741,35.691,35.593,36.238,39.301,44.125,51.734,
Australia,,,,,,,,,,17.054,16.453,21.655,27.677,30.724,31.782,31.238,29.418,25.957,23.759,22.605,19.561,17.177,15.058,13.228,11.964,10.899,9.977,9.702,11.768,16.738,20.472,24.076,27.669,30.625,34.073,37.779,40.595,
Austria,,,,,,,,,57.365,56.332,55.932,56.134,56.028,60.629,63.721,67.865,67.807,63.056,68.819,61.103,65.738,66.355,66.978,64.896,64.849,68.317,67.001,64.741,68.417,79.58,82.418,82.178,81.622,80.985,83.759,84.317,83.703,
Azerbaijan,,,,,,,,,,,,,,,,19.209,16.721,12.466,14.291,25.414,22.837,24.387,23.018,21.828,19.993,13.496,10.528,8.311,6.904,12.395,12.518,11.223,13.75,12.646,14.393,34.994,,
Bahamas,,,,,,,,,,,13.223,15.256,17.872,19.708,20.915,21.022,20.749,21.497,20.793,19.759,19.176,18.48,19.435,20.841,21.62,22.954,23.154,23.49,25.344,30.089,33.883,35.262,37.589,43.831,47.955,51.055,53.016,57.205
Bahrain,,,,,,,,,,,7.545,6.994,6.725,6.199,5.861,14.199,13.675,15.383,20.845,25.717,25.745,26.076,28.379,32.452,29.396,24.193,20.252,16.345,12.563,21.363,29.707,32.803,36.213,43.945,44.397,66.02,81.483,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,44.322,43.482,42.296,42.325,41.913,40.573,39.543,35.489,36.623,36.221,35.82,35.273,32.439,32.099,
Barbados,,,,,,,,,,,,,,,53.682,54.502,55.217,52.691,47.564,48.07,52.555,59.668,62.169,61.695,61.165,59.891,63.939,65.446,71.134,88.418,95.535,99.365,109.947,122.226,125.377,134.676,137.027,132.876
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,9.536,8.391,12.691,16.351,20.98,32.547,36.805,58.223,36.946,36.859,38.791,53.039,53.504,
Belgium,76.364,89.18,99.072,109.666,113.966,118.715,123.967,128.499,128.955,125.695,129.573,131.054,133.925,138.143,136.31,130.546,127.976,123.207,118.198,114.418,108.771,107.593,104.712,101.115,96.525,94.679,91.05,87.029,92.532,99.538,99.721,102.593,104.333,105.451,106.799,105.96,105.713,
Belize,,,,,,,,,,,,,,,,,,,,,,85.841,93.566,107.513,102.015,100.117,94.237,92.012,86.315,92.538,88.028,82.405,78.627,78.916,77.347,80.701,95.867,99.023
Benin,,,,,,,,,,,,,,,,,,,,53.859,54.109,51.918,42.048,31.953,29.396,36.87,11.434,19.526,25.02,25.622,28.702,29.876,26.705,25.288,30.452,42.425,49.678,
Bhutan,,,,,,,,,,,,,,62.373,55.104,40.142,38.171,34.164,37.71,40.64,45.613,54.235,59.784,74.62,78.616,84.539,80.443,67.097,60.784,61.972,57.938,66.362,76.281,93.642,93.771,94.35,109.99,
Bolivia,,,,,,,,,,,,,,,,,,,,,66.891,59.957,69.144,74.066,89.81,82.158,54.375,40.032,36.785,39.209,37.637,35.327,35.394,36.097,37.016,40.644,46.199,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,54.397,56.039,34.686,35.23,31.198,27.635,25.487,25.515,21.245,18.709,30.885,35.067,42.752,43.106,43.415,44.547,44.993,45.526,44.04,
Botswana,,,,,,,,,,,,,,,,,,,11.257,9.185,8.043,8.934,8.31,11.693,8.909,7.368,6.228,8.246,7.652,17.947,20.423,20.357,19.143,17.378,17.346,16.343,15.476,
