Country,2013,2014,2015,2016,2017
Afghanistan,4.04,3.81,3.58,3.36,3.79399991
Albania,5.55,5.255,4.96,4.66,4.644000053
Algeria,5.42,5.515,5.61,6.36,5.872000217
Angola,5.59,4.81,4.03,3.87,3.795000076
Argentina,6.56,6.565,6.57,6.65,6.598999977
Armenia,4.32,4.335,4.35,4.36,4.375999928
Australia,7.35,7.315,7.28,7.31,7.28399992
Austria,7.37,7.285,7.2,7.12,7.006000042
Azerbaijan,4.6,4.905,5.21,5.29,5.234000206
Bahrain,5.31,5.635,5.96,6.22,6.086999893
Bangladesh,4.8,4.745,4.69,4.64,4.607999802
Belarus,5.5,5.655,5.81,5.8,5.568999767
Belgium,6.97,6.955,6.94,6.93,6.890999794
Belize,,,,5.96,5.955999851
Benin,3.53,3.435,3.34,3.48,3.657000065
Bhutan,,,5.25,5.2,5.011000156
Bolivia,5.86,5.875,5.89,5.82,5.822999954
"Bosnia and Herzegovina",4.81,4.88,4.95,5.16,5.18200016
Botswana,3.97,4.15,4.33,3.97,3.766000032
Brazil,6.85,6.915,6.98,6.95,6.635000229
Bulgaria,3.98,4.1,4.22,4.22,4.714000225
"Burkina Faso",4.26,3.925,3.59,3.74,4.032000065
"Burma (Myanmar)",4.44,4.375,4.31,4.39,4.545000076
Burundi,3.71,3.31,2.91,2.91,2.904999971
Cambodia,4.07,3.945,3.82,3.91,4.168000221
Cameroon,4.42,4.335,4.25,4.51,4.695000172
Canada,7.48,7.455,7.43,7.4,7.315999985
"Central African Republic",3.62,3.65,3.68,3.1865,2.693000078
Chad,4.06,3.865,3.67,3.76,3.936000109
Chile,6.59,6.63,6.67,6.71,6.65199995
China,4.98,5.06,5.14,5.25,5.272999763
Colombia,6.42,6.45,6.48,6.48,6.356999874
Comoros,3.85,3.905,3.96,3.96,
"Congo (Brazzaville)",4.3,4.145,3.99,4.27,4.290999889
"Congo (Kinshasa)",4.58,4.55,4.52,4.24,4.28000021
"Costa Rica",7.26,7.245,7.23,7.09,7.078999996
"Ivory Coast",,,3.66,3.92,4.179999828
Croatia,5.66,5.71,5.76,5.49,5.293000221
Cyprus,6.47,6.08,5.69,5.55,5.620999813
"Czech Republic",6.29,6.4,6.51,6.6,6.609000206
Denmark,7.69,7.61,7.53,7.53,7.521999836
Djibouti,4.69,4.53,4.37,,
"Dominican Republic",4.96,4.925,4.89,5.16,5.230000019
Ecuador,5.87,5.925,5.98,5.98,6.007999897
Egypt,4.27,4.23,4.19,4.36,4.735000134
"El Salvador",5.81,5.97,6.13,6.07,6.002999783
Estonia,5.43,5.43,5.43,5.52,5.611000061
Ethiopia,4.56,4.535,4.51,4.51,4.460000038
Finland,7.39,7.4,7.41,7.41,7.468999863
France,6.76,6.67,6.58,6.48,6.441999912
Gabon,4.11,4.005,3.9,4.12,4.465000153
Georgia,4.19,4.245,4.3,4.25,4.285999775
Germany,6.67,6.71,6.75,6.99,6.951000214
Ghana,5.09,4.86,4.63,4.28,4.119999886
