Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,521000000,620000000,689000000,741000000,729000000,814000000,822000000,834000000,858000000,1057000000,1097000000,1064000000,1213000000,1351000000,1222000000,1251000000,1351000000,1402000000,1495000000,1736000000,1799000000,1757000000,1855000000,2024000000
Afghanistan,,,,,,,,,,,,,,8000000,36000000,75000000,85000000,102000000,138000000,109000000,79000000,49000000,2000000,28000000
Angola,10000000,9000000,9000000,8000000,13000000,18000000,22000000,37000000,49000000,66000000,88000000,75000000,225000000,285000000,534000000,719000000,646000000,706000000,1234000000,1589000000,1163000000,623000000,880000000,544000000
Albania,65000000,77000000,27000000,54000000,211000000,389000000,446000000,487000000,522000000,735000000,854000000,1012000000,1378000000,1715000000,1828000000,1611000000,1632000000,1463000000,1473000000,1700000000,1499000000,1693000000,1943000000,2186000000
Argentina,2222000000,2621000000,2778000000,3025000000,2898000000,2904000000,2642000000,1535000000,2006000000,2235000000,2729000000,3351000000,4325000000,4664000000,3989000000,4989000000,5431000000,5014000000,4525000000,4960000000,4927000000,4967000000,5375000000,5563000000
Armenia,1000000,12000000,20000000,24000000,31000000,38000000,65000000,63000000,73000000,172000000,223000000,370000000,484000000,518000000,530000000,646000000,722000000,817000000,880000000,966000000,936000000,968000000,1120000000,1208000000
"American Samoa",,,,,,,,,,,,,,,,,,,,,,22000000,22000000,
"Antigua and Barbuda",247000000,258000000,278000000,282000000,290000000,291000000,272000000,274000000,300000000,337000000,309000000,327000000,338000000,334000000,305000000,298000000,312000000,319000000,299000000,708000000,710000000,753000000,737000000,881000000
Australia,8130000000,9519000000,9456000000,8130000000,9258000000,9375000000,9222000000,10044000000,12620000000,15212000000,16750000000,17538000000,21774000000,23986000000,24566000000,28472000000,31582000000,31557000000,30617000000,33569000000,34269000000,37019000000,41747000000,45098000000
Austria,13435000000,12830000000,11018000000,11241000000,10847000000,9899000000,9948000000,10803000000,13307000000,15150000000,16243000000,16512000000,18557000000,21630000000,19168000000,18751000000,19791000000,18931000000,20221000000,20913000000,18292000000,19244000000,20333000000,23233000000
Azerbaijan,70000000,46000000,162000000,125000000,81000000,63000000,43000000,51000000,58000000,65000000,78000000,117000000,178000000,191000000,379000000,657000000,1287000000,2433000000,2365000000,2432000000,2309000000,2714000000,3012000000,2634000000
Burundi,1400000,1200000,600000,400000,700000,800000,500000,1100000,700000,1200000,1500000,1300000,1300000,1300000,1500000,1800000,2500000,1500000,2300000,4100000,2200000,1900000,3000000,3900000
Belgium,4548000000,4844000000,4529000000,4623000000,6472000000,6592000000,6887000000,6935000000,8193000000,9208000000,9845000000,10311000000,11015000000,12020000000,11461000000,11393000000,12750000000,12498000000,13384000000,13918000000,7865000000,7648000000,8396000000,8901000000
