Country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,0.24331,0.2519,0.2605,0.2692,0.2778,0.2864,0.295,0.3036,0.3122,0.3208,0.3295,0.3381,0.3467,0.3553,0.3639,0.3725,0.3811,0.3898,0.3984,0.407,0.4156,0.4242,0.4328,0.4414,0.4501,0.4587,0.4673,0.4759,0.4845,0.4931,0.5017,0.5104,0.518967456,0.5553,0.5916,0.6279,0.66416
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0013,1.002,1.0026,1.0033,1.0039,1.0046,1.0053,1.00593,1.0044,1.0028,1.00126,0.99642,0.998,0.9995,1.00106
Algeria,,,,,,,,,,,,,0.72146,0.7344,0.7474,0.7603,0.7733,0.7862,0.7992,0.8121,0.8251,0.838,0.851,0.8639,0.8769,0.8899,0.9028,0.91576,0.9229,0.9301,0.9373,0.94445,0.9513,0.95815,0.9628,0.9674,0.9721,0.9767,0.9814,0.986,0.99064
"American Samoa",,,,,,0.99545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75417,0.7614,0.7686,0.7758,0.783,0.7903,0.7975,0.8047,0.8119,0.8191,0.8263,0.8336,0.8408,0.848,0.85594
Anguilla,,,,,,,,,,0.99979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,1.00874,1.0084,1.008,1.0077,1.0073,1.007,1.0066,1.0063,1.0059,1.0055,1.0052,1.00484,1.0048,1.0047,1.0047,1.0046,1.0045,1.0045,1.0044,1.0044,1.0043,1.00425,1.0042,1.0042,1.0041,1.0041,1.004,1.004,1.0039,1.0039,1.0038,1.0038,1.0037,1.0037,1.0036,1.00355
Armenia,,,,,,,,,,,,,,,1.00001,1.0001,1.0002,1.0003,1.0004,1.0005,1.0006,1.0006,1.0007,1.0008,1.0009,1.001,1.0011,1.001,1.001,1.0009,1.0009,1.0008,1.0008,1.0007,1.0007,1.0006,1.00058,1.0006,1.0006,1.0006,1.00056
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,1.00288,1.003,1.003,1.0031,1.0032,1.0032,1.0033,1.0034,1.0035,1.0035,1.00361,1.0027,1.0018,1.0009,1,0.99913
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,1.00031,1.0003,1.0002,1.0002,1.0002,1.0001,1.0001,1,1,0.9999,0.99989,0.99966,0.99976,0.99963,0.9995,0.9996,0.99959
Bahrain,,,,,,,0.91512,0.9229,0.9307,0.9385,0.9463,0.9541,0.9619,0.9696,0.9774,0.9852,0.99301,0.9941,0.9953,0.9964,0.9976,0.9987,0.9998,1.001,1.0021,1.0032,1.00437,1.0027,1.0011,0.9994,0.9978,0.9961,0.9944,0.9928,0.9911,0.98948,0.9915,0.9935,0.9955,0.9975,0.99953
Bangladesh,,,,,,,0.61203,0.6243,0.6365,0.6487,0.6609,0.6732,0.6854,0.6976,0.7098,0.7221,0.73429,0.7506,0.7669,0.7831,0.7994,0.8157,0.832,0.8483,0.8646,0.8809,0.89715,0.9097,0.9223,0.9349,0.9475,0.9601,0.9727,0.9853,0.9979,1.0105,1.0231,1.0357,1.0483,1.0609,1.06504
Belarus,,,,,,,,,,,,,,,1.00069,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.0007,1.00072,1.0007,1.0007,1.0006,1.0006,1.0006,1.0006,1.0005,1.0005,1.0005,1.00047,1.0005,1.0005,1.0004,1.0004,1.0004,1.00041
Belize,,,,,,,,,,,,,,,,,1.012727233,1.0135,1.0142,1.0149,1.0157,1.0164,1.0171,1.0178,1.0186,1.0193,1.02,1.0208,1.0215,1.0222,1.023,1.0237,1.0244,1.0252,1.0259,1.0266,1.0274,1.0281,1.0288,1.0295,1.03028
Benin,,,,,0.39936,0.4059,0.4124,0.4189,0.4254,0.432,0.4385,0.445,0.4515,0.458,0.4646,0.4711,0.4776,0.48413,0.4919,0.4996,0.5073,0.515,0.5228,0.5305,0.5382,0.5459,0.5537,0.5614,0.5613,0.5613,0.5612,0.56111,0.5742,0.5873,0.6004,0.6136,0.6267,0.6398,0.6529,0.666,0.67911
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84911,0.8613,0.8735,0.8858,0.898,0.9102,0.9224,0.93464,0.9453,0.956,0.96663
Bolivia,,0.82914,0.8367,0.8443,0.8519,0.8595,0.8671,0.8747,0.8823,0.8899,0.8975,0.9051,0.9127,0.9203,0.9279,0.9355,0.9431,0.95066,0.9534,0.9561,0.9589,0.9616,0.9643,0.9671,0.9698,0.9726,0.97529,0.9784,0.9815,0.9846,0.9877,0.9908,0.99389,0.99486,0.99389,0.9946,0.99522,0.99663,0.9968,0.9969,0.99704
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,1.00096,1.0009,1.0008,1.0007,1.0007,1.0006,1.0005,1.0005,1.0004,1.0003,1.0002,1.0002,1.0001,1,0.99994,0.99987
Botswana,,,,,,,,,,,,,,,,,1.07394,1.071,1.068,1.065,1.062,1.059,1.056,1.0531,1.0501,1.0471,1.0441,1.0411,1.03815,1.038,1.0379,1.0377,1.0376,1.0374,1.0373,1.0372,1.037,1.0369,1.0367,1.03659,1.03502
Brazil,,,,,,1.03246,1.0325,1.0325,1.0326,1.0326,1.0326,1.0326,1.0327,1.0327,1.0327,1.0328,1.0328,1.0328,1.0329,1.0329,1.0329,1.033,1.033,1.033,1.033,1.03308,1.0303,1.0276,1.0249,1.02213,1.0191,1.01616,1.01548,1.0139,1.01279,1.01657,1.01188,1.00808,1.00995,1.0092,1.0085
Brunei,,,,,,,0.99123,0.9921,0.9929,0.9938,0.9946,0.9955,0.9963,0.9972,0.9981,0.9989,0.99976,0.9998,0.9999,0.9999,1,1.0001,1.0001,1.0002,1.0003,1.0003,1.00038,1.0007,1.001,1.0013,1.0016,1.0019,1.0022,1.0026,1.0029,1.0032,1.00349,1.0032,1.0028,1.0025,1.00215
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.99797,0.9977,0.9975,0.9973,0.9971,0.9969,0.9966,0.9964,0.9962,0.996,0.99576,0.9957,0.9957,0.9957,0.99571
