Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Fiji,30.2,28.9,28.4,25.8,25.3,25.2,25.3,23.8,25.1,24,23.1,22.5,21.3,17.9
Finland,1.1,1.2,1.2,1.1,1,1,0.9,1.1,1,1,1.1,1.1,1,1
France,1.4,1.1,1.2,1.1,1.1,1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.7
Gabon,,,27.8,24.2,25.6,20.3,17.8,21.9,17.3,14.5,12.5,12.9,15.1,14.3
Gambia,,,317.1,292.1,279,254.9,215.1,199.6,206.1,158.7,174.3,131.2,141.6,125.2
Georgia,22.9,13.7,13.7,10.9,9.5,4,3.7,5,4.3,3.8,3.5,3.4,3.1,2.4
Germany,6.1,6.1,4.9,5.3,5.8,5.8,4.9,5,4.8,5,5,8.9,2,1.9
Ghana,80.5,62,55.8,47.2,38.9,30.6,24.8,30,26.4,26.7,23.3,19.2,19.4,19.7
Greece,32.7,32.5,22,21.7,21.1,22.5,20.2,20.7,20.1,20.5,12.1,2.2,2.2,2.2
Grenada,,,38.7,37.3,31.7,30.2,24.6,25.2,25.1,19.1,19.7,18.4,17.3,15.8
Guatemala,65.6,62.8,58.4,52.1,49.9,53.4,47.8,49.1,52.5,48.1,46.4,26,25.1,24.1
Guinea,232.4,207.9,178.6,181.2,138.2,135.5,139,147.7,118,96.9,87.9,82.6,79,77.7
"Guinea Bissau",,,505.6,472.1,461.9,465.7,183.6,183.3,49.8,42.2,45.5,50.1,43.2,36.9
Guyana,,106.4,96.5,95.5,83.1,65,16.9,17,13.3,13.9,12.4,11.5,10.9,10.7
Haiti,415.4,358.5,308.1,252.4,262.8,266,204,250.9,314.2,286.6,264.8,246.7,235.3,219.3
Honduras,71.5,66.8,64.1,59,58,50.9,45.6,45.7,45.3,44.3,43.9,43.3,42,41.1
"Hong Kong",2.4,3.4,3.4,3.3,3.1,2,1.8,2,1.9,1.9,0.8,1.4,1.2,0.6
Hungary,40.4,22.9,22.4,20.9,17.7,8.4,8,8.2,7.6,8.9,8.8,8.5,7.5,7.1
Iceland,,3,2.8,3,2.7,2.6,3,2.3,3.3,3,2.7,2.4,2.2,2
India,53.4,49.5,62,78.4,74.6,70.1,66.1,50.5,42,43.1,41.2,16.2,14.3,13.8
Indonesia,136.7,130.7,101.7,86.7,80,76.7,25,25.8,23.5,22.7,21.9,21.1,19.9,19.4
Iran,6.5,7.3,6.3,5.4,5.3,4.6,3.9,4.2,3.9,3.4,3.1,3.1,2.7,1.1
Iraq,,30.3,30.3,54.8,68.5,126.9,64.6,92.5,102.3,70.5,36.7,35.9,37.4,51.9
Ireland,10.4,10.3,5.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.2,0.2
Israel,5.5,5.5,5.3,5.1,4.4,4.4,4.2,4.3,4.4,4,4.1,3.5,3.4,3.3
Italy,22.1,21.4,20.7,20,18.7,18.5,18,18.7,18.4,16.7,14.4,14.4,14,13.9
Jamaica,16.3,15.4,11.8,9.4,8.7,7.9,5.3,5.2,7.2,6.7,6.4,4.9,5,4.3
Japan,10.7,10.6,10.7,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
Jordan,104.1,102.1,85.5,73,23.8,35.9,30.6,27.6,23.6,23.4,22.3,21.4,20.7,22.4
Kazakhstan,12.9,12.1,9.9,7,7.6,5.2,4.8,1,0.8,0.7,0.6,0.5,0.5,0.3
Kenya,54.6,53.7,48.3,46.3,46.2,39.8,44.6,46.8,45.2,40.6,38.2,42.9,35.5,21.1
Kiribati,51.6,36.3,40.3,53.8,58.3,63.6,45.7,47.1,46.4,46.6,47.1,44.4,46,36.3
"South Korea",18.4,15.7,15.7,18.2,17.1,16.9,14.7,14.7,14.6,14.6,14.6,14.5,14.5,14.6
Kosovo,,,,,,,26.4,28.7,26.7,23,22.1,1.2,1.1,1.1
Kuwait,2,2.4,2.2,1.6,1.6,1.3,1,1.3,1.2,1.1,1.2,2,2.3,2.8
Kyrgyzstan,12.5,11.5,10.4,10.7,9.7,7.4,5.2,3.7,3.5,2.8,2.7,2.3,2.1,2
Laos,23.9,21.3,17.4,15.8,14.7,11.6,9.7,8.9,7.1,6.6,6.2,5.3,4.9,4.6
Latvia,10.1,9.3,4.2,3.5,3,2.3,2.1,1.5,2.6,2.3,1.9,3.6,1.5,1.5
Lebanon,130.1,129.5,108.7,91.2,94.5,87.8,78.5,75.3,67.3,35.5,35.1,33.6,34.2,40.6
Lesotho,64.2,59.7,41.8,40,37.5,37.9,27,26,24.9,13,11.4,9.4,9.3,8.1
Liberia,,,,563.9,489.6,100.2,85.6,88.3,68.4,52.7,19.1,17.4,16.8,16.7
Libya,,,,,,,,,,31.7,19.1,19.9,26.9,31.2
Lithuania,4,3.7,3.3,2.8,3,2.7,2.4,2.8,2.8,1.1,0.9,0.2,0.6,0.6
Luxembourg,,,,11.9,10.8,6.5,1.8,2.1,1.9,1.9,1.9,2,2,1.7
"Macedonia (F.Y.R.O.M.)",11,10.6,10.4,6.6,5.9,3.1,1.9,1.9,1.8,1.7,1.7,0.6,0.1,0.1
Madagascar,253.3,249.1,175.1,81.5,71.3,62.6,46.2,54.3,49.4,47.4,47,44.8,43.7,40.4
Malawi,116.2,140.8,139.6,215.7,188.7,125.9,108,108.4,90.9,140.5,120.1,106.6,84.6,42.2
Malaysia,33.1,32,26.6,25.1,23.1,18.9,15.6,17.5,16.4,15.1,7.6,7.2,6.7,6.2
Maldives,13,12.3,14,14,13.4,11.5,10,9.4,8.9,6,6.2,6.2,4.9,5.2
Mali,204.3,187.4,190.7,201.9,115.2,103.2,86.9,79.7,90.5,86.2,76.7,78.1,71.3,61
Malta,,,,,,,,,12,11.6,15.3,14.6,14.1,12.3
"Marshall Islands",20.9,20.2,22.4,18.6,17.7,17.4,16.2,17.6,17.7,13.5,12.4,12.8,12.7,12.5
Mauritania,141.4,140.8,143.6,121.6,83.9,56.4,58.9,56,48.3,47.6,46.1,20.8,19.4,19.4
Mauritius,,9.6,8.8,8,5.4,5,4.1,3.8,3.6,3.3,3.6,2.2,2,1.8
Mexico,29.5,28.5,26.2,24.1,22.9,21.8,19.5,21,19.1,20.2,18.6,18.8,18.1,17.8
Micronesia,26.5,134.1,127.6,135.9,137,137.5,135.7,137.8,139,139.8,141,141.2,141.1,140.4
Moldova,24.5,18.6,14.6,13.3,11.5,8.9,7,7.9,6.5,5.7,5.4,4.6,4.3,6.2
Mongolia,16.1,12.5,9.6,7.9,6.6,4,3,3.2,2.9,2.4,1.5,1.2,1.5,1.5
Montenegro,,,,7.1,6.5,4.6,2.8,2.1,2,1.7,1.7,1.8,1.6,1.5
Morocco,26.6,13.7,13.4,12.7,13.6,12,10.8,10.3,10,9.6,9.5,9.2,9.1,7.9
Mozambique,112.1,95.8,95,85.7,10.1,12.6,11,18.5,15.9,15.3,14.6,13.5,15.1,18
"Burma (Myanmar)",,,,,,,,,,157.7,148.6,131.1,97.1,40.4
Namibia,22.2,19.3,18.8,18,22.3,22.1,20.4,18.5,17.2,18.5,14.7,13.1,11.1,11.5
Nepal,78,74.1,69.9,78.5,73.9,60.2,53.6,46.6,37.4,33,34.6,32.2,28.4,26.1
Netherlands,13.3,13.2,13,7.2,6,5.9,5.6,5.7,5.5,5.1,5.2,5,4.6,4.5
"New Zealand",0.2,0.2,0.2,0.2,0.1,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3
Nicaragua,160.3,156.2,139.7,123.6,113.7,115.2,106.1,111.9,107.9,100.6,77,73.9,72.2,68
Niger,450.9,444.8,465.4,416.8,174.8,170.1,118.7,118.6,114.4,112.8,80.1,76.7,67.8,32.4
Nigeria,274.2,218.4,159.3,114.2,120.2,80.2,73.8,75.9,68.7,63.1,58.7,33.9,31.7,31
Norway,3.5,2.9,2.7,2.5,2.3,2.1,1.9,1.8,1.8,1.7,1.6,0.9,0.9,0.9
Oman,4.9,4.9,4.8,4.5,4.3,3.6,2.2,3.3,3.1,2.6,2.4,2.4,3.2,4
Pakistan,42.4,31.4,25.6,22.8,15.3,13.7,16,17.8,17.7,16.1,15.9,14.6,13.9,12.4
Palau,9.5,4.3,4.7,5.1,4.7,4.6,4.1,5.7,5.8,5.2,3.8,3.3,3.3,2.9
Panama,14.9,14.6,14.4,13.9,13,11.5,10.1,10.2,9.8,8.7,7.1,6.4,6.3,5.8
"Papua New Guinea",28.8,28.2,27.7,23.8,24.2,21.7,18.9,27,23.8,20.7,19.9,19.4,17.3,15.6
Paraguay,146.7,117.4,111.5,104.9,49.7,46.9,44.1,43.7,41.8,41.6,41,40,39.9,39.8
Peru,39.4,36.4,38,31.1,28.3,24.4,16.2,12.7,11.1,9.9,9.5,9.2,9.8,9.9
Philippines,28.6,24.1,23.9,22.2,24.1,22.7,21.6,22.1,19.1,19.2,18.7,16.6,16.1,15.8
Poland,21.3,20.8,19.9,19.2,18.9,17.5,16.7,16.3,16,13.2,13.1,12.9,12.2,12.1
Portugal,12,13.5,13.4,7.9,6.7,6.5,6.4,6.5,2.3,2.3,2.4,2.3,2.2,2.1
"Puerto Rico",2.2,2.2,2.2,1.8,1.7,1.7,1.6,1.6,1.4,1.4,1.4,1.3,1.3,1.3
Qatar,,,,,5.7,5.7,4.7,7.2,6.1,4.9,5.1,5.2,5.1,6.2
Romania,10.9,7.4,5.3,4.6,4.8,3.6,2.9,2.8,3.1,2.9,2.5,2.2,2.1,2
Russia,10.9,8.3,6.6,4.6,4.2,2.9,1.8,2.6,2.3,2,1.2,1.2,1.1,1
Rwanda,235.3,223.6,200.1,188.3,171.5,108.9,10.1,8.8,4.7,30.2,30.8,59.8,55,48.5
"Saint Thomas and Principe",,169.6,153,147.2,94.5,88.9,81.7,77.3,22.4,19.6,19.3,17.5,16.7,15.2
Samoa,52.3,48.7,46.4,45.5,41.3,39.8,9.9,9.8,9.7,9.5,9.6,9.4,8,7.7
"San Marino",,,,,,,,,,8.2,8.7,9,9.1,9
"Saudi Arabia",66.1,60.7,68.3,67.4,27.5,15.4,5.8,7.4,6.4,5.1,5,4,4.1,4.1
Senegal,122.4,112.9,108.7,112.6,107,72.7,63.7,63.1,68,64.4,64.3,63.8,63.4,62.7
Serbia,15.9,15,12,10.2,8.9,7.6,7.1,7.9,7.8,7.7,7.2,6.8,6.6,6.5
Seychelles,,,31.7,32.2,29.7,26.8,19.2,16.8,15.4,13.8,16,15.2,14.2,13.4
"Sierra Leone",1540.2,1491.6,983.4,1314.6,1180.7,145.8,118.8,110.7,93.3,80.4,44.1,37.9,44.2,30.3
