Country,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,1.6,1.7222,1.8444,1.9667,2.0889,2.2111,2.3333,2.4556,2.5778,2.7,2.8222,2.9444,3.0667,3.1889,3.3111,3.4333,3.5556,3.6778,3.8,3.9222,4.0444,4.1667,4.2889,4.4111,4.5333,4.6556,4.7778,4.9,6.7,8.5,10.3,11.95,13.6,18.6,20.7,22.8,22.3,21.8,21.2,21.525,21.85,22.175,22.5,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5,66.3,75.1,70.1,65.1,60.1,62.4,64.7,67,69.3,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,35.8,38.82,41.84,44.86,47.88,50.9,52.9,54.9,56.9,58.32,59.74,61.16,62.58,64,60.5,57,58.1,59.2,60.3,61.4,60.4833,59.5667,58.65,57.7333,56.8167,55.9,57.1,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.72,7.34,6.96,6.58,6.2,7.6375,9.075,10.5125,11.95,13.3875,14.825,16.2625,17.7,,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,48.2,48.9333,49.6667,50.4,51.1333,51.8667,52.6,52.64,52.68,52.72,52.76,52.8,52.84,52.88,52.92,52.96,53,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3,68.7,72.1,75.5,78.9,75.5429,72.1857,68.8286,65.4714,62.1143,58.7571,55.4,76.6,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,56,56.5,57,57.5,58,58.5,59,59.5,60,60.5,59.02,57.54,56.06,54.58,53.1,53.46,53.82,54.18,54.54,54.9,,,,,,
Australia,,,,,,,,,,,,,,,,,,,76.1,75.0556,74.0111,72.9667,71.9222,70.8778,69.8333,68.7889,67.7444,66.7,67.2857,67.8714,68.4571,69.0429,69.6286,70.2143,70.8,71.3,71.8,72.3,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,71.4,69.9357,68.4714,67.0071,65.5429,64.0786,62.6143,61.15,59.6857,58.2214,56.7571,55.2929,53.8286,52.3643,50.9,52.3385,53.7769,55.2154,56.6538,58.0923,59.5308,60.9692,62.4077,63.8462,65.2846,66.7231,68.1615,69.6,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.1,55.4,54.54,53.68,52.82,51.96,51.1,51.86,52.62,53.38,54.14,54.9,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,61.7,60.3846,59.0692,57.7538,56.4385,55.1231,53.8077,52.4923,51.1769,49.8615,48.5462,47.2308,45.9154,44.6,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,,,,,,,53.8,55.1333,56.4667,57.8,59.1333,60.4667,61.8,,,,,,,,,,,,,,,,,,,,,
Bangladesh,,,,,,,,,7.7,8.95,10.2,11.45,12.7,18.6,18.7667,18.9333,19.1,22.2,25.3,27.3333,29.3667,31.4,35.65,39.9,41.5667,43.2333,44.9,46.5333,48.1667,49.8,51.3,52.8,54.3,55.35,56.4,57.45,58.5,57.6,56.7,55.8,52.64,55.4933,58.3467,61.2,61.5,61.8,62.4,,
Barbados,,,,,,,,,,,,,,46.5,47.7143,48.9286,50.1429,51.3571,52.5714,53.7857,55,55,55,55,55,55,55,55,55,55,55,55.3,55.6,55.9,56.2,56.5,56.8,57.1,57.4,57.7,58,58.3,58.6,58.9,59.2,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,52.62,54.84,57.06,59.28,61.5,63.72,65.94,68.16,70.38,72.6,71.2429,69.8857,68.5286,67.1714,65.8143,64.4571,63.1,,,,
