Country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3,47.1625,47.025,46.8875,46.75,46.6125,46.475,46.3375,46.2,47.37,48.54,49.71,50.88,52.05,53.22,54.39,55.56,56.73,57.9
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,13.1833,13.5667,13.95,14.3333,14.7167,15.1,13.6,12.1,10.6,9.5333,8.4667,7.4,7.7,8,8.3,8.6,10.15,11.7,9.7,10,9.8,
Argentina,,,,,,,,,,,,,,2.1,1.9833,1.8667,1.75,1.6333,1.5167,1.4,2.9,3.675,4.45,5.225,6,6.4,6.9,7.2,9.8,11,10.3,11.3,11.7,13.4,17.2,24.9,15.3,12.4,10.2,8.4,7.6,7,6.4,6,3.7,3.5,3.4,3.7,3.65,3.6,3.2,4
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7,35.7,36.7,34.3,31.9,25.4,20.1,17.3,14.5,12.5,15.8,16.1,15,13.8,13.5,13.2,11.6,11.3,11,11.5
Australia,,,,,,,,,,,,,,,1,1.025,1.05,1.075,1.1,1.05,1,0.95,0.9,0.9167,0.9333,0.95,0.9667,0.9833,1,0.9833,0.9667,0.95,0.9333,0.9167,0.9,1,1.1,0.7,0.65,0.6,0.55,0.5,0.5,0.5,0.525,0.55,0.575,0.6,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.3,0.85,0.4,0.3333,0.2667,0.2,0.2667,0.3333,0.4,0.1,0.2,0.2,0.5,0.5,0.7,0.5,0.6,0.7,0.4,0.3,0.7,0.8,0.4,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21.9667,20.9333,19.9,18.8667,17.8333,16.8,2.5,2.9,1.8,0.8,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,75.1,75.6,76.1,76.6,77.1,77.6,78.1,77.425,76.75,76.075,75.4,74.725,74.05,73.375,72.7,72.2857,71.8714,71.4571,71.0429,70.6286,70.2143,69.8,,,,,
Belgium,,,,,,,,,,,,,,,,,,,0.4,0.4667,0.5333,0.6,0.675,0.75,0.825,0.9,0.8,0.7,0.6,0.55,0.5,0.5,0.5,0.5,0.4667,0.4333,0.4,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.2,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.9,57.8875,57.875,57.8625,57.85,57.8375,57.825,57.8125,57.8,58.175,58.55,58.925,59.3,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,77.8,77.125,76.45,75.775,75.1,72.48,69.86,67.24,64.62,62,61.8667,61.7333,61.6,61.4667,61.3333,61.2,59.96,58.72,57.48,56.24,55,,,,
Bangladesh,,,,,,,,,,,,,,,,,52.9,51.15,49.4,51.3667,53.3333,55.3,56.3333,57.3667,58.4,56.975,55.55,54.125,52.7,52.4,52.1,51.8,51.5,51.2,50.32,49.44,48.56,47.68,46.8,46.06,45.32,44.58,43.84,43.1,42.4167,41.7333,41.05,40.3667,39.6833,39,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,4.4,3.2,3,4.1,4.7,4.6,4.6,3.6,5.3,3.9,3,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,1.5667,1.2333,0.9,0.8,0.7,0.6,0.675,0.75,0.825,0.9,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,29.4,24.7,15.9,12.7,10.9,6.5,3.9,2.4,1.6,1.1,1.1,0.6,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,22,24.15,26.3,28.3,26.7,23.8,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,29.9,29.38,28.86,28.34,27.82,27.3,29.85,32.4,36.2,31.1,32.7,28.55,24.4,27.4,24.2,22.1,17.9,15.9,14.1,12.3,12.9,11.3,10.5,10.7,11.1,10.3,9.2
Brazil,,,,,,,,,,,,,,,31.4,31.4,37,36.5,32.8,19.2,26.7,28.9,26.9,30.6,30.45,30.3,29.4,25.55,21.7,22.3,22.4,21.2,22.1,20.75,19.4,18.5,19.2,17.9,16.6,14.4,13.6,11.8,11.1,10.3,9.5,8.1,7.2,6.4,6.9,7.9,8.2,8.1
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6,32.2,29.8,27.4,25,22.9,20.8,18.7,16.6,14.5,14.06,13.62,13.18,12.74,12.3,
Botswana,,,,,,,,,,,,,,,,,,,48.7,47.9125,47.125,46.3375,45.55,44.7625,43.975,43.1875,42.4,41.8556,41.3111,40.7667,40.2222,39.6778,39.1333,38.5889,38.0444,37.5,36.0857,34.6714,33.2571,31.8429,30.4286,29.0143,27.6,27.6833,27.7667,27.85,27.9333,28.0167,28.1,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,,81,79.6818,78.3636,77.0455,75.7273,74.4091,73.0909,71.7727,70.4545,69.1364,67.8182,66.5,66.46,66.42,66.38,66.34,66.3,,,,,,,,,,
Canada,,,,,2.7,2.325,1.95,1.575,1.2,1.1,1,0.9,0.8,0.7,0.6,0.55,0.5,0.45,0.4,0.35,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3667,0.4333,0.5,0.5,0.45,0.4,0.375,0.35,0.325,0.3,0.2667,0.2333,0.2,0.2333,0.2667,0.3,0.3333,0.3667,0.4,0.4,0.4,0.4,0.4,
Switzerland,,,,,,,,,,,,,,,,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.625,0.55,0.475,0.4,0.325,0.25,0.175,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,
Chile,,,,,,,,,,,,,,,,,,,,,23.3,21.8333,20.3667,18.9,16.75,14.6,14.2,13.8,12.45,11.1,10.7,10.3,10.8,11.3,11.1667,11.0333,10.9,9.2,7.5,5.8,5.3667,4.9333,4.5,3.9,3.3,2.5,1.7,1.5,1.3,1.1,0.9,
China,,,,,,,,,,,,,,,,,,,,,,,,67.3,65.7,64.1,62.5,59.6667,56.8333,54,53.1333,52.2667,51.4,48.9,46.4,43.9,40.4333,36.9667,33.5,31.5333,29.5667,27.6,25.35,23.1,19.8,17.3,11.7,9.7,7.8,6.5,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,18.4,18.4,23.2,29.6,32.1,34.6,37.1,39.6,39.5,39.4,39.3,40.8333,42.3667,43.9,43.725,43.55,43.375,43.2,43.5,43.8,44.1,44.4,44.7,45,44.9714,44.9429,44.9143,44.8857,44.8571,44.8286,44.8,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.4,53.52,50.64,47.76,44.88,42,42.3667,42.7333,43.1,43.4667,43.8333,44.2,43.1429,42.0857,41.0286,39.9714,38.9143,37.8571,36.8,,,,
