Country,2013,2014,2015,2016,2017
Angola,3.470588,3.681289026,,,
Albania,3.540957,3.083863121,2.809691525,2.65604429,2.599770546
"United Arab Emirates",5.506954513,5.474026203,5.474026203,5.603306532,5.845394611
Argentina,3.222384,3.319849251,3.491012912,3.67444542,3.740056753
Armenia,2.62388,2.570219629,2.630446634,2.792081668,3.044915676
Australia,4.112176,4.244068846,4.481738301,4.508452488,4.616671562
Austria,4.535921,4.357727563,4.378211913,4.567106565,4.318157196
Azerbaijan,3.496915,3.520925919,3.520925919,4.115265147,4.53494215
Burundi,1.938962,2.000478469,2.000478469,2.190964329,2.500933409
Belgium,4.380092,4.502755896,4.59543762,4.608514391,4.334170341
Benin,2.507956,2.7092,2.910447836,2.776368237,2.234951496
"Burkina Faso",2.628968,3.009509647,,,
Bangladesh,2.559953,2.706261216,2.711927017,3.005129111,3.209395409
Bulgaria,1.930319,1.812845542,2.083406685,2.553011294,2.520247459
Bahrain,4.594594,4.684290289,4.766425857,4.4332963,4.433296204
"Bosnia and Herzegovina",1.9208921,1.946,1.971153855,1.935503062,1.802574515
Bolivia,3.933079,3.76985804,3.283157762,2.707014698,
Brazil,4.105494,3.868036808,3.658021123,3.805369774,3.782704592
Barbados,4.303192,4.240437855,4.2024,4.164370837,
Brunei,4.743679,4.4103,4.077,3.74358964,3.666795015
Bhutan,4.164225,4.054582306,4.005436585,3.961638606,4.083614349
Botswana,3.598436,3.537627668,3.501165023,3.652180218,3.657446146
Canada,4.638476,4.80114877,4.907930161,4.848795785,4.999341011
Switzerland,5.822578,5.784303539,5.845843713,6.068408897,5.962425232
Chile,5.038756,4.797796114,4.782606685,4.911338364,5.019501686
China,4.277138,4.16587359,4.170423536,4.210533922,4.332877636
"Ivory Coast",3.143019,3.750573287,3.865758395,3.594569935,
Cameroon,2.879436,2.981285888,2.774382083,2.625947607,2.608105421
"Congo (Kinshasa)",,,,2.621052742,2.779722929
Colombia,3.500811,3.392063715,3.281803977,3.471517429,3.47300601
