Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Cape Verde",67.2,64.34,61.48,58.62,55.76,52.9,50.04,47.18,44.32,41.46,38.6,37.78,36.96,36.14,35.32,34.5,33.68,32.86,32.04,31.22,30.4,29.7,29,28.3,27.6,26.9
Cambodia,125.1,124.18,123.26,122.34,121.42,120.5,119.58,118.66,117.74,116.82,115.9,109.08,102.26,95.44,88.62,81.8,74.98,68.16,61.34,54.52,47.7,44.56,41.42,38.28,35.14,32
Cameroon,145.6,146.9,148.2,149.5,150.8,152.1,153.4,154.7,156,157.3,158.6,153.87,149.14,144.41,139.68,134.95,130.22,125.49,120.76,116.03,111.3,107.74,104.18,100.62,97.06,93.5
Canada,9.1,8.87,8.64,8.41,8.18,7.95,7.72,7.49,7.26,7.03,6.8,6.72,6.64,6.56,6.48,6.4,6.32,6.24,6.16,6.08,6,5.86,5.72,5.58,5.44,5.3
"Central African Republic",183.6,183.46,183.32,183.18,183.04,182.9,182.76,182.62,182.48,182.34,182.2,179.71,177.22,174.73,172.24,169.75,167.26,164.77,162.28,159.79,157.3,153.16,149.02,144.88,140.74,136.6
Chad,223.5,221,218.5,216,213.5,211,208.5,206,203.5,201,198.5,195.4,192.3,189.2,186.1,183,179.9,176.8,173.7,170.6,167.5,163.12,158.74,154.36,149.98,145.6
Chile,21,20.09,19.18,18.27,17.36,16.45,15.54,14.63,13.72,12.81,11.9,11.67,11.44,11.21,10.98,10.75,10.52,10.29,10.06,9.83,9.6,9.42,9.24,9.06,8.88,8.7
China,56,54.29,52.58,50.87,49.16,47.45,45.74,44.03,42.32,40.61,38.9,36.68,34.46,32.24,30.02,27.8,25.58,23.36,21.14,18.92,16.7,15.62,14.54,13.46,12.38,11.3
Colombia,39,37.9,36.8,35.7,34.6,33.5,32.4,31.3,30.2,29.1,28,27.26,26.52,25.78,25.04,24.3,23.56,22.82,22.08,21.34,20.6,20,19.4,18.8,18.2,17.6
Comoros,132.4,129.9,127.4,124.9,122.4,119.9,117.4,114.9,112.4,109.9,107.4,105.84,104.28,102.72,101.16,99.6,98.04,96.48,94.92,93.36,91.8,89.24,86.68,84.12,81.56,79
"Congo (Kinshasa)",194.8,192.32,189.84,187.36,184.88,182.4,179.92,177.44,174.96,172.48,170,165.35,160.7,156.05,151.4,146.75,142.1,137.45,132.8,128.15,123.5,119.78,116.06,112.34,108.62,104.9
"Congo (Brazzaville)",99.1,102,104.9,107.8,110.7,113.6,116.5,119.4,122.3,125.2,128.1,121.81,115.52,109.23,102.94,96.65,90.36,84.07,77.78,71.49,65.2,61.96,58.72,55.48,52.24,49
