Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"El Salvador",3.936370844,3.948426757,4.040867725,3.810052982,3.908630071,4.120000521,4.253692867,4.511634656,3.772025116,3.37660676,3.461071491
Estonia,4.031909334,4.160322483,4.066555091,3.895057259,4.005808917,4.013335128,4.063274379,4.177264256,4.002322606,3.758388129,3.772247791
Ethiopia,4.10889122,4.151808588,3.938477013,3.922272753,3.950519398,4.130079225,4.112570886,4.077458937,4.107575143,3.986699007,3.45986414
Finland,5.093668438,4.946427592,4.751607568,4.619163618,4.872742207,4.950053291,4.962854089,4.80725354,4.897567262,5.072168755,5.105443001
France,5.35328701,5.489717205,5.119541213,4.82273525,4.827195196,4.4168929,4.42706655,4.601270803,4.861463724,5.210288036,5.05915308
Gabon,,,,,,2.800843,2.748623471,2.855654082,2.834920621,2.707465265,
Gambia,3.846755737,4.184033322,4.238662209,4.08951511,3.903347572,4.07047923,4.049163227,3.934679953,3.762072654,3.330434045,2.995164633
Georgia,3.091964286,3.517622756,3.685766542,3.801386295,3.75303681,3.620909,3.74186183,3.711578031,3.493571432,3.410652424,3.417536497
Germany,5.406166276,5.445677536,5.481374541,5.460055879,5.295717472,5.328709572,5.239483824,5.19656646,5.472698393,5.572496879,5.528634071
Ghana,,3.470816,3.610114083,3.692641696,3.610398983,3.592757236,3.756250609,4.000173214,3.737256551,3.338020754,3.444988012
Greece,4.043300292,4.199987505,4.176057933,4.110358523,4.099022955,3.968883414,3.918365326,3.984451122,3.761359039,3.705723349,3.77383709
Guatemala,3.822017497,3.880465297,3.925629235,4.174914941,4.235508313,4.200366807,4.493928578,4.396034309,3.837959579,3.852830633,3.950351238
Guinea,,,,,,2.919409,3.254849786,3.006285575,3.006285575,3.7844,4.5625
Guyana,3.84192834,3.910675293,3.900615286,3.83370623,4.081429624,4.218600919,4.129991792,3.973314178,3.830500118,,
Haiti,,,,,3.399809,3.264095132,3.36788615,3.463555858,2.920684084,2.5348,2.148936272
Honduras,3.586465652,3.655241189,3.7239432,3.849365912,4.012747385,4.141532742,3.851695014,3.952030048,3.971802504,3.649560241,3.403192043
"Hong Kong",4.772782714,4.658045783,4.57744115,4.550087744,4.832734548,4.997897163,4.950366098,4.797448791,4.909324855,4.909324855,5.321428776
Hungary,3.470160633,3.448054119,3.623449739,3.721076949,3.722919836,3.551487108,3.515043764,3.669084456,3.64864465,3.438840939,3.682414293
Iceland,5.477703303,5.21964018,5.2067791,5.260528994,5.282923453,5.202342014,5.107794882,5.01592516,4.663043574,4.598392688,4.63962698
India,4.558179675,4.578656923,4.343024863,4.06993841,4.191606713,4.21422913,4.388996011,4.248793055,4.027510131,4.37323416,4.455535412
Indonesia,5.027069016,4.510583609,4.42444912,4.443168644,4.2565616,4.373691775,4.41546592,4.406660854,4.161883152,4.115175575,4.303184986
Iran,,,,4.795442,4.773538041,4.712763061,4.443759005,4.353765868,3.677401304,3.160243987,3.376313925
Ireland,4.173829201,4.268529288,4.197782242,4.006094986,3.837527759,3.86323871,3.822513605,3.936381384,4.258861466,4.557400706,4.547530174
Israel,4.920557281,4.636091757,3.880789058,4.12185907,4.95226492,5.090680466,4.588005141,4.238118876,4.688089266,5.027190508,5.028608799
Italy,4.611799818,4.570141978,4.419082592,4.272582243,4.21140082,4.144694037,4.354134759,4.410122455,4.293157596,4.283601943,4.346003056
Jamaica,3.87588109,3.831797822,3.507582134,3.640089904,3.79287925,3.78696168,3.832123004,3.66370928,3.621446379,3.685088644,3.722828865
Japan,5.248043814,5.087838329,5.375101455,5.649431388,5.711770865,5.622311356,5.561116194,5.579003248,5.492620247,5.398345986,5.447598934
Jordan,4.34520863,4.454326561,4.4551106,4.229517385,4.076704027,4.220789752,4.330061,4.463376637,4.203629449,3.973303373,3.844224453
Kazakhstan,4.057267665,4.173993596,4.102397676,3.721430455,3.572766,3.808366431,3.759848643,3.832922576,3.893709128,3.469526828,3.199646711
Kenya,3.879066016,4.187751327,4.224572469,4.183384592,4.016717456,3.786738644,4.108737283,4.389763002,3.82028042,3.655154197,3.731867075
"South Korea",5.362187696,4.989095749,4.562124482,4.619367865,4.878522389,5.040551533,4.762900531,4.538493552,4.809793878,5.052752542,5.213123798
Kuwait,4.787290869,4.713031654,4.546903944,4.614252479,4.546583474,4.47772328,4.615103259,4.768411789,4.213466552,3.703320937,3.788227081
Kyrgyzstan,4.183656492,3.915951735,3.228709531,2.96820805,3.259708735,3.5575797,3.532994445,3.491092539,3.241168119,2.870287894,2.665786505
Laos,,,,,,,3.450492,3.849971705,3.597278473,3.455405118,3.585866213
Latvia,3.871883786,3.669569861,3.557934303,3.645854771,3.868097203,3.916264549,4.121213164,4.261034066,4.040239556,3.948585669,3.896663904
Lebanon,,,,5.02413,5.050638036,4.946389093,4.859913595,4.6721934,4.159340224,4.119056496,4.088179111
Lesotho,2.447504361,2.911946522,3.172897871,3.144614753,2.829964059,2.955228727,3.15781028,3.233467696,3.453157138,3.274430078,3.169550657
Liberia,,,,,,4.031601,3.494181149,3.5804,3.666666746,3.558817214,3.031137466
Libya,3.743243243,3.789518582,3.625482818,3.459125914,3.6958,3.932526,3.823721733,3.88868665,,,
Lithuania,4.40734769,4.499755179,4.554771484,4.460299513,4.390371722,4.423333718,4.497676551,4.452892543,4.33323546,4.203058445,4.134149075
