Country,2014,2015,2016,2017,2018,2019,2020
Algeria,3.702,,,,,,
Andorra,,,,,,,1.693
Azerbaijan,2.187,,,,,,
Argentina,1.933,1.9495,1.966,1.9825,1.999,2.0155,2.032
Australia,1.686,1.6885,1.691,1.6935,1.696,1.6985,1.701
Armenia,1.96,,,,,,
Bangladesh,,,,,,,2.157
Brazil,3.673,3.7785,3.884,3.9895,4.095,4.2005,4.306
Belarus,2.02,,,,,,
Bolivia,,,,,,,2.584
Chile,1.334,1.4893,1.6447,1.8,1.9553,2.1107,2.266
China,3.63,3.5725,3.515,3.4575,3.4,3.3425,3.285
Colombia,3.489,3.5072,3.5253,3.5435,3.5617,3.5798,3.598
Cyprus,1.408,1.4137,1.4193,1.425,1.4307,1.4363,1.442
Ecuador,1.831,2.0727,2.3143,2.556,2.7977,3.0393,3.281
Estonia,2.008,,,,,,
Ethiopia,,,,,,,2.929
Georgia,1.637,,,,,,
"West Bank and Gaza",3.183,,,,,,
Germany,1.857,1.7975,1.738,1.6785,1.619,1.5595,1.5
Ghana,4.79,,,,,,
Greece,,,,,,,1.224
Guatemala,,,,,,,3.955
Haiti,5.649,,,,,,
"Hong Kong",3.293,3.3673,3.4417,3.516,3.5903,3.6647,3.739
India,2.881,,,,,,
Indonesia,,,,,,,2.437
Iran,,,,,,,2.215
Iraq,3.413,3.4012,3.3893,3.3775,3.3657,3.3538,3.342
Japan,1.376,1.3595,1.343,1.3265,1.31,1.2935,1.277
Kazakhstan,2.663,2.5932,2.5233,2.4535,2.3837,2.3138,2.244
Jordan,2.624,2.6093,2.5947,2.58,2.5653,2.5507,2.536
"South Korea",1.456,1.613,1.77,1.927,2.084,2.241,2.398
Kuwait,2.647,,,,,,
Kyrgyzstan,2.237,2.2095,2.182,2.1545,2.127,2.0995,2.072
Lebanon,3.065,2.9673,2.8697,2.772,2.6743,2.5767,2.479
Libya,3.364,,,,,,
Macau,,,,,,,3.505
Malaysia,2.846,3.1173,3.3887,3.66,3.9313,4.2027,4.474
Mexico,2.091,2.254,2.417,2.58,2.743,2.906,3.069
Morocco,3.57,,,,,,
"Burma (Myanmar)",,,,,,,5.036
Netherlands,1.889,,,,,,
"New Zealand",1.498,1.4878,1.4777,1.4675,1.4573,1.4472,1.437
Nicaragua,,,,,,,4.361
Nigeria,4.58,4.8173,5.0547,5.292,5.5293,5.7667,6.004
Pakistan,1.995,2.2097,2.4243,2.639,2.8537,3.0683,3.283
Peru,2.201,2.1372,2.0733,2.0095,1.9457,1.8818,1.818
Philippines,3.62,3.6655,3.711,3.7565,3.802,3.8475,3.893
Poland,1.752,,,,,,
"Puerto Rico",,,,,,,2.622
Qatar,3.351,,,,,,
Romania,1.782,1.7757,1.7693,1.763,1.7567,1.7503,1.744
Russia,1.991,2.0397,2.0883,2.137,2.1857,2.2343,2.283
Rwanda,7.117,,,,,,
Serbia,,,,,,,3.367
Singapore,4.458,,,,,,
Slovenia,1.898,,,,,,
"South Africa",4.492,,,,,,
Zimbabwe,4.568,4.5218,4.4757,4.4295,4.3833,4.3372,4.291
Spain,1.599,,,,,,
Sweden,1.509,,,,,,
Tajikistan,,,,,,,2.292
Thailand,2.019,2.0717,2.1243,2.177,2.2297,2.2823,2.335
"Trinidad and Tobago",4.286,,,,,,
Tunisia,3.14,3.1158,3.0917,3.0675,3.0433,3.0192,2.995
Turkey,1.657,1.7273,1.7977,1.868,1.9383,2.0087,2.079
Ukraine,2.304,,,,,,
Egypt,4.125,4.081,4.037,3.993,3.949,3.905,3.861
"United States",1.839,1.8643,1.8897,1.915,1.9403,1.9657,1.991
Uruguay,1.92,,,,,,
Uzbekistan,3.118,,,,,,
Vietnam,,,,,,,4.531
Yemen,4.558,,,,,,
