Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,92399,92250,92100,96950,101400,110150,122300,124450,125300,125050,124900,126100,126500,127250,127100,126350,125600,125927,120000,119350,115700,111700,107500,102465,99015,92315,86000,90350,91600,92586,95200,90922,91750,91491,92993,94022,95592,98504,96068,96267,96003,96595,97371,89900,92783,100008,103032,101761,104469,105056,106543,107090,109971,130845
Albania,10200,11100,11900,12519,12600,12600,12500,12600,12600,12358,11800,11500,11800,13000,14000,14800,15600,16500,17100,17366,17800,18000,19000,19000,46471,46280,46398,46058,45691,28145,24420,15036,16014,14806,14533,14353,14791,15260,16178,16271,18054,18726,20820,24089,26130,30567,34220,32418,32288,25749,24491,29498,26246,26102
Algeria,511100,510250,519330,542290,505374,493790,486570,476600,468180,461260,476110,451120,436600,437020,443190,426620,409430,400950,400920,391240,384770,346510,340960,330400,350180,323470,322630,309890,314300,311350,304879,299741,302828,301548,287509,292996,289836,292274,294940,296611,344327,361946,361399,380905,415872,448145,468452,475095,474946,491265,500318,536838,530665,487323
"American Samoa",500,500,500,500,405,486,550,630,700,700,500,470,400,400,400,350,350,350,350,350,350,350,350,350,430,430,430,430,430,427,426,380,413,411,409,409,410,412,413,415,414,415,337,340,342,320,330,346,350,380,357,370,358,357
Angola,41500,41700,43700,43800,45800,45900,45900,46000,52300,52300,52500,53500,53800,54000,53000,53500,54000,53500,53500,53500,53400,53400,53400,53400,53400,53400,53400,53400,53400,50279,82851,74990,63707,56523,53267,54961,52565,55214,51800,54100,53284,57906,60819,71538,80094,87897,91745,122061,159516,163848,161483,187628,216399,206938
"Antigua and Barbuda",,,,,,3,6,8,10,10,16,18,6,30,10,20,9,20,12,34,36,45,5,8,1296,1296,1326,1359,1260,1138,1302,1295,1292,1293,1267,1295,1324,1303,1337,1330,1309,1354,1377,1405,1004,1084,1190,1250,1294,1363,1366,1414,1374,1356
Argentina,239480,247000,254700,263500,268700,274800,280000,293100,298417,301100,306164,314100,310400,322000,342200,347600,349768,350020,324055,573393,575907,578420,576015,563791,560481,544789,536117,507371,494636,443400,451584,462115,455877,467944,467607,470224,457120,458706,441083,431703,463060,474904,482283,469249,497747,498450,493812,501365,499823,472034,482568,472282,463222,482080
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56905,55700,60600,56700,54500,41000,36600,37334,36208,38603,34866,32901,42692,44085,44848,45680,44598,44908,46035,45553,48691,50419,50819
Australia,132747,133168,138018,140902,141561,143747,144020,144997,146459,147196,148808,150922,150029,146973,142659,137625,136452,134684,136491,137166,138253,139201,139208,139557,143214,143521,139707,142229,147126,151221,152313,155730,162774,168983,170203,172382,183194,188368,208330,234122,249765,261682,266518,266194,273067,282124,293037,289266,289390,278893,279468,267550,266712,247255
Austria,36675,36675,40765,40815,46243,46243,46833,46833,47388,47836,48578,48537,48537,50687,45472,45472,48098,49775,49940,55248,56325,56784,57512,56317,103588,104661,103944,104522,105794,83887,83126,84725,84731,84908,78847,79313,78916,79119,78309,79661,77895,76031,76157,74866,78186,77182,77816,76129,75550,77075,82839,80822,77407,78333
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197500,168600,141155,120350,118896,107502,81973,71810,67346,66095,64843,63460,64211,65602,70226,73202,76441,79828,84508,88036,89361,94459,97266
Bahamas,450,460,470,480,490,500,505,510,528,530,530,532,540,545,548,550,550,551,550,550,555,560,565,570,1150,1150,1120,1115,1150,1190,1117,1025,999,1060,1324,1229,1364,1245,1365,1412,1460,1429,1530,1633,1605,1646,1815,1821,1639,2184,2237,2262,2302,2496
Bahrain,1943,1948,1960,1960,1966,1952,1958,1961,1968,1983,1987,2002,2017,2072,2725,3532,4380,4508,4509,4509,2210,1713,1714,1714,1915,1916,2123,2142,2149,1563,1531,1510,1548,1513,1460,1476,1471,1705,1468,1521,1541,2397,2420,2417,2184,2966,2916,2320,2354,2444,2961,3315,3693,4120
Bangladesh,105000,113900,111200,117400,121000,120323,124710,126130,128950,126033,124434,123666,127211,128012,129314,133033,134119,134450,136641,138474,142553,147481,146000,144862,147590,149828,152590,152974,155049,156111,157297,158759,160917,163819,166799,170086,173186,174163,175230,178474,182968,186176,194031,263634,394019,396497,451147,431800,436969,448326,411515,420634,358557,345754
Barbados,200,200,200,200,200,190,190,190,190,110,110,110,110,90,90,90,90,90,90,91,90,90,90,90,395,395,395,410,410,430,449,430,430,430,442,435,430,455,411,390,398,425,440,470,485,502,511,537,577,594,617,625,631,640
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101400,92500,100900,115000,104000,117600,92400,91500,90700,91300,91400,91300,90676,91838,93876,93523,94293,93739,93572,94523,93002,92597,108733
Belgium,10586,10574,10545,10654,10476,10670,10690,10769,10729,10397,10267,10254,10230,10241,10746,11452,12200,12200,12200,12200,12200,13000,12900,12827,13368,13354,13650,13720,14371,15334,15878,16598,18348,18962,19552,19429,19582,21278,21623,,,,,,,,,,,,,,,
Belize,2591,2110,2468,2835,3594,3907,3947,4208,3937,3801,3833,3864,3855,3975,4197,4610,4070,4250,3650,6465,6220,6330,4070,4870,5805,6705,8755,7955,16339,20139,23949,27830,31556,15879,23532,23199,27168,29679,33529,27466,25725,18817,19190,19816,22510,23472,22644,22689,22259,20571,23542,23517,23513,23950
Benin,3660,3750,3805,3865,4365,4360,4460,4460,4750,4750,4850,4940,4940,5040,5135,5135,5235,5235,5225,5325,5325,5325,5320,5320,34580,34580,34580,34760,35160,35110,33794,34009,33470,33742,33389,33957,32901,32789,32936,32578,32728,33726,33844,34464,34262,32966,34578,36047,41350,45680,48682,54649,56596,48384
Bermuda,20,18,35,36,36,28,30,32,32,34,34,34,34,32,32,26,20,20,21,20,18,16,15,14,13,12,10,10,15,16,17,13,15,17,20,20,20,20,20,20,20,20,20,20,20,20,21,22,22,20,20,20,21,21
Bhutan,4950,5100,5300,5400,5550,5700,5850,6000,6150,6250,6450,6550,6700,6830,6990,7140,7250,7530,7590,7670,7700,8005,8350,9413,8000,8700,10300,10300,10700,10926,10873,10963,11153,10370,9902,9378,8913,8324,11325,10595,10184,10269,9922,11491,16554,14264,15079,11684,12441,13198,16791,13815,12516,12776
Bolivia,26340,28870,29350,31940,32725,34457,36319,37956,37090,39340,42240,44100,45250,48010,52105,52900,55665,61780,64850,68215,69010,66375,67820,78004,85609,90152,91451,90267,91456,94116,94493,96518,96414,97259,100129,100990,104703,106807,107815,107314,112115,113690,105310,93995,94458,94271,95761,97126,116990,116853,118949,124921,124699,128490
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54460,33788,31406,30967,29332,33481,34275,33581,29667,35489,49960,68080,117432,84579,103535,109667,110223,121410,127692,133299,94154,170627,67685
Botswana,1300,1400,1400,1390,1520,1520,1520,1520,1470,1470,1580,1580,1680,1680,1790,1800,1910,2020,2020,2120,2120,2180,2180,2180,2180,2180,2030,2030,2330,2434,2312,2059,2259,2458,2158,2453,2334,2010,2130,2350,2222,2213,2185,2190,2184,2209,2194,2224,1920,2107,2130,2130,2127,2135
Brazil,555547,594673,640358,648335,672437,711871,724080,749629,756084,797523,843020,849721,1052440,981924,1077986,1108811,1164109,1193315,1248233,1388819,1420633,1478588,1528603,1634946,1786449,1889811,1966968,2088815,2236551,2298707,2449245,2535519,2396748,2440731,2420263,2532902,2632791,2562083,2573973,2454187,2382402,2390545,2408205,2383545,2378289,2413183,2447102,2449234,2359283,2393631,2440333,2329925,2294851,2251532
"British Virgin Islands",,,,,,20,25,25,25,25,29,29,29,29,30,30,31,32,33,34,35,36,38,38,75,77,77,79,70,25,45,50,48,49,50,51,52,52,52,52,52,52,52,52,53,51,54,56,57,59,61,71,65,61
Brunei,780,802,864,876,924,836,782,622,631,656,679,678,697,688,708,717,758,759,789,768,829,817,831,849,860,840,839,824,818,837,809,818,811,803,787,800,763,692,948,885,946,853,978,1274,1066,1108,1171,1213,1231,1266,1302,1465,1400,1407
Bulgaria,257447,267504,277807,283037,289497,298466,311837,318505,286018,285931,282050,275896,269113,274289,266180,258731,254436,255636,258826,254572,267759,263530,241891,238965,233259,222072,221139,219294,218951,219360,218640,217557,195073,186854,180003,175833,173349,185370,182752,179829,185951,163245,199332,200384,190216,188713,181483,170403,161711,145059,136620,93933,83644,60015
"Burkina Faso",,,,,,,,,,,,,,,,,50,50,50,50,50,100,100,160,12560,12560,12560,12760,12770,11529,13611,13751,13945,14049,14147,14236,14315,14288,14356,14416,14462,14417,14719,14764,14909,15018,15240,15509,15753,16080,16407,16468,16994,17005
Burundi,198700,198900,199300,199800,210000,210500,210700,211000,211500,211500,212000,212300,212500,213000,213500,214000,214500,205000,215100,235700,181000,235300,235500,235500,266300,276300,286300,306300,307300,307901,308293,308656,278190,272685,267364,312414,304232,312000,312303,295716,317500,317300,335439,318800,309500,301000,282000,272000,246000,309212,327181,201036,199053,188384
"Cape Verde",1150,1150,1150,1250,1250,1082,1092,1136,1132,1097,1117,1100,1050,980,960,1030,1100,1150,1150,1170,1170,970,985,997,1105,1055,1055,1035,1050,1090,1105,1127,1156,1155,1181,1196,1220,1196,1207,1212,1214,1211,1221,1235,1268,1348,1380,1280,1281,960,1558,1555,1565,1622
Cambodia,21879,17600,23900,24697,26116,27700,27300,32450,27610,27600,19690,18380,18000,17900,16800,17500,18000,15700,11200,13300,14300,15500,16600,17600,36145,37255,37260,37435,38485,40002,40610,42540,41852,43120,44097,52663,53793,54856,56550,55776,59481,59821,58696,58116,56708,57702,58083,61272,63268,65508,61144,59494,58603,59131
Cameroon,110130,135130,134686,180687,120145,126215,155982,173734,168219,190812,204051,187635,207592,228155,214600,185600,197900,225800,226100,233800,236370,235950,502378,410873,468023,498405,256938,246975,285194,234844,252564,268004,283568,309351,323760,329649,321846,286847,289827,310717,292654,347064,356696,366611,388405,411355,292816,312354,343674,380002,439791,479693,468439,475083
Canada,70507,75745,85950,86750,78030,86770,87580,79375,80285,85270,75404,68380,69440,72680,83320,74500,74640,81880,77970,92590,72111,81140,84430,79900,81740,62010,73525,69428,71573,71895,72501,75659,77662,77146,76367,74860,72604,71324,72326,72218,72229,72822,74696,75183,74558,79111,74963,79352,79220,77198,82229,80995,81105,82459
"Cayman Islands",,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3,4,6,6,7,10,10,13,14,50,7,50,60,130,150,110,119,122,126,134,135,139,144,150,156,162,165,171,177,184,191,199,185,219,250,249,255
"Central African Republic",26400,26400,26900,27080,27650,29650,29650,29680,30180,30680,30680,31170,31650,31397,31970,32500,33500,33500,33520,34730,34850,36950,39950,40060,46520,46840,47500,48860,49280,50691,51145,52230,53216,54171,55578,56044,58107,59702,60143,60771,59956,58840,56604,57591,58594,59225,60116,61271,62028,64115,63387,64840,66586,65202
Chad,,,,,,,,,,,,,,,,,,,,,,,,,25200,25200,25200,25200,25200,25693,24772,25017,25544,26142,26560,27051,27685,27437,28002,28343,28513,28962,29268,29912,29888,30993,31196,32451,33082,34387,34881,36400,36000,36393
Chile,143617,144922,144357,147435,149051,164746,156351,162506,149307,154614,156790,152842,158739,157131,157203,157538,155436,154489,170461,172850,187310,187670,189095,183755,187443,188530,201205,212244,221041,224109,235728,237855,238834,234228,240506,247865,263643,275952,288393,306606,312201,315246,318842,323648,326317,332853,339985,364084,373604,374073,378640,373899,381511,379108
"Hong Kong",643,635,639,631,656,648,643,631,623,641,695,635,643,350,210,320,234,200,92,307,390,450,390,200,100,170,190,200,200,300,281,195,310,350,346,378,340,290,300,308,300,315,320,340,347,362,370,375,370,365,360,360,360,374
China,590290,615840,622450,678850,726100,952000,970350,1116700,1025100,1101600,1150400,1171900,1295200,1407600,1483900,1581300,1674850,1657450,1757450,1783700,1797350,1954250,2014970,2217950,2735900,3668400,4504340,5063184,5368984,5075250,5214980,5813897,6458776,7283197,8133040,8592860,8693240,8589970,8726200,9068410,8993510,9251900,9617200,9933570,10164000,10268050,10697282,10887282,11243250,11627148,12300321,12647838,13029492,13202342
Taiwan,33273,36523,43288,51106,63714,75971,86905,90506,87562,92496,89568,85633,91260,96710,92797,92764,95457,96871,102668,105523,113283,113161,116461,122086,127686,138249,145525,166471,166340,164270,163307,164000,163791,160632,155828,153902,153241,154008,151089,151498,153414,156287,160548,159087,158194,158924,159067,157570,153133,146735,141892,138280,136951,134620
Colombia,222700,223800,230420,236720,210630,265380,270470,270710,281730,281590,367510,368680,373260,373190,382356,391461,439670,449300,462160,477660,477690,402149,408696,404626,420071,423765,443423,452868,486276,435477,468579,547415,544474,543569,565497,568285,581982,574854,607393,658127,668718,673715,661069,676765,686880,724600,740824,742239,676176,708170,709772,730064,749094,759105
