Country,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,
Albania,,,,,,,,,,,,,,,,,1.3,2.9571,4.6143,6.2714,7.9286,9.5857,11.2429,12.9,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,7,,,
Armenia,,,,,,,,,,,,,,,18.1,18.34,18.58,18.82,19.06,19.3,18.14,16.98,15.82,14.66,13.5,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,11.5,12.28,13.06,13.84,14.62,15.4,,,,,,,,,,
Bangladesh,,,,,,,,,21.6,20.9667,20.3333,19.7,19.2,18.7,18.2,17.4,16.6,15.8,15,15.6,16.2,16.8,15.975,15.15,14.325,13.5,13.7,13.9,12,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,
Belgium,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Belize,,,,,,25.7,25.0875,24.475,23.8625,23.25,22.6375,22.025,21.4125,20.8,20.3917,19.9833,19.575,19.1667,18.7583,18.35,17.9417,17.5333,17.125,16.7167,16.3083,15.9,,,,,
Benin,,,,,,,,,,,27.7,27.74,27.78,27.82,27.86,27.9,27.78,27.66,27.54,27.42,27.3,28.1833,29.0667,29.95,30.8333,31.7167,32.6,32.85,33.1,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,11.7,,,,,,
Bolivia,,,,35.7,34.34,32.98,31.62,30.26,28.9,28.325,27.75,27.175,26.6,25.84,25.08,24.32,23.56,22.8,22.26,21.72,21.18,20.64,20.1,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,
Botswana,,,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,12.8,12.6,12.4,12.2,12,11.8,11.6,11.4,11.2,11,10.8,10.32,9.84,9.36,8.88,8.4,7.92,7.44,6.96,6.48,6,,,,,,,,,,
Bulgaria,,,,,,,,,,,,,29.7,,,,,,,,,,,,,,,,,,
"Burkina Faso",,,,,,,,24.6,25.55,26.5,27.45,28.4,29.35,30.3,30.175,30.05,29.925,29.8,29.0429,28.2857,27.5286,26.7714,26.0143,25.2571,24.5,27.9,31.3,34.7,38.1,33,
Burundi,,25.1,25.36,25.62,25.88,26.14,26.4,26.66,26.92,27.18,27.44,27.7,27.96,28.22,28.48,28.74,29,29.425,29.85,30.275,30.7,31.125,31.55,31.975,32.4,,,,,,
