Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,8780,8857,8711,9156,9042,8863,8333,9111,9481,9536,9615,9800,9000,9606,9697,9657,9459,9730,9867,9880,9911,9707,9282,9436,9885,9392,9641,9143,8286,9861,9667,9459,9604,9666,9746,9841,9943,10044,10190,10315,10401,10481,10712,10769,10450,10712,10200,10200,9434,7434,8272,7989,8096,7524
Albania,5637,5913,6143,6017,5361,6056,6129,6109,5972,6133,6213,6016,6376,6748,6154,6729,7365,7098,7081,7035,7941,8483,8467,8403,8272,10000,7190,6918,8962,5890,7009,10272,9618,7494,7860,9074,8037,8834,9313,9092,9353,10860,8259,10201,11242,12073,10634,11394,12170,13071,12990,13408,14123,14797
Algeria,3864,3081,3644,6681,5385,5388,5399,4817,4774,4343,5920,4573,4719,5377,7728,7741,6938,6112,4464,4098,4356,3377,2936,2869,3643,4353,3985,2511,4478,3808,6029,6190,4774,3446,3913,7533,3462,5788,5446,3472,6467,7006,8490,8049,6806,6586,7881,6559,9521,9736,9021,9873,11264,10345
Angola,4783,5043,5217,5250,5043,5378,5319,5319,5292,6250,5833,5833,6000,6000,5833,5833,5417,3636,3985,3925,3636,3333,3077,2857,2857,2733,2733,2727,2727,2727,2727,2667,3913,5192,4000,3535,3759,4023,3563,3855,4004,3793,4010,2286,3109,2653,2467,3319,3598,3616,3857,1747,3980,5103
Argentina,10041,10916,11923,9907,12439,12628,9161,6620,7391,8466,8953,8748,9275,10761,8994,12870,10418,9524,9740,7482,10301,11228,11253,10339,10533,9695,9554,11511,9831,10057,13194,12416,12323,13546,11407,10051,11210,11963,11202,11338,10816,11405,12312,13206,12508,13835,13304,13354,11687,12794,12176,12189,9045,12288
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15534,19761,23325,14638,23635,20195,18324,19602,19086,17209,19581,24493,26381,23534,20142,25906,28063,28167,23921,26818,25505,26596,28709
Australia,8650,9543,9583,10151,6012,7743,4362,8435,7226,8323,8794,4249,8170,7439,7831,3919,4764,9295,8364,9191,9803,7662,10335,9674,9603,11927,9279,10928,10383,9717,10651,11317,13143,6598,12394,12539,9938,10513,13433,9757,12726,6468,13546,9499,16085,5856,9180,11250,12470,12106,11354,14232,12787,14730
Austria,18564,17949,21632,24302,23765,26509,28290,25691,22382,23765,21802,22750,22576,23361,27265,27689,27848,28095,28525,28875,28889,29237,30145,31013,34639,37518,35976,37462,36303,34449,33615,29133,24908,32781,29700,28923,31422,30284,30145,23522,28975,23378,22425,30283,25049,26901,20681,20577,22644,24099,28907,18679,23248,25769
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18333,15286,26140,18730,13960,14913,15625,13048,17374,18637,18809,20611,20626,21423,20744,19118,20598,20071,17779,18800,19232,19466,20039
Bahamas,11034,10938,11176,11429,11316,11500,11852,12195,12530,12857,13115,13188,13492,13586,13797,14382,14621,12306,12250,12381,12500,12609,12917,12800,13000,13000,12941,12941,12600,13544,11364,11111,10169,7202,7179,7058,7236,7095,6916,6765,6875,6765,6857,6944,7085,6842,6750,8839,10826,13438,13385,13435,13333,13365
Bahrain,,,,,,,,,,,,,,,,,,,7500,10000,10000,10000,10000,10000,10000,6667,6667,7500,8000,8333,8750,8889,9000,9091,8779,8732,8670,793307,1151646,382072,254422,434965,371551,461551,188962,916254,188993,312130,322623,327710,248900,184615,180769,184846
Bangladesh,6948,6810,6784,7193,7159,7118,6937,7521,7716,7798,7716,7231,6978,7016,7065,6897,6528,6699,6683,6301,6246,6528,6612,6912,7019,7075,7199,7233,6785,6979,7201,7229,7245,7510,7175,7544,7593,7545,7575,7725,7860,7250,7635,8025,8282,8323,8404,9018,8709,9040,8904,8521,9499,14251
Barbados,10000,10000,10000,7500,8750,7950,10465,11875,11849,11818,12207,12167,12833,11667,11833,12000,12131,12063,12063,12031,12188,12308,12462,12576,12576,12576,12537,12537,12537,12647,12647,12537,12537,12537,12537,12537,12537,15768,16119,16444,16691,16942,17986,15364,16068,16353,15158,14333,16197,19984,23681,25342,24496,24145
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14322,19495,14762,15714,17816,18996,12458,9706,14697,14860,17658,21219,25433,22363,15743,20681,27093,25794,20478,25782,26089,23384,29234
