Country,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,70,67.78,65.56,63.34,61.12,58.9,57.15,55.4
Albania,11.6,11.06,10.52,9.98,9.44,8.9,8.65,8.4
Algeria,25,24.56,24.12,23.68,23.24,22.8,22.4,22
Andorra,4.1,4.02,3.94,3.86,3.78,3.7,3.6,3.5
Angola,83.4,79.5,75.6,71.7,67.8,63.9,61.5,59.1
"Antigua and Barbuda",8.6,8.16,7.72,7.28,6.84,6.4,6.1,5.8
Argentina,14.3,13.66,13.02,12.38,11.74,11.1,10.6,10.1
Armenia,17.9,17.08,16.26,15.44,14.62,13.8,13.15,12.5
Australia,4.4,4.22,4.04,3.86,3.68,3.5,3.35,3.2
Austria,3.9,3.78,3.66,3.54,3.42,3.3,3.25,3.2
Azerbaijan,35.9,33.92,31.94,29.96,27.98,26,24.35,22.7
Bahamas,10.1,9.44,8.78,8.12,7.46,6.8,6.45,6.1
Bahrain,7.5,7.34,7.18,7.02,6.86,6.7,6.55,6.4
Bangladesh,41.7,39.76,37.82,35.88,33.94,32,30.45,28.9
Barbados,14.5,14.24,13.98,13.72,13.46,13.2,12.85,12.5
Belarus,4.7,4.44,4.18,3.92,3.66,3.4,3.25,3.1
Belgium,4.1,4,3.9,3.8,3.7,3.6,3.5,3.4
Belize,17.8,17.2,16.6,16,15.4,14.8,14.1,13.4
Benin,78.1,76.9,75.7,74.5,73.3,72.1,70.5,68.9
Bhutan,37.1,35.68,34.26,32.84,31.42,30,28.95,27.9
Bolivia,39.6,38.3,37,35.7,34.4,33.1,32,30.9
"Bosnia and Herzegovina",6.8,6.56,6.32,6.08,5.84,5.6,5.45,5.3
Botswana,42,40.86,39.72,38.58,37.44,36.3,35.05,33.8
Brazil,18.7,18.1,17.5,16.9,16.3,15.7,15.25,14.8
Brunei,9.8,9.7,9.6,9.5,9.4,9.3,9.2,9.1
Bulgaria,10,9.56,9.12,8.68,8.24,7.8,7.4,7
"Burkina Faso",71,68.54,66.08,63.62,61.16,58.7,57.05,55.4
"Burma (Myanmar)",53.9,52.2,50.5,48.8,47.1,45.4,44,42.6
Burundi,64.8,61.92,59.04,56.16,53.28,50.4,48.65,46.9
Cambodia,41.9,39.64,37.38,35.12,32.86,30.6,29.35,28.1
Cameroon,75.3,72.96,70.62,68.28,65.94,63.6,61.95,60.3
Canada,5.3,5.24,5.18,5.12,5.06,5,4.9,4.8
"Cape Verde",23.2,22.26,21.32,20.38,19.44,18.5,17.45,16.4
"Central African Republic",109.5,107.34,105.18,103.02,100.86,98.7,96.6,94.5
Chad,92.4,90.6,88.8,87,85.2,83.4,81.6,79.8
Chile,8.1,7.94,7.78,7.62,7.46,7.3,7.05,6.8
China,14.5,13.56,12.62,11.68,10.74,9.8,9.15,8.5
Colombia,17.7,17.18,16.66,16.14,15.62,15.1,14.6,14.1
Comoros,68,66.38,64.76,63.14,61.52,59.9,58.45,57
"Congo (Brazzaville)",47.7,46.26,44.82,43.38,41.94,40.5,39.35,38.2
"Congo (Kinshasa)",91.9,89.62,87.34,85.06,82.78,80.5,78.35,76.2
"Costa Rica",9.5,9.38,9.26,9.14,9.02,8.9,8.7,8.5
Croatia,5.1,4.96,4.82,4.68,4.54,4.4,4.3,4.2
Cuba,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5
Cyprus,3.2,3.06,2.92,2.78,2.64,2.5,2.4,2.3
"Czech Republic",3,2.96,2.92,2.88,2.84,2.8,2.85,2.9
Denmark,3.7,3.74,3.78,3.82,3.86,3.9,3.95,4
Djibouti,67.7,66,64.3,62.6,60.9,59.2,57.6,56
Dominica,20.5,22.6,24.7,26.8,28.9,31,32.45,33.9
"Dominican Republic",30.9,30.46,30.02,29.58,29.14,28.7,28,27.3
Ecuador,17.6,17,16.4,15.8,15.2,14.6,14.3,14
Egypt,25.7,24.84,23.98,23.12,22.26,21.4,20.7,20
"El Salvador",18.3,17.6,16.9,16.2,15.5,14.8,14.25,13.7
"Equatorial Guinea",87.4,85.04,82.68,80.32,77.96,75.6,73.4,71.2
Eritrea,43.7,42.54,41.38,40.22,39.06,37.9,36.9,35.9
Estonia,3.9,3.66,3.42,3.18,2.94,2.7,2.55,2.4
Ethiopia,62.5,60.02,57.54,55.06,52.58,50.1,48.3,46.5
Fiji,22,22.12,22.24,22.36,22.48,22.6,22.9,23.2
Finland,2.7,2.6,2.5,2.4,2.3,2.2,2.1,2
France,3.9,3.88,3.86,3.84,3.82,3.8,3.75,3.7
Gabon,47.7,46.48,45.26,44.04,42.82,41.6,40.4,39.2
Gambia,53.6,52.42,51.24,50.06,48.88,47.7,46.65,45.6
Georgia,16.7,15.78,14.86,13.94,13.02,12.1,11.45,10.8
Germany,3.8,3.74,3.68,3.62,3.56,3.5,3.45,3.4
Ghana,53.6,51.44,49.28,47.12,44.96,42.8,41.1,39.4
Greece,3.5,3.64,3.78,3.92,4.06,4.2,4.4,4.6
Grenada,13.8,14.26,14.72,15.18,15.64,16.1,16.35,16.6
Guatemala,32.2,31.22,30.24,29.26,28.28,27.3,26.5,25.7
Guinea,75.5,73.44,71.38,69.32,67.26,65.2,63.35,61.5
"Guinea Bissau",79.3,76.48,73.66,70.84,68.02,65.2,63.2,61.2
Guyana,34.5,33.8,33.1,32.4,31.7,31,30.15,29.3
Haiti,92.8,86.54,80.28,74.02,67.76,61.5,60.3,59.1
Honduras,22.3,21.56,20.82,20.08,19.34,18.6,18,17.4
Hungary,5.4,5.24,5.08,4.92,4.76,4.6,4.35,4.1
Iceland,2.2,2.14,2.08,2.02,1.96,1.9,1.8,1.7
India,44.5,42.64,40.78,38.92,37.06,35.2,33.6,32
Indonesia,30.7,29.68,28.66,27.64,26.62,25.6,24.8,24
Iran,17.6,16.98,16.36,15.74,15.12,14.5,14,13.5
Iraq,32.9,32.16,31.42,30.68,29.94,29.2,28.45,27.7
Ireland,3.8,3.72,3.64,3.56,3.48,3.4,3.3,3.2
Israel,3.9,3.76,3.62,3.48,3.34,3.2,3.1,3
Italy,3.6,3.52,3.44,3.36,3.28,3.2,3.15,3.1
"Ivory Coast",85.3,83.28,81.26,79.24,77.22,75.2,73.2,71.2
Jamaica,17.9,17.44,16.98,16.52,16.06,15.6,15.15,14.7
Japan,2.5,2.44,2.38,2.32,2.26,2.2,2.1,2
Jordan,18.9,18.38,17.86,17.34,16.82,16.3,15.85,15.4
Kazakhstan,20.3,18.62,16.94,15.26,13.58,11.9,10.9,9.9
Kenya,43.7,42.66,41.62,40.58,39.54,38.5,37.7,36.9
Kiribati,54.3,53.28,52.26,51.24,50.22,49.2,48,46.8
Kuwait,9.9,9.52,9.14,8.76,8.38,8,7.7,7.4
Kyrgyzstan,29.1,27.7,26.3,24.9,23.5,22.1,21,19.9
Laos,65.6,63.84,62.08,60.32,58.56,56.8,55.25,53.7
Latvia,7.1,6.6,6.1,5.6,5.1,4.6,4.25,3.9
