Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,0.0761,0.0815,0.0869,0.0923,0.0977,0.103083333,0.1067,0.1104,0.1141,0.1177,0.121388889,0.1322,0.1429,0.1537,0.1645,0.175288889,0.1853,0.1954,0.2054,0.2155,0.225522222,0.2399,0.2543,0.2686,0.283,0.2974,0.308986667,0.320573333,0.33216,0.343746667,0.357,0.365333333,0.365333333,0.365333333
Albania,0.540588889,0.538,0.5355,0.5329,0.5303,0.527776677,0.5297,0.5315,0.5334,0.5353,0.537186688,0.5355,0.5338,0.5321,0.5304,0.528693858,0.536,0.5434,0.5508,0.5581,0.565465051,0.5713,0.5771,0.583,0.5888,0.59467023,0.596323054,0.597975879,0.599628703,0.600651723,0.601674743,0.608519363,0.608519363,0.608519363
Algeria,0.321377778,0.3265,0.3317,0.3369,0.342,0.347177778,0.3542,0.3613,0.3683,0.3753,0.382388889,0.3908,0.3992,0.4076,0.416,0.424366667,0.4382,0.452,0.4658,0.4797,0.493488889,0.5073,0.5211,0.5349,0.5488,0.562566667,0.570237778,0.580686667,0.59808,0.615473333,0.631477778,0.642588889,0.642588889,0.642588889
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.670286667,0.670286667,0.670286667,0.670286667
Angola,,,,,,,,,,,,,,,,,,,,,0.298712356,0.3119,0.3251,0.3383,0.3515,0.364684578,0.379923409,0.39516224,0.410401071,0.425639902,0.440878733,0.474212067,0.474212067,0.474212067
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686696889,0.681141333,0.681141333,0.681141333
Argentina,0.537922222,0.5499,0.5618,0.5738,0.5857,0.597666667,0.6036,0.6095,0.6155,0.6214,0.627344444,0.6314,0.6354,0.6395,0.6435,0.647538889,0.6602,0.6728,0.6854,0.698,0.71066529,0.7137,0.7167,0.7197,0.7227,0.725752142,0.730040456,0.728692115,0.731550991,0.756145503,0.783355597,0.783355597,0.783355597,0.783355597
Armenia,,,,,,,,,,,0.632955556,0.6326,0.6322,0.6318,0.6314,0.630966667,0.6384,0.6459,0.6533,0.6608,0.668266667,0.6688,0.6693,0.6698,0.6704,0.670877778,0.684753333,0.701406667,0.690282222,0.70138,0.701366667,0.701366667,0.701366667,0.701366667
Australia,0.869533333,0.8696,0.8697,0.8697,0.8698,0.869866667,0.8708,0.8717,0.8726,0.8735,0.874466667,0.8784,0.8824,0.8864,0.8904,0.894366667,0.8946,0.8948,0.895,0.8952,0.8954,0.8968,0.8982,0.8996,0.9011,0.902473292,0.905155501,0.907440197,0.912784703,0.915800031,0.918815358,0.921830685,0.92653552,0.92653552
Austria,0.591807778,0.5962,0.6007,0.6051,0.6095,0.613974444,0.6234,0.6329,0.6423,0.6518,0.661247778,0.6688,0.6764,0.684,0.6916,0.699221111,0.7053,0.7113,0.7174,0.7235,0.729521111,0.733,0.7365,0.74,0.7434,0.746909887,0.755868559,0.759271676,0.771008127,0.779966799,0.794481027,0.794481027,0.794481027,0.794481027
Azerbaijan,,,,,,,,,,,,,,,,,,,,,0.637532526,0.6435,0.6495,0.6554,0.6614,0.667330364,0.673289931,0.679249499,0.679459307,0.68662475,0.697,0.699777778,0.699777778,0.699777778
Bahamas,,,,,,,,,,,,,,,,,,,,,0.668040509,0.6761,0.6842,0.6922,0.7003,0.708358287,0.708187731,0.713954676,0.713954676,0.713954676,0.713954676,0.713954676,0.713954676,0.713954676
Bahrain,0.425088889,0.4471,0.469,0.491,0.513,0.534944444,0.5428,0.5507,0.5585,0.5664,0.574248148,0.5832,0.5921,0.6011,0.61,0.618922222,0.6264,0.6338,0.6413,0.6487,0.656138889,0.6671,0.6781,0.6891,0.7,0.711011111,0.702713333,0.705526667,0.70834,0.711153333,0.713966667,0.713966667,0.713966667,0.713966667
Bangladesh,0.201944444,0.2054,0.2088,0.2122,0.2156,0.218988889,0.2254,0.2318,0.2382,0.2446,0.250988889,0.2592,0.2673,0.2755,0.2837,0.291881481,0.2996,0.3073,0.315,0.3227,0.330374074,0.3406,0.3508,0.361,0.3712,0.381457364,0.388430869,0.395404374,0.396822324,0.41490694,0.432991556,0.446880445,0.446880445,0.446880445
Barbados,0.549155556,0.5617,0.5742,0.5867,0.5993,0.6118,0.615,0.6183,0.6215,0.6247,0.627933333,0.6347,0.6414,0.6481,0.6548,0.661541975,0.666,0.6704,0.6749,0.6794,0.683811111,0.6899,0.696,0.7021,0.7082,0.714266667,0.719646667,0.725026667,0.735962222,0.746897778,0.742555556,0.739777778,0.739777778,0.739777778
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,0.717166667,0.737841277,0.758515888,0.779190499,0.811650831,0.811650831,0.817206387,0.819984164,0.819984164
Belgium,0.626016667,0.6317,0.6374,0.6432,0.6489,0.654598889,0.6646,0.6746,0.6846,0.6947,0.704663333,0.7246,0.7446,0.7645,0.7845,0.804402222,0.8105,0.8166,0.8226,0.8287,0.834773333,0.8262,0.8176,0.8091,0.8005,0.791948889,0.793795227,0.795641564,0.797487902,0.802112017,0.806736133,0.812291688,0.812291688,0.812291688
Belize,0.538053333,0.5401,0.5421,0.5441,0.5461,0.548053333,0.551,0.5539,0.5569,0.5598,0.56272,0.5658,0.5689,0.5719,0.575,0.578053333,0.5831,0.5882,0.5933,0.5984,0.60343,0.6147,0.626,0.6372,0.6485,0.659777778,0.6756,0.677533333,0.679466667,0.675844444,0.675,0.677777778,0.688888889,0.688888889
Benin,0.143855556,0.1523,0.1608,0.1693,0.1778,0.1863,0.1893,0.1923,0.1954,0.1984,0.201394444,0.2082,0.215,0.2219,0.2287,0.235488889,0.2421,0.2488,0.2554,0.2621,0.2687,0.2827,0.2967,0.3107,0.3247,0.338666667,0.351514815,0.364362963,0.377211111,0.390059259,0.402907407,0.413555556,0.413555556,0.413555556
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.410133333,0.421244444,0.421244444,0.421244444
Bolivia,0.411214656,0.4223,0.4333,0.4444,0.4554,0.466498933,0.4788,0.491,0.5033,0.5156,0.527849878,0.5377,0.5475,0.5573,0.5672,0.577000822,0.5857,0.5944,0.603,0.6117,0.620388889,0.627,0.6337,0.6403,0.6469,0.653555556,0.654627778,0.6557,0.661633333,0.667566667,0.6735,0.6735,0.6735,0.6735
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,0.652988889,0.650696975,0.648305061,0.651568702,0.649276788,0.649762652,0.655318208,0.655318208,0.655318208
Botswana,0.281855556,0.2981,0.3143,0.3305,0.3468,0.362977778,0.3821,0.4012,0.4203,0.4394,0.45855,0.47,0.4815,0.493,0.5045,0.515944444,0.528,0.54,0.552,0.5641,0.5761,0.5823,0.5886,0.5948,0.6011,0.607333333,0.603,0.607,0.611,0.615,0.619,0.619,0.619,0.619
Brazil,0.361502472,0.3722,0.3829,0.3937,0.4044,0.415114208,0.4247,0.4343,0.4439,0.4535,0.463059278,0.4752,0.4873,0.4993,0.5114,0.523537681,0.5351,0.5467,0.5583,0.5699,0.581495617,0.5881,0.5946,0.6012,0.6078,0.614377778,0.62678879,0.639199801,0.656958599,0.657925616,0.662462812,0.661305629,0.661305629,0.661305629
Brunei,0.5194,0.5237,0.528,0.5323,0.5366,0.540933333,0.5505,0.56,0.5696,0.5791,0.588696296,0.5961,0.6035,0.6109,0.6183,0.625672222,0.6298,0.634,0.6381,0.6423,0.646455556,0.6515,0.6565,0.6615,0.6665,0.671566667,0.681786667,0.680895556,0.677226667,0.681891111,0.678222222,0.681,0.692111111,0.692111111
Bulgaria,0.578594444,0.5849,0.5911,0.5974,0.6036,0.609873333,0.6142,0.6185,0.6229,0.6272,0.631507778,0.6344,0.6373,0.6402,0.6431,0.646057778,0.6521,0.6581,0.6642,0.6702,0.676223333,0.6829,0.6896,0.6962,0.7029,0.709598392,0.71311571,0.724966362,0.72848368,0.734778776,0.746629427,0.749407205,0.749407205,0.749407205
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,0.172255556,0.177811111,0.1917,0.205588889,0.2167,0.227811111,0.2417,0.250033333,0.250033333
Burundi,0.086233333,0.096,0.1059,0.1157,0.1255,0.1353,0.1423,0.1492,0.1562,0.1632,0.170155556,0.1725,0.1748,0.1771,0.1795,0.1818,0.1828,0.1837,0.1847,0.1857,0.186627778,0.1978,0.2089,0.2201,0.2312,0.242366667,0.281244444,0.303455556,0.327055556,0.350655556,0.370088889,0.370088889,0.370088889,0.370088889
Cambodia,0.352911111,0.354,0.355,0.356,0.3571,0.358111111,0.3591,0.36,0.361,0.362,0.362944444,0.3648,0.3666,0.3685,0.3703,0.372185714,0.3778,0.3834,0.3891,0.3947,0.400311111,0.4158,0.4313,0.4469,0.4624,0.4779,0.485244444,0.4912,0.494377778,0.494777778,0.495177778,0.495177778,0.495177778,0.495177778
Cameroon,0.264744444,0.2719,0.279,0.2861,0.2932,0.300366667,0.3076,0.3148,0.322,0.3292,0.336422222,0.3379,0.3394,0.3409,0.3424,0.343944444,0.3465,0.349,0.3515,0.354,0.356522222,0.3669,0.3772,0.3876,0.398,0.408311111,0.406028889,0.428746667,0.445908889,0.463071111,0.480233333,0.485788889,0.485788889,0.485788889
Canada,0.749433333,0.7522,0.7549,0.7576,0.7603,0.763033333,0.7722,0.7813,0.7905,0.7996,0.808755556,0.8123,0.8158,0.8194,0.8229,0.826444444,0.8227,0.8189,0.8151,0.8113,0.807522222,0.8167,0.8258,0.8349,0.844,0.853166667,0.852593333,0.85202,0.851446667,0.850873333,0.8503,0.8503,0.8503,0.8503
"Cape Verde",,,,,,,,,,,,,,,,,,,,,0.441805633,0.441805633,0.441805633,0.441805633,0.441805633,0.441805633,0.461250078,0.4584723,0.464027856,0.466805633,0.472355556,0.483466667,0.483466667,0.483466667
"Central African Republic",0.175533333,0.182,0.1884,0.1948,0.2012,0.207633333,0.2087,0.2097,0.2107,0.2117,0.212777778,0.2124,0.2121,0.2117,0.2114,0.211055556,0.2185,0.226,0.2334,0.2409,0.248337037,0.2547,0.261,0.2673,0.2737,0.280022222,0.285507778,0.290993333,0.296478889,0.301964444,0.310922222,0.317866667,0.317866667,0.317866667
Chad,,,,,,,,,,,,,,,,,,,,,0.186407478,0.1897,0.1931,0.1964,0.1997,0.203074144,0.210481552,0.217888959,0.225296367,0.236407478,0.236407478,0.255851922,0.255851922,0.255851922
Chile,0.527855556,0.5374,0.547,0.5566,0.5662,0.575733333,0.5856,0.5954,0.6053,0.6152,0.625014815,0.6231,0.6211,0.6192,0.6172,0.615244444,0.6222,0.6292,0.6362,0.6431,0.6501,0.6615,0.6729,0.6843,0.6957,0.707038572,0.705270036,0.717390389,0.739643764,0.737103955,0.740119701,0.745675257,0.745675257,0.745675257
China,0.3582,0.3598,0.3613,0.3629,0.3645,0.366055556,0.3741,0.3821,0.3901,0.3981,0.406144444,0.4121,0.4181,0.4241,0.4301,0.436044444,0.4444,0.4527,0.461,0.4693,0.477638889,0.4884,0.4991,0.5099,0.5206,0.531396296,0.543902222,0.561037778,0.575395556,0.589753333,0.598555556,0.609666667,0.609666667,0.609666667
Colombia,0.386511111,0.3905,0.3944,0.3984,0.4024,0.406322222,0.4128,0.4193,0.4258,0.4323,0.438777778,0.4489,0.459,0.469,0.4791,0.489211111,0.4986,0.508,0.5174,0.5267,0.536111111,0.5436,0.5512,0.5587,0.5662,0.573710256,0.579647403,0.591067256,0.603385205,0.609410885,0.610555744,0.613333522,0.602222411,0.602222411
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,0.401808644,0.408753089,0.415697533,0.422641978,0.429586422,0.436530867,0.443475311,0.450419756,0.450419756
"Congo (Kinshasa)",0.241411111,0.243,0.2446,0.2461,0.2477,0.2493,0.2501,0.2509,0.2516,0.2524,0.253201587,0.2569,0.2607,0.2644,0.2681,0.271866667,0.2769,0.282,0.2871,0.2921,0.297203704,0.301,0.3048,0.3085,0.3123,0.316074074,0.319714815,0.323355556,0.345977778,0.349155556,0.355111111,0.360666667,0.371777778,0.371777778
