Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.99765,29.22213,27.69825,29.55082,28.01178,28.2161,28.42047,26.76837,27.4156,28.0629,28.7101,29.3574,30.0046,30.6519,31.29913,31.47156,34.43069,30.67691,33.24558,,,
Afghanistan,,40.82087,39.8274,38.834,37.8406,36.84718,32.9635,29.0797,25.196,21.31231,21.50639,24.53649,22.49563,23.06347,23.1979,23.3324,23.4668,23.6013,23.7357,23.8702,24.0046,24.1391,24.2736,24.408,24.5425,24.6769,24.8114,24.9458,25.0803,25.2147,25.3492,25.4836,25.6181,25.7526,25.887,26.0215,26.1559,26.2904,26.4248,26.5593,26.69373,26.62432,25.39486,25.77935,25.39206,24.3563,21.83389,22.25369,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.21764,42.42431,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,19.674,19.6823,19.6906,19.6989,19.7072,19.7155,19.7238,19.732,19.7403,19.7486,19.7569,19.7652,19.7735,19.7818,19.7901,19.7984,19.8067,19.815,19.8233,19.83156,20.7066,21.58166,25.36938,21.5625,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.15862,17.4603,18.76191,20.61861,21.49304,24.6467,25.3873,26.12787,20.93461,21.35985,28.3036,35.24732,20.50635,24.91345,23.97025,24.76438,25.30678,
Argentina,30.28571,31.128,31.97026,33.01663,23.76396,30.86385,36.55797,29.68849,26.65889,28.08603,26.62529,26.3966,26.16797,27.6454,26.94889,37.82183,43.64731,42.37857,43.7494,45.12031,43.72448,42.0435,40.3625,38.6815,37.0004,35.3194,33.63842,33.4254,33.21242,36.90678,35.70325,36.62538,39.24177,37.2599,37.79909,41.68709,40.02116,39.24554,39.19364,40.77314,39.64997,40.47189,40.43839,41.52728,41.47732,41.33272,40.93612,39.5394,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.65113,48.881,54.46204,52.7682,51.07427,46.87318,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.28083,36.5713,35.8617,35.1522,37.0437,38.9351,40.8266,42.7181,44.6096,46.501,48.39249,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,41.8426,38.75274,37.63153,39.5365,39.2998,39.0632,38.8265,38.58981,38.8143,39.0387,39.2632,39.4877,39.71213,39.60015,38.9362,38.6164,37.7816,36.78888,36.59127,35.26151,33.06493,32.36199,30.52541,31.27629,,,
Austria,50.99292,51.85804,51.29145,53.95279,53.02287,53.07383,53.77747,54.28821,55.07731,55.81209,56.07734,52.47386,51.5995,51.45033,49.03708,49.59442,48.4376,49.50904,48.86982,48.55928,48.90799,48.0473,48.13036,47.07635,46.9848,46.89327,48.33468,46.1976,44.06058,44.83275,45.41346,45.20663,45.71637,48.93912,47.2796,45.93728,46.57931,46.28443,46.27748,46.7337,44.35989,45.36195,41.21692,41.20598,40.36378,39.87736,39.62838,,,
Burundi,,,,,,,,,,32.37047,34.7895,37.20843,36.3872,35.566,34.7447,33.9235,33.1022,32.281,31.4598,30.6385,29.81729,28.70458,28.54647,32.0427,35.53889,39.74942,36.4051,36.936,37.4668,37.99769,35.03723,31.90806,31.97977,30.7164,29.45294,33.10972,30.1938,27.2779,24.36195,24.89275,27.91719,27.35601,24.21594,26.81717,,,,,,
Belgium,,,,,,46.05089,46.35818,44.06215,47.95441,48.52502,50.3638,50.17531,51.62221,51.2081,50.7941,50.38,49.96591,49.57968,49.80667,48.9367,48.0668,47.1968,46.3268,45.45689,46.5633,45.61383,44.67646,44.5268,44.377,44.2273,44.0776,43.9279,43.7782,43.6285,43.4788,43.3291,43.1794,43.0297,42.88,42.7303,42.5806,42.4309,42.2812,42.13146,,,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.69266,25.10314,24.33237,26.81012,28.69094,32.82716,24.67609,19.39643,24.14933,22.23424,27.98253,24.9768,21.971,26.36371,26.25183,23.73528,,,,
"Burkina Faso",,,,,,,,,18.78621,19.2101,19.634,19.9657,20.2975,20.6292,20.5795,20.52986,26.6008,32.6717,38.74259,37.2921,35.8417,34.3913,32.9408,31.4904,30.03993,28.2476,26.4554,24.6631,22.8708,21.0785,19.2862,17.4939,15.7016,13.9093,12.117,10.32474,11.50702,15.71942,16.4803,17.2411,18.00193,19.06348,18.30538,15.16182,16.8993,22.0908,,,,
Bangladesh,,,,,,,,,,23.10876,24.14859,33.83711,35.81573,36.10829,40.86521,36.64092,34.43845,46.03807,43.6074,41.1767,38.74599,39.01896,32.0783,37.27884,38.949,40.6193,42.2895,43.95966,40.9059,37.85218,36.10576,39.9308,43.75585,45.46181,48.47068,45.9466,43.42247,40.78195,39.59189,40.2057,40.6753,41.14495,39.09913,45.4064,51.7137,58.021,64.32827,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.89643,44.8451,45.7938,46.74247,46.84036,44.61046,39.88061,45.93552,44.68915,44.52821,42.5014,40.61605,42.97612,41.40841,39.15796,38.91185,,,,,,
Bahrain,41.28465,41.0722,22.33706,22.8509,23.3647,23.8785,24.3923,24.9061,25.4199,25.9337,26.4475,26.9613,27.4751,27.9889,28.5027,29.0165,29.5303,30.0441,30.5579,31.0717,31.5855,32.0994,32.6132,33.127,33.6408,34.1546,34.6684,35.1822,35.696,36.2098,36.7236,37.2374,37.7512,38.265,38.7788,39.2926,39.8064,40.3202,40.834,41.3478,41.8616,42.3755,42.8893,43.40306,43.06671,44.22464,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.45858,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.06729,31.62375,33.5073,35.3909,37.2744,39.15797,39.4542,39.7505,40.0468,40.34306,39.90655,41.12907,40.1323,39.1355,38.13867,39.32241,41.17408,41.67663,39.95346,,
Bermuda,,,,35.42916,40.4186,45.40797,44.5554,43.7029,42.8504,41.9979,41.1454,40.2928,39.4403,38.5878,37.7353,36.88275,35.6566,34.4304,33.2042,31.978,30.75175,33.20245,29.84691,34.8096,39.7724,44.7351,49.6978,54.6606,59.62328,58.4142,57.205,55.9959,54.7868,53.5777,52.36858,52.28503,50.9115,49.5379,48.1644,46.7908,45.41727,45.1462,44.8751,44.604,44.33285,44.3101,44.3524,44.39473,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,20.13847,25.9578,31.7772,37.59655,35.6574,38.44232,40.08059,40.36336,39.8634,39.36346,38.78848,43.78798,43.65552,44.56404,44.60847,44.66491,45.11796,44.11814,44.99812,43.09467,41.3708,,,,
Barbados,,34.15827,33.31471,35.36806,35.00611,32.0337,29.06124,29.41011,30.1172,30.8243,31.5313,32.2384,32.9455,33.6525,34.3596,35.0667,35.7738,36.4808,37.1879,37.895,38.602,39.30911,38.5479,37.7868,37.0256,36.2644,35.5032,34.7421,33.9809,33.21971,35.54464,32.81314,33.86607,35.00732,32.47932,31.69585,32.0893,32.48282,29.36943,28.94022,29.63741,29.7851,29.93281,24.86012,22.47617,30.8914,39.30671,,,
Brunei,51.01892,59.1134,49.71145,63.30275,60.53515,49.71198,54.68168,54.5642,54.4468,51.6141,47.94832,46.70444,49.44632,45.8216,42.1968,38.572,34.9473,31.32252,31.45059,35.6801,27.44128,31.11764,34.89164,27.09168,28.2499,29.4081,30.5664,31.7246,32.8828,34.0411,35.1993,36.3575,37.5158,38.674,39.8322,40.9905,42.1487,43.3069,44.4652,45.6234,46.78163,44.7576,42.7335,40.7094,38.68534,49.7648,60.84435,,,
Bhutan,,76.87443,79.39564,66.7464,54.0972,41.44791,49.0323,56.6168,64.20121,58.98642,58.6771,58.3677,58.0584,57.7491,57.4397,57.1304,56.8211,56.5117,56.2024,55.893,55.5837,55.2744,54.965,54.6557,54.3463,54.037,53.7277,53.4183,53.109,52.7997,52.4903,52.181,51.8716,51.5623,51.253,50.94363,52.5406,54.1375,55.73444,56.01992,53.8765,56.73914,55.6487,54.5583,55.67762,41.49114,,,,
Botswana,,36.06612,35.35382,37.25585,42.38677,31.87777,35.44924,32.16371,36.85769,41.34199,42.83095,40.4996,38.1683,35.8369,36.7425,37.36434,40.6015,48.59677,53.16325,52.9957,52.82824,52.2405,51.65282,50.7269,49.801,48.8751,47.9491,47.0232,46.0973,45.1714,44.2455,43.3196,42.3936,41.4677,40.5418,39.61589,41.9217,44.22748,38.4615,32.69546,,,,,,,,,,
"Central African Republic",,,,,,,,,14.86201,15.198,15.5341,15.8701,16.2061,16.5421,16.8781,17.2142,17.55019,16.58149,15.8671,15.1527,14.43826,16.65348,17.1243,17.5952,18.066,18.5368,19.0077,19.4785,19.9494,20.4202,20.8911,21.3619,21.8327,22.3036,22.7744,23.2453,23.71611,29.05007,25.91333,26.45229,23.99504,,,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.40425,,,,,,,,
Switzerland,40.096,47.1672,46.2891,46.70218,48.18625,46.6952,45.2041,43.7131,42.222,40.731,39.2399,37.7488,36.2578,34.7667,33.2757,31.7846,30.2936,28.8025,27.3114,25.8204,24.32932,25.38514,35.5935,45.80191,46.02155,46.44843,47.02689,43.7025,40.3781,39.41656,39.44057,39.04682,38.21976,36.45894,35.66956,37.66496,37.50446,38.17514,45.37242,41.45361,41.26948,39.83454,39.12184,38.8077,37.61926,35.57103,,,,
Chile,,,,,9.69668,13.23993,14.2424,15.2448,16.24728,16.92419,17.13588,14.81841,15.3844,15.9504,16.5164,17.0824,17.6485,18.21446,18.0757,17.9369,17.79819,16.4276,15.0571,13.68655,18.0941,16.80571,19.64315,19.57906,33.2911,33.7805,34.26986,34.7859,35.30187,38.38326,38.00873,38.99647,38.60399,38.36206,37.86879,35.23236,32.53252,32.46946,31.0606,29.65169,27.97542,29.36544,29.06897,28.47031,,
China,,,,,,,,,,,38.80972,37.06206,36.90084,35.28189,34.80442,34.82925,35.01005,35.56861,36.5595,36.9462,37.333,37.7197,38.10646,40.20054,36.08304,28.34763,38.49465,35.3624,32.23013,37.41242,,,,,,,,,,,,,,,,,,,,
"Ivory Coast",43.0621,44.4175,45.7728,39.17039,36.36688,40.08159,41.77224,42.4869,43.20149,44.10206,39.50555,39.1894,38.8732,38.557,38.2408,37.9246,37.6084,37.2922,36.976,36.6599,36.3437,36.0275,35.71129,34.85022,34.02659,34.03633,37.07074,36.38229,33.25254,37.2643,32.66512,32.3092,31.9534,31.5975,31.2416,30.8857,30.52987,30.35379,31.28736,34.34535,33.09796,32.71681,33.68582,33.88244,37.18136,34.19866,30.67585,31.42684,35.11957,
Cameroon,,30.78631,33.68827,34.2429,34.7976,35.3523,35.9069,36.4616,37.0162,37.5709,38.1256,38.6802,39.2349,39.7895,40.3442,40.8989,41.4535,42.0082,42.5629,43.1175,43.6722,44.2268,44.7815,45.3362,45.8908,46.4455,47.0001,47.5548,48.1095,48.6641,49.2188,49.7735,50.3281,50.8828,51.4374,51.9921,50.85584,52.3957,54.08651,53.89216,52.73901,48.86979,52.55314,,,,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.73443,27.2763,20.8182,14.36003,,,,,,
"Congo (Brazzaville)",37.82857,37.49825,36.3384,35.1785,37.4602,39.74194,35.7988,31.8556,27.91244,33.71763,30.16676,28.9838,27.8009,26.6179,25.435,24.252,23.0691,21.8861,20.7032,19.5202,18.3373,17.1543,15.9714,14.7885,13.60551,12.11075,14.6905,17.2702,19.8499,22.4297,25.0094,27.5891,30.16886,33.8427,37.5165,41.19034,43.6186,46.0469,48.4751,50.9034,53.33168,,,,,,,,,
Colombia,,,,,,,,,,28.10676,28.01318,26.84999,27.9049,28.9598,30.01476,31.22956,30.5718,29.9141,29.2564,28.59866,29.0865,29.5744,30.0622,30.5501,31.038,31.5258,32.0137,32.5015,32.98939,33.26021,33.0706,33.02764,33.9174,34.8071,35.69687,36.12769,31.0401,25.95244,40.22582,35.01429,34.82016,36.25839,35.70239,35.11481,37.49596,35.40608,34.68962,37.24471,38.05749,
Comoros,,37.51905,37.6559,37.7927,37.9295,38.0663,38.2031,38.34,38.4768,38.6136,38.7504,38.8872,39.0241,39.1609,39.2977,39.4345,39.5713,39.7082,39.845,39.9818,40.1186,40.2554,40.3922,40.5291,40.6659,40.8027,40.9395,41.0763,41.21316,40.94,40.6668,40.3936,40.1204,37.3776,34.6349,31.8921,29.1493,26.4065,23.66377,24.9753,26.2868,27.5983,27.83102,27.95683,28.58003,27.69313,,,,
"Cape Verde",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84491,32.0403,34.2358,36.4312,38.62659,38.9938,36.5733,32.9578,35.0663,37.1747,38.7277,40.28066,38.0054,39.59043,40.84653,39.92847,,
"Costa Rica",,,,,,,,,,,20.72798,18.1411,15.55416,17.26379,17.9148,18.5657,19.2167,19.8677,20.51867,20.98687,21.4263,21.8657,22.3051,22.7445,23.1839,23.6233,24.51136,26.0667,27.6221,29.17743,28.00545,30.68942,31.88769,29.8574,27.82713,28.9575,30.08791,31.38094,30.99024,31.28655,31.51123,32.56519,33.12304,33.7004,33.44405,33.68089,31.99655,31.69431,28.6795,
Cuba,,,,,,,,,,,,,,,,,,,,,,44.14768,42.9107,41.67378,42.26543,40.832,39.3986,37.9651,36.53172,36.69577,37.96225,36.39067,36.82229,36.2617,35.70101,37.66851,38.86855,36.01888,29.38358,28.44434,29.10781,,,,,,,,,
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.92904,,,,,,
"Cayman Islands",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.52965,54.02635,,,,,,,,,,,,,
Cyprus,41.01107,39.74517,44.20502,47.17611,49.49604,51.16237,52.03858,51.85004,50.50963,52.13562,52.2305,54.31772,54.15065,53.6779,53.20518,52.61633,52.15827,51.35844,51.7181,52.81697,51.97033,50.93118,50.89813,52.67267,53.02631,52.21082,51.7961,51.3814,50.9666,50.55188,50.29089,50.25452,50,45.86545,45.49982,44.88518,43.84017,43.78996,42.47892,41.38947,43.01157,42.60223,42.0686,41.53489,42.10469,41.3118,40.94874,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,27.87107,54.43502,53.35441,49.62853,49.182,48.73539,49.24796,49.74882,50.4644,50.77631,50.5437,50.69981,51.31213,47.20899,47.52436,48.32721,46.38527,45.7332,42.81354,43.97237,43.86873,43.5409,29.80452,29.00771,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,70.27338,70.6883,71.1033,71.51826,57.9887,44.4591,44.7911,45.1231,45.4551,45.7871,46.119,46.451,46.783,47.11501,47.1186,46.03146,46.2026,45.54756,44.55401,43.15876,42.52851,41.96527,41.85471,41.25655,,,
Djibouti,58.41012,63.04714,57.028,51.0088,44.98957,41.0654,37.1412,33.217,29.2928,25.36861,25.7529,26.1372,26.5216,26.9059,27.2902,27.6745,28.0588,28.4432,28.8275,29.2118,29.5961,29.9804,30.3648,30.7491,31.1334,31.5177,31.902,32.2864,32.6707,33.055,33.4393,33.8236,34.2079,34.5923,34.9766,35.3609,35.7452,36.1295,36.5139,36.8982,37.2825,30.0792,22.8759,15.6726,8.4692,1.26592,0.82897,,,
Dominica,,,,,,,,,,,,,,,,,,,,26.72542,28.7455,30.7656,32.7857,34.8059,36.826,38.8461,40.8662,42.8863,44.90639,44.8161,44.7257,44.6354,44.5451,44.4547,44.3644,44.274,44.1837,44.0934,44.003,43.9127,43.8224,43.732,43.6417,43.5514,43.461,43.3707,,,,
Denmark,,,,,,,,17.2546,17.97201,18.31633,20.95379,21.0888,21.2238,21.3587,21.4937,21.6287,21.76369,22.83139,23.86615,32.552,41.2379,49.92376,45.7703,41.61678,39.254,39.16783,38.62455,37.6356,36.64673,37.2927,36.74025,33.98209,34.29368,34.6082,34.92197,36.3479,36.98592,35.8084,35.89463,33.69007,34.51898,32.10228,37.97045,32.41739,40.0023,,,,,
"Dominican Republic",19.54421,19.7738,20.0034,20.233,20.4626,20.6922,20.9218,21.1514,21.381,21.6106,21.8402,22.0697,22.29934,21.62416,21.98374,21.36869,20.7315,20.0944,19.4572,18.8201,18.1829,17.5458,16.9086,16.27149,15.0783,13.88512,12.75269,13.2255,13.6983,14.1711,14.644,15.1168,15.5896,16.0624,16.5352,17.008,17.4809,17.95368,,,,,,,,,,,,
Algeria,,,,,,,,,,25.3856,23.8471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,40.13379,43.46831,40.958,38.4477,35.9373,33.427,30.9167,28.40637,28.7302,29.0541,29.378,29.7018,30.0257,30.3496,30.67343,35.25264,34.6522,35.2609,35.8697,36.4784,37.0871,37.6959,38.3046,38.9133,39.522,40.13078,40.0082,39.8856,39.763,39.64045,34.556,31.9092,29.2625,26.6157,23.9689,21.3222,18.6754,16.0286,13.3819,10.7351,10.43589,11.13749,11.31255,12.17537,11.44026,12.11141,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00929,19.9019,22.7945,25.687,28.5796,31.47219,35.4122,28.2532,21.09421,,,,,,,,,,,,,,,
Spain,24.20377,24.23189,21.51672,20.7238,19.9308,19.1378,18.34484,16.30375,25.28504,21.20684,24.1706,27.1344,30.0982,33.0619,36.0257,38.9895,41.9533,44.91703,46.23362,46.89687,49.70036,49.3176,49.98433,52.01247,51.79799,49.30591,46.58299,46.6695,46.75604,46.02285,43.74455,41.81559,41.39121,40.25495,39.73975,39.45084,39.2039,38.12844,37.65901,37.50079,36.97093,36.97093,37.3306,36.90563,36.73987,36.80384,37.31704,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.03946,29.49568,34.09131,37.6334,41.17544,40.94394,44.37361,46.26106,43.71706,42.7895,41.86203,41.36166,40.25491,40.12884,36.43034,36.40213,29.41524,26.09069,25.89992,25.20099,,,
Ethiopia,,28.51847,30.07655,31.3701,32.6637,33.9572,35.2508,36.54432,37.58807,35.00757,31.80106,29.78359,32.31705,38.50125,35.8978,34.44549,33.51931,33.0797,32.6401,32.2004,31.7608,31.3212,30.8815,30.44192,29.0544,27.6668,26.27922,23.79693,23.8412,23.8855,23.9298,23.9741,24.0183,24.0626,24.1069,24.1512,24.1955,24.2398,24.284,24.32833,25.01587,25.59501,25.30281,29.30751,16.56876,18.13888,,,,
Finland,50.30458,48.6946,38.55089,37.62204,35.41412,34.21088,31.70916,35.3211,38.9331,42.54506,44.08492,44.03719,46.12438,46.62174,46.34571,45.61006,45.47657,44.12536,43.60847,43.6724,43.12599,40.84988,39.54294,35.70176,37.95356,36.41074,36.69684,37.6205,38.5441,39.46767,38.78229,40.05171,40.55495,41.03578,41.03367,41.93437,42.19388,42.56925,42.79625,42.51843,42.44763,42.01525,37.95146,37.77987,37.45866,37.46822,36.94765,,,
Fiji,,,,,,,,,,31.85985,38.2637,44.66749,38.8756,33.08364,33.8845,34.6853,35.4861,36.287,37.0878,37.88864,37.536,37.1833,36.8306,36.478,36.1253,35.7726,35.4199,35.0673,34.7146,34.3619,34.0093,33.6566,33.3039,32.9512,32.59857,30.2195,27.8403,25.4612,23.0821,20.703,18.3239,15.94479,,,,,,,,
France,46.50425,51.01525,49.06254,49.17001,42.96921,43.97402,44.43462,44.6039,44.45261,44.42577,44.76632,45.43996,46.06521,45.72281,45.41077,45.67013,45.92687,46.11458,46.179,46.36352,46.49525,46.72834,46.11662,51.0571,50.73809,50.30167,50.01956,50.0187,50.0178,50.01697,,,,,,,,,,,,,,,,,,,,
Micronesia,,,30.19968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,49.53647,46.3016,43.0667,39.8318,36.5969,33.362,30.12714,29.9712,29.8153,29.6594,29.5035,29.3476,29.1916,29.0357,28.8798,28.7239,28.568,28.4121,28.25615,31.42326,34.59761,26.11279,28.93875,,,,,
"United Kingdom",,36.67883,34.64968,35.19417,35.68563,37.21056,39.82906,39.26615,39.46,39.6539,39.84776,39.90355,40.56725,40.89934,41.70248,42.69402,48.0661,48.13803,48.32494,47.80404,46.96409,46.33387,44.84085,44.6015,44.36224,43.63596,43.98863,45.0324,46.07624,46.70776,48.7333,48.3563,47.14807,48.27423,47.88209,45.38878,43.31438,45.10862,47.03944,48.91957,48.31804,41.5706,40.8546,40.13864,41.13215,41.03583,37.83738,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.96946,34.3277,31.6859,29.04419,32.12883,,,,,,,
