Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,18.68,18.685,18.69,18.695,18.7,18.705,18.71,18.715,18.72,18.725,18.73,18.741,18.752,18.763,18.774,18.785,18.796,18.807,18.818,18.829,18.84,18.854,18.868,18.882,18.896,18.91,18.85,18.84,18.74,18.83,18.84
"American Samoa",63.86,64.766,65.672,66.578,67.484,68.39,69.296,70.202,71.108,72.014,72.92,66.462,60.004,53.546,47.088,40.63,34.172,27.714,21.256,14.798,8.34,23.446,38.552,53.658,68.764,83.87,84.7,85.52,86.37,87.5,87.88
Andorra,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86,86.86
Angola,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28,17.28
Anguilla,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43
"Antigua and Barbuda",126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43
Argentina,14.9,15.05,15.2,15.35,15.5,15.65,15.8,15.95,16.1,16.25,16.4,16.685,16.97,17.255,17.54,17.825,18.11,18.395,18.68,18.965,19.25,17.702,16.154,14.606,13.058,11.51,11.64,11.79,11.95,111.11,111.26
Armenia,47.86,47.864,47.868,47.872,47.876,47.88,47.884,47.888,47.892,47.896,47.9,47.747,47.594,47.441,47.288,47.135,46.982,46.829,46.676,46.523,46.37,46.464,46.558,46.652,46.746,46.84,,,,,
Australia,,,,,,,,,,,63.13,63.184,63.238,63.292,63.346,63.4,63.454,63.508,63.562,63.616,63.67,63.396,63.122,62.848,62.574,62.3,61.86,61.88,61.88,61.88,61.88
Austria,88.66,89.48,90.3,91.12,91.94,92.76,93.58,94.4,95.22,96.04,96.86,87.339,77.818,68.297,58.776,49.255,39.734,30.213,20.692,11.171,1.65,3.86,6.07,8.28,10.49,12.7,13.11,13.53,13.94,14.34,14.75
Bahamas,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19,26.19
Bangladesh,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53,43.53
Belarus,49.6,51.13,52.66,54.19,55.72,57.25,58.78,60.31,61.84,63.37,64.9,66.13,67.36,68.59,69.82,71.05,72.28,73.51,74.74,75.97,77.2,78.42,79.64,80.86,82.08,83.3,84.5,85.7,87.7,88.4,88.8
Belgium,71.35,73.166,74.982,76.798,78.614,80.43,82.246,84.062,85.878,87.694,89.51,90.472,91.434,92.396,93.358,94.32,95.282,96.244,97.206,98.168,99.13,82.144,65.158,48.172,31.186,14.2,,,,,
Belize,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
Benin,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42,58.42
Bhutan,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57,181.57
Bolivia,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99,76.99
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,88.83,88.83,,,,
Botswana,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4,93.4
Brazil,99.67,90.84,82.01,73.18,64.35,55.52,46.69,37.86,29.03,20.2,11.37,11.566,11.762,11.958,12.154,12.35,12.546,12.742,12.938,13.134,13.33,13.504,13.678,13.852,14.026,14.2,14.3,14.4,14.5,14.58,14.67
"British Virgin Islands",126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43,126.43
Brunei,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95,143.95
Bulgaria,64,65.765,67.53,69.295,71.06,72.825,74.59,76.355,78.12,79.885,81.65,82.665,83.68,84.695,85.71,86.725,87.74,88.755,89.77,90.785,91.8,92.286,92.772,93.258,93.744,94.23,96.21,98.46,1.62,12.83,15.3
"Burkina Faso",38,37.8,37.6,37.4,37.2,37,36.8,36.6,36.4,36.2,36,35.6,35.2,34.8,34.4,34,33.6,33.2,32.8,32.4,32,32,32,32,32,32,31,3,29,29,28
Burundi,68.66,68.662,68.664,68.666,68.668,68.67,68.672,68.674,68.676,68.678,68.68,68.68,68.68,68.68,68.68,68.68,68.68,68.68,68.68,68.68,68.68,69.292,69.904,70.516,71.128,71.74,71.74,71.74,71.74,71.74,71.74
"Cape Verde",57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2,57.2
Cambodia,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81,5.81
Cameroon,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47,154.47
Canada,59.27,59.242,59.214,59.186,59.158,59.13,59.102,59.074,59.046,59.018,58.99,58.777,58.564,58.351,58.138,57.925,57.712,57.499,57.286,57.073,56.86,56.776,56.692,56.608,56.524,56.44,56.41,56.41,56.41,56.41,56.41
"Central African Republic",126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52,126.52
Chad,55,54.999,54.998,54.997,54.996,54.995,54.994,54.993,54.992,54.991,54.99,54.986,54.982,54.978,54.974,54.97,54.966,54.962,54.958,54.954,54.95,54.944,54.938,54.932,54.926,54.92,54.91,54.91,54.91,54.9,54.89
Chile,134.93,134.749,134.568,134.387,134.206,134.025,133.844,133.663,133.482,133.301,133.12,132.992,132.864,132.736,132.608,132.48,132.352,132.224,132.096,131.968,131.84,131.802,131.764,131.726,131.688,131.65,131.69,131.65,131.63,131.59,131.57
China,31.8,31.984,32.168,32.352,32.536,32.72,32.904,33.088,33.272,33.456,33.64,33.698,33.756,33.814,33.872,33.93,33.988,34.046,34.104,34.162,34.22,34.828,35.436,36.044,36.652,37.26,37.88,38.34,38.79,39.22,39.66
Colombia,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87,112.87
Comoros,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27,37.27
"Congo (Brazzaville)",133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4,133.4
"Costa Rica",124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124
"Ivory Coast",57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15,57.15
Croatia,99.19,99.131,99.072,99.013,98.954,98.895,98.836,98.777,98.718,98.659,98.6,98.54,98.48,98.42,98.36,98.3,98.24,98.18,98.12,98.06,98,98.194,98.388,98.582,98.776,98.97,99.89,1.1,1.42,1.79,11.16
Cuba,65.91,66.102,66.294,66.486,66.678,66.87,67.062,67.254,67.446,67.638,67.83,67.634,67.438,67.242,67.046,66.85,66.654,66.458,66.262,66.066,65.87,65.916,65.962,66.008,66.054,66.1,66.15,66.2,66.2,66.2,66.2
Curacao,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9,45.9
Cyprus,16.59,16.599,16.608,16.617,16.626,16.635,16.644,16.653,16.662,16.671,16.68,15.284,13.888,12.492,11.096,9.7,8.304,6.908,5.512,4.116,2.72,6.824,10.928,15.032,19.136,23.24,23.64,24.3,24.44,24.82,25.23
"Czech Republic",75.51,76.477,77.444,78.411,79.378,80.345,81.312,82.279,83.246,84.213,85.18,85.841,86.502,87.163,87.824,88.485,89.146,89.807,90.468,91.129,91.79,92.098,92.406,92.714,93.022,93.33,93.75,94.18,95,95.52,96.5
"North Korea",39.36,39.373,39.386,39.399,39.412,39.425,39.438,39.451,39.464,39.477,39.49,35.953,32.416,28.879,25.342,21.805,18.268,14.731,11.194,7.657,4.12,4.12,4.12,4.12,4.12,4.12,4.1,4.1,4.1,4.1,4.1
"Congo (Kinshasa)",148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77,148.77
Denmark,57.45,57.439,57.428,57.417,57.406,57.395,57.384,57.373,57.362,57.351,57.34,57.738,58.136,58.534,58.932,59.33,59.728,60.126,60.524,60.922,61.32,61.926,62.532,63.138,63.744,64.35,64.49,64.58,64.58,64.58,64.58
Djibouti,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.9,53.81,53.52,52.95,52.4
"Dominican Republic",52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5,52.5
Ecuador,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51,11.51
Egypt,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47,72.47
"El Salvador",65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52,65.52
"Equatorial Guinea",125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2
