Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,,,,,,,,,,90.2,87.7,85.2,82.7,80.2,,,
Angola,,,,,,,,,,,,,,,,,,25.2,,
Albania,,,,,,,29.8,29.8,29.8,29.8,29.8,27.2444,24.6889,22.1333,19.5778,17.0222,14.4667,11.9111,9.3556,6.8
Argentina,,,,,,,,,,,,,,2,,,,,,
Armenia,,32.3,30.26,28.22,26.18,24.14,22.1,19.54,16.98,14.42,11.86,9.3,9.4333,9.5667,9.7,9.8333,9.9667,10.1,,
Azerbaijan,,,,,,,,49,,,,,,,,,,,,
Burundi,,,,,,,,,,,,72.9,71.3143,69.7286,68.1429,66.5571,64.9714,63.3857,61.8,
Benin,,,60.4,57.62,54.84,52.06,49.28,46.5,41.45,36.4,31.35,26.3,21.25,16.2,26.1,36,34.95,33.9,32.85,31.8
"Burkina Faso",,,,,71.1,71.2,71.3,71.4,64.425,57.45,50.475,43.5,,,,,,,,
Bangladesh,,,,,,,,,31,31.375,31.75,32.125,32.5,31.1,29.7,28.3,,,,
"Bosnia and Herzegovina",,,,,,,,4.8,4.8,4.8,4.8,4.8,4.8,4.8,,,,,,
Belarus,,,,,,,,,,,,,,4.1,,,,,,
Belize,,,,,,,,12.6,11.8,11,10.2,9.4,8.6,,,,,,,
Bolivia,,,,,22.1,20.9,19.7,18.5,17.3,16.1,,,,,,,,,,
Barbados,,,,,,,,,,,,,,3.3,,,,,,
Bhutan,,,,,,,,,,,,68.4,,,,,,,,
"Central African Republic",,,,,,,,,,,,79.6,,,,,,,,
"Ivory Coast",,,,,,,,,,,,,,47.9,,,,,,
Cameroon,,,,,,55.6,54.3,53,51.7,50.4,49.1,47.8,46.5,43.0333,39.5667,36.1,,,,
"Congo (Kinshasa)",,,,,,,,,75.6,75.4857,75.3714,75.2571,75.1429,75.0286,74.9143,74.8,,,,
"Congo (Brazzaville)",,,,,,,67.4,66.4429,65.4857,64.5286,63.5714,62.6143,61.6571,60.7,,,,,,
Colombia,,,,,,,,,,,,2.3,2.46,2.62,2.78,2.94,3.1,,,
Comoros,,,,,,,,,,,,,,39,,,,,,
"Costa Rica",,,,,,,,,,,,,3.5,,,,,,,
Cuba,,,,,,,,,,,,,,,,3.9,,,,
"Dominican Republic",,,,8.6,7.66,6.72,5.78,4.84,3.9,3.6333,3.3667,3.1,2.8333,2.5667,2.3,2,,,,
Algeria,,,,,,,,,,,,,,,59,,,,,
Egypt,,,,,,,50,46.4333,42.8667,39.3,38.7,38.1,37.5,36.9,36.3,35.7,,,,
Eritrea,,,,70.7,68.2875,65.875,63.4625,61.05,58.6375,56.225,53.8125,51.4,,,,,,,,
Ethiopia,,84.5,83.8,83.1,82.4,81.7,81,78.9,76.8,74.7,72.6,70.5,68.4,67.32,66.24,65.16,64.08,63,,
Gabon,,,,,,,,,,,,,,50.2,,,,,,
Georgia,,,,,,,6.9,,,,,,,,,,,,,
Ghana,,,,,48.5,46.12,43.74,41.36,38.98,36.6,35.2167,33.8333,32.45,31.0667,29.6833,28.3,,,,
Guinea,,,,,,,85.6,86.5286,87.4571,88.3857,89.3143,90.2429,91.1714,92.1,87.95,83.8,79.65,75.5,71.35,67.2
Gambia,,,,,,,,74,71.7714,69.5429,67.3143,65.0857,62.8571,60.6286,58.4,,,,,
"Guinea Bissau",,,,,,,,51.5,50.2875,49.075,47.8625,46.65,45.4375,44.225,43.0125,41.8,,,,
Guatemala,,,,,,,,,,,,,,,,,11,,,
Guyana,,,,,,,,,23.6,19.95,16.3,15.08,13.86,12.64,11.42,10.2,,,,
Honduras,,,,,,,,15.5,14.9833,14.4667,13.95,13.4333,12.9167,12.4,,,,,,
Haiti,,39.9,38.4833,37.0667,35.65,34.2333,32.8167,31.4,28.95,26.5,24.05,21.6,19.15,16.7,16.68,16.66,16.64,16.62,16.6,
Indonesia,,,,,24.8,26.3,27.8,29.3,30.8,31.54,32.28,33.02,33.76,34.5,34,33.5,33,32.5,32,
India,,,,,,,,47.2,46.94,46.68,46.42,46.16,45.9,45.64,45.38,45.12,44.86,44.6,,
Iraq,,,,,,,,,,,,,51.2,,,,,,,
Jamaica,,,,,,,,,,,,,4.9,,,,,,,
Jordan,,,,65.4,62.82,60.24,57.66,55.08,52.5,46.52,40.54,34.56,28.58,22.6,21.1833,19.7667,18.35,16.9333,15.5167,14.1
Kazakhstan,,,,,,,,10.4,10.76,11.12,11.48,11.84,12.2,,,,,,,
Kenya,,,,,67.9,65.35,62.8,60.25,57.7,55.15,52.6,50.44,48.28,46.12,43.96,41.8,,,,
Kyrgyzstan,,,,,,,,37.7,37.0333,36.3667,35.7,35.0333,34.3667,33.7,33.25,32.8,,,,
Cambodia,,,,,,,55.2,53.26,51.32,49.38,47.44,45.5,46.575,47.65,48.725,49.8,,,,
Laos,,,,,,,,,,,,,,58.2,,,,,,
Lebanon,,,,,,,,,,,9.7,,,,,,,,,
Liberia,,,,,,,,,59.3,56.5,53.7,50.9,48.1,45.3,42.5,,,,,
"Saint Lucia",,,,,,,,,,,,,,6.5,,,,,,
Lesotho,,,,,,48.3,46.06,43.82,41.58,39.34,37.1,36.34,35.58,34.82,34.06,33.3,,,,
Morocco,,,,,,63.9,,,,,,,,,,,,,,
Moldova,,,,,,,20.8,19.4286,18.0571,16.6857,15.3143,13.9429,12.5714,11.2,,,,,,
Madagascar,,,,,,28,28.86,29.72,30.58,31.44,32.3,35.525,38.75,41.975,45.2,,,,,
Maldives,,,,,,,,,,,30.8,29.7,28.6,27.5,26.4,25.3,24.2,23.1,22,
"Macedonia (F.Y.R.O.M.)",,,,,,,20.7,19.6667,18.6333,17.6,16.5667,15.5333,14.5,,,,,,,
Mali,,,88.8,86.08,83.36,80.64,77.92,75.2,78.2,81.2,84.2,87.2,83.5667,79.9333,76.3,76.92,77.54,78.16,78.78,79.4
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,51.2,,
