Country,2014,2015,2016,2017,2018
Vietnam,72,80.5,89,85.5,82
Italy,71,72,80,78,81
Belgium,78,77,82,83,81
Thailand,74,77,80,80,81
Serbia,72,72,83,82,81
Israel,77,74,80,82,81
Slovakia,70,72,80,83,81
Cambodia,64,67,79,80,81
Iraq,69,68,77,71,80
Laos,,,,83,80
Iran,,,85,82,80
Cyprus,68,72,81,80,80
"Bosnia and Herzegovina",75,80,84,80,80
Bangladesh,78,78,84,82,80
Algeria,,,90,79,80
Albania,66,72,79,78,79
Malaysia,64,62,67.6667,73.3333,79
"Macedonia (F.Y.R.O.M.)",75,69,75,78,
Lebanon,70,71,76,78,78
Greece,72,74,78,74,78
Romania,67,67,76,82,78
Kazakhstan,62,71,79,79,77
"Burkina Faso",74,69,72,73,77
Pakistan,60,66,72,74,77
Tanzania,62,68,73,77,76
Ethiopia,75,77,80,79,76
Latvia,66,70,80,76,76
Moldova,54,57,67,67,76
Nepal,73,72,76,78,76
Montenegro,77,79,81,79,76
Burundi,58,62.5,67,71.5,76
Kyrgyzstan,59,65,74,73,76
Turkey,74,73,80,77,76
Bulgaria,65,66,72,77,75
Morocco,72,79,83,81,74
"West Bank and Gaza",69,70,76,72,74
Belarus,68,68,77,77,74
Tunisia,70,72,75,75,73
"El Salvador",56,48,54,67,73
Ghana,64,65,68,66,73
Senegal,72,66,74,69,73
Russia,63,62,74,70,72
Guatemala,58,60,67,71,72
Honduras,57,55,72,72,71
Panama,59,62,69,72,71
Paraguay,46,60,70,70,71
Chile,68,65,72,69,70
Mongolia,59,61,73,70,70
Niger,76,85,77,74,70
Comoros,,,,,70
Zimbabwe,63,68,73,73,69
"Costa Rica",58,63,69,70,69
Mozambique,,63,67,71,69
Ecuador,67,63,70,71,69
Mali,74,73,75,66,69
Swaziland,,,,,69
Haiti,57,62,70,68,68
Libya,,,,67,68
Benin,66,61,69,71,68
Ukraine,55,55,68,69,67
Togo,64,67,68,69,67
Colombia,58,57,67,64,67
Uruguay,61,61,71,71,67
Malawi,53,52,64,64,66
Yemen,58,58,68,71,66
Cameroon,63,61,67,65,65
Kenya,56,63,65,70,65
Nicaragua,63,65,69,73,65
Madagascar,71,70,71,64,64
Zambia,55,58,63,62,64
Peru,52,50,62,63,64
"Ivory Coast",66,67,72,67,64
Argentina,53,57,61,63,64
"Sierra Leone",57,59,62,61,63
Brazil,52,57,65,63,62
"Dominican Republic",54,53,60,60,62
Nigeria,55,59,64,66,62
Bolivia,51,51,58,61,62
Gambia,,,,70,61
Guinea,62,62,66,68,61
"Congo (Brazzaville)",55,61,66,66,61
Mauritania,56,54,60,63,61
Botswana,50,55,64,61,60
Mexico,59,54,65,58,60
Uganda,52,56,62,62,60
Namibia,62,63,64,65,60
Chad,54,55,62,64,59
"South Africa",46,55,58,58,56
Liberia,40,53,53,56,53
Gabon,50,53,58,55,53
Venezuela,42,35,42,44,49
Afghanistan,52,59,69,45,38
Singapore,89,93,97,97,
Norway,85,87,91,93,
Iceland,,90,92,93,
Finland,83,87,90,93,
Uzbekistan,88,90,95,91,
"Hong Kong",87,87.5,88,91,
Switzerland,86,88,90,90,
Canada,85,84,88,90,
Indonesia,87,82,86,89,
Denmark,84,85,87,88,
Slovenia,81,82,87,88,
Luxembourg,80,81,88,88,
Jamaica,62,65.6667,69.3333,73,
Austria,83,85,88,88,
China,,,,88,
Netherlands,82,81,86,88,
Egypt,78,83,82,88,
Georgia,84,81,87,87,
Portugal,80,79,85,87,
Lesotho,,,72,71,
Turkmenistan,79,82,91,87,
Ireland,79,80,86,86,
"United Kingdom",79,79,85,86,
Jordan,81,85,89,86,
Malta,80,82,88,86,
Kosovo,80,81,85,86,
Azerbaijan,81,84,87,85,
Spain,81,80,88,85,
Japan,78,78,85,85,
Tajikistan,84,89,86,85,
India,67,76,79,85,
"Burma (Myanmar)",83,81,85,85,
Germany,83,83,87,85,
"Czech Republic",71,77,85,84,
Sweden,81,81,85,84,
France,75,75,80,84,
"United States",77,77,85,84,
Taiwan,78,78,84,84,
"Central African Republic",,,61,68,
"New Zealand",78,81,83,83,
Estonia,75,75,83,83,
Rwanda,80,79,84,83,
Croatia,73,80,83,82,
Poland,70,73,81,82,
Mauritius,75,76.5,78,82,
Philippines,76,76,82,82,
"Congo (Kinshasa)",43,51,62,65,
Australia,77,79,84,82,
"South Korea",68,74,81,82,
"Sri Lanka",79,80,81,82,
Hungary,65,71,78,81,
Lithuania,67,70,78,79,
Armenia,77,77,82,78,
"South Sudan",50,52,56,54,
"Northern Cyprus",74,76,81,,
Bhutan,73,75,,,
Syria,,50,,,
Sudan,73,,,,
Somalia,68,,,,
"Puerto Rico",66,,,,
Angola,61,,,,
Belize,55,,,,
