Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hungary,3.901408451,3.708667814,3.251372983,3.532194933,4.013445915,4.120980321,3.75731717,3.448520368,3.373502386
Iceland,5.8,5.615300546,5.606402803,5.5754782,5.30265677,5.101912836,5.049119852,4.880473562,4.720978312
India,4.911764706,4.420397714,4.223706314,4.592599487,4.695205479,4.397496233,4.343765438,4.242998462,4.012070883
Indonesia,2.491803279,2.534587086,3.153758133,3.949309443,4.069687119,4.0584836,4.150773537,4.186438291,4.240037139
Iran,,,,,3.566272,3.527217355,3.587409422,3.450241971,3.244960893
Ireland,5.057142857,5.092597403,5.226847114,5.331235185,5.104532919,5.012610113,4.957782871,4.959441446,5.072861546
Israel,5.152173913,5.043998837,4.641460451,3.930434775,4.070523897,4.604302877,4.442326595,4.065584941,4.028299365
Italy,3.085365854,3.289487237,3.389470417,3.575112437,3.656975851,3.21928534,3.118997439,3.026172001,2.536250302
Jamaica,4.293478261,4.212941083,3.958781477,4.154186108,4.307738123,3.941474567,3.739904363,3.801810094,3.584521642
Japan,5.52,5.244228521,5.05379653,4.769760322,4.570089792,4.768358298,5.094892081,5.17493877,5.301864174
Jordan,4.289156627,4.150608913,4.345850203,4.613367657,4.51997002,4.340424625,4.426384257,4.530789,4.553639775
Kazakhstan,3.663157895,3.931584937,4.069440616,3.990972624,4.24480693,4.464954,4.882669916,4.721176343,4.455259171
Kenya,3.4921875,3.87993716,4.084376094,3.923996428,3.767354479,3.793508122,3.835750363,3.933063109,4.104732919
"South Korea",3.659793814,4.735091441,4.531307041,3.726350704,3.750293211,3.42304615,3.331610067,3.395336657,3.099452403
Kuwait,4.361904762,4.225934884,3.774142676,3.578443733,3.661413901,3.735929108,3.782748809,3.677489295,3.640024908
Kyrgyzstan,2.731182796,2.833718748,3.066236153,3.556529573,4.00293935,4.292558679,4.07769015,3.822174175,3.839374909
Laos,,,,,,,,3.759743,3.547500887
Latvia,3.957446809,3.875168086,3.659571764,4.036398921,4.22711661,4.025284946,4.243720728,4.482538056,4.438042143
Lebanon,,,,,3.854941,3.980225407,3.821536442,3.275796421,2.890258848
Lesotho,3.539473684,3.253520018,3.550562665,3.682257643,3.580457811,3.538240187,3.297631433,3.703399576,3.94353055
Liberia,,,,,,,4.492741,4.264549632,
Libya,,3.182926829,3.590687343,3.553484792,2.952649459,3.4779,4.003071,3.530661933,2.864266378
Lithuania,3.845679012,4.180179998,4.109994694,4.240891,4.589628045,4.590473465,4.581035296,4.654935982,4.654157058
Luxembourg,5.152542373,5.174169426,5.266163339,5.663032951,5.911449616,5.665661012,5.458322031,5.507602076,5.621691855
"Macedonia (F.Y.R.O.M.)",3.623529412,3.816741847,3.902171493,4.103991773,4.200171147,3.992236151,4.22696088,4.415567428,4.599554255
Madagascar,3.526785714,3.873509628,4.027466094,3.851087487,3.509970722,3.17613012,3.000833612,2.977469403,3.103319479
Malawi,,,4.578006,4.434679159,4.488555346,4.22844524,3.860160016,3.852857087,3.64271627
Malaysia,5.273972603,5.210902629,5.044366252,4.863078887,4.764361481,5.010512713,5.170718174,5.006269297,5.184347447
Mali,4.431818182,4.822735769,4.582137281,4.44918131,4.221599814,4.005685945,3.741692405,3.434717001,3.672792821
Malta,4.46875,4.402141608,4.542658458,4.722294004,4.5542617,4.407114922,4.411960327,4.24468768,4.006797201
Mauritania,4.489361702,4.197698396,3.868310348,4.20172937,4.054790069,3.750735795,3.526819335,2.8473175,2.645568257
Mauritius,4.851851852,4.902188552,4.891213118,5.040183129,5.116157502,4.772807113,4.692399388,4.545116042,4.486893078
Mexico,4.097560976,3.929965675,3.755511716,4.054067444,4.221255998,4.239940731,4.351154289,4.178465476,3.904168456
Moldova,,,,,4.301132,4.298901863,4.3652217,4.007534667,3.966476792
Mongolia,2.65,2.892172603,2.956951334,3.332888164,3.648439403,3.704905818,3.870048523,3.748629805,3.794960176
Montenegro,,3.569444444,4.182046735,4.599254885,4.771097334,5.072582273,4.918736949,4.530716673,4.362562096
Morocco,4.326315789,4.3360189,4.439709017,4.275809568,4.233560314,4.362056,4.446490543,4.185568774,4.281612928
Mozambique,4.070175439,3.954383799,3.762507583,4.015149278,4.301701432,4.241209123,4.302458117,3.975759665,3.553998981
"Burma (Myanmar)",,,,,,,,2.893025,2.93273301
Namibia,4.032258065,4.099117298,4.287769323,4.64330777,4.750573507,4.398697944,4.087171002,4.025647381,3.887768457
Nepal,3.070422535,3.152487883,3.167228849,3.469183893,3.951109722,3.789551725,3.751742077,3.7021136,3.46717887
Netherlands,5.711111111,5.449045752,5.26547934,5.169497254,5.198562622,5.238499989,5.313043367,5.182376877,5.184599585
"New Zealand",5.934782609,5.576713497,5.272799776,5.772872261,6.028858678,5.843728647,6.040287231,5.876924097,5.837825212
Nicaragua,3.285714286,3.285714286,3.344243582,3.551583742,3.68228175,3.521429323,3.719347626,3.896218123,3.645393255
Nigeria,4.376146789,4.091811403,4.231457943,4.0325225,3.551299359,4.048493806,4.36258676,3.694181064,3.247629361
Norway,5.432835821,5.303485044,5.467663973,5.567083203,5.430437475,5.231237148,5.052528971,5.095707126,5.278673172
Oman,,4.734567901,5.097448013,5.171268213,4.893412092,4.886697174,4.985714988,4.999195,4.545349209
Pakistan,3.528735632,3.539188422,3.420282418,3.669490044,3.690000056,3.615181337,3.815580054,3.671550808,3.390071395
Panama,4.120481928,4.110031688,4.094714709,4.27293514,4.544805267,4.552996918,4.841677357,4.680737067,4.215190054
Paraguay,2.755813953,2.879255086,3.03968629,3.431899901,3.808430402,3.889162044,4.080287611,3.958546588,3.912712387
Peru,3.876923077,3.813525641,3.707594306,4.060056917,4.414413337,4.43619043,4.051234476,3.916184909,3.74063239
Philippines,3.75,3.974691358,3.844434052,3.672871489,3.56956946,3.610493811,3.967097133,3.895948521,3.806112783
Poland,3.426966292,3.222928785,2.981579241,3.132364253,3.712542214,3.986062103,3.84205527,3.585797914,3.566848136
Portugal,4.833333333,4.451631702,4.136422808,4.119732677,4.26320525,4.162884028,4.288242461,4.054930474,3.855257675
"Puerto Rico",,4.033898305,4.068558057,4.11880356,3.963793083,3.738483809,4.158086915,4.302157861,4.000780998
Qatar,4.852459016,4.691333582,5.024435409,5.634795326,5.311528819,4.846171,5.459097364,5.817920322,5.671229774
Romania,2.702970297,2.807890997,3.10213788,3.094977703,2.910049983,2.870833301,3.281522075,3.671646254,3.803497088
Russia,2.861742424,3.057369797,3.171424292,3.508213192,3.845597821,3.701014828,3.635076622,3.778038329,3.978788525
Rwanda,,,,,5.122492,5.342945119,5.506575,5.493782405,5.48642
