Country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hungary,,,,,,53.4,52.03,50.66,49.29,47.92,46.55,45.18,43.81,42.44,41.07,39.7,39.4364,39.1727,38.9091,38.6455,38.3818,38.1182,37.8545,37.5909,37.3273,37.0636,36.8
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9
India,91.4,85.4,79.4,73.4,67.4,61.4,54.88,48.36,41.84,35.32,28.8,31.1,33.4,35.7,38,40.3,45.24,50.18,55.12,60.06,65,,,,,,
Indonesia,,,,,,,,,,,54.8,57.02,59.24,61.46,63.68,65.9,66.6636,67.4273,68.1909,68.9545,69.7182,70.4818,71.2455,72.0091,72.7727,73.5364,74.3
Iran,,,,,,,,,,,0.9,19.2,37.5,55.8,74.1,92.4,,,,,,,,,,,
Iraq,,,,,,,,,,,,,,,,,,,,,80.3,76.1,71.9,67.7,63.5,59.3,55.1
Italy,,,,,,,,,,,,,,,,21.7,20.8,19.9,19,18.1,17.2,16.3,15.4,14.5,13.6,12.7,11.8
Japan,68.5,66.8808,65.2615,63.6423,62.0231,60.4038,58.7846,57.1654,55.5462,53.9269,52.3077,50.6885,49.0692,47.45,45.8308,44.2115,42.5923,40.9731,39.3538,37.7346,36.1154,34.4962,32.8769,31.2577,29.6385,28.0192,26.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,73.6,73.5667,73.5333,73.5,73.4667,73.4333,73.4
Jordan,,,,,,,,,,,98.4,97.74,97.08,96.42,95.76,95.1,88.48,81.86,75.24,68.62,62,67.3,72.6,77.9,83.2,88.5,93.8
"South Korea",95.8,94.46,93.12,91.78,90.44,89.1,87.76,86.42,85.08,83.74,82.4,83.3,84.2,85.1,86,86.9,85.48,84.06,82.64,81.22,79.8,79.7667,79.7333,79.7,79.6667,79.6333,79.6
Kyrgyzstan,,,,,,,,,,,66,67.1,68.2,69.3,70.4,71.5,72.6,73.7,74.8,75.9,77,76.3833,75.7667,75.15,74.5333,73.9167,73.3
Lebanon,,,,,,,,,,,,,,,,,,,,,58.5,56.7,54.9,53.1,51.3,49.5,47.7
Latvia,,,,,,59.2,,,,,,,,,,,,,,,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,76.5,,,,,,
Lithuania,,,,,,76.5,75.6286,74.7571,73.8857,73.0143,72.1429,71.2714,70.4,69.5286,68.6571,67.7857,66.9143,66.0429,65.1714,64.3,63.4286,62.5571,61.6857,60.8143,59.9429,59.0714,58.2
Macau,,,,,,,,,,,,,,,,,,,,,,,,,,,42.4
Malaysia,,,,,,,,,,,,,,,,70.5,68.14,65.78,63.42,61.06,58.7,58.9833,59.2667,59.55,59.8333,60.1167,60.4
Mali,,,,,,,,,,,,,,,,66.2,,,,,,,,,,,
Mexico,60.2,56.14,52.08,48.02,43.96,39.9,40.84,41.78,42.72,43.66,44.6,41.64,38.68,35.72,32.76,29.8,28.48,27.16,25.84,24.52,23.2,23.1167,23.0333,22.95,22.8667,22.7833,22.7
Moldova,,,,,,77.4,77.4,77.4,77.4,77.4,77.4,76,74.6,73.2,71.8,70.4,,,,,,,,,,,
Montenegro,,,,,,82.1,80.42,78.74,77.06,75.38,73.7,73.4,73.1,72.8,72.5,72.2,71.9,71.6,71.3,71,70.7,70.4,70.1,69.8,69.5,69.2,68.9
Morocco,,,,,,,,,,,93,92.25,91.5,90.75,90,89.25,88.5,87.75,87,86.25,85.5,,,,,,
Netherlands,,,,,,,,,,,,,,,,4.5,4.98,5.46,5.94,6.42,6.9,6.35,5.8,5.25,4.7,4.15,3.6
"New Zealand",,,,,,22.3,21.8,21.3,20.8,20.3,19.8,19.3,18.8,18.3,17.8,17.3,16.78,16.26,15.74,15.22,14.7,13.5167,12.3333,11.15,9.9667,8.7833,7.6
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,33.2
Nigeria,76.4,79.02,81.64,84.26,86.88,89.5,86.32,83.14,79.96,76.78,73.6,73.29,72.98,72.67,72.36,72.05,71.74,71.43,71.12,70.81,70.5,73.5833,76.6667,79.75,82.8333,85.9167,89
Norway,,,,,,14.3,13.44,12.58,11.72,10.86,10,9.14,8.28,7.42,6.56,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.5
Pakistan,,,,,,,,,,,,,,,,,,,,,59,56.0333,53.0667,50.1,47.1333,44.1667,41.2
"West Bank and Gaza",,,,,,,,,,,,,,,,41.9,46.58,51.26,55.94,60.62,65.3,,,,,,
Peru,,,,,,53.8,52.88,51.96,51.04,50.12,49.2,48.71,48.22,47.73,47.24,46.75,46.26,45.77,45.28,44.79,44.3,42.75,41.2,39.65,38.1,36.55,35
Philippines,,,,,,32.5,30.72,28.94,27.16,25.38,23.6,24.03,24.46,24.89,25.32,25.75,26.18,26.61,27.04,27.47,27.9,26.2167,24.5333,22.85,21.1667,19.4833,17.8
Poland,,,,,,66,57.18,48.36,39.54,30.72,21.9,27.78,33.66,39.54,45.42,51.3,48.96,46.62,44.28,41.94,39.6,37.65,35.7,33.75,31.8,29.85,27.9
"Puerto Rico",,,,,,32.3,31.3571,30.4143,29.4714,28.5286,27.5857,26.6429,25.7,24.7571,23.8143,22.8714,21.9286,20.9857,20.0429,19.1,18.1571,17.2143,16.2714,15.3286,14.3857,13.4429,12.5
Qatar,,,,,,,,,,,,,,,,,,,,,83.4,,,,,,
Romania,,,,,,55.8,56.13,56.46,56.79,57.12,57.45,57.78,58.11,58.44,58.77,59.1,58.12,57.14,56.16,55.18,54.2,54.1167,54.0333,53.95,53.8667,53.7833,53.7
Russia,80.5,78.58,76.66,74.74,72.82,70.9,70.41,69.92,69.43,68.94,68.45,67.96,67.47,66.98,66.49,66,66.04,66.08,66.12,66.16,66.2,66.1833,66.1667,66.15,66.1333,66.1167,66.1
Rwanda,,,,,,,,,,,,,,,,62.6,67.76,72.92,78.08,83.24,88.4,,,,,,
Serbia,,,,,,74.2,69.18,64.16,59.14,54.12,49.1,53.02,56.94,60.86,64.78,68.7,67.1545,65.6091,64.0636,62.5182,60.9727,59.4273,57.8818,56.3364,54.7909,53.2455,51.7
Singapore,,,,,,,,,,,45.7,44.29,42.88,41.47,40.06,38.65,37.24,35.83,34.42,33.01,31.6,,,,,,
Slovakia,69.3,64.66,60.02,55.38,50.74,46.1,45.6857,45.2714,44.8571,44.4429,44.0286,43.6143,43.2,42.7857,42.3714,41.9571,41.5429,41.1286,40.7143,40.3,39.8857,39.4714,39.0571,38.6429,38.2286,37.8143,37.4
"South Africa",,,,,,50.5,49.64,48.78,47.92,47.06,46.2,45.96,45.72,45.48,45.24,45,43.58,42.16,40.74,39.32,37.9,,,,,,
Vietnam,,,,,,,,,,,38.6,36.7,34.8,32.9,31,29.1,33.3727,37.6455,41.9182,46.1909,50.4636,54.7364,59.0091,63.2818,67.5545,71.8273,76.1
Slovenia,,,,,,60.7,58.14,55.58,53.02,50.46,47.9,45.34,42.78,40.22,37.66,35.1,35.18,35.26,35.34,35.42,35.5,34.45,33.4,32.35,31.3,30.25,29.2
Zambia,,,,,,,,,,,,,,,,73.3,,,,,,,,,,,
Zimbabwe,,,,,,,,,,,66.5,68.87,71.24,73.61,75.98,78.35,80.72,83.09,85.46,87.83,90.2,90.0167,89.8333,89.65,89.4667,89.2833,89.1
Spain,26.3,25.1,23.9,22.7,21.5,20.3,19.2,18.1,17,15.9,14.8,13.32,11.84,10.36,8.88,7.4,6.94,6.48,6.02,5.56,5.1,6.3667,7.6333,8.9,10.1667,11.4333,12.7
Sweden,17.7,16.4,15.1,13.8,12.5,11.2,10.18,9.16,8.14,7.12,6.1,5.6,5.1,4.6,4.1,3.6,3.72,3.84,3.96,4.08,4.2,3.9,3.6,3.3,3,2.7,2.4
