Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1445251396.64804,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15877807766.3755,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18154100308.8909,19646367354.2818,20424363499.7077,21451708983.7745,22826763532.6844,24191803993.8806,26168274378.6353,28868304749.1837,29998335860.5614,33072692681.4249,36328267232.8094,39331394659.4342,44316159744.307,45627382346.3144,48316658430.213,49717841528.3044,48020966466.0103,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3036097300.95885,2488763106.25563,2961139438.29403,3615388181.1928,3932292780.15159,4159433142.70454,4555520484.8204,5202853157.43369,5445108559.60288,5844938489.08874,6381806941.73571,7366782779.98813,8386541535.85869,8723548075.89619,9316024272.46584,9483914994.41487,9497805041.91494,9673140183.40009,9944950999.98364,,,,,
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130225635507.889,138305428462.765,141065471967.572,157177811912.446,161371715607.717,185973679831.003,208850616867.184,233728365699.551,168255343220.778,122407762710.849,135753754075.813,121077532591.036,127384207759.956,143078185735.929,115781947648.912,117672656585.853,128707876208.571,136557466745.181,154836788914.129
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164778949115.998,174778417153.336,167127176354.553,176376933432.799,192209522859.26,198888953252.119,194914818119.995,193629057305.824,182512135653.329,156313989421.842,169083231466.804,185145492346.306,198832517974.634,220617074771.872,241220158330.465,258695711975.057,244732217766.702,272113324478.662,297606857130.719,300911131874.642,311861323982.674,298269695701.419,309175020911.041,306762619801.57,318988886459.942,311414514925.909,291468554477.573
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993104516.44561,3281994421.63219,3416282209.37949,3689966800.35735,3867019073.70405,3895884086.69642,4215612523.67526,4519043755.57147,4893208102.93568,5248493071.92963,5715630427.72132,6235145333.13108,6752159218.48115,7645023242.07907,8054998649.75978,7695213321.20981,7987633426.59982,8179334002.49986,8922136845.54825,9000949433.34108,9091598882.44694,8390408819.96592,8306526874.0139,9360311453.75613,10050349724.5529,11089752515.4452
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436818897.637795,447370078.740157,466362204.724409,461086614.173228,451590551.181102,443149606.299213,432598425.19685,419937007.874016,402000000,384062992.125984,376677165.354331,389338582.677165,392503937.007874,391448818.897638,395669291.338583,395669291.338583,396724409.448819,
Australia,106173950863.296,108526240762.601,111247457528.81,117314932447.303,125576150181.804,131857816111.867,135730785968.759,142674081073.352,149755342630.236,157726907039.483,167362453577.758,173856786028.206,180126256028.784,188536873899.47,200373785709.681,210146536454.656,211734294024.407,223014766551.892,227427406288.47,230801105282.094,234922567202.231,242532064954.91,256068022191.417,262239924756.121,264989344609.262,267347732473.31,281166482824.737,286847499227.693,295960145289.324,309673705748.949,323014528113.706,326138210552.9,333749995042.357,339986688482.446,347292050243.607,362658921393.961,375005013260.147,386149043826.525,405260065328.593,428487975277.241,446732323540.324,460939819144.067,475218203587.938,494377246562.35,519289719271.033,542890367314.549,560515009910.704,591014742814.432,620069258074.256,623605315379.142,643893244076.456,669553479711.651,689459523366.984,701657739588.17,718767866409.203,735634074640.547,755780225657.604,773032892404.485,795466542445.461,810347100907.625
Austria,,,,,,,,,,,78918488913.2982,84220374344.5643,89341107915.1537,94140360371.432,96957146470.1009,100105619334.841,104654830950.791,111384011130.143,109484322353.284,114681252327.626,117571120732.761,119070616280.131,121360460111.594,127955491669.402,125233107849.519,127500927641.57,130296977090.351,133447309754.957,136660568415.896,141564168454.462,147559179234.109,151978558434.962,157266339395.502,157432920293.561,160649303963.879,162018718846.082,166780352105.698,167480967655.705,172346752079.969,176513296826.576,182014212393.601,184345687394.331,185602878892.534,188837661534.453,193220372432.491,197564784263.151,201698616458.556,203924813502.628,205854593082.205,207605699031.87,209670112465.213,212490342396.094,213599378536.409,213430596954.249,214078739579.486,215123311355.848,218602406227.516,221705176289.713,224203890946.693,227264483404.803
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8549171488.53108,6386231405.01671,4674721195.23076,4553178412.62589,4985730374.5386,5579032287.83737,6354517682.78574,7129769153.84873,8680258365.65969,8409095069.04616,9454287075.89134,10000468582.1905,11065761007.4176,13411466585.379,18289382203.9387,21597481666.7178,23019745500.7546,24490502264.7621,20823844524.729,25801861259.1471,26369502230.7492,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129573810.0299,1227206419.65019,1196243874.10554,1182340555.59949,1191515244.13763,1289578110.33635,1247567239.4347,1297469929.01208,1461914252.5963,1614362078.42978,1590728948.55167,1645874113.31549,1651032942.5766,1646834693.98251,1776231931.24523,1846444072.09301,2040907486.96207,2117861303.93678,2074448535.86058,2039186404.03236,2042404855.98009,2113889025.99762,2177305696.8177
Belgium,,,,,,,,,,,101338992312.61,106324123919.613,112617821977.624,121796124475.698,125211815878.556,126283286978.99,132703630083.16,136195411538.422,139595293773.991,146758541756.107,145565695086.12,146174066066.977,149738537464.284,149513634354.145,150065375054.588,154129810783.58,158320451042.681,161067828464.227,166412108358.533,171916571147.856,177374111602.994,182731335712.401,186218142679.484,185383250576.964,189823064119.058,192814760666.115,196600322571.049,199614489738.642,205880412669.634,210229894118.054,216151786795.729,218190648475.623,219525102373.538,221100955134.444,223453856577.548,226681152883.852,230704426296.437,235531420261.519,238769901545.69,240165565542.266,247392290363.283,249533291786.122,253195081463.443,257421528155.318,258842511991.902,262945432279.853,267905908508.28,272814638850.088,276815419395.093,279771080524.608
Benin,1498028460.62626,1522880425.30371,1505088124.62802,1631145291.90803,1776685324.36968,1904872279.28278,2098955688.20505,2149678488.22091,2223967148.73227,2229231968.47127,2263653931.66012,2285069844.68607,2374492813.09169,2465705479.72689,2479612913.77449,2430408689.29936,2427810620.98122,2722613294.49879,2796636392.71615,2942641229.77478,3102186440.79022,3385046289.77888,2990145852.29963,2939977258.39113,3179054259.59827,3535825976.1533,3479060020.96675,3405784391.59609,3795314061.87767,3518478737.80455,3327486942.73545,3643137207.95324,3855433033.89116,4059396472.35706,3843714695.04412,4006220917.12919,4235813463.57301,4448423388.85121,4690855587.65224,4940294377.86212,5312417155.61704,5545462523.07346,5784998399.20229,5941706193.49658,6181884199.8633,6310444224.09739,6585801546.41125,6833507797.87718,7129929284.57116,7331894689.1213,7482079467.36654,7762324897.18142,7910906221.44512,8231152873.14751,8534459139.52232,8982610906.49823,9156352976.48096,9476825330.65779,9808514217.23081,10151812214.8339
"Burkina Faso",,,,,,1401211679.43021,1419271023.86728,1615316507.0116,1645534817.83263,1684247871.06112,1585251756.37279,1617058993.3744,1547173378.17548,1533544694.02284,1626474219.90603,1732180357.13426,1847996243.65129,2056894923.71271,2041174399.62504,2093196950.52002,2247397750.85371,2340280663.73187,2380050341.56457,2390087592.55755,2237880345.98027,2341541645.61362,2672479377.85835,2534638058.43878,2677087536.94023,2627888619.77866,2549728578.3287,2683967954.61945,2703044414.61082,2882960951.03947,2305727156.64516,2696475009.16229,3191015339.03229,3269156696.55462,3701998644.82451,4327719609.03405,4318883353.23992,4520172312.78466,4795835985.22981,5016931015.88608,5335987305.17123,5777958926.56592,6007171324.73941,6086510281.49712,6760602263.31628,6879807843.04583,7237838020.97154,7733127079.87689,8523866701.21282,9011831436.27714,9151195116.71882,9454766140.63452,9855515384.60546,9921343395.24477,10286203942.317,11023039394.3853
Bangladesh,29759112171.3625,32422336044.8718,31856906414.2837,33421468811.618,36961987611.4728,37140022041.2983,37770044958.5084,37590092812.6461,38740970210.2529,40307407631.377,43830728293.4214,42288171884.9488,39677939257.394,34115139236.0616,32465297717.5244,30969357183.5074,30919856195.9393,27054529615.1112,31300818557.0529,32277974953.621,33587166977.6233,32446558072.6379,31418097246.0684,32241423319.3988,34563437247.6221,35019657510.2606,36020426395.6633,37006330963.7991,38442167041.7648,38789298924.166,41752308418.8124,41619990434.3045,43262185385.5402,44735271879.7901,46373622119.1744,48110888209.4937,48064527009.106,48569290987.1047,49389737644.0806,51360803790.1502,53916076432.1354,56144236400.2186,56737785498.3687,59036633094.6391,62560800465.9831,66772267212.9986,71478142038.3557,76791752125.7768,79848282736.6791,81678196551.8072,85438685148.0054,90985090185.2506,94728454055.0101,99585573653.636,103574560818.587,109599627292.23,112890087746.07,121273340513.039,134641145162.476,139925410156.544
