Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,,,,,,0.2,0.35,3.66,14.59,23,38.66,51.7,52.15,39.35,51.3,35.94,48.3
Australia,,,,,,,0.37,0.97,0.9,1.46,1.46,1.55,1.96,1.96,2.58,2.23,1.72
Austria,0.38,0.42,0.45,0.46,0.48,0.53,2.58,5.08,4.89,5.24,5.41,4.67,4.06,3.48,5.19,6.81,5.69
Belarus,,,,,,,,,0.16,0.46,0.76,0.62,0.66,0.52,0.56,NA,NA
Belgium,,,,,,,,,,2.56,6.91,6.15,6.2,6.05,8.99,5,4.73
Brazil,,,,,,,1.14,5.81,19.25,27.72,41.12,46.06,46.83,50.28,59,67.82,65.51
Bulgaria,,,,,,,,,0.2,0.37,0.37,0.32,0.43,0.85,1.18,1.31,1.48
Canada,,,,,,,0.81,1.61,1.71,2.13,2.42,2.11,2,2.17,5.26,5.34,7.46
China,,,,,0.1,2.4,4.7,6.07,9.2,10.18,9.79,12.72,15.66,18.59,19.52,9.39,8.62
Colombia,,,,,,,,,2.36,3.19,6.61,8.89,9.59,9.85,10.1,10,8.76
Croatia,,,,,,,,0.08,0.07,0.13,0.27,0.15,0.77,0.66,0.7,0.34,0.02
Cyprus,,,,,,,,,0.13,0.15,0.11,0.13,0.13,0.04,0.03,0.02,0.01
"Czech Republic",1.33,1.41,2.07,2.24,1.68,2.51,2.18,1.62,1.51,3.06,3.92,4.16,3.41,3.59,4.34,3.32,2.93
Denmark,,0.5,0.8,0.9,1.3,1.41,1.41,1.41,1.98,1.75,1.54,1.58,1.48,2.1,2.21,1.89,2.9
Ecuador,,,,,,,,,,,,,,0.7,0.79,0.88,0.99
Finland,,,,,,,,0.82,1.87,5.14,6.65,4.5,5.67,7.07,7.93,9.66,2.43
France,5.91,5.94,6.46,7.41,7.75,12.12,11.83,19.14,35.18,41.76,40.02,36.6,43.74,43.11,46.97,48.55,45.07
Germany,4.96,6.96,10.94,13.3,20.04,29.6,46.24,58.93,49.92,48.31,61.23,60.92,55.62,59.7,68.09,61.89,62.38
Greece,,,,,,,0.94,1.86,1.4,1.58,2.52,2.19,2.77,3.09,3.17,2.99,3.09
"Hong Kong",,,,,,,,,,,0.08,0.58,0.1,0.3,2.1,NA,NA
Hungary,,,,,,,,0.18,2.74,2.51,2.83,2.84,2.88,2.81,2.67,2.94,3.13
India,,,,,,0.2,3.27,3.33,2.31,1.29,1.71,1.91,2.09,2.21,2.27,2.45,2.55
Indonesia,,,,,,,1.12,4.65,10.86,5.69,12.75,31.02,37.91,48.25,51.7,20.33,63
Ireland,,,,,,0.02,0.04,0.47,0.84,1.28,1.4,0.53,0.53,0.49,0.53,0.53,0.53
Italy,1.6,2.8,4.1,5.3,5.62,3.94,4.39,3.98,13.12,15.72,15.74,11.64,5.64,9.04,11.42,11.36,10.96
