Country,2011,2012,2013,2014,2015,2016,2017
Latvia,92.0485611,91.4231,90.7976,90.17207336,90.9622,91.7523,92.54244232
Lebanon,25.8998127,28.2377,30.5756,32.91355896,32.9109,32.9082,32.90546417
Lesotho,16.86642838,21.7987,26.731,31.6632,36.5955,41.5278,46.46006012
Liberia,14.68394375,16.9303,19.1766,21.423,23.6693,25.9157,28.16200256
Libya,,,,,,,59.62096024
Lithuania,76.06694031,76.6706,77.2743,77.8780365,78.9233,79.9686,81.01387024
Luxembourg,95.32554626,95.7809,96.2363,96.69167328,97.1869,97.6822,98.17749023
"Macedonia (F.Y.R.O.M.)",71.54489136,69.0386,66.5323,64.02604675,66.9794,69.9327,72.88609314
Madagascar,4.611975193,5.8656,7.1193,8.372986794,11.0203,13.6676,16.31496811
Malawi,16.88244247,15.9149,14.9473,13.97975063,19.2683,24.5569,29.84548759
Malaysia,63.09646988,68.0947,73.093,78.09130096,79.5537,81.0161,82.47853851
Mali,6.909979343,9.5029,12.0959,14.68886566,18.3632,22.0376,25.71192169
Malta,94.07024384,94.5857,95.1011,95.61646271,96.0659,96.5153,96.96466064
Mauritania,12.08742619,15.0566,18.0259,20.99507904,19.1591,17.3232,15.48727798
Mauritius,74.73274231,76.488,78.2432,79.99849701,82.37,84.7415,87.11295319
Mexico,21.96588135,27.61,33.2541,38.89818573,37.0279,35.1577,33.28747559
Moldova,17.17139435,17.7728,18.3743,18.97571945,27.501,36.0262,44.55144882
Mongolia,82.36499786,85.9787,89.5925,93.2062149,93.7887,94.3713,94.95379639
Montenegro,48.92860794,51.9218,54.915,57.90822983,61.1296,64.3509,67.57224274
Morocco,,,,,,,16.80644608
Mozambique,,,,,,,32.87394714
Namibia,,,,56.76640701,64.7318,72.6973,80.66267395
Nepal,21.21960831,24.5686,27.9175,31.26650238,34.711,38.1555,41.60002136
Netherlands,98.39974213,98.6586,98.9175,99.17636108,99.3951,99.6139,99.83270264
"New Zealand",99.44830322,99.3732,99.298,99.22291565,99.2622,99.3015,99.34078217
Nicaragua,12.81507587,13.3522,13.8892,14.42632389,17.8817,21.3371,24.79252815
Niger,1.451922297,2.4058,3.3598,4.313673019,6.5125,8.7113,10.91004658
Nigeria,25.99040222,28.6677,31.3451,34.02239609,31.7738,29.5252,27.27667618
Norway,,,,100,100,100,100
Oman,63.52985382,,,,,,
Pakistan,2.953577518,3.5836,4.2137,4.843746662,5.5709,6.298,7.025063992
Panama,23.30989838,28.9831,34.6562,40.32937241,40.9994,41.6694,42.33934402
Paraguay,22.71478271,26.6039,30.493,34.3821,38.2712,42.1603,46.04944992
Peru,17.56129265,19.2065,20.8517,22.49697304,26.4764,30.4558,34.435215
