Country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,,5,5,5,5,5,5,5,5,5,4,4,4,4
Albania,12,12,12,12,11,8,6,6,6,5,5,5,5,5
Algeria,14,13,13,13,13,13,13,13,13,13,13,13,12,12
Angola,12,12,12,12,12,8,8,8,8,8,8,8,8,8
"Antigua and Barbuda",,,9,9,9,9,9,9,9,9,9,9,9,9
Argentina,13,13,13,13,13,14,14,14,14,14,14,14,14,14
Armenia,10,10,10,9,9,9,6,6,4,4,3,3,3,3
Australia,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Austria,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Azerbaijan,14,13,13,13,12,6,6,6,6,6,3,3,2,2
Bahamas,,,,,7,7,7,7,7,7,7,7,8,8
Bahrain,,,,,8,8,8,8,8,8,8,8,8,8
Bangladesh,9,9,9,9,9,8,8,9,9,9,9,9,9,9
Barbados,,,,,,,,,8,8,8,8,8,8
Belarus,17,17,17,17,11,9,7,7,7,7,6,6,5,5
Belgium,7,4,4,4,3,3,3,3,3,3,3,3,3,3
Belize,,,9,9,9,9,9,9,9,9,9,9,9,9
Benin,11,11,11,11,11,11,11,11,10,9,8,8,8,6
Bhutan,10,10,10,10,8,8,8,8,8,8,8,8,8,8
Bolivia,14,14,14,14,14,14,14,14,14,14,14,14,14,14
"Bosnia and Herzegovina",12,12,13,13,13,13,13,13,13,12,12,12,12,12
Botswana,10,10,11,11,11,10,10,10,9,9,9,9,9,9
Brazil,17,17,17,15,16,16,14,13,13,13,12.2,11.6,11,11
Brunei,,,,22,22,22,22,19,19,19,19,19,8,8
Bulgaria,12,12,12,10,11,6,6,6,6,6,6,6,6,6
"Burkina Faso",12,12,12,8,6,5,4,4,3,3,3,3,3,3
Burundi,8,8,8,8,8,8,8,8,8,4,3,3,3,3
"Cape Verde",,,12,12,12,12,9,8,8,8,8,8,8,8
Cambodia,11,11,10,10,10,11,11,11,11,11,12,12,8,9
Cameroon,11,11,11,11,11,12,11,7,6,6,6,6,6,6
Canada,3,3,3,3,3,2,2,2,2,2,2,2,2,2
"Central African Republic",11,11,11,11,11,11,9,9,8,10,10,10,10,10
Chad,13,13,13,13,13,13,13,13,11,9,9,9,9,9
Chile,9,9,9,9,9,9,9,8,7,7,7,7,7,7
China,13,13,13,13,13,14,14,14,14,13,13,11,11,9
Colombia,19,11,11,12,11,9,8,8,8,8,8,8,8,6
Comoros,,,10,10,10,10,10,10,10,9,8,8,8,8
"Congo (Kinshasa)",15,15,15,15,15,15,15,11,11,11,12,8,7,7
"Congo (Brazzaville)",11,11,11,11,11,11,11,11,11,11,11,11,11,11
"Costa Rica",12,12,12,12,12,12,12,12,12,12,9,9,9,9
"Ivory Coast",11,11,11,11,10,10,10,10,10,10,5,4,4,4
Croatia,11,11,11,9,8,8,8,8,8,8,8,8,8,8
Cyprus,,,,,,6,6,6,6,6,6,6,6,5
"Czech Republic",10,10,10,10,10,9,9,9,8,8,8,8,8,8
Denmark,5,5,4,4,4,4,4,4,4,4,4,4,4,4
Djibouti,,,11,11,11,11,11,11,11,11,9,7,7,7
Dominica,,,5,5,5,5,5,5,5,5,5,5,5,5
"Dominican Republic",9,9,9,9,9,8,8,8,7,7,7,7,7,7
Ecuador,14,14,14,14,14,14,13,13,13,13,13,13,12,11
Egypt,14,14,11,11,9,8,8,8,8,8,8,8,8,5
"El Salvador",12,12,12,10,9,8,8,8,8,8,8,8,8,8
"Equatorial Guinea",,,18,18,18,18,18,18,18,18,18,18,18,17
Eritrea,,13,13,13,13,13,13,13,13,13,13,13,13,13
Estonia,6,6,6,6,5,5,5,5,5,5,5,4,3,3
Ethiopia,12,11,11,11,11,11,11,11,13,14,14,14,14,14
Fiji,7,7,8,8,8,8,8,8,9,11,11,11,11,11
Finland,3,3,3,3,3,3,3,3,3,3,3,3,3,3
France,8,5,5,5,5,5,5,5,5,5,5,5,5,5
Gabon,,,8,8,8,8,8,8,8,8,7,7,7,7
Gambia,,,8,8,9,8,8,8,8,8,8,7,7,7
Georgia,10,10,9,8,6,4,4,4,3,3,3,3,3,3
Germany,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Ghana,11,11,11,11,10,8,7,7,7,7,8,8,8,8
Greece,15,15,15,15,15,15,15,15,11,11,5,5,5,5
Grenada,,,6,6,6,6,6,6,6,6,6,6,6,6
Guatemala,15,15,15,13,12,12,12,12,12,12,7,7,7,7
Guinea,12,12,12,12,12,12,12,12,12,6,6,6,6,6
"Guinea Bissau",,,17,17,17,17,17,17,9,9,9,9,9,9
Guyana,,8,8,8,8,8,8,8,8,7,7,7,7,7
Haiti,13,13,13,13,13,13,13,12,12,12,12,12,12,12
Honduras,12,12,12,12,12,12,12,12,12,12,12,12,11,11
"Hong Kong",5,5,5,5,5,5,3,3,3,3,3,3,2,2
Hungary,7,7,7,7,7,5,5,5,5,6,6,6,6,6
Iceland,,5,5,5,5,5,5,5,5,5,5,5,5,5
India,13,13,13,13,15,15,15,14,14,14,13.5,13.9,12.9,12.9
Indonesia,13,13,13,13,13,12,11,11,10,10,11.2,12,12,11.2
Iran,11,11,10,10,10,10,9,9,9,10,10,9,9,9
Iraq,,12,12,12,12,12,12,12,12,11,11,11,10,10
Ireland,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Israel,5,5,5,5,5,5,5,5,5,5,5,5,5,4
Italy,9,9,9,9,9,6,7,7,7,7,7,6,6,6
Jamaica,7,7,6,6,6,6,6,6,6,6,5,2,2,2
Japan,11,11,11,8,8,8,8,8,8,8,8,8,8,8
Jordan,14,11,11,11,9,9,8,8,8,8,8,8,8,8
Kazakhstan,11,11,9,9,9,9,8,7,7,7,7,7,6,5
Kenya,13,13,14,14,13,13,13,12,12,11,11,11,11,7
Kiribati,6,7,7,7,7,7,7,7,7,7,7,7,7,7
"South Korea",10,10,10,10,10,10,8,8,5,3,3,3,3,2
Kosovo,,,,,,,9,10,10,8,5,4,4,3
Kuwait,14,14,14,14,14,14,14,14,13,13,13,13,13,13
Kyrgyzstan,9,9,9,9,9,6,5,4,4,4,4,4,4,4
Laos,9,9,9,10,10,10,10,10,9,8,8,8,8,8
Latvia,5,5,5,5,5,5,5,5,4,4,4,4,4,4
Lebanon,9,9,9,9,9,8,8,8,8,8,8,8,8,8
Lesotho,9,9,9,8,8,7,7,7,7,7,7,7,7,7
Liberia,,,,10,10,6,5,5,4,4,4,4,4,4
Libya,,,,,,,,,,10,10,10,10,10
Lithuania,8,8,8,7,7,7,7,6,6,7,6,5,4,4
Luxembourg,,,,5,5,5,5,5,5,5,5,5,5,5
"Macedonia (F.Y.R.O.M.)",14,14,14,11,10,8,5,4,4,3,3,3,2,2
Madagascar,15,13,11,10,8,8,8,8,8,8,8,8,9,7
Malawi,10,10,10,10,10,10,10,10,10,10,10,8,8,7
Malaysia,11,11,11,11,11,11,11,10,7,7,7,7,7,9
Maldives,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Mali,12,12,12,12,10,10,6,6,4,4,5,5,5,5
Malta,,,,,,,,,10,10,10,10,10,9
"Marshall Islands",7,5,5,5,5,5,5,5,5,5,5,5,5,5
Mauritania,11,11,11,11,11,9,9,9,9,9,9,7,7,7
Mauritius,,7,7,7,7,6,6,6,6,6,6,6,6,6
Mexico,9,9,9,8,8,9,8,7,7,7,7,7,7,7.8
Micronesia,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Moldova,12,11,11,11,10,10,9,9,8,8,7,6,5,5
Mongolia,8,7,7,7,7,7,7,7,7,7,5,5,5,5
Montenegro,,,,13,13,13,11,7,6,6,6,6,6,6
