Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15998801042,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6046514773,5387786860,5914979732,6675453687,7171890834,7757328722,8031978570,8518909910,8973172987,9450796895,10052137686,10631745852,11177684242,11315996627,11807799816,12193833743,12312447390,12562378899,12619222125,12975698472,13495064494
Algeria,32348770201,28671640579,20869613022,26154637002,27085335599,28057897588,26352845976,29299812220,32724902593,36003949670,38290981586,34481309317,44144642724,45568311842,49078109010,51209598728,55084564077,57998475406,63025720649,66723700930,67394424963,69275048458,73798738426,78199969131,82460034880,85569466240,86819243936,86294017575,84496492767,88215339140,88822982216,86255027774,88333604302,87531889373,86226556586,88451650816,91703871017,93418153197,99039773856,101429000000,103926000000,110011000000,114934000000,123328000000,127660000000,132807000000,136478000000,146588000000,151618000000,153885000000,160820000000,163657000000,167261000000,171282000000,177667000000,184049000000,191538000000
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3346516556,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74384051251,,,,,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,403366736.4,399233115.3,427710410.3,472850459.8,504098044.3,500342585.5,536247991.4,587560177,602643230.1,623265858.5,659244587.4,672116761.1,719953137.5,766522271.3,732374754.9,785100468.8,835398356.9,878123702.9,909232023.4,941293966.3,913846293,904836552.4,965935430.1,1017969350,1091257092,1231098817,1347686261,1341909870,1183517931,1116452815,1088657577,1122072004,1138433320,1187603996,1242123945,1293538467
Argentina,118762000000,125267000000,123986000000,117476000000,129441000000,143176000000,144224000000,143492000000,147612000000,163209000000,163022000000,180787000000,179073000000,187626000000,197995000000,199942000000,193355000000,205108000000,196163000000,215612000000,224572000000,208646000000,191024000000,199088000000,204550000000,188683000000,205447000000,211180000000,206368000000,182912000000,186514000000,212714000000,240902000000,256583000000,271157000000,262527000000,276370000000,298416000000,308807000000,297986000000,295523000000,281989000000,239772000000,264106000000,289301000000,321487000000,349056000000,383079000000,398957000000,373057000000,409148000000,436088000000,433882000000,445419000000,434754000000,446873000000,434713000000
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6088579888,5606458782,2625475381,2695145712,3139793610,3353715940,3654351999,3896121286,4067188568,4192884146,4431092290,4869084066,5548315636,6307156012,6941347551,7999879250,9103957337,10422782705,11192763704,9428607011,9718566372,10028067276,10786789523,11346961612,11597797813,11884967075,11695599964
Australia,195406000000,200471000000,203643000000,215769000000,230927000000,245269000000,250921000000,266796000000,279419000000,299140000000,320575000000,333710000000,347333000000,356264000000,371777000000,377194000000,385165000000,399063000000,402608000000,418614000000,430451000000,445927000000,460965000000,451945000000,469565000000,491846000000,511501000000,524250000000,553806000000,571685000000,588358000000,585819000000,592351000000,619471000000,644983000000,666285000000,691856000000,720349000000,753933000000,792117000000,824560000000,841013000000,874029000000,900059000000,936747000000,958123000000,984285000000,1014660000000,1055890000000,1081050000000,1098510000000,1121190000000,1174220000000,1212310000000,1242340000000,1280460000000,1316200000000
Austria,91587738435,96655689896,99215669534,103322000000,109651000000,113467000000,119889000000,123363000000,128676000000,136897000000,145182000000,152743000000,161989000000,169834000000,177038000000,176255000000,184032000000,193256000000,192841000000,203412000000,207192000000,207012000000,211433000000,217799000000,217978000000,223592000000,227846000000,230860000000,239647000000,249723000000,260961000000,268642000000,273888000000,275512000000,281595000000,288043000000,296452000000,301927000000,312012000000,322078000000,332574000000,336009000000,344497000000,348139000000,357712000000,364761000000,379222000000,391107000000,400847000000,382731000000,393490000000,402517000000,404567000000,405689000000,408097000000,408958000000,416555000000
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10674076178,9382000983,9374768204,10074163656,11076469263,11822231932,12543682378,13744964046,15135191828,16818638246,18042561250,21006649018,27330397260,32395161511,38805125887,46307463621,49734894730,48654148531,50811079903,54314336857,56907428213,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5818280723,5662033417,5414180623,5354031541,5299980078,5462519508,6585581999,7330099831,6086420226,6566695958,6955417211,7223319588,7403468751,7597035790,7547548382,7640062815,7793554976,7964562837,8071481855,8030665744,7630887905,7675112400,7738736820,7952459532,7902345587,7765935646,7663064698,7663885317
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20509817175,22336328976,23165470531,22271082494,23340132979,22567103783,23733496746,24714783802,24707403649,29183995852,
Bangladesh,,,,,,,,,,,,,,22290276716,24379196385,23352639010,24657724675,25237476415,27052315127,28388635853,28703560428,31240693643,31919300235,33527099722,35090918448,35907003269,37505456100,39059124488,39978389787,41088207230,43315857264,44882951881,47453007438,49836256442,51968411906,54586860576,56823945725,59516528994,62621027210,65661088005,69258719117,72617378269,76100775807,79739557396,84226766531,89818815771,96915548066,104540000000,111919000000,117837000000,124617000000,132356000000,141635000000,149605000000,156724000000,166746000000,177475000000
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,3267498832,3351355955,3473599951,3646509223,3444598190,3328065353,3193016049,3209529625,3279910942,3333005324,3462334599,3637754920,3749666745,3742853499,3911091697,3805220833,3826950416,3911748850,3962470321,4081956828,4264820878,4419648090,4422137473,4256769663,4347200000,4212496727,4346737965,4317411501,4314438910,4327260595,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31720522803,31339876530,28331248383,26190845817,23070001228,20635609485,21245734267,23579499282,25550264360,26492483984,28023369809,29334747327,30880672798,33170017553,36956778516,40467705487,44260075734,47735439806,52314481017,51873758276,56135455493,59005376352,59733960589,59314615482,60722666870,57455030654,
Belgium,122118000000,127858000000,134291000000,139904000000,149519000000,155077000000,160009000000,166247000000,173273000000,184699000000,196435000000,204014000000,214886000000,228280000000,238665000000,233933000000,247210000000,248185000000,254992000000,259944000000,270967000000,270619000000,271106000000,271770000000,279070000000,284538000000,289886000000,297400000000,311395000000,321389000000,331929000000,339220000000,344350000000,344291000000,357976000000,365657000000,371909000000,386119000000,393760000000,407337000000,423104000000,423572000000,430485000000,434583000000,447994000000,456663000000,468906000000,484631000000,493041000000,471444000000,498789000000,497153000000,504833000000,500657000000,503350000000,508287000000,509983000000
Belize,,,,,,,,,,,,,,,,,,,,,322195281.5,326407452.9,319735043.2,312433585.1,307096655.8,315348060.5,343114641.5,375270554,410984213.7,464103054.6,514057963.4,568252456.1,631822939.5,671532584.9,663655032.6,673136467.7,678940848.9,707527058.1,725041920.1,782288491.8,876963048.1,908839661.7,959545264.4,1033938272,1063804881,1102377674,1153154676,1136121384,1178462912,1239689572,1239592609,1322038873,1360620075,1380214306,1419317334,1495717137,1483835167
