Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,2,2,2,1.5,1,1.5,2,2.5,3,3,3,2.5,2
Albania,7,7.5,8,8.5,9,9,9,9,9,9.5,10,10,10
Algeria,7,6.5,6,6.5,7,7,7,7,7,7,7,7.5,8
Angola,5,5.5,6,6.5,7,7.5,8,8,8,8,8,8,8
Argentina,8,8,8,8,8,8,8,8,8,8,8,8,8
Armenia,9,9,9,9,9,9,9,9,9,9.5,10,9.5,9
Azerbaijan,6,6,6,6,6,6.5,7,7,7,6,5,5,5
Bahrain,10,10,10,9,8,8,8,7.5,7,6.5,6,6,6
Bangladesh,7,7,7,6.5,6,6,6,6,6,6,6,6,6
Belarus,10,10,10,10,10,10,10,10,10,10,10,10,10
Benin,8,8,8,8,8,8.5,9,9,9,9,9,9,9
Bhutan,,,8,7.5,7,7,7,7.5,8,8,8,8,8
Bolivia,7,6.5,6,6,6,6.5,7,7,7,7.5,8,8,8
"Bosnia and Herzegovina",8,8,8,8,8,8,8,8,8,8,8,8,8
Botswana,10,10,10,9.5,9,9.5,10,10,10,10,10,10,10
Brazil,7,7,7,7,7,7,7,7,7,7,7,7,7
Bulgaria,10,10,10,9.5,9,9.5,10,10,10,10,10,10,10
"Burkina Faso",9,9,9,8.5,8,8,8,7.5,7,6.5,6,6,6
"Burma (Myanmar)",4,4.5,5,4.5,4,4,4,4,4,4,4,4,4
Burundi,5,5.5,6,5.5,5,5.5,6,6.5,7,7,7,6.5,6
Cambodia,7,7.5,8,8,8,8,8,8,8,8,8,8,8
Cameroon,6,6.5,7,7,7,7,7,7,7,6.5,6,6.5,7
"Central African Republic",2,2,2,2,2,2.5,3,2,1,1.5,2,2,2
Chad,4,3.5,3,3.5,4,5,6,6.5,7,7,7,7,7
Chile,10,10,10,10,10,10,10,10,10,10,10,9.5,9
China,9,9,9,9,9,9,9,9,9,9,9,9,9
Colombia,3,3.5,4,4.5,5,5.5,6,6,6,6,6,6.5,7
"Congo (Brazzaville)",,,5,5.5,6,6.5,7,7,7,6.5,6,6,6
"Congo (Kinshasa)",2,3.5,5,4,3,3,3,2.5,2,2.5,3,3,3
"Costa Rica",10,10,10,10,10,10,10,10,10,10,10,9.5,9
Croatia,10,10,10,9.5,9,9.5,10,10,10,10,10,10,10
Cuba,10,10,10,10,10,10,10,10,10,10,10,10,10
"Czech Republic",10,10,10,10,10,10,10,10,10,10,10,10,10
"Dominican Republic",9,9,9,9,9,9,9,9,9,9,9,9,9
Ecuador,8,8,8,8,8,8,8,8,8,8,8,8.5,9
Egypt,9,9,9,8.5,8,8,8,7.5,7,6.5,6,6,6
"El Salvador",7,7,7,7,7,6.5,6,6,6,6,6,6,6
Eritrea,10,8.5,7,6.5,6,6,6,6,6,6,6,6.5,7
Estonia,10,10,10,10,10,10,10,10,10,10,10,10,10
Ethiopia,6,6.5,7,6,5,6,7,7,7,7,7,7,7
Georgia,4,5,6,5,4,4.5,5,5,5,5,5,5,5
Ghana,8,8,8,8,8,8,8,8,8,8,8,8.5,9
Guatemala,6,6,6,5.5,5,4.5,4,4,4,4,4,4,4
Guinea,7,7,7,7.5,8,8,8,8,8,7.5,7,7.5,8
Haiti,2,3,4,4.5,5,3.5,2,2,2,2.5,3,3.5,4
Honduras,6,6,6,6,6,6,6,6,6,6,6,6,6
Hungary,10,10,10,10,10,10,10,10,10,10,10,10,10
India,8,8,8,7.5,7,7.5,8,7.5,7,7,7,7.5,8
Indonesia,6,6.5,7,7,7,7,7,7.5,8,8,8,7.5,7
Iran,8,8,8,8,8,8,8,8.5,9,8,7,7,7
Iraq,1,1.5,2,2.5,3,3.5,4,4,4,3.5,3,3.5,4
"Ivory Coast",2,2,2,2.5,3,2.5,2,4,6,6.5,7,7.5,8
Jamaica,9,8.5,8,7.5,7,7.5,8,8,8,8,8,8,8
Jordan,8,8,8,8,8,7.5,7,7,7,7,7,7,7
Kazakhstan,9,9,9,9,9,9,9,9,9,9.5,10,9.5,9
Kenya,5,5,5,5,5,5.5,6,6,6,5.5,5,5,5
Kosovo,,,,,7,7,7,6.5,6,6.5,7,7,7
Kuwait,,,10,9.5,9,9.5,10,10,10,10,10,10,10
Kyrgyzstan,6,6.5,7,7.5,8,7,6,6.5,7,7.5,8,8.5,9
Laos,8,8,8,8.5,9,9,9,9,9,9,9,8.5,8
Latvia,10,10,10,10,10,10,10,10,10,10,10,10,10
Lebanon,4,4.5,5,5,5,4.5,4,3.5,3,4,5,5,5
Lesotho,,,,,6,6,6,6.5,7,6.5,6,7,8
Liberia,5,6,7,7.5,8,8,8,8,8,8,8,8.5,9
Libya,9,9,9,9,9,9,9,6.5,4,2.5,1,1,1
Lithuania,10,10,10,10,10,10,10,10,10,10,10,10,10
"Macedonia (F.Y.R.O.M.)",7,7.5,8,8.5,9,9,9,9,9,9,9,9,9
Madagascar,9,9,9,8.5,8,7.5,7,7,7,7,7,6.5,6
Malawi,9,9,9,9,9,9,9,9,9,9,9,9,9
Malaysia,9,9.5,10,10,10,10,10,10,10,9.5,9,9,9
Mali,6,5.5,5,5,5,5.5,6,4.5,3,4,5,4.5,4
Mauritania,,,8,6.5,5,5.5,6,6.5,7,7.5,8,8,8
Mauritius,9,9.5,10,10,10,10,10,10,10,10,10,10,10
Mexico,7,7,7,6.5,6,5.5,5,5,5,5,5,5,5
Moldova,3,4.5,6,6,6,6.5,7,7,7,6,5,5,5
Mongolia,8,8,8,8,8,8.5,9,9,9,9.5,10,10,10
Montenegro,,,9,9,9,9,9,9.5,10,10,10,10,10
Morocco,8,8,8,8,8,8,8,8,8,8,8,8,8
Mozambique,9,8.5,8,7.5,7,7.5,8,7.5,7,6.5,6,5.5,5
Namibia,9,9,9,9,9,9,9,9,9,9,9,9,9
Nepal,4,3.5,3,4.5,6,6,6,6,6,6,6,5.5,5
Nicaragua,7,7,7,7.5,8,8,8,7.5,7,7,7,7,7
Niger,6,6,6,5.5,5,5.5,6,6,6,6.5,7,6.5,6
Nigeria,5,5,5,5,5,5,5,4.5,4,4,4,4,4
