Comoros,1030,980,1070,1090,1020,1050,1030,1060,1050,1060,1180,1200,1210,1230,1260,1300,1350,1370,1360,1370,1380,1410,1440,1490,1510,1510,1520
"Congo (Kinshasa)",760,690,610,530,470,460,490,460,450,410,410,390,400,420,450,470,500,520,530,550,570,600,630,640,700,740,730
"Congo (Brazzaville)",2760,2860,3040,2780,2770,1940,1980,2420,2620,2320,2510,2580,2730,2800,2660,2800,2960,3010,3360,3460,3820,3870,4140,4320,4830,5840,5380
"Costa Rica",4860,5070,5530,5910,6220,6410,6470,6760,7040,6560,7460,7760,8000,8380,8880,9420,10360,11410,12090,11740,12320,12940,13680,13980,14530,15180,15750
"Ivory Coast",1760,1790,1780,1760,1810,1920,2080,2160,2260,2270,2120,2070,2010,1930,2070,2300,2350,2410,2470,2510,2540,2410,2670,2850,3130,3360,3610
Croatia,,,,,,7850,8770,9370,9770,9550,10550,11120,12090,12700,13870,14550,16540,18390,19690,18840,18670,20140,20500,21240,21540,22350,22880
Cyprus,13390,13580,14740,14860,15690,16470,16710,17320,19980,19220,20540,22140,23140,23650,25290,27250,29350,32460,34110,33480,32290,33190,30900,29180,29370,31430,31420
"Czech Republic",,,11670,12020,12630,13590,14340,14490,14670,15020,15840,17080,17510,18720,19820,20920,22310,24390,25980,25630,25580,26620,27250,28670,30170,31530,32710
Denmark,17730,18500,19320,19850,21330,22420,23420,24570,25510,26430,28050,29110,30280,30590,33080,34430,37770,39150,41740,40780,43790,45340,45820,48210,49540,50620,51040
Djibouti,,2010,2030,1940,1920,1870,1790,1740,1710,1720,1740,1760,1810,1980,2110,2200,,,,,,,,,,,
Dominica,4220,4330,4540,4740,4800,4950,5080,5340,5750,5690,5720,6170,6080,6690,6980,7260,8010,8650,9500,9560,9800,9920,9970,9960,10570,10430,10610
"Dominican Republic",3250,3350,3710,3930,4060,4300,4650,5020,5330,5670,6040,6190,6550,6410,6450,7380,8340,9190,9670,9710,10500,10880,11240,11710,12650,13600,14480
Ecuador,4450,4750,4920,5050,5290,5420,5480,5720,5820,5380,5400,5790,6080,6250,6810,7330,7790,8040,8710,8710,9030,9770,10360,10880,11330,11280,11070
Egypt,3720,3860,4040,4150,4370,4600,4850,5130,5310,5600,5910,6150,6210,6400,6710,7100,7750,8400,9010,9260,9470,9570,9960,10120,10370,10720,11110
"El Salvador",2850,3010,3290,3580,3840,4130,4230,4420,4600,4750,4950,5110,5260,5430,5650,6020,6450,6850,7070,6810,6970,7230,7380,7580,7780,8000,8220
"Equatorial Guinea",690,700,950,1030,990,1040,1650,4380,4710,6170,5530,5520,7270,6630,8130,14190,23330,26790,28490,24800,19400,22230,24060,22660,21700,19440,17020
Eritrea,,,760,890,1100,1170,1260,1370,1400,1390,1330,1430,1440,1380,1390,1440,1430,1460,1320,1350,1370,1500,,,,,
Estonia,,,,,,,,,,,9060,9840,11050,12360,13720,15870,18270,20440,21470,19900,20480,23310,24970,26800,27770,28350,28920
Ethiopia,420,390,350,390,400,420,460,470,440,460,490,520,520,510,580,650,720,810,890,950,1050,1160,1250,1370,1500,1630,1730
Fiji,3670,3680,3930,4050,4230,4490,4770,4670,4670,5120,5390,5450,5800,5920,6390,6710,6630,6800,6920,6950,6980,7260,7450,8110,8490,8850,9140
Finland,17830,17050,16540,16630,17710,18970,19610,21440,23080,24520,26570,27820,28650,28810,31360,32130,34710,37810,40040,38350,39340,40870,40830,41430,41890,42630,43400
France,17720,18480,19140,19410,20170,20940,21650,22630,23770,24930,26680,28180,28930,28610,29590,31140,33200,34860,35910,35390,36760,38320,38180,40040,40610,41600,42380
Gabon,11300,12070,11290,11510,12240,12560,12920,13550,14130,12640,11930,12560,12900,12830,12290,13610,12650,13110,12640,12720,13070,13710,14810,15420,16650,16430,16720
Gambia,900,980,1010,1030,1030,1030,1050,1070,1090,1140,1190,1240,1160,1240,1320,1300,1310,1350,1440,1540,1610,1510,1570,1610,1590,1640,1640
