Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Angola,10000,10000,10000,10000,10000,13333,10000,12000,10000,8500,8000,7333,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9575,8787,8929,8967,8889,8750,8889,9000,8849,8750,10000,9202,9224,9193,8639,8408,8184,7701,7593,7480,6500,7380,7517,7250,7097
Bangladesh,15596,16823,15831,14500,14666,14247,12935,11734,13650,13353,11141,13320,12499,12351,15301,13347,13175,13967,14158,14039,14691,15297,16187,13670,14852,14811,15813,17035,15171,15238,16432,16258,16879,17134,16104,17373,18289,16980,17413,18301,18786,18305,19439,18667,20765,21051,19002,20134,22133,22111,21454,19060,20382,20224
Bhutan,,,,,,,33333,40000,40000,33333,33333,33333,33333,33333,33333,33333,35000,35000,35000,35000,35000,35000,35000,35000,35000,33333,34667,33333,35000,32990,39509,39430,39351,39271,39192,39113,39033,38954,38875,38795,38716,38637,38653,38745,38755,38889,39127,39293,39443,39578,39695,40000,39744,39869
Brazil,13505,11662,12238,12178,13332,13644,10007,11183,10839,11995,10152,9998,10494,9101,10291,9830,10477,11156,11142,10815,10479,10305,10859,9546,9785,9846,10090,11353,10179,9154,9022,12140,15484,15729,15777,13406,13770,14926,14424,14936,12451,14737,14012,14692,15669,15391,15168,13244,14835,12642,13752,12739,14258,14041
Cambodia,8962,10000,9583,10000,10000,8333,8889,9844,7304,8000,6364,9808,10000,10000,10000,10000,10000,10000,10000,6667,8571,6364,5000,6299,16190,14667,15185,12069,10606,10000,9286,7916,9825,10556,10404,5294,11944,10813,10115,8654,12273,14654,12706,20230,16070,12673,7007,7456,13775,4394,9155,10496,10432,10466
Cameroon,,,,,,,,,,,,,,,,5000,5000,4444,5000,5294,5556,5556,5556,5556,5556,5556,5628,5622,5676,5699,5789,5476,5417,5349,5275,5263,5112,5027,4940,4851,4763,4675,4594,4520,4450,4383,4321,4264,4213,4170,4135,3600,3922,4072
"Central African Republic",,1231,1400,1333,1200,1500,2480,2478,1365,2186,3938,3568,2952,2806,2778,3333,3750,4282,4040,1284,1622,1892,1842,1750,1800,1756,1756,1714,1738,1756,1818,1814,1824,1832,1840,1864,1853,1859,1866,1870,1881,1872,1900,1911,1921,1915,1926,1926,1927,1800,1998,2160,2240,2143
Chile,,,,,,,,,,,,,,,,,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9951,9690,9696,9701,9706,9711,9717,9722,9727,9732,9737,9900,9893,10000,10000,10000,9684,9572,9452,9326,9196,9062,8636,8391,8604
China,18636,10645,13200,13988,14381,10029,11307,13378,12374,11630,11515,11347,11160,10976,11768,11128,11428,13201,15083,17540,20588,21545,22467,23281,20766,20580,20919,19495,23077,24200,19025,22347,24526,20286,25331,24830,26543,26755,25385,24875,20441,28700,24390,27188,26774,27899,29641,32176,31875,36481,38933,38724,35789,37371
Taiwan,12461,13957,14830,19283,17876,16437,18776,16304,18661,19482,15760,19336,18260,15127,16018,16364,15714,12386,14815,8571,14286,18000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,10000,10000,10000,10000,10000,10000,10010,10020,9911,10000,10000,10000,10000,10002,9999,10000,9999,10002,10000,10000,10001,10002,10001,10000,9996,9944,10000,10000,9978,10000,12056,14230,16622,19220,22000,24919,27925,30956,33950,36854,39625,42235,44690,46991,49134,51140,53030,54831,56567,58260,59932,61111,63784,62222
"Congo (Kinshasa)",12121,12297,13196,10728,10930,12020,12495,12500,12571,10000,7886,10810,8558,4654,5365,1796,1115,1116,965,1301,1343,2206,2941,3623,2985,3676,4412,5522,5580,5830,6099,6295,6503,6811,7035,6995,6900,6579,6969,7117,7265,7668,7500,7556,7603,7692,7706,7781,7767,7820,7874,7928,7982,8036
Egypt,25000,25000,25000,25000,25000,27619,25714,26667,25517,31200,32182,27083,26087,25641,29000,29000,25227,25000,25000,24444,22857,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,24000,25000,25000,24750,23529,23333,23158,23158,23158,23619,23696,23837,24025,24311,25386,25061,24957,24781,25882,23333,24000,25000,24619
"El Salvador",17500,17500,17500,17500,18125,18621,18696,18696,18636,18333,18621,18621,18621,18621,18621,9628,9857,16944,11000,11667,11667,11875,12083,13171,16939,16442,16440,16667,10000,10000,10000,10000,10000,10000,9750,11417,11147,11167,7297,7568,7895,8294,8301,8441,8306,9259,8342,8122,7887,7872,7748,7600,7497,7398
Ethiopia,,,,,,,,,,,,,,,,,,,,3333,3333,3302,5122,1744,3023,3185,4624,5161,5161,4922,4652,3606,,,,,,,,,,,,,,,,,,,,,,
Guatemala,7143,7500,7273,17500,16667,8571,8750,8333,7933,7442,12787,13600,12814,11200,10100,10231,8300,9091,9371,9516,9800,9792,9720,9889,10000,10000,10000,10000,11481,10733,10313,10303,10294,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9557,9349,9117,8645,8345,7851,7606,7388,6875,6875,7000
India,10091,9406,9728,10355,8536,9561,10461,7796,10274,9500,10262,10213,11045,9838,10629,10897,10453,11174,10935,10654,12206,11807,12439,11862,14620,13773,12160,14608,15593,15635,16104,15960,16386,16895,16393,18869,18100,17222,18359,18497,20024,19746,19860,20054,21652,21677,20959,20771,23122,22296,23301,22830,22800,25002
Indonesia,13333,13333,13333,14286,16667,20000,19873,20000,25019,20798,15697,12442,18901,22222,22469,17198,11038,11126,11967,13142,13059,12954,10054,8120,11771,8431,9237,8348,9951,9679,9701,12589,11313,12031,9024,8088,9194,23622,32524,30143,28780,25936,13639,13209,13211,15357,15667,15185,15000,15146,15587,14764,14608,14452
Iran,4064,5340,5949,5000,5000,5000,5000,5000,5000,5000,7222,5172,5000,5000,5000,5000,5000,5556,5385,5500,5500,5500,6471,7857,9615,11053,11818,8000,8000,6250,3704,4336,5000,,,,,,,,,,,,,,,,,,,,,
Japan,20556,21250,20000,19259,15229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madagascar,12050,5435,8500,10267,9444,8675,9855,10344,9035,8563,8880,10313,3951,2587,2620,2785,3125,6364,5274,5274,7279,7347,7635,7838,8000,8000,8000,8000,8000,7341,7927,7974,8158,7953,7900,7949,7811,7774,7736,7895,7616,7532,7422,7286,7144,6997,6846,6692,6534,6375,6214,5700,5588,5691
