Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0.087754888,0.0893,0.0907,0.0922,0.0937,0.095237949,0.1052,0.1152,0.1252,0.1352,0.14524828,0.1505,0.1557,0.1609,0.1661,0.17129031,0.173345275,0.170317758,0.191672518,0.190840731,0.195744737,0.244527294,0.221615523,0.23689079,0.253074753,0.268887691,0.284130285,0.298288718,0.30871638,0.312073045,0.308579017,0.293370392,0.209964237,0.191099696,0.175917309,0.164903216,0.15747769,0.152461256,0.148742083,0.145093796,0.140808415,0.135845494,0.148855059,0.158763517,0.1354,0.112,0.0886,0.0653,0.0419,0.018514383,0.058525636,0.04641394,0.301821963,0.313465639,0.325860972,0.343677097,0.348891629
Angola,0.134233107,0.1442,0.1542,0.1641,0.1741,0.184031885,0.1911,0.1981,0.2052,0.2122,0.219295027,0.2297,0.24,0.2504,0.2608,0.271181211,0.279053386,0.286141454,0.347974039,0.405449019,0.471380586,0.464447023,0.601702569,0.540526915,0.523634529,0.522416696,0.515949591,0.648466241,0.66339697,0.666591518,0.677385879,0.675883274,0.444434023,0.468688611,0.451486414,0.43568946,0.422624739,0.486882268,0.495526484,0.497386648,0.466070566,0.533878965,0.538740479,0.551472579,0.590108793,0.584851311,0.573313019,0.532348766,0.624075832,1.601862982,1.43802863,0.790293001,1.000671213,1.001088972,1.298335869,1.24857986,1.294584033
Albania,0.422836507,0.4876,0.5523,0.617,0.6817,0.746464551,2.2148,3.6831,5.1514,6.6197,8.088020099,6.6489,5.2099,3.7708,2.3317,0.892609883,0.904975192,0.9345732,0.947109132,0.973574201,0.998253605,1.035956626,1.047521877,1.057893747,1.066195764,1.081083715,1.106815612,1.107177215,1.108968438,1.132355464,1.160469085,1.199504128,1.301126997,1.258310703,1.226226352,1.255264517,1.911079863,2.605576113,3.478470321,4.231298869,4.61995166,6.010071562,6.741030446,7.871864567,8.536697223,8.728462234,8.05139558,9.475014702,10.88481687,11.51947601,10.57304383,10.74370863,9.866913677,8.861518603,7.400421861,7.091628008,7.649090163
Argentina,4.434911214,4.5347,4.6346,4.7344,4.8343,4.934103478,5.0207,5.1074,5.194,5.2807,5.367301051,5.5604,5.7535,5.9466,6.1397,6.332842139,6.335940395,6.292357196,6.331272165,6.487033946,6.682044734,7.702243524,8.145656558,7.716982583,8.698246476,8.934926047,9.284206855,9.489715009,10.0140046,9.586450056,9.277375293,9.467019302,10.72329025,11.72616811,14.49704141,16.4043592,17.75925751,19.12762731,19.6499399,19.78161149,21.39173148,21.8156742,20.48650264,22.65940445,22.86829867,24.43000587,24.2627733,24.153756,24.55593462,24.405913,24.55578589,23.87141237,23.01374109,23.31232604,23.49696344,23.89549413,23.3847284
Australia,15.17604181,15.6771,16.1781,16.6791,17.1802,17.68119331,18.3357,18.9901,19.6446,20.299,20.95350863,21.8576,22.7616,23.6657,24.5698,25.47385766,26.3252336,27.4915163,28.99351034,30.61756966,32.24475013,34.0269558,35.47111383,36.50331115,37.62782272,39.17939429,40.51401802,41.77642351,42.75095539,44.03267137,45.54570196,46.45069691,47.10596943,48.18143572,49.38452926,49.10552358,50.00262555,50.36781433,50.75939027,51.29434662,52.18237329,51.62347887,52.75271531,52.4228766,51.28970866,49.31596995,47.63825674,45.93746649,43.28925329,48.59522852,47.42353407,46.49406681,45.42640365,44.33962301,38.8909618,35.53051086,33.76952579
Austria,6.076955563,6.6597,7.2424,7.8252,8.4079,8.990614759,9.7801,10.5696,11.3591,12.1486,12.93813927,14.3013,15.6644,17.0275,18.3906,19.75371514,21.3090002,22.97508249,24.84998715,26.86415144,29.00007068,30.76838716,32.29443562,33.71210989,34.9013117,36.02730029,37.16187672,38.28191694,39.45693,40.66043955,42.0229541,43.2822917,44.4581944,45.47428656,46.50661829,47.54819187,48.71309701,49.53005469,50.04338217,49.18927606,49.83627717,49.65562822,47.98682716,47.61540995,46.63647969,45.38390242,43.55236002,40.99157994,39.37843685,38.85705085,40.44311755,40.17602506,39.93408277,39.24594577,41.2705014,42.18276252,41.53123493
Belgium,8.525317314,9.0447,9.5641,10.0835,10.6029,11.12223484,11.6782,12.2342,12.7901,13.3461,13.90207485,14.9091,15.9161,16.9231,17.93,18.93703413,19.83126363,20.90368144,22.16618143,23.54087949,24.77735072,26.22374794,27.57203722,28.52705576,29.58968094,30.65061208,32.5847558,33.95626638,35.49320455,37.29447995,39.21161054,40.91540437,42.43151278,43.55986696,44.85326064,46.07484377,45.38913082,46.72005699,47.50612742,48.90080488,49.04787318,49.81852336,47.69914679,46.94291828,45.98228691,45.62758373,44.65357119,45.39461202,43.94973642,42.6799004,42.40615913,42.10417864,41.90544475,41.3031646,40.67035341,40.13722647,38.95091907
Benin,0.089487667,0.0891,0.0886,0.0882,0.0878,0.087374067,0.094,0.1006,0.1072,0.1138,0.120367196,0.1289,0.1374,0.1458,0.1543,0.162827667,0.175190502,0.185621028,0.199587315,0.212573742,0.229019501,0.246166742,0.246225538,0.245961291,0.254108581,0.253821611,0.272582088,0.290004523,0.290179548,0.294360908,0.295484888,0.289646456,0.293033428,0.365594133,0.413786978,0.471226388,0.529101643,0.573043156,0.585870939,0.647667952,0.743146929,0.826463213,0.845194386,0.867646332,0.918728691,0.932090269,0.915976001,1.272065773,1.284801466,1.37595483,1.403047678,1.561535799,1.559244319,1.544470398,1.845953256,1.789237845,1.118552724
Belarus,0.915738281,0.9996,1.0834,1.1673,1.2511,1.334938668,1.6379,1.9408,2.2438,2.5467,2.849668483,3.3264,3.8031,4.2798,4.7565,5.233166275,5.739892273,6.162375591,6.619686533,7.04300715,7.484476622,7.781755439,8.202652075,8.723917864,9.788722296,10.03037516,11.07672357,12.11891208,13.2288554,14.31073494,15.34287992,16.29335477,16.99436462,17.70737588,18.49373698,19.3190746,20.95232319,22.85051335,24.69901115,26.29324524,27.57016509,28.85409357,30.11471992,31.39111975,32.67375453,33.98209197,35.00856881,38.30682348,38.90928662,41.81469559,43.60519941,44.52702539,46.85799625,47.75840314,48.50133907,49.0371467,49.01043655
Belize,1.105704479,1.4123,1.7188,2.0254,2.3319,2.638497564,2.6019,2.5653,2.5286,2.492,2.455413778,2.4596,2.4638,2.468,2.4722,2.476343416,2.475119316,2.568051916,2.581815042,2.72525264,2.68468481,2.641529892,3.451530713,3.875625722,3.791271158,4.244585122,4.718455649,5.738880918,6.84717114,8.318790629,9.234772223,11.11784624,12.7453898,14.42596512,13.93243323,13.98662556,13.93761036,14.0362681,14.43334237,15.57664108,14.98579129,14.370835,12.43217909,12.88117486,12.7210987,12.41909385,12.30352886,11.84677634,10.60283978,10.35426688,9.814805813,9.119767295,7.842683454,7.246459777,6.681226049,6.790315249,6.471472063
