Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.22,3.95999999081936,5.03000000015447,6.41000001421763,5.98000000850625,8.16999999361214,10.3179534557035,3.91443529918274,10.2484245631283,9.8436936561048,8.26664098064265,12.673756239857,2.95879112624566,5.89399598575878,2.90000000748236,-3.41301032010428,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.0275577640536,18.9803654213237,22.0944928981696,8.76543770893873,5.77628308094067,9.52262792853335,14.2098509878353,4.6562029493965,7.34291933961035,9.18518567217066,15.4341215151915,13.8426608510942,4.01842092591505,6.79168832927853,1.80217136665526,0.146459004622514,1.84605959704773,2.80995427989355,,,,,
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2044565368129,1.99561473145653,11.4218878086469,2.66825428108635,15.2455243662964,12.3011692068307,11.9117430465567,-28.0124418287064,-27.2488110227617,10.9028962456325,-10.8109139115084,5.20879062692985,12.3201912167533,-19.0778475045776,1.63299113146194,9.37789622746155,6.0987647126499,13.3858093626311
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06841352671781,-4.37768056456919,5.53456193062398,8.97656463252528,3.4750777659176,-1.99816785555021,-0.659652676267754,-5.74134988166394,-14.3541941130141,8.16896945192877,9.49961787467726,7.39257837437739,10.9562344324469,9.33884359580874,7.24464894043004,-5.39765197565451,11.1881904891093,9.36871897063449,1.11028179114552,3.63901197001715,-4.35822823673057,3.6561961764088,-0.780270379658248,3.98557903380834,-2.3744938634356,-6.40495529024446
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65184822645746,4.09165191939958,8.01118216248227,4.79820775974325,0.746440926259041,8.20682622644358,7.19779700321384,8.27972393281023,7.2607778275523,8.90040911533387,9.08937188958312,8.29192998281631,13.2233852121567,5.36264435959023,-4.46660942097985,3.80002597957908,2.39996711994385,9.0814587449463,0.883337581088071,1.00710985854539,-7.71250548497913,-0.999736100491518,12.6862236856042,7.37195844610339,10.3419564430984
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.41545893719808,4.24528301886792,-1.13122171945702,-2.05949656750573,-1.86915887850468,-2.38095238095238,-2.92682926829269,-4.2713567839196,-4.46194225721784,-1.92307692307693,3.36134453781514,0.8130081300813,-0.268817204301072,1.07816711590296,0.6724,0.266666666666666,
Australia,2.21550566799003,2.50742746370551,5.45403468382358,7.04191492264809,5.00227624510607,2.93723191472142,5.11549023682096,4.96324315083132,5.3230584426822,6.10900620517678,3.88039988158404,3.60611175658198,4.66929033896153,6.27830066627854,4.87726012180786,0.755547817507818,5.32765491743376,1.9786311932626,1.483417961222,1.78572018322869,3.2391514545844,5.58110006568589,2.41025900535516,1.04843679149855,0.88999347031293,5.16883020610885,2.02051693568939,3.17682604386171,4.63358350031164,4.30802554982589,0.967040850278565,2.33391373447233,1.86867221954499,2.14871993776245,4.42476904944284,3.40432597624518,2.97170175659689,4.94913086218946,5.73160593304817,4.2578437005794,3.18031511379108,3.09766781927956,4.03163069717456,5.03916247802894,4.54479400760061,3.24644599670046,5.44137665619088,4.91603900123813,0.570268120672139,3.25332837886072,3.98516926078329,2.97303266408318,1.76924327067331,2.43852890884875,2.34654455486493,2.73861036506516,2.28276239059704,2.90203046486128,1.8706705647754
Austria,,,,,,,,,,,6.71817910387374,6.08016006867807,5.37183002122174,2.99211314632237,3.24728292793914,4.54441183839351,6.42988012900847,-1.70553094432874,4.74673438409978,2.51991353990316,1.27539444893019,1.92309732073235,5.43425062144969,-2.12760217194666,1.81087879315085,2.19296400465507,2.41780948027773,2.40788567925429,3.58816013675749,4.23483629021229,2.99498765430366,3.47929406292099,0.105922792314757,2.04301848960205,0.852425032921971,2.93894019995282,0.420082786227937,2.9052760396435,2.41753598273435,3.11643126377599,1.28093019224673,0.681974998153407,1.74285154477134,2.32088814404132,2.24842327750794,2.09239324246148,1.10372449903677,0.94631915872867,0.850651872006253,0.994391504168917,1.34507960992724,0.521923080272217,-0.0790178245443371,0.303678401544033,0.487938119597686,1.61725609825353,1.4193668385186,1.12704389622166,1.36509337335168
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.2999964548145,-26.8000030259077,-2.60000067445459,9.50000027921713,11.8999999745007,13.8999983319505,12.2000049376387,21.7466958376063,-3.12390812796863,12.4293042029281,5.77707765709712,10.6524250986026,21.1978695038601,36.3712319417586,18.0875407703311,6.58532256669805,6.38910957533936,-14.9717539493209,23.9053683315127,2.20000009263252,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6433138546039,-2.52301039571459,-1.16224783315563,0.775976810969723,8.23009748983046,-3.25772208483741,4,12.6742300462739,10.4279594759225,-1.46392994445829,3.46666003746479,0.313440087511935,-0.25428012281435,7.85733004870053,3.95287009611165,10.5317793161548,3.77056860569705,-2.0498399963918,-1.69983160433492,0.157830198424747,3.50000000285067,3.00000000189948
Belgium,,,,,,,,,,,4.9192630528877,5.9193509675835,8.14995560817873,2.8044335709054,0.85572682810789,5.08407981591274,2.631262952697,2.4963265628152,5.13143945505318,-0.812795395561977,0.417935682234713,2.43851149059033,-0.150197213053488,0.369023669865115,2.70844338843241,2.71890313612649,1.73532692930858,3.3180306366974,3.30772973410296,3.17452844638437,3.02029651395689,1.90816038939887,-0.448340903043459,2.39493779954533,1.57604480832754,1.96331540793663,1.53314456872455,3.13901207231815,2.11262518469874,2.81686517634347,0.943254603682945,0.611599950427561,0.717846270821937,1.06417516001819,1.44427863351011,1.77486013345205,2.09228493903272,1.37496784105313,0.58452258326551,3.00905952304184,0.865427705809239,1.46745536481723,1.66924517942711,0.552006604407367,1.58510294788026,1.88650404968726,1.83225908272809,1.46648308971542,1.06773717156881
Benin,1.65897813897718,-1.16833208832755,8.37540109561064,8.92256705663577,7.21494983691528,10.1887885625244,2.4165731702151,3.45580331749231,0.236731003063667,1.54411760084602,0.946077168705855,3.91335821150373,3.84135366223504,0.564034681430556,-1.98435103325177,-0.106898412994227,12.1427376159354,2.71882526860989,5.22073006840999,5.42183700143602,9.11808024396514,-11.6660276898323,-1.67779755191269,8.13193369182628,11.2225739928112,-1.6054510479136,-2.1061904344582,11.4372968307318,-7.29413480833668,-5.42824923217454,9.48614587074246,5.82728055024823,5.2902861150216,-5.31314885800505,4.22784298466787,5.73090079636292,5.01934108068257,5.44984543082427,5.31755424034976,7.53240089138079,4.38680473746322,4.31949319163508,2.70886495518997,4.04223969589074,2.07962524171728,4.36351725069318,3.76121645513159,4.33776466584348,2.83264246375039,2.04837609667364,3.74555537718064,1.91413431197212,4.04816645195784,3.68485765055205,5.25108574133961,1.93420456247351,3.49999999999999,3.49999999999999,3.49999999999999
"Burkina Faso",,,,,,1.28883770397965,13.8131110864317,1.87073621113045,2.35261222120306,-5.87776397935744,2.0064470437418,-4.32177276681053,-0.880876335185675,6.0597859485537,6.49909699978734,6.68613323318377,11.3040641061408,-0.764284257131337,2.54865781701656,7.36676022270038,4.13290939900971,1.699355058093,0.421724314721189,-6.36827064628245,4.63211984588665,14.1333267706201,-5.15780666304066,5.62011124338532,-1.83777767752049,-2.97425244212,5.26484965622278,0.710755877637652,6.65607029822191,-20.0222550425522,16.9468382844425,18.340252670231,2.44879291448441,13.24017134835,16.9022472518814,-0.204178102843784,4.66067136065922,6.09852132551396,4.61014578766236,6.35959091872822,8.28284619355011,3.96701328421729,1.32073737319544,11.0751802041375,1.7632390589869,5.20407235338143,6.8430525451143,10.2253540277852,5.7246875411001,1.54645236572752,3.31728282529005,4.23859499018823,0.667930677092059,3.67753168635529,7.16333699195874
Bangladesh,8.94927193450405,-1.74395092878433,4.91121886409151,10.5935463812531,0.481668983002038,1.69634502776968,-0.476441439399892,3.06165085397075,4.04336136297768,8.74112444607262,-3.51934925230087,-6.17248869177025,-14.0198813886127,-4.83609786001755,-4.60781400199367,-0.159838601992163,-12.5011143529696,15.6952976168915,3.12182377846449,4.05599182068697,-3.3959663991468,-3.16970701258062,2.62054721800004,7.20195850294914,1.31995049962788,2.85773464549001,2.73707078674252,3.87997415731449,0.902997695275872,7.63872917744428,-0.31691178169261,3.94568795931798,3.40502099263414,3.66232319720056,3.74623764746001,-0.0963632186250436,1.05017985073086,1.68922922344859,3.99084149884288,4.97514145694737,4.13264487242087,1.05718616229655,4.05170483140638,5.96945859987402,6.73179805188937,7.0476487047321,7.43389508441574,3.98028502578778,2.2917384725263,4.60402990633244,6.4916788310087,4.11426076749255,5.12741356024378,4.00558737435735,5.81712963687649,3.00225514915861,7.42603087157335,11.0228716326983,3.9247029484868
Bulgaria,,,,,,,,,,,,,,,,,,,,,4.52727194746696,5.27874405288924,2.3077475391067,5.15530690262365,-0.10824545385654,1.90389462667626,5.71509861808104,6.5599414663323,-3.81650155967232,5.6963202788634,-25.0498862177762,-2.39999961237768,-2.90000044138252,-4.39999948315321,18.5687067932626,3.30294570832659,-32.4062055113404,-1.99423902164372,7.30091876793398,9.29672778581623,7.65978451510621,5.80155087800311,6.39870411231315,9.35728123513628,7.4328325996224,8.50357069913478,11.3300651608399,3.41777766952089,-4.38543699792645,0.311374225404592,2.59490436093684,3.33493980236344,-2.58725759425406,2.90900601036842,3.80329478980342,3.50220088527652,3.80484640896822,4.36569184191917,5.8245780604218
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.44378773935424,0.692532828895835,3.28464663097421,1.45422836053588,2.73957736451875,1.18052181261223,4.82150090408362,25.1813636635261,10.95651509751,14.203274325115,6.61824538139297,1.13044256626245,9.89278468658796,-0.680804162824955,2.56710123926818,-0.215558496250608,1.30761339182945,-1.89607016200574,
