Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,0.95,0.83,0.7533,0.6767,0.6,0.33,0.66,0.49,1.26,1.13,0.62,0.49,1.17,0.76,1.13,0.81,1.08,1.19,1.23,1.26,1.04,1.4,,,,
Argentina,,,,,,,,,,,,,,,,,3.39,3.91,4.17,4.03,3.86,3.9186,3.9771,4.0357,4.0943,4.1529,4.2114,4.27,4.48,4.51,4.4367,4.3633,4.29,4.45,4.7,4.69,4.91,4.68,4.75,4.38,4.23,4.77,4.85,4.66,4.22,4.37,4.71,4.77,4.46,4.5,4.31,4.48,4.44,4.67,4.59,4.11,4.33,4.3,4.28,4.3,4.05,3.91,4.06,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.89,4.26,4.5333,4.8067,5.08,5.35,3.79,5.25,3.95,4.99,6.23,4.79,5.49,4.25,4.04,4.91,4.93,5.36,5.82,4.28,4.8,4.91,5.12,4.5167,3.9133,3.31,3.22,3.13,3.17,4.13,3.28,4.63,
Australia,5.16,5.64,6.08,5.75,5.83,5.56,6.1,6.03,5.68,5.84,6.17,6.09,6.33,5.84,5.26,5.36,5.72,5.43,5.31,4.87,5.11,4.7,4.72,4.85,4.65,4.4,4.28,3.68,3.99,3.65,3.38,3.74,3.65,3.6,3.37,3.47,3.29,3.21,3.06,3.29,3.04,2.72,2.55,2.56,2.72,2.56,2.18,2.02,1.83,1.54,1.79,1.74,1.36,1.5,1.25,1.275,1.3,1.21,1.33,1.29,1.28,1.27,,
Austria,,,,,,3.14,2.8,3.81,3.42,3.28,3.69,4.15,3.34,3.9,4.02,4.17,4.35,5.08,5.04,4.68,4.79,5.02,5.23,5.25,5.08,4.65,4.77,4.86,4.48,4.51,4.67,4.52,4.38,3.95,4.49,3.34,3.94,3.53,3.4,2.96,2.95,2.38,2.75,2.97,2.63,2.97,2.55,2.34,2.09,2.31,1.81,1.65,2.42,2,2.02,2.33,2.04,2.03,1.6,1.77,1.9,1.79,1.89,1.67
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.18,4.53,4.1867,3.8433,3.5,3.62,2.96,3.43,2.85,4.42,1.97,0.96,1.47,2.29,1.77,1.66,2.32,1.96,1.92,2.1,1.9,1.28,1.62,2.75,2.36,1.97,1.58,,,,,,
Barbados,,,,,,,,,,,16.88,26.2,23.68,17.7,27.59,24.06,20.53,16.74,22.77,19.56,23.11,16.18,15.23,16.99,15.3,16.5,17.72,13.98,12.08,19.2,12.92,8.73,15.41,16.07,20.45,9.58,14.63,17.82,15.95,11.87,10.45,13.83,12.4,9.71,13.06,11.16,10.45,9.74,9.03,8.32,7.61,8.55,8,7.43,8.56,7.71,4.07,3.07,7.36,7.14,7.53,3.8,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,4.48,4.52,4.56,4.6,4.29,4.64,4.31,3.93,4.33,4.56,4.22,4.65,4.17,4.93,4.76,4.59,4.19,4.48,4.19,3.96,4.78,4.53,4.5225,4.515,4.5075,4.5,4.69,3.84,3.975,4.11,,
Belgium,,,,,4.5,4.71,4.7,4.82,4.35,4.72,4.18,4.03,5.07,3.89,4.01,3.39,3.85,3.2,3.49,4.36,3.64,3.98,3.26,3.3,2.91,2.55,2.83,3.16,3.55,3.24,3.13,3.13,2.7,2.62,3.45,3.04,2.62,2.7,2.75,2.38,2.12,2.09,1.84,2.49,2.13,2.24,1.86,2.43,1.85,2.27,1.58,1.81,1.73,1.63,1.99,1.71,1.53,1.57,1.8,1.94,1.6,1.87,1.61,
Belize,,,,,,,,,,,,,,,11.28,2.66,14.21,8.63,3.05,2.25,2.18,10.5,18.82,12.9,7.45,10.74,9.25,10.15,7.52,4.89,6.6825,8.475,10.2675,12.06,5.61,6.43,7.25,9.62,14.415,19.21,10.94,7.98,4.95,1.92,4.9,4.62,7.52,14.75,24.9,15.42,17.37,20.68,7.46,13.64,16.4,9.55,9.88,15.12,12.04,9.93,19.72,11.55,11.9,
