Country,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.22,0.25,0.23,0.21,0.19,0.3,0.04,0.22,0.08,0.1,0.12,0.26,0.15,0.13,0.13,0.2,0.18,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.03,0.04,0.03,0.06,0.03,0.02,0.03,0.07,0.04,0.05,0.06,0.04,0.1,0.1,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,
Australia,0.14,0.09,0.03,0.1,0.07,0.04,0.08,0.11,0.095,0.08,0.01,0.07,0.05,0.1,0.09,0.17,0.08,0.13,0.11,0.07,0.1,0.12,0.1,0.14,0.18,0.14,0.13,0.18,0.12,0.12,0.14,0.14,0.18,0.13,0.13,0.11,0.11,0.12,0.14,0.12,0.15,0.2,0.14,0.12,0.06,0.15,0.04,0.08,0.13,0.12,0.08,0.04,0.08,0.1,0.1,0.1,0.1,,
Austria,,,,,,,,,,,,,,,,,0.18,0.12,0.13,0.08,0.11,0.05,0.12,0.13,0.12,0.04,0.21,0.1,0.17,0.34,0.21,0.18,0.2,0.17,0.12,0.13,0.15,0.13,0.13,0.09,0.14,0.21,0.06,0.13,0.13,0.08,0.23,0.08,0.05,0.05,0.12,0.02,0.03,0.08,0.05,0.05,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,0.27,0.535,0.8,0.826,0.852,0.878,0.904,0.93,,,,,
Belgium,0.13,0.03,0.02,0.06,0.04,0.02,0.05,0.01,0.09,0.01,0.02,0.01,0.02,0.03,0.02,0.0167,0.0133,0.01,0.015,0.02,0.01,0.02,0.01,0.02,0.04,0.03,0.02,0.02,0.02,0.01,0.02,0.03,0.0417,0.0533,0.065,0.0767,0.0883,0.1,0.12,0.05,0.09,0.1,0.01,0.06,0.08,0.0725,0.065,0.0575,0.05,0.02,0.05,0.01,0.02,0.03,0.09,0.04,0.1,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.07,0.06,0.06,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.07,0.07,0.09,0.1,0.1,
Bulgaria,,,,,,,,,,,,0.01,0.03,0.0267,0.0233,0.02,0.07,0.04,0.03,0.02,0.09,0.01,0.02,0.07,0.07,0.02,0.05,0.02,0.07,0.01,0.04,0.04,0.1,0.03,0.07,0.06,0.03,0.09,0.06,0.04,0.06,0.03,0.1,0.04,0.07,0.07,0.06,0.06,0.04,0.16,0.02,0.09,0.16,0.04,0.08,0.1,0.1,0.1,
Canada,0.12,0.15,0.14,0.07,0.05,0.08,0.12,0.09,0.15,0.14,0.05,0.14,0.1,0.13,0.11,0.11,0.12,0.15,0.16,0.07,0.17,0.12,0.2,0.16,0.18,0.14,0.14,0.18,0.18,0.18,0.12,0.13,0.13,0.14,0.15,0.16,0.11,0.14,0.14,0.07,0.08,0.15,0.11,0.11,0.11,0.1,0.1,0.12,0.11,0.12,0.14,0.1,0.11,0.12,0.12,0.11,0.1,,
Chile,,,,0.03,0.0267,0.0233,0.02,0.03,0.03,0.035,0.04,0.035,0.03,0.0307,0.0313,0.032,0.0327,0.0333,0.034,0.0347,0.0353,0.036,0.0367,0.0373,0.038,0.0387,0.0393,0.04,0.0407,0.0413,0.042,0.0427,0.0433,0.044,0.0447,0.0453,0.046,0.0467,0.0473,0.048,0.0487,0.0493,0.05,0.04,0.03,0.01,0.03,0.01,0.03,0.02,0.02,0.02,0.02,0.02,0.05,0.075,0.1,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.15,1.2,1.08,1.18,1.1,1.13,1.09,1.06,0.95,1.15,1.08,0.95,1.09,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.04,0.08,0.09,0.03,0.08,0.09,0.07,0.08,0.07,0.06,0.09,0.07,0.085,0.1,,
"Costa Rica",,,,,,,,,,,,,0.13,0.127,0.124,0.121,0.118,0.115,0.112,0.109,0.106,0.103,0.1,0.097,0.094,0.091,0.088,0.085,0.082,0.079,0.076,0.073,0.07,0.067,0.064,0.061,0.058,0.055,0.052,0.049,0.046,0.043,0.04,0.29,0.14,0.13,0.2,0.04,0.44,0.275,0.11,0.25,0.12,0.18,0.15,0.125,0.1,0.2,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.09,0.19,0.06,0.08,0.11,0.13,0.2,0.06,0.07,0.05,0.09,0.16,0.05,0.07,0.06,0.1,0.11,0.31,0.12,0.09,0.04,0.06,0.1,0.15,0.02,0.1,0.1,0.1
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.19,0.13,0.1,0.14,0.18,0.2,0.12,0.14,0.16,0.14,0.2,0.1,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.17,0.14,0.18,0.13,0.14,0.15,0.08,0.12,0.15,0.18,0.14,0.13,0.14,0.04,0.04,0.08,0.1,0.12,0.04,0.08,0.07,0.09,0.09,0.14,0.1267,0.1133,0.1
Czechoslovakia,0.09,0.07,0.01,0.02,0.06,0.03,0.05,0.1,0.08,0.11,0.03,0.06,0.05,0.12,0.05,0.12,0.07,0.05,0.04,0.05,0.05,0.05,0.05,0.1,0.04,0.09,0.12,0.11,0.12,0.07,0.16,0.06,0.12,0.15,0.14,0.1,0.15,,,,,,,,,,,,,,,,,,,,,,
Denmark,0.13,0.21,0.21,0.15,0.09,0.08,0.09,0.26,0.21,0.14,0.13,0.22,0.19,0.15,0.13,0.09,0.24,0.01,0.11,0.11,0.15,0.08,0.05,0.13,0.14,0.12,0.08,0.11,0.16,0.15,0.08,0.15,0.14,0.11,0.12,0.14,0.11,0.06,0.14,0.02,0.09,0.2,0.06,0.04,0.05,0.11,0.03,0.14,0.08,0.09,0.1,0.14,0.16,0.07,0.04,0.13,0.1,,
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.035,0.02,0.034,0.048,0.062,0.076,0.09,0.05,0.045,0.04,0.035,0.03,0.025,0.02,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.0267,0.0233,0.02,0.04,0.0525,0.065,0.0775,0.09,0.03,0.06,0.045,0.03,0.04,,,
