Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Afghanistan,5045.010265,4945.1315,4845.2528,4745.3741,4645.4954,4545.616685,4440.9677,4336.3187,4231.6697,4127.0207,4022.371723,3939.5329,3856.6941,3773.8553,3691.0166,3608.177761,3626.1706,3644.1635,3662.1564,3680.1493,3698.142184,3778.3169,3858.4917,3938.6664,4018.8411,4099.01588,3953.6884,3808.3608,3663.0333,3517.7058,3372.378298,3210.9155,3049.4527,2887.9899,2726.5272,2565.064367,2481.0794,2397.0944,2313.1094,2229.1244,2145.139453,2070.3992,1995.6589,1920.9187,1846.1784,1771.438121,1724.3471,1677.256,1630.1649,1583.0739,1535.982816,1487.6625,1439.342182
Albania,15718.86948,15312.1761,14905.4827,14498.7894,14092.096,13685.40261,13346.7607,13008.1188,12669.4769,12330.835,11992.19304,11734.1569,11476.1207,11218.0845,10960.0484,10702.01222,10493.8881,10285.764,10077.6398,9869.5157,9661.391571,9473.8244,9286.2572,9098.6901,8911.1229,8723.555708,8635.7387,8547.9218,8460.1048,8372.2878,8284.470867,8336.4458,8388.4206,8440.3955,8492.3704,8544.345311,8598.8267,8653.3082,8707.7896,8762.2711,8816.752485,8864.8394,8912.9264,8961.0133,9009.1003,9057.187215,9100.6657,9144.1442,9187.6227,9231.1011,9274.579618,9292.7124,9310.845162
Algeria,962.348397,938.3651,914.3818,890.3984,866.4151,842.4317838,820.267,798.1022,775.9373,753.7725,731.6077233,712.4754,693.343,674.2106,655.0783,635.9459008,618.109,600.2721,582.4352,564.5983,546.7614445,531.481,516.2005,500.92,485.6396,470.3590788,459.0654,447.7717,436.478,425.1843,413.8906256,406.3965,398.9023,391.4082,383.914,376.4198683,371.4593,366.4987,361.5381,356.5775,351.6169347,346.8911,342.1652,337.4393,332.7135,327.9876115,322.2849,316.5822,310.8795,305.1768,299.4741474,293.55,287.6258526
Andorra,20533.50683,19467.5608,18401.6148,17335.6688,16269.7229,15203.77686,14510.1879,13816.599,13123.0101,12429.4211,11735.83222,11314.759,10893.6857,10472.6125,10051.5392,9630.465961,9318.1172,9005.7685,8693.4197,8381.0709,8068.722197,7757.6297,7446.5372,7135.4447,6824.3522,6513.259726,6282.473,6051.6863,5820.8996,5590.1129,5359.326179,5268.6974,5178.0687,5087.44,4996.8112,4906.182474,4826.0295,4745.8765,4665.7236,4585.5706,4505.417636,4367.7317,4230.0457,4092.3597,3954.6737,3816.987773,3819.3216,3821.6553,3823.9891,3826.3229,3828.656695,3906.1742,3983.691605
Angola,25229.87743,24798.091,24366.3047,23934.5183,23502.7319,23070.9455,22628.8061,22186.6667,21744.5273,21302.3879,20860.24846,20328.5928,19796.9371,19265.2814,18733.6257,18201.97004,17650.6512,17099.3323,16548.0135,15996.6946,15445.37576,14994.8541,14544.3324,14093.8107,13643.289,13192.76737,12836.6948,12480.6223,12124.5497,11768.4771,11412.40459,11091.6201,10770.8356,10450.0511,10129.2666,9808.482097,9531.2215,9253.961,8976.7004,8699.4398,8422.179263,8147.4225,7872.6657,7597.9089,7323.1522,7048.395378,6818.1801,6587.9648,6357.7495,6127.5342,5897.318911,5697.4975,5497.676006
"Antigua and Barbuda",909.9818004,892.1269,874.2719,856.417,838.562,820.7070707,806.9068,793.1066,779.3063,765.506,751.7057939,744.0748,736.4437,728.8127,721.1816,713.5506003,714.3917,715.2328,716.074,716.9151,717.7561837,727.4955,737.2349,746.9742,756.7136,766.4529442,765.1491,763.8453,762.5415,761.2377,759.9339442,741.7281,723.5223,705.3165,687.1107,668.9049255,655.6813,642.4576,629.234,616.0104,602.7867294,596.0386,589.2905,582.5423,575.7942,569.0460818,562.7004,556.3547,550.0091,543.6634,537.3177511,531.6172,525.9165613
Argentina,13716.85278,13520.1194,13323.386,13126.6526,12929.9191,12733.18573,12543.0075,12352.8292,12162.6509,11972.4726,11782.29435,11598.5705,11414.8467,11231.1229,11047.399,10863.6752,10705.1509,10546.6266,10388.1023,10229.578,10071.0537,9921.0809,9771.1081,9621.1353,9471.1626,9321.189781,9192.1988,9063.2079,8934.2169,8805.226,8676.235029,8570.7266,8465.2181,8359.7096,8254.2011,8148.692655,8060.2835,7971.8744,7883.4653,7795.0561,7706.647009,7626.4052,7546.1635,7465.9217,7385.6799,7305.438168,7231.6314,7157.8246,7084.0178,7010.211,6936.404266,6865.0112,6793.61814
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.267944,2031.6574,2071.0469,2110.4364,2149.8259,2189.215361,2203.53,2217.8447,2232.1594,2246.474,2260.788682,2276.3343,2291.8798,2307.4254,2322.971,2338.516551,2346.815,2355.1135,2363.412,2371.7104,2380.008897,2370.0596,2360.110384
Australia,45801.52672,44980.9112,44160.2956,43339.6801,42519.0646,41698.44902,40826.3163,39954.1836,39082.0509,38209.9182,37337.78554,36803.7121,36269.6386,35735.5652,35201.4917,34667.41826,34217.0022,33766.5862,33316.1701,32865.754,32415.33799,31982.4798,31549.6215,31116.7633,30683.905,30251.0468,29825.3016,29399.5563,28973.8111,28548.0659,28122.32066,27811.8923,27501.4639,27191.0355,26880.6071,26570.17875,26263.4198,25956.6609,25649.902,25343.1431,25036.38418,24753.6075,24470.8309,24188.0542,23905.2776,23622.50091,23227.4138,22832.3267,22437.2396,22042.1525,21647.06537,21309.156,20971.24663
Austria,7714.032133,7662.3472,7610.6622,7558.9772,7507.2923,7455.607281,7422.5594,7389.5115,7356.4636,7323.4157,7290.367794,7285.7,7281.0323,7276.3645,7271.6967,7267.028961,7265.9333,7264.8376,7263.7419,7262.6462,7261.550486,7261.465,7261.3795,7261.2939,7261.2084,7261.122918,7211.8327,7162.5425,7113.2522,7063.962,7014.67176,6992.2524,6969.833,6947.4137,6924.9943,6902.574924,6883.1164,6863.6579,6844.1994,6824.7409,6805.282433,6770.2482,6735.2139,6700.1796,6665.1453,6630.111047,6608.9538,6587.7966,6566.6393,6545.4821,6524.324878,6481.7092,6439.093493
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099.295584,1086.498,1073.7004,1060.9028,1048.1052,1035.307626,1026.8523,1018.397,1009.9417,1001.4864,993.0310391,983.557,974.083,964.609,955.1349,945.6609138,931.124,916.5871,902.0502,887.5133,872.9763945,862.0222,851.0679356
Bahamas,5781.158379,5542.3038,5303.4492,5064.5946,4825.74,4586.885439,4456.7372,4326.5891,4196.4409,4066.2927,3936.14449,3859.1753,3782.2061,3705.2369,3628.2677,3551.298507,3476.608,3401.9175,3327.2269,3252.5364,3177.845874,3117.4781,3057.1104,2996.7426,2936.3749,2876.007116,2826.8565,2777.7058,2728.5552,2679.4046,2630.253932,2592.059,2553.8641,2515.6692,2477.4743,2439.279367,2404.2678,2369.2563,2334.2448,2299.2333,2264.221738,2220.3419,2176.462,2132.5822,2088.7024,2044.822509,2012.1626,1979.5028,1946.8429,1914.183,1881.523174,1856.5868,1831.650396
