Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,46.99005,,,,,
Albania,,,99.43515,99.3489,99.2626,99.1763,99.09,99.0038,98.9175,98.83121,98.8179,98.8045,98.79119,99.2314,,,,
Algeria,,,,90.13721,90.5478,90.9584,91.369,91.77964,92.7735,93.76733,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,100,100
Angola,,,72.19449,72.5973,73.0001,73.4029,73.8058,74.2086,74.6114,75.0142,75.417,75.8199,76.2227,76.6255,77.0283,77.43113,,
Argentina,,,98.91666,98.944,98.9714,98.9988,99.0262,99.0536,99.0809,99.1083,99.1357,99.1631,99.1905,99.2179,99.2452,99.2726,99.3,
Armenia,,,99.80728,99.8113,99.8153,99.8193,99.8233,99.8273,99.8314,99.8354,99.8394,99.8434,99.8474,,,,,
Aruba,,99.02641,99.0376,99.0488,99.06,99.0712,99.0824,99.0936,99.1048,99.116,99.1272,99.13841,,,,,,
Azerbaijan,99.8861,99.9003,99.9146,99.9288,99.9431,99.9573,99.9715,99.9858,100,99.9757,99.9513,99.9506,99.9441,99.93675,99.95247,99.95699,99.94278,99.94048
Bahrain,,,97.02471,97.1513,97.2778,97.4043,97.5309,97.6574,97.784,97.9105,98.0371,98.1636,,,,,,
Bangladesh,,,63.62273,63.3311,63.0394,62.7478,62.4561,62.1645,61.87281,62.8333,63.7937,64.7542,65.71463,71.0202,76.3258,81.6314,86.937,92.24265
Belarus,99.79184,99.795,99.7981,99.8013,99.8044,99.8075,99.8107,99.8138,99.8169,99.8201,99.82321,,,,,,,
Benin,,,,45.30962,44.5729,43.8362,43.0994,42.3627,44.051,45.7393,47.4276,49.1159,50.8042,52.49247,,,,
Bhutan,,,,,,,74.40521,76.2499,78.0947,79.9394,81.7842,83.6289,85.4736,87.31836,,,,
Bolivia,,,97.32378,97.6767,98.0296,98.3826,98.7355,99.0884,99.44136,99.1225,99.38397,99.1957,99.00752,98.99588,99.1303,99.2647,99.39917,
"Bosnia and Herzegovina",,99.79393,99.7638,99.7336,99.7035,99.6733,99.6432,99.613,99.5829,99.5528,99.5226,99.4925,99.46231,99.5624,99.66243,,,
Botswana,,,,,93.95744,,,,,,,,,,,,,
Brazil,,94.18411,94.849,95.514,96.1789,96.84386,97.2131,97.5823,97.80063,97.84363,98.06554,97.51412,98.48692,98.61966,98.73668,98.84569,,
Brunei,,,98.89379,98.9411,98.9884,99.0357,99.083,99.1303,99.1776,99.2249,99.2722,99.3195,99.36677,,,,,
Bulgaria,,,98.21248,98.1777,98.143,98.1083,98.0735,98.0388,98.004,97.9693,97.9345,97.8998,97.86505,,,,,
"Burkina Faso",,,,,31.22926,32.0979,32.96662,32.7306,39.25778,40.8061,42.3545,43.9029,45.4512,46.9996,48.5479,50.0963,,
Burundi,,73.33006,71.8812,70.4322,68.9833,67.5344,66.0855,64.6366,63.1877,61.73879,64.7089,67.6791,70.6492,73.6193,76.5895,79.55961,,
"Ivory Coast",,60.72365,59.6892,58.6547,57.6202,56.5858,55.5513,54.5168,53.4823,52.4479,51.4134,50.3789,49.3444,48.30996,50.6653,53.02069,,
"Cape Verde",,,,,,,,,,,,,,98.12897,98.1231,98.1172,98.11131,
Cambodia,,,,,,83.38286,84.405,85.4271,86.4493,87.47138,87.13246,,,,,,,
Cameroon,,83.09829,83.1036,83.1089,83.1143,83.1196,83.1249,83.1302,83.13557,82.2819,81.4282,80.57444,,,,,,
"Cayman Islands",,,,,,,,,98.90682,,,,,,,,,
"Central African Republic",,60.80705,58.362,55.9169,53.4718,51.0267,48.5817,46.1366,43.6915,41.2464,38.8013,36.35627,,,,,,
Chad,,37.55735,38.5863,39.6152,40.6442,41.67312,41.4094,41.1457,40.882,40.6183,40.3546,40.0909,39.8272,39.5635,39.2998,39.0361,38.77242,30.79161
Chile,,,,98.99098,99.0181,99.0452,99.0723,99.0994,99.1265,99.15358,98.87238,99.1403,99.40819,99.2282,99.04828,,,
China,,98.85873,98.9371,99.0154,99.0938,99.1722,99.2505,99.3289,99.4072,99.4856,99.5639,99.64229,,,,,,
Macau,,,99.63354,99.6357,99.6378,99.64,99.6421,99.64424,99.65,99.6557,99.6614,99.6672,99.6729,99.6981,99.7232,99.7484,99.7736,99.79874
Colombia,,,,,,97.99131,97.9584,97.88317,97.96863,97.98927,97.93743,98.09842,98.23938,98.3399,98.4404,98.54095,98.53473,
Comoros,,80.18576,79.4687,78.7517,78.0346,77.3176,76.6006,75.8835,75.1665,74.4494,73.7324,73.0154,72.2983,71.58127,,,,
"Congo (Brazzaville)",,,,,,,,,,,,,80.91395,,,,,
"Costa Rica",,97.6147,97.7528,97.8909,98.029,98.1671,98.3052,98.4432,98.5813,98.7194,98.8575,98.9956,99.1337,,,,,
Croatia,,,99.64864,99.6561,99.6636,99.6711,99.6786,99.6861,99.6936,99.7011,99.7086,99.7161,99.72363,,,,,
Cuba,,,,99.9556,99.9475,99.9394,99.9313,99.9232,99.9151,99.907,99.8989,99.8908,99.8827,99.87465,,,,
Cyprus,,,99.77493,99.7795,99.7841,99.7887,99.7934,99.798,99.8026,99.8072,99.8118,99.8164,99.82099,,,,,
"North Korea",,,,,,,,,,99.99964,,,,,,,,
"Congo (Kinshasa)",,,70.41626,69.643,68.8697,68.0964,67.3231,66.5498,65.77653,69.3407,72.9049,76.4691,80.0333,83.59755,83.9455,84.2935,84.6415,84.98951
"Dominican Republic",,,,94.21757,94.5314,94.8453,95.1591,95.473,95.78686,96.1265,96.4661,96.80575,97.04205,97.02389,97.47243,97.68853,97.61406,
Ecuador,,,96.43721,96.269,96.1008,95.9326,95.7644,95.5962,95.42797,96.1295,96.8311,98.65271,98.69484,98.83163,98.60464,99.09777,99.1262,99.05711
Egypt,,,,,,,84.9329,84.87827,85.5361,86.194,86.8518,87.50964,88.3958,89.28192,92.02342,,,
