Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Albania,2.12173913,2.1649,2.208,2.2511,2.2943,2.337391304,2.3805,2.4237,2.4668,2.5099,2.553043478,2.4487,2.344347826,2.344347826,2.344347826,2.344347826,1.9496,1.554782609,1.5467,1.5386,1.530434783,1.554782609,1.554782609,1.554782609,1.554782609,1.554782609,1.471304348,1.471304348,1.471304348,1.471304348,1.471304348,1.471304348,1.471304348
Algeria,0.164039736,0.157909763,0.157909763,0.157909763,0.161268652,0.161268652,0.161268652,0.161268652,0.173612569,0.161058722,0.180246374,0.169917791,0.180120416,0.165635208,0.165635208,0.180120416,0.166810819,0.166810819,0.166810819,0.166810819,0.159253319,0.1569,0.1546,0.1523,0.149974388,0.149974388,0.149974388,0.149974388,0.149974388,0.198300402,0.147455222,0.196956847,0.196956847
Argentina,1.229751115,1.226658035,1.223888649,1.225039563,1.224895698,1.228564235,1.22788088,1.22788088,1.224967631,1.224967631,1.224967631,1.224967631,1.2293,1.2337,1.238,1.2424,1.2467,1.2511,1.2554,1.2598,1.2641,1.2685,1.2728,1.2772,1.2815,1.285894116,1.285894116,1.285894116,1.285894116,0.89997842,0.89997842,0.89997842,0.89997842
Armenia,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.84129119,2.831203766,2.39071957,2.39071957,2.39071957,2.39071957,2.46133154,2.588,2.7146,2.84129119,2.8093,2.777404169,2.777404169,2.777404169
Australia,0.098072397,0.097581518,0.098666618,0.098782879,0.096238061,0.096238061,0.096238061,0.09449415,0.092956924,0.092323949,0.085412894,0.0907,0.0959,0.1012,0.1064,0.1117,0.1169,0.122177125,0.1224,0.1225,0.122706757,0.122823018,0.122900525,0.12238381,0.1227,0.123081375,0.124515257,0.124515257,0.12479945,0.124967382,0.111287368,0.023626767,0.023626767
Austria,6.983426732,6.928579945,6.888041016,6.88327173,6.870156194,6.87492548,6.849886729,6.852271372,6.712769763,6.725885299,6.705615834,6.704423513,6.682961726,6.677000119,6.719923691,6.762847264,6.762847264,6.762847264,6.728269942,6.37295815,6.89161798,6.677000119,6.733039227,6.742577799,6.38965065,6.892810302,6.936926195,6.936926195,6.861809944,6.895647301,6.039652356,5.986003648,5.943084682
Azerbaijan,,,,,,,,,,,,,,,,,,,2.444572748,2.443418014,2.443418014,2.443418014,2.45034642,2.45034642,2.45034642,2.45034642,2.45034642,2.4371,2.423787529,2.400692841,2.400692841,2.400692841,2.387990762
Bangladesh,1.995833333,2.15625,2.15625,1.995833333,2.008333333,2.008333333,1.956944444,1.906701389,1.906701389,1.906944444,1.906701389,1.906701389,1.906701389,1.879173611,1.879173611,1.879236111,1.879236111,1.898270833,1.898270833,1.922222222,1.922222222,1.922222222,1.920138889,1.982638889,1.982638889,1.982638889,1.982638889,1.982638889,1.96875,1.96875,1.96875,1.96875,1.96875
Belarus,2.655105973,2.623314066,2.623314066,2.621868979,2.621868979,2.668593449,2.629576108,2.63150289,2.649325626,2.649325626,2.68256262,2.681599229,2.681599229,2.225915222,2.670038536,2.670038536,2.6698,2.66955684,2.665,2.660404624,2.655105973,2.653660886,2.655105973,2.650289017,2.648362235,2.648362235,2.646435453,2.646435453,2.644990366,2.654142582,2.650770713,2.640655106,2.631021195
Belgium,13.02980675,12.95119555,12.86603341,12.64330167,12.36816246,12.01113659,11.85063872,11.68686538,11.64100884,11.50671471,11.39534884,11.35276777,11.2414019,11.16934163,11.1234851,11.03177203,11.07107763,11.20864723,11.16934163,11.37242057,11.3691451,11.31346217,11.52309204,11.53291844,11.58205044,11.60170324,11.66066164,11.05142483,11.50671471,11.71962005,11.71962005,11.71962005,11.70979365
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660508888,0.660508888,0.660508888,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26088223,0.26088223,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,2.0152314,2.149970709,2.149970709,2.0152314,1.954696348,1.952743605,1.999609451,2.153876196,1.983987502,1.983987502,2.003514938,2.003514938,2.005467682
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.152648136,0.152648136,0.152648136,0.152648136,0.152648136,0.152648136
Brazil,0.059354918,0.059331429,0.059460615,0.059566312,0.059566312,0.059566312,0.059131779,0.057534575,0.058650269,0.060165264,0.057734225,0.057722481,0.057722481,0.057933876,0.057933876,0.054622026,0.054622026,0.049125766,0.086,0.1229,0.1598,0.1967,0.2336,0.2705,0.3074,0.344267917,0.344267917,0.346299654,0.350175223,0.350175223,0.350175223,0.350175223,0.350175223
Bulgaria,3.911163168,3.844490495,3.849896387,3.854401297,3.854401297,3.871519957,3.868817011,3.874222903,3.874222903,3.874222903,3.873321921,3.873321921,3.873321921,3.874222903,3.735471664,3.585007658,3.585007658,3.867015046,3.865213082,3.865213082,3.892242544,3.892242544,3.89044058,3.89044058,3.836936937,3.75045045,3.743243243,3.627927928,3.746846847,3.738738739,3.691891892,3.555855856,3.666666667
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,0.226825177,0.226825177,0.226825177,0.226825177,0.226825177,0.226825177,0.226825177,0.226825177
