"Data Item",1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
"Murder as a percentage of 1973 levels",100,104.2553191,102.1276596,93.6170213,93.6170213,95.7446809,103.1914894,108.5106383,104.2553191,96.8085106,88.2978723,84.0425532,84.0425532,91.4893617,88.2978723,89.3617021,92.5531915,100,104.2553191,98.9361702,101.0638298,95.7446809,87.2340426,78.7234043,72.3404255,67.0212766,60.6382979,58.5106383,59.5744681,59.5744681,60.6382979,58.5106383,59.5744681,60.6382979,59.5744681,57.4468085
"Rape as a percentage of 1973 levels",100,104,96,88,92,104,112,100,100,84,84,100,76,68,80,68,72,68,88,72,64,56,48,36,36,36,36,24,24,28,20,16,20,22,24,20
