Country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Angola,,,,14.021,14.481,12.382,10.283,8.782,,,
Albania,2.2,2.9,3.359,2.223,3.6,3.427,2.023,1.935,1.625,1.896,1.274999976
"United Arab Emirates",2.3,2.346,3.629,2.166,3.339,4.454,2.843,2.555,1.46,0.05,0.64200002
Argentina,10.9,8.834,8.585,6.27,10.461,9.775,10.043,10.619,10.619,10.619,10.61900043
Armenia,2.9,4.4,8.976,3.433,8.172,7.656,2.513,5.788,3.111,3.731,-1.406000018
Australia,3.5,2.332,4.353,1.82,2.845,3.389,1.763,2.45,2.488,1.532,1.300999999
Austria,1.7,2.204,3.223,0.404,1.69,3.6,2.575,2.117,1.458,0.8,0.97299999
Azerbaijan,8.4,16.595,20.792,1.472,5.668,7.869,1.079,2.431,1.351,4.04,12.39999962
Burundi,2.8,8.389,24.436,11.321,6.402,14.892,11.756,8.838,4.421,5.553,5.52699995
Belgium,2.3,1.814,4.493,-0.213,2.302,3.469,2.624,1.196,0.544,0.62,1.769999981
Benin,3.8,1.963,7.956,2.163,2.143,2.736,6.746,2.875,-0.996,0.271,-0.809000015
"Burkina Faso",2.4,-0.249,10.673,2.602,0.395,2.75,3.595,2,,,
Bangladesh,6.3,8.365,8.357,6.064,8.235,10.703,8.719,7.539,7.009,6.431,6.353000164
Bulgaria,7.3,7.571,11.95,2.472,3.036,3.389,2.389,0.383,-1.6,-1.064,-1.322999954
Bahrain,3,3.392,3.533,2.785,1.97,1,1.2,3.305,2.496,1.836,2.799000025
"Bosnia and Herzegovina",6,1.334,7.397,-0.381,2.123,3.7,2.049,0.5745,-0.9,-1.018,-1.100000024
Belize,,,,,0.463,,,,,,
Bolivia,4.3,8.7,14.022,3.458,2.502,9.884,4.517,5.735,5.765,4.061,
Brazil,4.2,3.638,5.672,4.899,5.037,6.636,5.404,6.204,6.329,9.03,8.739999771
Barbados,7.2,5.5,8.269,3.47,5.06,9.42,4.624,2.305,1.426,0.547,
Brunei,,0.4,2.7,1.8,0.5,2.021,0.46,0.1573,-0.1453,-0.448,-0.725000024
Bhutan,,,,,,,9.686,8.652,7.703,7.249,4.183000088
Botswana,11.3,7.076,12.623,8.108,6.95,8.464,7.533,5.763,3.926,3.041,2.809999943
Canada,2,2.146,2.385,0.292,1.777,2.89,1.516,0.959,1.9,1.105,1.409000039
Switzerland,10,7.001,14.529,2.545,4.398,0.228,-0.696,-0.218,-0.012,-1.14,
Chile,3.4,4.394,8.716,1.68,1.516,3.34,3.007,1.792,4.395,4.295,3.789999962
China,1.5,4.752,5.852,-0.685,3.326,5.417,2.65,2.633,1.988,1.441,2.003000021
"Ivory Coast",,2.078,6.315,1.009,1.366,4.9,1.31,2.584,0.449,1.237,
Cameroon,5.3,0.913,5.338,3.04,1.279,2.94,3,2.05,1.853,2.75,0.871999979
Colombia,4.3,5.544,6.998,4.202,2.27,3.416,3.169,2.017,2.899,4.99,7.513000011
"Cape Verde",,,,1.247,2.079,4.474,2.543,1.512,-0.244,0.125,-1.488000035
"Costa Rica",11.5,9.357,13.426,7.841,5.66,4.878,4.493,5.232,3.193,0.802,-0.017000001
Cyprus,2.5,2.165,4.377,0.174,2.564,3.486,3.093,0.38,-0.26,-1.54,-1.218000054
"Czech Republic",2.5,2.8,6.339,1.037,1.464,1.929,3.294,1.419,0.353,0.332,0.691999972
Germany,1.8,2.276,2.754,0.078,1.15,2.482,2.137,1.601,0.788,0.142,0.375
Denmark,1.9,1.712,3.399,1.322,2.298,2.757,2.411,0.783,0.565,0.452,0.25
"Dominican Republic",7.6,6.1,10.6,1.477,6.329,8.459,3.695,4.831,2.999,0.837,1.613999963
Algeria,2.5,3.7,4.46,5.74,4.3,4.5,8.89,3.255,2.917,4.784,6.397999763
Ecuador,3.3,2.244,8.4,5.1,3.55,4.476,5.101,4.344,3.587,3.97,1.723999977
Egypt,4.2,10.952,11.704,16.243,11.703,11.068,8.6,6.915,10.099,10.995,10.19900036
Spain,9.5,19.7,22.564,3.4,5.941,6.717,7.543,6.912,3.268,0.932,3.727999926
Estonia,4.4,6.598,10.366,-0.085,2.894,5.121,4.198,3.516,0.5,0.068,0.800000012
Ethiopia,12.3,17.007,25.316,36.399,2.786,18.111,22.753,8.03,7.377,10.112,7.258999825
Finland,1.3,1.585,3.9,1.6,1.686,3.324,3.162,2.216,1.209,-0.156,0.388999999
France,1.9,1.607,3.159,0.103,1.736,2.293,1.978,0.992,0.621,0.086,
Gabon,,,,,,1.3,3,0.48,4.512,0.098,
"United Kingdom",3.2,2.858,3.798,-0.324,1.646,3.142,2.076,1.464,1.61,0.118,1.274999976
Georgia,9.2,9.2,10.007,1.727,7.109,8.543,-0.944,-0.517,3.069,4.005,2.132999897
Ghana,,9.583,16.522,19.251,10.709,8.725,9.16,11.666,15.486,17.153,17.45499992
Guinea,,,,,,21.524,15.226,11.96,9.721,8.9475,8.173999786
Gambia,1.5,5,4.451,4.554,5.049,4.796,4.645,5.241,6.27,6.808,7.224999905
Greece,3.3,2.989,4.236,1.353,4.702,3.1,1.037,-0.922,-1.425,-1.092,0.013
Guatemala,6.6,6.822,11.356,1.859,3.86,6.215,3.783,4.343,3.419,2.389,4.472000122
Guyana,6.6,12.2,8.104,2.92,3.73,5.701,2.973,3.478,1.021,,
"Hong Kong",2,2.027,4.285,0.52,2.398,5.281,4.073,4.329,4.424,3.037,2.59100008
Honduras,5.6,6.936,11.403,5.5,4.699,6.762,5.196,5.186,6.082,3.158,2.724999905
Croatia,3.2,2.879,6.073,2.375,1.048,2.26,3.428,2.192,-0.208,-0.464,-1.125
Haiti,,,,,4.122,7.4,6.776,6.776,3.944,8.661,13.37800026
Hungary,3.9,7.935,6.067,4.203,4.852,3.9,5.7,1.726,-0.3,-0.1,0.384000003
Indonesia,13.1,6.407,9.777,4.814,5.133,5.357,4.259,6.413,6.395,6.363,3.526000023
India,6.1,6.372,8.349,10.882,13.187,8.628,9.312,9.478,5.993,4.932,4.872000217
Ireland,2.7,2.973,3.108,-1.706,-1.557,1.139,1.922,0.514,0.305,-0.033,-0.208000004
Iran,,,,10.3,12.5,21.3,30.6,35.2,15.549,12.014,8.866000175
Iceland,6.8,5.027,12.422,12.007,5.388,4.006,5.186,3.87,2.044,1.633,1.697000027
Israel,2.1,0.516,4.745,3.334,2.687,3.45,1.711,1.526,0.476,-0.6,-0.545000017
Italy,2.2,2.038,3.5,0.764,1.639,2.902,3.304,1.283,0.217,0.108,-0.050000001
Jamaica,8.6,9.3,22.016,9.57,12.596,7.525,7.289,9.391,7.087,4.678,
Jordan,8.6,10.765,17.176,7.324,7.4,8.329,5.119,5.83,6.719,6.45,14.55200005
Japan,6.3,5.385,14.925,-0.675,5.002,4.409,4.772,5.464,2.899,-0.877,-0.777999997
Kazakhstan,14.1,9.76,13.1,11.75,3.858,13.998,9.403,5.717,6.878,6.582,6.296999931
Kenya,2.2,2.535,4.674,2.757,2.956,4.026,2.187,1.302,1.275,0.707,0.972000003
Kyrgyzstan,5.6,10.204,24.53,6.849,7.759,16.587,4.258,6.4,4.129,5.3,2.000999928
Cambodia,4.8,5.9,19.694,-0.663,3.997,5.478,2.925,2.953,3.852,1.225,2.994999886
"South Korea",3,4.976,10.5,4.678,4.1,4.747,2.925,2.714,2.941,3.4,3.204999924
Kuwait,5.6,10.204,24.53,6.849,7.759,16.587,2.768,6.614,7.534,6.503,0.389999986
Laos,6.5,10.104,15.252,3.26,-1.224,4.223,2.285,0.011,0.693,0.214,0.099
Lebanon,6.1,8.001,10.72,7.7,3.8,5.623,5.349,5.308,3.86,4.757,7
Liberia,3.4,6.651,10.446,2.654,8.394,14.134,6.072,2.594,9.863,7.742,
Libya,3.8,5.82,11.138,4.164,1.19,4.124,3.167,1.162,0.242,-0.676,0.677999973
"Sri Lanka",9.5,19.7,22.564,3.4,6.945,17.712,4.987,1.923,3.268,0.932,
Lesotho,6.1,8.001,10.72,7.7,3.8,8.487,6.835,5.308,9.863,7.742,8.843999863
Lithuania,2.7,2.313,3.383,0.794,2.273,3.41,2.892,1.697,0.698,0.062,0.104999997
Luxembourg,3.2,2.2,8.275,-0.814,1.509,3.9,3.314,2.788,-0.134,-0.249,
Latvia,6.5,10.104,15.252,1.206,4.5,4.985,6.573,3.162,1.854,-3.749,-0.815999985
Morocco,13.2,7.892,10.328,3.254,12.699,10.351,2.091,4.208,2.287,2.392,19.1989994
Moldova,5,9.048,26.806,6.267,10.165,9.481,14.996,9.629,12.907,5.889,0.546000004
Madagascar,10.8,8.068,8.71,8.421,6.908,7.62,21.272,27.706,23.785,21.858,21.68300056
Mexico,3.6,3.967,5.125,0.006,7.359,7.65,4.658,4.569,5.058,9.628,6.381999969
"Macedonia (F.Y.R.O.M.)",10.8,10.307,9.174,8.957,8.995,10.556,6.452,5.825,6.08,7.404,6.736999989
Mali,2.6,0.696,4.685,1.84,2.04,2.433,3.229,0.979,0.77,1.176,0.899999976
Malta,6.2,7.262,7.348,2.235,6.1,5.7,4.903,4.129,3.523,0.486,1.472000003
"Burma (Myanmar)",5.1,6.7,10.345,9.144,4.47,5.75,6.7,6.17,5.348,3.4,6.727000237
Montenegro,3.3,2.041,3.891,0.972,0.994,0.907,1.296,1.881,0.443,1.6,1.600000024
Mongolia,2.8,3.397,8.985,3.559,0.5,3.083,3.645,2.186,-0.733,1.566,-0.418000013
Mozambique,13.2,7.892,10.328,3.254,12.699,10.351,6.1,5.821,5.943,2.392,
Mauritania,5.1,10.7,8.758,2.516,2.933,6.537,3.853,3.483,2.965,1.285,0.977999985
Mauritius,3.6,3.967,5.125,5.297,4.152,3.404,4.112,3.804,4.019,2.72,2.822999954
Malawi,3.6,2.106,5.4,0.6,1.7,3.2,1.664,2.105,3.143,2.104,2.09100008
Malaysia,1.9,2.5,9.146,2.186,1.172,3.051,5.32,-0.601,0.888,1.442,-1.799999952
Namibia,8,6.4,7.7,13.226,9.253,9.613,8.31,9.863,9.042,7.212,9.93200016
Nigeria,2.3,0.765,3.766,2.167,2.399,1.301,0.709,2.132,2.025,2.174,3.549999952
Nicaragua,8.3,5.465,11.235,12.358,13.72,10.841,12.217,8.476,8.057,9.01,15.69900036
Netherlands,3.4,2.377,3.959,2.116,2.302,4.028,1.06,1.134,1.228,0.293,0.646000028
Norway,3.2,5.5,12.611,3.537,3.256,4.032,2.936,1.251,1.011,0.182,1.100000024
Nepal,1.7,1.583,2.205,0.974,0.88,2.477,2.822,2.564,0.317,0.212,0.109999999
"New Zealand",9.4,11.08,19.9,3.7,5.5,8.085,7.926,7.399,6.036,3.997,3.099999905
Oman,7.9,7.771,11.998,20.775,11.73,13.661,11.005,7.361,8.621,4.526,2.862999916
Pakistan,2.5,4.162,8.759,2.411,3.49,5.876,5.698,4.027,2.63,0.134,0.74000001
Panama,9.6,8.1,10.152,2.594,4.651,6.578,3.793,2.684,5.041,2.944,4.086999893
Peru,6.2,2.773,9.299,3.249,3.797,4.761,3.132,2.933,4.174,1.409,1.784000039
