Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,,,,43,41.5,40,39,38,37,37.16,37.32,37.48,37.64,37.8,38.1,38.4,37.8,37.2,36.6,36,35.8,35.6,35.4,33.8,32.2,30.6,29.9333,29.2667,28.6,27.7333,26.8667,26,25.3667,24.7333,24.1,23.4333,22.7667,22.1,21.2667,20.4333,19.6,19,18.4,17.8,17.5,17.2,16.9,16.4,15.9,15.4,14.6,13.8,13,,
Austria,,,,,,,,,,,,,22.9,22.9857,23.0714,23.1571,23.2429,23.3286,23.4143,23.5,23.7857,24.0714,24.3571,24.6429,24.9286,25.2143,25.5,25.3909,25.2818,25.1727,25.0636,24.9545,24.8455,24.7364,24.6273,24.5182,24.4091,24.3,24.1778,24.0556,23.9333,23.8111,23.6889,23.5667,23.4444,23.3222,23.2,23.3375,23.475,23.6125,23.75,23.8875,24.025,24.1625,24.3,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5,25.15,24.8,24.45,24.1,23.9667,23.8333,23.7,22.9,22.1,21.3,20.5,20.2333,19.9667,19.7,19.4333,19.1667,18.9,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,16.9667,16.3333,15.7,15.6,14.8,14.3,14.1,13.4,12.1,11.3,8.7,7.2
Canada,,,,,42,42.5,42.5,42,41,40,39.5,39.5,39,38.3429,37.6857,37.0286,36.3714,35.7143,35.0571,34.4,33.6,32.8,32,31.2,30.8,30.4,28.3,29.55,30.8,31,28.2,25.9,25.7667,25.6333,25.5,25,24.5,24.15,23.8,23.3333,22.8667,22.4,20.55,18.7,18,17.3,17.75,18.2,17.5,16.2,16.3,15.7,16.1,14.9,14,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6,27.84,28.08,28.32,28.56,28.8,28.32,27.84,27.36,26.88,26.4,25.2,24,22.8,21.6,20.4,20.4,20.4,20.4,20.4,20.4,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,32.4667,31.9333,31.4,30.8667,30.3333,29.8,,,,,,
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7,29.34,28.98,28.62,28.26,27.9,27.55,27.2,26.85,26.5,26.2,25.85,25.5,25.2333,24.9667,24.7
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,17.08,16.56,16.04,15.52,15,14.58,14.16,13.74,13.32,12.9,12.5,12.1,11.7667,11.4333,11.1
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,20.18,19.56,18.94,18.32,17.7,17.24,16.78,16.32,15.86,15.4,14.95,14.5,14.1333,13.7667,13.4
