Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barbados,796.405067,841.2620129,888.6454942,938.6978161,991.5692993,1047.418731,1106.413842,1168.73181,1234.559794,1304.095491,1377.547737,1455.137128,1511.103941,1552.693958,1653.331529,1695.012156,1810.910423,1990.504845,2254.86877,2468.167167,2714.983884,2821.213666,2857.150306,2895.456134,2760.793066,2708.337995,2827.504869,2929.295044,3072.830501,3315.584108,3461.46981,3395.701883,3229.312493,3245.459055,3362.29558,3399.280831,3572.644154,3665.532901,3793.826552,3930.40431,3800.700967,3650.56041,3444.65336,3470.391741,3539.027424,3611.952838,3757.803665,3933.682604,4079.533431,4092.402622,4276.861021,4173.907496,4208.225337,4298.309672,4358.365895,4534.244833,4791.628646,4873.13352,4894.582171,4697.254581,4710.123772,4744.441614,4757.310804,4753.021074,4757.310804,4800.208107,4877.42325,4920.320552,4946.058934
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73807.35913,77124.49155,80590.70622,84710.99944,87629.48903,88566.86133,90989.83825,92007.10844,91681.57139,97694.37294,94362.19391,93041.12319,84109.17536,77715.85881,68623.91408,61016.79395,62710.09627,69879.4132,75779.33249,78320.44418,82832.82847,86747.57665,91123.29222,97539.77296,108709.5456,118971.2819,130866.0937,142181.8007,156754.3929,157011.5154,169163.4497,178542.6304,181632.7334,183492.8179,186654.7299,179506.2607,174752.9688,177983.8764,180739.8249
Belgium,91536.70013,96742.98331,95990.36115,99064.86146,103142.2114,108036.1952,111172.7674,113244.4181,113118.3345,116695.2295,122968.374,128950.5563,135596.1324,141578.3147,151548.6185,156867.4071,161852.559,168166.4382,175145.6509,186801.5956,198368.3119,205813.0641,216629.098,229891.1539,239547.2186,236367.9719,249728.955,251292.3917,258434.5432,264484.6167,276332.5965,272883.7248,276734.1243,276701.1486,283552.3379,286403.7672,290678.9714,297541.7992,311585.5735,322766.28,332554.2476,338650.2103,343833.6639,340526.7613,351515.8339,359898.0968,365632.6238,379199.301,386689.478,400468.3869,415020.1396,418388.083,425837.5488,429135.2823,444733.6442,454047.6789,465426.6345,481479.0921,485250.0088,474316.4728,487332.6824,496096.383,497261.2547,498259.0106,504992.6282,512085.1711,519592.4334,528355.8367,537695.592
Bolivia,10255.0112,10977.43994,11309.67989,10239.55817,10453.96884,11006.41435,10353.52421,10011.62611,10249.21631,10216.37864,10654.85812,10876.9953,11483.52638,12221.40814,12810.55458,13440.26519,14411.8739,15313.94401,16619.7243,17363.40095,18271.26594,18968.58353,19936.32898,21305.85298,22403.01749,23882.64427,25339.09152,26405.34998,27290.03544,27284.24056,27033.12897,27282.30893,26092.4263,24927.65483,25176.83479,25001.05668,24203.29446,24836.86833,25783.36588,26530.90578,27904.29304,29373.32044,29857.57548,31133.26226,32586.02737,34109.26243,35598.16597,37361.72163,39240.92028,39407.15708,40395.5433,41076.75281,42097.66361,43237.83125,45042.94611,47034.17391,49291.01921,51540.63683,54709.97763,56545.81016,58880.3531,61943.08551,65116.04016,69542.99852,73339.34117,76902.59092,80180.34703,83548.44923,86891.25452
Brazil,204173.7183,213922.8293,226658.834,237573.4507,253294.0637,271859.8814,275776.8942,298728.2122,325831.9293,353166.4623,382553.1991,411242.9179,436337.852,440862.7559,455742.3767,464931.588,494039.5177,513912.5298,559719.183,608558.4359,668406.003,736231.5697,815579.6442,917876.7514,990272.9281,1041911.68,1139962.69,1193281.141,1253128.708,1342134.481,1460522.421,1396337.345,1404406.757,1356499.908,1429316.581,1542786.545,1666563.233,1722400.09,1718343.674,1774646.733,1699729.865,1717261.659,1709243.538,1788979.908,1884414.112,1967646.47,2011112.985,2079387.099,2086417.283,2096182.034,2188163.915,2218574.374,2286316.311,2312401.133,2445592.556,2523904.332,2623898.876,2783166.934,2924949.591,2921268.024,3141187.794,3266033.603,3328778.542,3428803.106,3446083.823,3316191.892,3196984.422,3228238.333,3278244.492
Bulgaria,25150.45473,30325.38333,28937.35584,32181.11575,31577.62553,33840.71384,33870.88835,37461.65513,40720.5023,43964.2622,48128.34469,51266.49381,55475.83807,58010.49697,62581.93536,66338.66195,71573.93957,75421.18969,76809.21719,80550.85652,85137.38216,87913.43715,92077.51964,95713.54819,98715.91201,106832.8554,110031.3536,108975.2457,111328.8575,115613.638,112294.4419,115281.7184,119008.2705,116760.2695,120622.6068,116986.5783,120079.4656,120305.7745,119551.4117,117409.0214,104584.8544,95799.72659,88806.34655,87474.25135,89048.78788,91631.20273,83356.76692,82449.16156,85304.15316,80177.50466,84138.71739,87310.93029,92495.03109,97264.27695,103523.5817,110898.0955,118521.628,127226.3564,134887.7793,130050.5071,131772.49,134295.8091,134337.4003,135495.6105,137296.0176,142262.6455,147869.3556,153577.0091,159380.3224
"Burkina Faso",2512.282959,2607.749711,2703.216464,2801.195499,2904.199101,3012.227268,3125.280001,3238.332734,3361.434599,3482.024181,3585.027782,3728.227911,3956.84566,3906.600001,3997.042188,4150.291448,4170.389712,4537.183024,4677.87087,4770.825339,4780.874471,4969.295693,5170.27833,4896.439487,4803.485018,4597.477815,4552.256722,4873.82894,5441.604889,5496.875114,5587.317301,5833.521031,5961.647462,5893.815822,5989.282574,6773.114857,7835.810549,7702.659552,8343.291707,8247.824954,8167.4319,8908.220311,8928.94481,9238.013935,9359.496621,9894.519337,10984.37559,11678.2402,12531.65009,13450.61987,13704.41884,14610.11856,15246.06625,16436.74595,17172.76295,18660.75001,19827.50009,20642.05699,21839.29921,22486.1675,24385.4104,26001.41366,27679.19883,29245.68229,30468.87001,31697.77184,33559.84407,36371.5644,39316.48893
Cambodia,2443.3229,2526.089754,2684.820708,2712.031729,3027.226052,2963.73367,3359.427263,3586.185769,3766.458781,4133.80756,4379.840539,4339.024008,4692.767277,5046.510546,4910.455442,5145.150496,5378.711757,5655.357134,5911.594245,6000.030063,5425.19725,5154.220836,4876.441666,6641.756634,5676.899192,4922.92716,5272.135259,5687.103325,6217.718228,6341.301614,6468.286377,6546.518061,7049.921944,7551.058242,8056.72971,8564.668763,9068.072646,8887.799633,9110.022969,9334.51389,9336.781475,10045.63846,10755.78589,11190.53924,12106.08535,12886.06933,13583.5063,14346.87202,15065.51088,16859.77652,18337.95273,19832.20029,21136.94863,22934.83559,25306.41847,28659.54131,31746.48419,34988.61809,37329.90864,37362.27141,39590.2135,42433.78259,45512.16893,48899.60388,52355.35314,56123.49367,60075.72421,64341.10063,68909.31878
Cameroon,8375.809188,8685.714128,9003.994877,9330.651435,9674.059612,10034.21941,10402.75501,10788.04223,11190.08107,11600.49573,11918.77647,12061.16523,12429.70083,12890.37034,13351.03985,13619.06574,14255.62724,14649.29027,15604.13252,16374.70696,16868.8797,17371.42826,18125.25108,18393.27698,19214.10628,20202.45176,20587.73898,21760.35227,22949.71717,24197.71274,26668.57645,31216.64084,33578.61903,35932.22142,38746.4933,42214.07831,45262.87285,43009.78018,41049.84083,37372.8606,36761.42653,35377.70962,34298.63535,33215.44814,32386.72841,33456.92207,35100.30004,36965.59169,38775.19038,40350.34589,42034.39543,43931.94209,45693.19641,47535.08824,49294.76604,50426.89517,52051.72365,53747.03764,55297.52831,56365.59876,58208.33607,60618.43474,63405.75935,66926.27827,70892.3155,74979.4266,78482.26057,81914.34075,85417.67103
Canada,185616.9675,196147.4474,210420.6444,220253.4527,218730.9299,239157.8079,258505.4753,265990.9095,270749.2475,281724.8563,290478.4539,299050.3663,320002.3148,336192.2917,358098.088,381907.9463,406669.8355,419051.6886,440955.6681,464200.485,476193.5315,502712.3176,529274.7081,567177.8949,590346.4041,603683.9218,636747.0123,658145.9066,684760.9859,713225.6215,722769.5501,745207.6844,722509.7402,743539.8134,786172.2685,828679.3607,850387.1201,885058.1255,928075.7534,950535.6899,952893.9651,932638.372,940873.3453,965855.7519,1009256.235,1036281.174,1052976.162,1098041.566,1140664.895,1199559.83,1261729.3,1284072.244,1322723.028,1346562.112,1388116.496,1432555.41,1470137.249,1500462.471,1515472.512,1470772.322,1516123.796,1563748.565,1591043.363,1630422.669,1672247.865,1687994.057,1712769.541,1764156.734,1801207.575
Chile,34761.74371,36276.77452,38613.20764,41522.79696,40179.34797,41690.72813,42391.65803,46743.26468,49309.69044,46516.92276,50375.68805,52784.8898,55286.17333,58783.66232,60091.6532,60577.37063,67332.45158,69518.4495,72007.34773,74686.60195,76222.37389,83048.26616,82040.75238,77475.16962,78230.17297,68130.43855,70527.42603,77480.49739,83847.37537,90791.32898,98004.61568,104092.8592,89948.76669,87428.36979,92574.00423,94396.12008,99678.74129,106238.3981,113980.892,126068.4348,130696.8293,140780.5578,156451.772,166967.9033,175419.1115,190933.8221,203884.6047,218951.0994,228716.7423,227534.1571,239672.7927,247591.0508,255300.41,265751.6,284902.8141,301261.3652,320303.0101,336044.8343,347892.394,342449.9522,362465.6443,384595.7361,405072.2083,421460.4185,429510.8197,439197.6662,446205.0226,453700.6898,468351.2506
China,,,142637.0051,164888.3779,171978.5781,183845.1,211421.865,222204.3801,269533.9131,293791.9652,293791.9652,213586.7587,201625.9002,222393.368,262868.9609,307556.6843,340465.2495,321058.7303,307895.3224,359929.6318,429396.0508,459883.1704,477358.7309,514592.7119,526428.3442,572227.6102,563071.9684,605865.438,676751.6943,728184.823,784983.2392,825017.3844,899268.949,996389.9955,1147841.275,1301652.006,1417499.034,1583346.421,1760681.22,1834629.832,1906180.395,2083455.172,2379305.806,2710029.313,3062333.124,3399189.768,3735709.555,4079394.834,4397587.631,4736201.878,5138779.038,5565297.698,6071739.788,6678913.767,7353484.058,8191781.24,9232137.458,10543100.98,11565781.77,12652965.26,13994179.58,15323626.64,16534193.14,17823860.2,19125002,20444627.14,21814417.16,23319611.94,24860723.07
Colombia,44225.14928,45591.51234,48469.55852,51439.75889,55012.50587,57139.14098,59437.67909,61612.16349,63159.29053,67710.28966,70588.33584,74161.08283,78189.28416,80760.74045,85754.78856,88850.81484,93582.57796,97520.3973,103492.6976,110081.722,117510.7673,124496.7637,134043.5831,143065.8325,151292.366,154795.9974,162134.6607,168860.1442,183184.8039,193002.7693,200922.7129,205200.7938,207237.0469,210547.5089,218045.6699,225203.5692,238969.9872,251804.23,262100.6884,270589.5068,281853.5841,288538.931,301099.7663,318293.0547,334676.7008,352088.0465,359326.4663,371652.4187,373770.0353,358056.6855,368529.3479,374712.8956,384095.6333,399145.5446,420432.0646,440219.9349,469703.7322,502116.2378,519925.3211,528512.1438,549503.5928,585713.1954,609399.1079,639101.62,667181.2421,687543.7242,701019.9239,713411.7945,732646.9824
"Costa Rica",3141.374719,3224.431042,3613.872914,4163.890344,4198.958569,4684.376637,4551.48652,4939.082695,5550.008096,5754.88036,6255.063996,6515.307143,6913.977495,7506.445935,7871.893758,8584.332442,9252.474421,9819.103116,10575.83851,11279.04871,12024.70993,12818.35924,13946.07954,15033.19453,15841.60941,16159.06913,17037.62046,18558.47403,19706.49699,20684.71591,20837.90868,20367.25618,18947.9159,19473.93928,21002.17563,21179.36245,22345.84237,23408.96331,24204.45832,25594.26746,26522.65259,27122.88059,29617.25328,31716.38103,33139.57834,34505.42616,34932.53766,36876.51653,39443.74875,40999.15455,42570.71966,44056.63977,45506.87345,47443.40981,49500.82856,51416.94276,55138.36181,59642.00599,62415.11936,61809.3512,64870.06768,67664.0856,70909.87878,72518.84456,75170.71448,78721.22885,82128.90346,85340.30696,88706.91397
"Ivory Coast",7901.750987,8194.115773,8494.382311,8802.550599,9126.52239,9466.297682,9813.974726,10177.45527,10556.73932,10943.92512,11923.74224,13037.88913,13614.71695,15850.91248,18687.64108,18276.75003,19722.77046,20007.2335,23128.42514,24147.75102,26771.13234,28114.43001,29671.07496,32017.895,32942.39986,32910.79286,36853.7666,38592.15182,42416.5993,43214.67615,46549.21506,48176.97577,48271.79678,46391.18004,44858.24035,47062.82888,48469.34055,47694.96896,46833.6781,46557.11681,43341.10416,43358.43763,43250.04237,43172.19519,43246.18875,45655.74319,49370.15441,52195.43638,54769.02687,55654.93178,54503.76193,54569.91824,53659.88794,52930.35865,53582.34239,54504.62522,55330.83291,56307.44078,57739.24842,59616.61401,60819.46182,58265.88308,64151.75153,70099.86547,76264.50471,83084.9241,89493.30837,95996.80218,103784.5259
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93621.71901,93716.23869,93810.8538,92297.77551,94283.69076,94378.25816,97026.14516,96931.57777,96080.47123,94567.39294,87853.10804,69316.10225,61206.11828,56309.62882,59631.89692,63686.86591,67427.65331,71908.5237,73247.37158,72562.15292,75295.91334,77881.88553,81967.93179,86523.63315,90056.2347,93805.92218,98294.78508,103356.9715,105479.261,97690.89679,96303.24484,95989.34121,93834.67179,93226.59695,93136.92275,95323.18161,98340.54439,101471.3968,104355.0081
Cyprus,2037.845796,1995.936069,2191.408073,2410.785803,2457.487347,2546.087947,2825.848981,3003.028834,2919.241397,3092.419176,2863.351089,3181.38263,3467.397573,3681.90878,3329.726201,4074.645717,4323.307962,4911.346147,5137.596774,5615.711305,5789.668155,6540.340478,6991.894329,7170.214958,5957.429281,4825.061293,5692.268255,6590.133189,7093.892957,7794.162465,8255.580356,8507.460242,9042.704996,9523.665294,10363.9887,10850.37744,11263.64141,12058.66164,13055.18469,14111.05948,15204.30389,15317.11248,16751.12001,16867.75263,17863.90986,19636.34317,19898.08126,20408.58694,21476.99052,22514.13186,23802.86769,24660.08488,25498.1789,26129.41002,27323.69399,28341.21329,29619.47295,31047.39225,32247.16374,31675.46389,32092.84802,32195.94688,31211.35271,29359.23145,28947.16856,29520.03243,30415.16339,31556.12818,32419.96607
"Czech Republic",,,,,,,,,,,,,,,,,,,,,131859.4287,138736.55,146091.461,152926.241,160313.8513,169280.8336,175990.6415,181937.2056,189448.7802,192028.4973,195306.1281,194994.4017,191999.7879,195102.6043,199472.2742,203956.8259,209559.6565,214437.1766,218891.652,222625.9759,224942.834,198849.4653,197855.218,198053.0732,203815.05,216495.2117,225637.4031,224295.6298,223558.3352,226761.5673,236436.8969,243314.2903,247335.0445,256246.5001,268819.398,286382.6295,306009.927,323154.5728,331822.4921,315886.4777,323067.9042,328811.5126,326181.5326,324603.887,333417.2595,351119.177,360224.842,376379.6237,390355.1918
Denmark,56831.01399,57210.47514,57770.0845,61056.83128,62243.12647,62913.89112,63674.72988,68506.15182,70048.91052,75259.7936,77362.16166,82266.40948,86806.52791,87350.80552,95522.63541,99880.68916,102605.9101,106055.5569,110413.6106,117447.0571,119825.3969,123020.1531,129511.2384,134214.2568,132962.8016,132085.0582,139910.5359,142527.2667,145700.3635,151337.5928,150606.644,149603.4034,155115.7664,159142.6667,165772.7909,172409.8122,180865.225,181325.0317,181300.3171,182470.0939,185161.9743,187742.4953,191416.6377,191437.0416,201645.3235,207750.406,213775.3098,220746.2657,225642.7752,232294.7402,240998.5923,242982.3706,244115.5065,245067.7373,251606.6187,257485.8212,267561.1903,269993.9984,268611.561,255432.0661,260211.1813,263689.6184,264286.7923,266753.5112,271073.2508,275428.338,280837.963,286766.1281,290361.1524
"Dominican Republic",5958.676114,6661.582857,7204.177536,7112.922977,7519.868986,7983.540803,8785.101124,9340.027501,9838.22807,9894.953877,10380.82275,10146.5205,11875.42446,12649.85504,13495.80948,11816.23231,13402.08858,13853.4287,13880.55843,15399.82353,17032.54025,18835.43439,21163.65883,23718.7865,25085.13856,26288.71221,28059.54393,29423.42965,30106.60568,31403.90023,33322.71232,34698.92974,35327.8463,36893.97185,36992.62543,36057.88277,37135.67311,39927.56937,40201.33305,45323.92009,43168.33941,43576.30499,48465.94316,52035.18294,53388.33608,56423.65872,59796.59031,65109.69014,69481.42134,73608.66695,77040.13114,78934.91275,82483.14836,81373.15885,83464.54242,91333.83483,99713.10258,107107.7449,110545.3781,111591.3269,120872.452,124621.8429,128103.6143,134178.3722,144388.0137,154554.2514,164824.8491,172670.4934,182683.6798
"Congo (Kinshasa)",20815.57094,23250.99274,25374.18097,26810.45537,28434.0699,29537.29516,31535.58997,32534.73738,31598.03669,32701.26195,33450.6225,29807.89758,36135.83115,38030.04811,37093.34741,37468.02769,40007.52734,39612.0315,41318.90831,45169.78894,45065.71108,47938.25987,48000.70659,52163.82077,53953.95987,51268.75122,48333.75572,48583.54257,45835.88721,45773.44049,46730.95676,47834.18202,47605.21074,48271.30901,50956.51766,51185.48894,53600.09517,55036.36956,55348.60313,54973.92285,53641.72631,49111.41994,43973.53741,38051.04893,35713.21255,36699.75486,35989.707,33168.12663,31882.82488,30670.49983,28175.1792,27583.45269,28396.54728,29980.45872,32000.64905,33963.93994,35771.16623,38009.04075,40376.91121,41529.49754,44481.40929,47539.0573,50908.42122,55226.4524,60456.52172,64637.90801,66189.38936,68836.06023,72399.4226
Ecuador,12774.96667,12913.3384,14506.6482,14811.87996,16008.38846,16429.60829,17038.03694,17807.22098,18328.14985,19310.99612,20564.48123,21081.34034,22202.55835,22768.25455,24371.73873,26719.98842,27419.98659,28870.8549,30468.23446,32134.79987,34387.41028,36367.34697,38605.71322,43418.20067,45957.72892,48373.1296,53059.45458,56429.21323,60362.6332,63638.78744,66552.73333,69269.296,70042.5498,68579.47222,71385.56955,74415.50351,76609.10244,71806.78938,79482.35075,79610.54809,81938.44899,86130.25726,89241.53464,91027.93997,94902.10474,97041.4473,98721.97147,102992.5119,106358.99,101317.4175,102422.3825,106535.4586,110901.0206,113919.9913,123275.5427,129796.7366,135514.3197,138481.7072,147283.4186,148119.6084,153340.3644,165405.3877,174736.5049,183380.752,190702.8419,191004.196,188199.7026,188577.0739,189646.7452
Egypt,50831.34363,53075.65645,56162.28819,56736.04982,55914.47713,56361.36609,58172.13146,62273.51843,66516.17334,70447.67366,74875.56373,77471.73542,79520.29806,87560.33139,97234.01992,99500.62653,98916.86497,101153.3673,108048.0383,122498.3893,135820.1422,140774.3817,143966.9999,146258.1963,151784.7159,165920.5342,183686.306,198109.7865,216135.239,238010.8678,254216.1317,266205.2628,287723.7034,312029.953,336127.5007,356577.3724,372679.0271,388082.0638,401633.5631,412359.5762,421533.4486,426574.91,433364.7141,448713.4023,468167.9884,490083.7029,516536.6906,551288.8712,588908.718,622747.219,650456.5631,672277.2049,693719.4896,718983.1754,749768.0655,792138.545,847316.9956,907663.2103,962052.5088,1006229.601,1061187.732,1063011.404,1093821.843,1123493.828,1178249.512,1224591.834,1271727.516,1326164.984,1390594.976
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19444.14235,20154.35766,20890.51424,21610.13326,22171.79051,22187.89015,22798.39655,23019.77667,24167.93939,25723.92993,23602.24763,21242.02286,18246.89764,16695.91134,16421.79708,17494.1125,18425.33539,20599.36488,21447.45469,21263.76805,23511.00757,24999.0237,26517.91152,28484.65957,30277.64402,33115.85617,36517.4769,39346.86856,37214.51587,31734.78844,32451.67351,34917.22008,36421.11308,37126.53151,38199.76425,38839.24954,39640.59077,41380.56216,42720.54697
