Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,2417.635196,2577.39704,2640.356357,2815.461958,2982.697644,3234.534912,3366.355982,3687.055003,3970.371929,4269.428685,4633.412237,4825.955314,5138.837192,5472.723772,5827.351518,6209.281943,6610.728225,7040.877321,7495.874214,7984.49978,8501.182189,9054.601088,9642.719708,10266.73255,10539.47209,10815.76135,11101.98535,11396.85427,11697.21954,12003.25144,12336.14762,12647.74014,12977.88252,13322.30244,13675.25492,14034.95303,14404.73875,14783.25313,15174.46878,15576.26,15985.76409,11509.7556,10681.0674,11706.43822,12806.8506,13946.62681,15215.78032,13553.58013,14750.28599,16651.67263,17808.37756,19285.27196,20160.15009,21274.71524,22447.98484,23688.55975,25086.81751,26587.83079,28581.91582,29540.66393,30635.70645,31415.5198,31860.71786,32179.95168,32751.02297,33481.36987,34608.44954,35989.62619,37350.8098
Algeria,48078.68044,48415.2312,50578.77182,51684.58147,54713.53834,56348.21347,61877.26172,68896.74907,71396.84045,84474.24153,90243.68318,79281.74404,62454.20589,78945.19328,83079.9598,88609.00805,84330.00549,92214.90908,102984.5335,112840.663,124139.1529,113561.8432,137408.8687,141880.186,150534.3485,161255.8942,171881.2826,187458.775,211498.1152,230537.2727,234816.2753,240729.953,256163.2094,269432.9252,284337.3161,299145.5497,296116.5928,294049.2096,287895.1385,297607.0319,292895.3212,289380.6589,294010.7351,287829.1421,285238.7042,296213.8481,307469.9774,310852.1204,326697.8196,337152.1812,349963.9206,360462.8818,380648.8031,408055.4944,425601.9441,450712.4007,458304.6341,473762.6674,484944.0947,492859.5253,510681.8437,525098.824,542904.5988,558105.9504,579313.9082,600748.5303,620573.3066,637972.7142,653140.8066
Angola,27568.51308,28586.97582,29662.72708,30763.93991,29936.43894,32336.19175,31731.4795,34761.40613,36607.36983,36772.87003,38262.37177,42234.37643,41018.58654,43227.37759,48294.22969,52158.02268,54965.16058,57695.91378,56951.16291,58911.70367,63074.67009,63291.09342,64233.17145,68644.38815,65194.34565,40191.08557,36085.40768,36912.90865,38427.87197,39363.5846,41266.83683,40439.33586,38510.62206,37243.90904,37434.8708,37625.83257,34239.44398,38096.87158,43558.37798,44296.76346,45843.55374,46298.03053,43594.99453,33139.43134,33583.29426,38620.81663,43851.7598,47041.67876,49248.45998,50322.83182,51859.92313,54041.1859,61426.2926,64649.63395,71683.24097,84773.64041,102351.5606,125475.9043,142813.0929,146258.9868,151242.9881,157169.5913,165272.3762,176533.3513,185014.8479,190578.2084,189310.1899,193704.8613,199930.1253
Argentina,161320.325,167624.199,159073.7918,167624.199,174531.6757,186975.3194,192126.6898,201993.7052,214382.6474,200514.8789,216191.5688,231649.4527,227922.207,222440.7414,245353.1167,267773.1787,269582.1001,276817.7856,288601.239,313269.7205,330042.3261,346049.1111,356847.9379,378609.6959,403166.8881,399603.7469,398617.2339,422680.2266,404098.6996,432984.8538,439124.6234,413909.1272,400863.7672,415006.9293,423447.9336,395437.003,424379.745,435342.6762,427120.4778,400590.2598,400863.7672,442947.5479,488567.6747,519107.8116,549404.1932,533773.5437,563272.9845,608960.0493,632406.0235,610995.9742,606175.1768,579450.5046,516321.6761,561949.3807,612690.8943,666924.5496,720592.3896,785502.021,817370.8136,768994.8629,846858.8876,897703.9656,888489.2582,909860.155,886998.9409,910480.2786,890036.4096,913770.1119,941054.691
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13547.29343,14148.95645,14777.34055,15099.12101,15829.83085,16556.24812,16647.67186,15893.01802,15304.56931,16383.46718,15281.05181,13493.16875,7853.02421,6749.358393,7113.822199,7685.266319,8082.537883,8356.321326,8880.354757,9161.881112,9698.087558,10616.30633,12188.26598,13900.981,15356.78916,17524.14831,19836.98201,22564.40921,24132.11065,20717.43943,21173.20084,22168.27056,23749.83268,24533.57792,25418.1451,26245.23815,26294.88343,27294.089,28112.91167
Australia,120339.0363,127063.712,130335.3605,132949.8304,139140.7561,147264.8774,153813.6925,157997.1042,163358.7273,172306.8347,181213.8958,181290.2594,191070.133,202980.5775,215443.9724,226341.5798,232566.8069,249663.4564,262571.418,280435.651,299736.0028,310128.5615,316761.2858,332443.7577,337607.0474,344076.0983,359252.9246,364002.1284,372058.2787,387381.3455,398348.5057,414793.393,415677.0444,412875.8822,440810.2117,462564.1548,472428.2134,496035.3234,516671.3896,540547.6457,548720.5038,543213.8856,557295.6011,579048.12,607317.4158,624643.941,650599.8129,680083.6845,712273.5074,743474.8453,766464.7237,786143.1606,819076.6344,840871.603,876172.1086,901968.2574,927169.7608,967167.0676,993244.7726,1011576.291,1035600.844,1064008.128,1105515.574,1129415.521,1158975.808,1187619.869,1219048.625,1246724.216,1278664.86
Austria,51931.79739,55483.89838,55532.39123,57948.95141,63871.14027,70930.89049,75810.48315,80453.67319,83391.53147,85761.61933,92821.36955,97749.45506,100117.5224,104192.942,110446.4987,113622.7801,120017.7742,123666.8609,129162.7168,137285.2686,147064.6593,154583.071,164180.6135,172204.159,178995.1781,178346.5863,186509.5487,195232.1995,194522.9916,205134.8428,209881.0801,209672.965,213671.6043,219664.5119,220393.9251,225340.1955,230613.7925,234489.1791,241918.6873,252144.6163,263631.3593,272704.5412,278413.6363,279880.2752,286603.4237,294249.8649,301163.423,307468.5559,318480.3296,329806.5146,340939.866,345260.1689,350962.3782,354266.5813,363956.1639,372123.6096,384976.8965,399326.5554,405158.394,389905.8931,397068.7795,408674.3516,411455.2069,411560.1449,414970.8962,419501.7459,425588.2804,438061.6926,446788.9921
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60101.70354,63818.64291,67765.45327,70408.64738,74728.64074,77699.00963,79761.53149,84010.81239,88404.84374,81246.82495,72327.60203,71821.30881,55589.69302,42753.28386,34339.62821,29864.75472,30624.21744,33341.90267,35344.79946,39372.93018,41830.01546,44540.25498,48166.31719,53214.51058,58634.98962,74122.0726,99690.65093,124611.4522,138073.3013,150909.7104,158392.652,155838.7724,159211.6804,168451.8102,172926.6837,174043.5406,168652.8444,166460.3575,168124.961
Bahrain,2475.879892,2631.860325,2797.744278,2973.53175,3161.698622,3359.769014,3572.694684,3797.999754,4035.684224,4290.699853,4563.046641,4852.724589,5159.733695,5493.977481,5845.552425,6221.886169,6615.551072,7046.354173,7494.488433,7977.285012,8519.502709,9195.417919,9925.802487,10713.13229,11636.63549,10398.69555,12092.19739,13540.58713,14587.88432,14535.89085,15625.278,16058.55698,17093.47478,18286.84888,19059.32341,18997.42641,19435.65715,19824.3703,20525.04431,21035.07556,21042.5032,21522.69073,23054.71758,24809.68864,25604.28466,26095.90522,26947.66642,27576.48342,28914.14866,30640.53713,32789.94794,33607.41003,34733.5641,36922.99054,39501.14022,42170.75418,44897.53332,48624.70314,51660.17426,52969.25691,55267.29719,56364.86867,58468.54734,61635.49838,64316.54538,66157.26421,68123.74645,70743.44882,72100.54696
Bangladesh,53611.1453,55544.14385,56746.74509,57980.78302,58959.32221,57938.50682,59274.51497,61644.99391,60392.54641,61376.98244,64766.88389,68455.60572,70189.19243,73625.58819,77840.10611,80140.87877,82598.77327,82209.05566,85000.17378,89477.40084,92498.94204,92871.84682,85253.93874,80323.28609,85848.62538,90843.90961,92258.41893,94761.63467,98685.989,104678.178,107597.3603,110906.9699,114462.5277,119739.0766,124740.907,129411.267,134568.3575,138512.9983,141820.9578,147916.7838,154724.8407,161228.6192,168969.6002,176275.58,184231.2992,193018.9229,202695.7768,213447.2548,224213.2974,236367.5694,249603.1379,261668.0134,274345.2481,290192.0425,307917.6713,327323.1804,349747.6526,372545.6389,393092.7118,413985.3174,438949.4123,467453.9263,496714.2931,526706.0472,559962.7126,598105.4808,641067.1966,686878.1226,734959.6206
