Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.3727416,108.6844035,9.69,7.129999995,11.95,6.349999998,7.600000006,18.17,-0.474434607,-11.73823808,10.95004181,-0.089458105,4.378649596,-5.158482266,-23.91032123,-24.73890109,11.23310032,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.690611075,36.69688651,17.29975735,39.148398,10.4185509,11.64265334,9.286120746,10.89846873,13.46546815,8.882376815,22.17298399,7.567202717,1.331347233,-0.572952665,6.186269627,-6.694146634,-0.643626627,4.25879004,-2.875203941,6.920120248,8.0642502,3.870477155
"United Arab Emirates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.93833318,15.98871913,29.73793886,14.93464501,18.19529211,34.46050775,21.39811034,-15.65429523,-20.38332005,19.00753521,8.564251634,8.026163216,9.864791769,-5.721824978,2.653022393,2.952892449,-3.200068651
Argentina,18.17689285,-2.4533,-23.08339691,20.01239287,5.8406,-8.331144355,0.3786,9.088304088,24.99359768,-18.84380878,11.91372978,-4.869764927,-1.309537309,5.428297733,1.830505856,-21.01109219,37.12672186,-5.186910388,54.59448436,46.35622932,-8.23892425,-42.5799727,-6.923725725,4.705111378,-13.03792965,17.86744214,11.48516769,-9.208045176,-16.51668796,-1.899916979,80.05569905,65.68396139,14.80660913,21.13103335,-9.806630116,17.52909091,26.87155311,8.413928637,-11.26676921,-0.157568635,-13.94658207,-50.05955393,37.56537155,40.12178003,15.84823189,10.99186291,19.6402843,13.56218699,-18.41643939,35.20441734,22.02861658,-4.728263216,3.882880978,-11.47999491,4.711318807,5.824163031,15.35619874,-4.733148387
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29.2770162,-0.423170851,11.91121501,-5.178774926,-1.700872518,7.023259093,6.868041197,18.24892289,27.40846505,-3.268826903,14.15682581,3.760967253,12.99479056,7.278112444,-19.15362406,12.80000405,-2.299967809,-2.732459203,-2.1,-1.000000002,-15.1,7.600000002,24.6,12.8
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.640204866,-13.01546392,0.148148148,-3.846153846,-3.692307692,2.076677316,-12.98904538,-11.15107914,-6.882591093,4.130434783,3.131524008,11.13360324,4.735883424,-2.956521739,-12.54480287,-1.844262295
Australia,12.51760068,-14.25979227,17.32467343,11.23965914,19.08409752,2.751561253,1.686240461,9.886751753,3.447570751,8.33761613,3.068895052,-7.976633032,1.261926747,30.3381459,2.571053782,-4.902378719,9.521247983,-4.685112421,8.067332742,0.100664918,9.45563289,11.56673114,-8.438800277,5.98816568,16.63912461,-0.235492332,-4.726721425,11.22368819,24.88182987,5.616625094,-5.714756484,3.498041272,6.594999226,7.500396008,16.3437216,4.686114746,9.894342058,10.24660098,5.112714382,12.04765863,-0.974331075,1.349230133,13.19722623,13.49888986,12.49945204,8.134160063,10.56498219,14.44256137,-3.424547814,7.138776157,10.2669786,11.36155157,0.274014054,-2.332813626,0.9638244,-0.118442453,4.706436385,7.195883886
Austria,,,,,,,,,,,6.287519644,12.1462547,9.553093318,6.90539529,-4.648741409,17.41751727,8.441409204,-1.008299816,10.24589154,5.707707814,-0.60633229,-3.628942468,4.176909129,6.643313061,5.53794485,-3.541243432,3.833029725,9.442467331,10.15836371,7.980330326,5.114365629,2.116109955,-5.489471873,10.33152883,5.904883194,4.170879275,7.270200711,5.757657249,4.06380707,10.18626733,5.192321794,0.290822726,3.507412996,7.975144598,5.455040639,5.854556834,5.63498584,0.954256343,-11.89921767,11.96951586,5.954271602,0.923627412,0.694051634,2.956619555,3.630202134,3.651560321,5.041377076,4.566797468
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.88053058,46.44150132,28.03719716,19.95291874,-20.63760597,7.736877585,10.3559834,47.57570065,43.16251499,24.26159192,9.463669166,14.72851838,10.65706154,14.32774361,-5.274775164,1.346499772,35.58775486,2.199999068,9.999999687,4.130862352,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.68715083,-8.862034274,12.62762434,17.1160034,17.13270902,40.58973293,27.13130973,61.71073479,28.75804125,-2.702409842,22.2333801,-18.72024969,12.40999948,10.13328013,12.05944027,12.33731781,-5.685117377,60.56763198,-18.32458309,24.66932149,-28.40928742
Belgium,,,,,,,,,,,3.644560917,9.569078356,18.58650758,4.416433741,-9.082391641,12.38551278,4.770924559,2.668308551,8.955893133,-1.920992887,-1.935204262,1.354745599,-1.232230713,6.392519081,0.407258604,4.588901808,6.752892985,10.42015658,9.69349501,4.86873314,2.859224095,4.117063886,-0.360845439,7.280409262,4.651707992,5.554105542,8.202305689,5.058144576,3.373285238,13.01550527,-0.755473782,1.055975866,1.459475747,6.306671613,6.426575906,5.141851248,5.579332627,3.805004936,-10.85888872,9.687970264,5.625029754,-0.674804751,-0.213858263,5.528272669,3.913671554,7.529371034,4.406653981,2.088393062
Benin,-19.01826593,4.544838083,24.63776649,9.302377961,27.12691708,28.45188288,24.75563289,5.48277821,8.66328646,8.200985437,19.64148355,7.917496759,-1.256567422,1.231493543,6.081880948,-6.584150265,9.517473118,5.717830844,27.48439545,17.97003909,9.442433247,-23.29615426,-26.03938671,0.118345465,17.96690399,-13.51454633,-8.328471935,3.281155469,-23.04159286,35.37047241,26.25345545,19.28814018,8.338297289,-11.90845651,5.506115154,-10.46272859,11.43522129,9.877952818,16.61156696,-10.58255346,13.4468278,-3.442545939,5.118192917,-3.801751632,-4.408372584,7.42446225,30.30217983,4.21380628,4.741797402,7.34962107,-4.566596877,11.36228946,30.77100511,14.69169589,-0.967773147,3.30332906,14.32323235,4.838686169
"Burkina Faso",,,,,,1.984962565,19.48255113,14.12924222,5.715630302,-11.71149729,19.40801809,6.83766682,3.999150339,2.692965008,18.35277537,-8.860336112,26.04068745,0.275306041,0.89979619,10.07397409,7.258557652,-2.255936983,-12.82030628,-6.863011032,24.8152682,6.160971965,-2.749689099,2.503456578,-12.01289913,5.568897754,-0.861015323,-12.02690968,6.249520357,-14.53761836,12.17283361,11.55971,1.094884236,21.7969063,-9.205581449,1.692201126,-6.376261183,0.227007454,10.50294245,19.81055189,10.26954666,0.834185363,2.993479286,19.56171574,9.184176804,25.39847371,22.86593688,24.29336418,13.70383451,-8.695520192,8.639951193,3.906106924,9.338990171,6.812957121
