Country,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,3.528821902,4.005995758,3.964311006,4.049194094,4.460930681,4.513626244,4.043224213,3.6956348,3.724045383
Algeria,4.893181153,4.84204793,4.237205269,3.635929494,3.961290821,3.737954191,3.02688835,3.746509579,4.072861467
Angola,,,,,3.813444,3.535061081,3.2532,2.971429,2.809662392
Argentina,3.026609907,2.470724363,2.311689536,2.783211468,3.016755449,2.900438684,2.852990027,2.759274204,2.680305948
Armenia,3.789231542,3.619806406,3.569656104,3.385929475,3.2916494,3.459452651,3.787424709,4.044970046,3.99414468
Australia,5.760771849,6.02803575,6.142531333,5.99476797,5.900931563,5.944991331,6.064447114,5.983784088,6.054418268
Austria,6.036375526,6.219256415,6.197752864,5.840487822,5.73110042,5.923180597,5.988033062,5.927578825,5.940010312
Azerbaijan,4.075384615,4.070038844,4.529040592,4.29299335,3.655604662,3.786548281,3.998314314,4.321452192,4.083638587
Bahrain,4.164237517,4.787509493,5.195746306,5.436718039,5.416062447,5.776360269,5.559039193,4.991927775,5.036840952
Bangladesh,2.331083866,2.421986216,2.676456208,2.832933009,2.91452515,3.065837109,2.963145306,2.629530721,2.570728467
Barbados,5.333333333,5.596726637,5.899556279,5.938858938,5.976358237,6.002444383,5.868805493,5.675565356,5.631583708
Belgium,5.125382756,5.415391924,5.676561653,5.699767864,5.558952781,5.619973383,5.749839344,5.633842328,5.694387482
Belize,,,,,,2.945763,,,
Benin,3.347138837,4.205914235,4.787123264,4.179826653,4.510708385,4.624276468,4.440597477,4.40811248,
Bhutan,,,,,,,,4.930335,4.935145442
Bolivia,2.444392929,2.291476599,1.926858759,1.980170414,2.125919909,2.70810571,3.024488489,3.193758247,3.453988188
"Bosnia and Herzegovina",2.577941853,3.091006742,3.100002287,3.516619781,4.142277761,4.241762,4.8665169,5.37768,
Botswana,4.195399266,4.296547247,4.728951301,4.928386117,4.813728561,4.872987963,4.965641549,4.440520107,4.254618836
Brazil,2.992461666,2.574530395,2.824234082,3.660384886,4.109184395,4.250354931,4.447892349,4.330330598,3.908921334
Brunei,,,4.835486,4.980196617,5.085708097,5.204924863,5.14098887,5.317921421,
Bulgaria,2.896810179,3.119959941,3.05394075,2.952285224,3.29915837,3.392829213,3.427000749,3.382739543,3.265377056
"Burkina Faso",4,4.492216653,4.693890671,4.180270466,3.8007248,3.641731648,3.772844244,4.064027867,4.046330194
Burundi,3.222222222,3.576509972,3.135086438,2.346980289,2.293245985,2.194264087,1.970174502,2.094738265,2.158153595
"Ivory Coast",,,2.729594,2.459497208,2.254625905,2.408207988,2.783201518,3.310645106,3.797545389
