Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Chile,1893.77,1924.00,1315.00,1575.00,2058.00,2017.00,2086.00,2049.00,2793.00,3772.00,4102.00,3370.00,2915.00,2940.00,3468.00,3738.00,5181.00,6742.00,6345.00,6547.00,5059.00,3967.00,3999.00,3824.00,5075.00,5039.00,6311.00,6336.00,8014.00,7320.00,9298.00,10537.00,12098.00,13804.00,14962.00
China,714676.07,712358.00,751166.00,796449.00,873798.00,911571.00,938574.00,992247.00,1061382.00,1049858.00,1195768.00,1063404.00,1100221.00,1175463.00,1264031.00,1373645.00,1415470.00,1336448.00,1334519.00,1391796.00,1495721.00,1576996.00,1692977.00,2025607.00,2338681.00,2682752.00,2983286.00,3201220.00,3313599.00,3582540.00,3847153.00,4287557.00,4538507.00,4678490.00,4539681.85
Colombia,4181.06,4185.00,4071.00,4178.00,4354.00,4833.00,5121.00,5442.00,5201.00,5691.00,5652.00,5774.00,5994.00,6575.00,6144.00,6252.00,5295.00,5502.00,5419.00,4482.00,5574.00,5448.00,5127.00,5135.00,4322.00,4712.00,4371.00,4593.00,4484.00,6310.00,6546.00,7197.00,6266.00,7627.00,8255.00
"Congo (Kinshasa)",184.09,191.00,172.00,162.00,173.00,172.00,176.00,182.00,183.00,187.00,186.00,88.00,94.00,101.00,104.00,105.00,105.00,103.00,106.00,106.00,106.00,109.00,112.00,116.00,119.00,132.00,136.00,140.00,144.00,149.00,153.00,158.00,146.00,161.00,142.00
"Costa Rica",,,,,,,,,,,,,,,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.30,1.00
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,1174.00,1116.00,705.00,365.00,293.00,462.00,434.00,383.00,775.00,861.00,1064.00,1238.00,1311.00,1257.00,1181.00,1263.00,1303.00,935.00,1291.00,1319.00,1160.00,1228.00,1184.00
Cuba,104.72,105.00,143.00,99.00,123.00,139.00,131.00,94.00,105.00,22.00,169.00,117.00,52.00,77.00,96.00,85.00,1.10,18.00,21.00,25.00,24.00,14.00,29.00,28.00,25.00,24.00,22,20.00,26.00,25.00,25.00,25.00,24.00,3.30,0.07
Cyprus,,,,,57.00,82.00,61.00,166.00,100.00,112.00,107.00,107.00,29.00,34.00,30.00,22.00,20.00,21.00,29.00,33.00,54.00,58.00,58.00,58.00,64.00,58.00,61.00,55.00,45.00,24.00,30.00,14.00,1.10,1.10,4.40
"Czech Republic",--,--,--,--,--,--,--,--,--,--,--,--,--,80978.00,75435.00,74248.00,74410.00,72246.00,66173.00,58070.00,68261.00,66219.00,64124.00,65592.00,64202.00,63049.00,63150.00,63882.00,60520.00,56443.00,56621.00,57191.00,54579.00,51211.00,50020.00
Denmark,10973.50,8748.00,10649.00,10023.00,10626.00,13125.00,13307.00,13115.00,12403.00,10040.00,11013.00,14893.00,12229.00,13111.00,14473.00,12100.00,16548.00,12161.00,10293.00,8632.00,7286.00,7686.00,7633.00,10622.00,8142.00,6918.00,10282.00,8731.00,7705.00,7503.00,7392.00,6160.00,4866.00,6072.00,4774.00
"Dominican Republic",,,,,,25.00,31.00,26.00,11.00,11.00,19.00,21.00,20.00,24.00,67.00,88.00,115.00,117.00,165.00,55.00,103.00,224.00,257.00,422.00,475.00,525.00,776.00,802.00,871.00,852.00,823.00,875.00,966.00,963.00,979.00
Ecuador,,,,,,,,,,,,,,,,,,,,,,1.20,1.10,1.50,1.90,3.20,9.90,2.60,4.60,7.20,16.00,14.00,19.00,22.00,26.00
