Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,252,252,252,250,250,250,250,250,250,250,250,250,250
Albania,42,42,42,42,42,42,42,33,33,33,22,22,19
Algeria,74,74,74,74,74,55,55,55,55,55,55,55,55
Angola,335,335,335,335,335,190,190,190,190,190,190,190,190
"Antigua and Barbuda",,25,25,25,25,25,25,25,25,25,25,39,108
Argentina,51,51,51,51,51,51,51,51.5,51.5,51.5,51.5,51.5,51.5
Armenia,6,6,5,5,5,5,7,7,7,7,7,7,7
Australia,7,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
Austria,31.5,31.5,31.5,31.5,31.5,31.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5
Azerbaijan,59,59,59,52,10,10,10,10,10,10,8.5,8.5,8.5
Bahamas,,,,272,122,122,122,122,122,122,122,122,122
Bahrain,,,,31,31,31,31,31,31,31,31,31,31
Bangladesh,424,424,424,425,245,245,245,245,244,244,244,244,244
Barbados,,,,,,,,105,105,105,105,105,105
Belarus,230,230,230,223,21,18,15,10,10,4,4,3,3
Belgium,132,132,132,132,132,79,79,64,64,64,64,56,56
Belize,,60,60,60,60,60,60,60,59,60,60,60,60
Benin,120,120,120,120,120,120,120,120,120,120,120,120,120
Bhutan,92,92,92,92,92,92,92,92,92,92,92,77,77
Bolivia,91,91,91,91,91,91,91,91,91,91,90,90,90
"Bosnia and Herzegovina",331,331,331,331,128,83,32,32,24,24,24,24,24
Botswana,11,11,11,11,10,12,12,12,12,12,12,12,12
Brazil,29,29,29,29,25.5,25.5,25.5,25.5,25.5,31.7,31.7,31.7,31.4
Brunei,,,298,298,298,298,298,299,299,299,299,298,298
Bulgaria,19,19,19,19,19,11,11,11,11,11,11,11,11
"Burkina Faso",182,182,182,182,136,67,67,67,67,67,67,67,67
"Burma (Myanmar)",,,,,,,,,85,85,85,85,85
Burundi,104,104,104,104,94,94,94,94,64,26,23,23,23
Cambodia,56,56,56,56,56,56,56,56,56,56,56,56,56
Cameroon,93,93,93,93,93,93,93,93,93,86,86,86,86
Canada,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5
"Cape Verde",,83,83,83,73,73,73,31,31,22,22,22,22
"Central African Republic",75,75,75,75,75,75,75,75,75,75,75,75,75
Chad,44,44,44,44,44,44,44,44,44,44,44,44,44
Chile,31,31,31,31,31,31,31,31,31,28.5,28.5,28.5,28.5
China,28,28,28,28,28,28,28,28,28,19.5,19.5,19.5,19.5
Colombia,27,27,27,27,27,24,24,19,17,16,16,16,16
Comoros,,30,30,30,30,30,30,30,30,30,30,30,30
"Congo (Brazzaville)",76,76,76,55,55,55,55,55,55,55,55,55,55
"Congo (Kinshasa)",51,51,51,51,51,51,44,44,44,44,44,44,44
"Costa Rica",21,21,21,21,21,21,20.5,19,19,19,19,19,19
Croatia,956,956,398,173,173,103,103,72,72,72,72,62,62
Cyprus,,,,,43,43,43,43,21,21,9,9,9
"Czech Republic",124,124,124,124,124,79,44,26,25,25,31,31,28
Denmark,42,42,42,42,42,42,41,15,9,4,4,4,4
Djibouti,,48,48,39,39,39,39,39,39,39,39,39,39
Dominica,,42,42,42,42,42,42,42,42,42,42,42,42
"Dominican Republic",92,92,92,45,45,45,45,45,45,45,45,45,45
Ecuador,20,18,18,15,15,15,15,15,38,38,38,38,38
Egypt,194,194,194,194,73,73,73,73,73,63,60,60,60
"El Salvador",52,52,33,31,31,31,31,31,31,31,31,31,31
"Equatorial Guinea",,23,23,23,23,23,23,23,23,23,23,23,23
Eritrea,78,78,78,78,78,78,78,78,78,78,78,78,78
Estonia,50.5,50.5,50.5,50.5,50.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5,17.5
Ethiopia,54,54,54,54,54,52,52,52,52,52,52,52,52
Fiji,68,68,68,68,68,68,68,68,69,69,69,69,69
Finland,14,14,14,14,14,14,14,14,14,14,32,32,32
France,182,182,182,122,113,113,74,74,74,74,64,64,64
Gabon,,59,59,59,59,38,38,38,103,103,103,103,103
Gambia,,66,66,66,66,66,66,66,66,66,66,66,66
Georgia,39,9,8,5,3,3,1,1,1,1,1,1,1
Germany,52,52,52,52,52,52,52,52,52,52,52,52,52
Ghana,181,181,181,46,46,46,46,46,46,46,46,46,46
Greece,24,24,24,24,24,24,20,20,20,20,20,20,20
Grenada,,77,77,77,77,77,47,47,47,47,32,32,32
Guatemala,69,69,38,31,31,28,24,24,24,24,24,24,24
Guinea,59,59,59,59,59,59,59,59,59,59,44,44,44
