Country,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,250,270,330,360,460,500,560,670,670,630,590,580
Albania,,,,,,,,,,,,,,,,,,,,,,,,,720,760,760,790,680,420,300,320,400,660,920,830,900,1010,1170,1330,1410,1690,2150,2670,3090,3480,4050,4280,4360,4390,4360,4480,4450,4300,4250
Algeria,190,230,240,240,230,250,280,310,330,310,430,530,710,910,1050,1140,1350,1670,2010,2220,2280,2210,2260,2390,2590,2810,2750,2540,2360,1990,1890,1720,1610,1550,1510,1500,1530,1530,1590,1660,1720,1920,2240,2700,3090,3580,4200,4270,4460,4580,5140,5480,5470,4820,4270
Andorra,,,,,,,,,,,3970,4990,6300,7300,7570,7880,8570,10370,12550,12420,10780,8890,8050,7640,8700,11020,14070,15360,16880,18260,20150,18740,17890,17840,18970,20130,19340,19190,19930,21140,22910,27750,34530,41240,44000,45420,44670,44710,41650,39890,39460,40650,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,690,690,480,500,770,400,260,160,270,320,400,390,330,360,390,470,570,810,1070,1490,2160,2760,3190,3240,3390,3820,4350,4470,4070,3440
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,1520,1830,2060,2110,2320,2770,3200,3560,4440,5560,6000,6390,6810,7030,7480,7920,7590,8070,8370,8500,8770,9170,8880,8720,9510,10350,11240,12550,13770,13980,12500,11760,11520,11940,12050,12460,12800,13400
Argentina,,,1110,1230,1340,1230,1210,1300,1320,1470,1460,1810,2460,2700,2340,2200,2170,2600,2940,2810,2570,2800,2820,2650,3010,3600,3900,2910,3170,3950,6280,7070,7540,7330,7700,8110,7990,7540,7440,6960,3930,3550,3560,4600,5450,6470,7610,7730,9170,10610,11790,12770,12260,12430,11960
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,330,400,460,520,560,590,610,660,710,800,960,1170,1540,2020,2760,3600,3330,3470,3530,3880,4120,4150,4020,3760
Australia,1880,1970,2110,2270,2350,2540,2730,2980,3280,3480,3890,4660,5960,7230,7880,8090,8480,9610,10840,11880,12090,11600,12050,12030,12330,12570,14140,15610,17350,18250,18560,18930,18890,19320,20520,21980,21790,21460,21130,20130,19980,21130,25520,30340,34170,37340,42390,44040,46560,50150,59840,65640,64860,60330,54420
Austria,1060,1140,1240,1340,1470,1560,1680,1850,2050,2300,2750,3560,4640,5520,5960,6630,7510,9580,11420,11130,10350,9570,9240,9330,10780,13760,18010,19230,20560,21730,24430,24780,26040,28090,30050,29550,27920,27210,26690,25270,24950,27940,33620,38500,41260,44200,48790,48710,49350,50310,49830,50500,50150,47290,45230
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,440,400,400,450,510,570,610,660,720,820,950,1270,1890,2710,3900,4830,5410,5560,6480,7450,7700,6550,4760
Bahamas,1550,1650,1760,1900,2040,2230,2450,2760,2920,3110,3190,3740,3840,4640,3120,3360,3720,5200,6050,5790,6360,6640,7700,8510,9400,10790,11710,12430,11860,11320,11550,11310,11600,14260,15940,13660,15790,19020,20330,20870,21230,21650,22780,23510,23610,23860,23790,22270,21660,21330,21730,21500,21120,20790,21020
Bahrain,,,,,,,,,,,,,,,,,,,,,8310,8730,9210,8090,7450,7830,7570,7310,7220,9800,9880,10030,9680,10380,10790,10310,10070,9870,10940,11500,12100,12950,14580,16550,17890,19660,20860,18830,18970,18270,20000,21650,21080,22740,
Bangladesh,,,,,,,,,,,,120,160,210,200,170,160,190,230,260,240,220,210,220,240,270,280,290,310,310,320,320,320,330,360,380,400,410,420,430,420,450,490,530,560,590,640,710,780,870,940,1010,1070,1190,1330
Barbados,,,,,,,,,,,,,,,,,,,,,4270,4380,4820,5170,5870,6660,7400,7870,7520,7520,7480,7730,8090,8500,8950,9360,9700,10110,11110,10990,11030,11740,12650,13640,14630,15660,16090,15810,15900,15160,15280,14960,14760,14620,14830
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630,2180,2820,3510,4310,5470,5590,6080,6210,6620,7010,7600,6720,5600
Belgium,1450,1530,1670,1800,1950,2100,2270,2510,2800,3090,3660,4710,6020,6940,7620,8260,9610,11790,14050,13260,11240,9470,8910,8870,10210,13160,17090,18120,19400,20680,23280,23520,25210,27200,28760,28650,26720,26180,26040,24530,24130,27120,32970,37850,40030,42760,46710,46250,47900,47070,47160,47280,46930,44410,41860
Belize,330,340,350,370,390,420,420,420,420,450,520,600,730,840,800,850,930,1120,1430,1420,1270,1130,1110,1180,1350,1580,1830,2040,2210,2380,2670,2790,2780,2860,2880,2890,2780,2880,3150,3140,3230,3450,3590,3680,3780,3740,3940,4070,3910,4140,4260,4330,4390,4500,4410
Benin,90,100,110,110,110,120,120,120,120,120,130,160,190,200,210,230,250,310,390,410,360,290,270,260,270,310,360,340,370,380,370,380,330,360,350,380,370,380,390,390,390,440,530,600,630,670,750,790,790,800,820,890,930,870,820
Bermuda,2170,2160,2360,2460,2830,3210,3240,3340,3570,4010,4550,5430,6490,7570,8290,8960,9680,10700,12790,14120,13710,14820,16510,17870,21170,24040,26620,26500,27060,27400,29000,30890,31730,34290,41235.8333,48181.6667,55127.5,62073.3333,69019.1667,75965,82910.8333,89856.6667,96802.5,103748.3333,110694.1667,117640,120490,111580,110440,107530,106080,106140,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,290,270,300,300,350,490,540,560,580,500,480,450,490,510,560,600,570,610,770,810,850,940,1060,1210,1330,1620,1730,1810,1970,2150,2290,2300,2340,2350,2510
Bolivia,,,,,,,,,240,250,290,310,390,490,580,620,700,810,870,1030,860,870,850,820,740,720,710,720,720,740,770,800,820,850,910,960,1000,980,990,960,930,920,970,1030,1120,1240,1490,1640,1810,2010,2280,2620,2870,3000,3070
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,1010,1320,1390,1480,1600,1760,2040,2550,3110,3440,3910,4720,4960,4930,4960,4920,5170,5160,5030,4880
Botswana,70,80,80,90,90,90,110,130,150,180,230,310,390,470,490,520,620,800,1000,1200,1160,1050,970,960,1040,1220,1830,2160,2540,2870,3060,3110,2770,3060,2980,3120,3030,2990,3020,3110,2800,3240,3790,4790,5300,5620,5650,5260,5570,6630,7310,7580,7350,6640,6610
Brazil,240,250,270,280,280,310,370,410,450,500,590,760,980,1180,1360,1490,1670,1960,2190,2090,2010,1720,1620,1570,1800,2050,2260,2760,2730,3270,3160,3080,3020,3690,4480,5040,4830,4110,3860,3290,3060,2940,3300,3940,4750,6030,7400,8070,9610,11010,12280,12730,12020,10080,8840
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,12080,12460,13580,15160,15030,15080,15680,16210,16210,14420,14040,14680,16070,17130,17800,19980,23080,27580,30930,34160,32470,33300,35490,42290,45180,42890,38520,
Bulgaria,,,,,,,,,,,,,,,,,,,,,2360,2090,2010,1950,2190,2720,3110,2830,2250,1620,1430,1250,1240,1360,1300,1330,1390,1490,1660,1770,1960,2360,3050,3800,4290,4860,6100,6640,6910,7190,7420,7610,7720,7480,7470
"Burkina Faso",80,80,80,80,80,90,90,90,90,90,90,110,140,160,170,170,200,250,300,300,280,240,210,210,240,270,330,330,330,360,320,280,230,230,250,250,250,260,250,240,240,280,340,410,430,460,520,550,610,610,640,680,680,650,640
Burundi,70,80,80,70,60,60,50,50,70,70,70,80,100,110,120,140,150,180,220,250,240,230,220,240,250,260,250,230,220,220,210,180,160,150,140,150,150,140,130,130,130,120,120,130,150,170,190,190,210,230,260,280,290,280,280
