Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.19999981,12.52,10.84,9.16,7.48,5.800000191,5.85,5.9,5.95,6,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,8.600000381,9.2,9.8,10.39999962,9.44,8.48,7.52,6.56,5.599999905,7.6,9.600000381,7.6333,5.6667,3.700000048,3.6,3.5,3.4,3.3,3.2,3.1,3,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,35.70000076,33.68,31.66,29.64,27.62,25.60000038,23.7667,21.9333,20.1,18.2667,16.4333,14.60000038,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.200000048,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.599999905,2.35,2.099999905,2.72,3.34,3.96,4.58,5.199999809,5.34,5.48,5.62,5.76,5.900000095,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13.8333,12.6667,11.5,10.3333,9.1667,8,7.5571,7.1143,6.6714,6.2286,5.7857,5.3429,4.900000095,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,65.5,63.90000153,58.90000153,61.20000076,58.59999847,56.90000153,53,52.79999924,50.5,43.20000076,44.5,43.09999847,41.29999924,42.70000076,39.5,40.40000153,42.40000153,41.5,40.6,39.7,38.79999924,37.85,36.90000153,33.5,
Barbados,,,,,,,,,,,,5.699999809,5.6677,5.6355,5.6032,5.571,5.5387,5.5065,5.4742,5.4419,5.4097,5.3774,5.3452,5.3129,5.2806,5.2484,5.2161,5.1839,5.1516,5.1194,5.0871,5.0548,5.0226,4.9903,4.9581,4.9258,4.8935,4.8613,4.829,4.7968,4.7645,4.7323,4.699999809,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.699999809,5.88,6.06,6.24,6.42,6.599999905,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,23.79999924,22.96,22.12,21.28,20.44,19.60000038,19.2,18.8,18.4,18,17.60000038,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5,11.3667,11.2333,11.1,10.9667,10.8333,10.7,10.5667,10.4333,10.30000019,11.3,12.30000019,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,7.5,7.98,8.46,8.94,9.42,9.899999619,8.875,7.85,6.825,5.800000191,5.78,5.76,5.74,5.72,5.699999809,5.36,5.02,4.68,4.34,4,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299999952,2.9167,2.5333,2.15,1.7667,1.3833,1,1.05,1.1,1.15,1.2,1.25,1.299999952,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10.8857,10.7714,10.6571,10.5429,10.4286,10.3143,10.19999981,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,5.199999809,5.0571,4.9143,4.7714,4.6286,4.4857,4.3429,4.199999809,4.0167,3.8333,3.65,3.4667,3.2833,3.099999905,2.9,2.7,2.5,2.3,2.099999905,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899999976,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,27.5,28.2833,29.0667,29.85,30.6333,31.4167,32.20000076,32.525,32.85,33.175,33.5,34.2667,35.0333,35.79999924,32.1,28.4,24.70000076,24.70000076,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,28.4,28.3,28.20000076,27.1833,26.1667,25.15,24.1333,23.1167,22.10000038,,,,,,
Burundi,,,,,,,,,,,,,,,,,,27.79999924,28.6538,29.5077,30.3615,31.2154,32.0692,32.9231,33.7769,34.6308,35.4846,36.3385,37.1923,38.0462,38.90000153,37.62,36.34,35.06,33.78,32.5,31.22,29.94,28.66,27.38,26.10000038,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,38.20000076,38.3,38.4,38.5,38.59999847,36.3,34,31.7,29.4,27.10000038,27.8,28.5,29.20000076,29.15,29.10000038,28.075,27.05,26.025,25,
Cameroon,,,,,,,,,,,,,,,,,,,,,,18.29999924,17.9286,17.5571,17.1857,16.8143,16.4429,16.0714,15.69999981,15.5833,15.4667,15.35,15.2333,15.1167,15,14.65,14.30000019,14.34,14.38,14.42,14.46,14.5,,,,
Canada,,1.700000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,21.29999924,21,20.7,20.4,20.1,19.8,19.5,20.4833,21.4667,22.45,23.4333,24.4167,25.39999962,24.275,23.15,22.025,20.89999962,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.79999924,31.3,29.8,28.29999924,29.45,30.6,31.75,32.90000153,32.1167,31.3333,30.55,29.7667,28.9833,28.20000076,28.08,27.96,27.84,27.72,27.60000038
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.48,0.46,0.44,0.42,0.400000006,0.400000006,
China,,,,,,,,,,,,,,,,,,,,,12.10000038,13.35,14.60000038,12.9333,11.2667,9.600000381,8.6,7.6,6.599999905,7.05,7.5,7,6.5,5.7333,4.9667,4.199999809,4.275,4.35,4.425,4.5,3.299999952,,,,,
Colombia,,,,,,,,,,,,,,,,,8.100000381,7.8111,7.5222,7.2333,6.9444,6.6556,6.3667,6.0778,5.7889,5.5,5.4,5.3,5.2,5.1,5,4.94,4.88,4.82,4.76,4.699999809,4.42,4.14,3.86,3.58,3.299999952,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,18.60000038,19.425,20.25,21.075,21.89999962,21.4917,21.0833,20.675,20.2667,19.8583,19.45,19.0417,18.6333,18.225,17.8167,17.4083,17,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.60000038,10.55,10.5,10.45,10.4,10.35,10.30000019,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.70000076,29.9333,29.1667,28.4,27.6333,26.8667,26.10000038,24.5,22.9,21.29999924,21.2333,21.1667,21.10000038,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.799999952,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23.925,24.85,25.775,26.70000076,27,27.3,27.6,27.9,28.2,28.5,,,
"Dominican Republic",,,,,,,,,,,,,,,,,7.300000191,7.34,7.38,7.42,7.46,7.5,6.82,6.14,5.46,4.78,4.099999905,3.8,3.5,3.2,2.900000095,3.4,3.900000095,3.86,3.82,3.78,3.74,3.700000048,3.7667,3.8333,3.9,3.9667,4.0333,4.099999905,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5.95,5.9,5.85,5.8,5.75,5.7,5.65,5.599999905,,,
Egypt,,,,,,,,,,,,,,,,,,,11.60000038,10.7333,9.8667,9,8.45,7.900000095,8.85,9.800000191,8.52,7.24,5.96,4.68,3.400000095,4.6,5.8,7,5.6,4.199999809,4.6,5,5.400000095,,,,,,,
"El Salvador",,,,,,,,,,,,,,,,,,,10.69999981,9.78,8.86,7.94,7.02,6.099999905,6.74,7.38,8.02,8.66,9.300000191,8.5,7.7,6.9,6.1,5.300000191,5.58,5.86,6.14,6.42,6.699999809,,,,,,,
"Equatorial Guinea",,,,,,,,,,,,,,,,,,,,,,,,,,,,12.19999981,13,13.8,14.60000038,13.425,12.25,11.075,9.899999619,9.1167,8.3333,7.55,6.7667,5.9833,5.199999809,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,37.09999847,36.5143,35.9286,35.3429,34.7571,34.1714,33.5857,33,33.8,34.6,35.4,36.2,37,37.8,38.6,39.40000153,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.59999847,38.24,36.88,35.52,34.16,32.79999924,31.8833,30.9667,30.05,29.1333,28.2167,27.29999924,26.7667,26.2333,25.70000076,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.699999809,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.400000095,7.2,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.4,5.2,5,,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.30000019,14.4167,14.5333,14.65,14.7667,14.8833,15,15.475,15.95,16.425,16.89999962,16.4333,15.9667,15.5,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899999976,1.675,1.45,1.225,1,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,23.39999962,23.36,23.32,23.28,23.24,23.20000076,22.65,22.1,21.55,21,20.45,19.89999962,19.175,18.45,17.725,17,15.5,14,12.5,12.7,12.89999962,12.3667,11.8333,11.30000019,11.4,11.5,11.60000038,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,,,,,,26.60000038,25.9125,25.225,24.5375,23.85,23.1625,22.475,21.7875,21.10000038,20.275,19.45,18.625,17.79999924,17.7,17.6,17.5,16.7286,15.9571,15.1857,14.4143,13.6429,12.8714,12.10000038,12.0833,12.0667,12.05,12.0333,12.0167,12
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,20.9333,20.8667,20.8,20.7333,20.6667,20.60000038,20.15,19.70000076,18.8,17.9,17,16.1,15.19999981,,,
"Guinea Bissau",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,20.7,19.9,19.1,18.3,17.5,16.70000076,16.85,17,17.05,17.10000038,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.899999619,9.9167,9.9333,9.95,9.9667,9.9833,10,9.8,9.6,9.399999619,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,22.70000076,20.95,19.2,17.45,15.7,13.95,12.19999981,13.0667,13.9333,14.8,15.6667,16.5333,17.39999962,16.2833,15.1667,14.05,12.9333,11.8167,10.69999981,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,20.10000038,18.46,16.82,15.18,13.54,11.89999962,11.18,10.46,9.74,9.02,8.300000191,8,7.7,7.4,7.1,6.8,6.5,,,
Hungary,,,,,,,,,,,,,,,1.600000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,48.79999924,48.0857,47.3714,46.6571,45.9429,45.2286,44.5143,43.79999924,43.8143,43.8286,43.8429,43.8571,43.8714,43.8857,43.90000153,42,40.1,38.2,36.3,34.4,32.5,30.6,28.70000076,
Indonesia,,,,,,,,,,,,,,,,,,,,25.39999962,25.6,25.8,26,25.7333,25.4667,25.20000076,24.4,23.6,22.79999924,21.10000038,23.79999924,22.39999962,20.70000076,20.60000038,18.70000076,21.89999962,20.25,18.60000038,17.6333,16.6667,15.69999981,16.9333,18.1667,19.39999962,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.89999962,11.0167,10.1333,9.25,8.3667,7.4833,6.599999905,6.76,6.92,7.08,7.24,7.400000095,,,,
"Ivory Coast",,,,,,,,,,,,,,,,,,,,,,,,,18,18.425,18.85,19.275,19.70000076,19.0375,18.375,17.7125,17.05,16.3875,15.725,15.0625,14.39999962,28.39999962,25.28,22.16,19.04,15.92,12.80000019,,,
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,3.5,2.900000095,4.5,3.200000048,2.599999905,2.5,3,2.700000048,2.599999905,2.5,2.400000095,3.75,5.099999905,1.700000048,0.899999976,1.75,2.599999905,2.35,2.099999905,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299999952,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,,4.400000095,4.3143,4.2286,4.1429,4.0571,3.9714,3.8857,3.799999952,3.68,3.56,3.44,3.32,3.200000048,3.0429,2.8857,2.7286,2.5714,2.4143,2.2571,2.099999905,2.2667,2.4333,2.599999905,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,5.099999905,4.775,4.45,4.125,3.799999952,3.8714,3.9429,4.0143,4.0857,4.1571,4.2286,4.300000191,4.125,3.95,3.775,3.599999905,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,17.70000076,17.18,16.66,16.14,15.62,15.10000038,15.15,15.19999981,14.7,14.2,13.69999981,14,14.3,14.6,14.9,15.2,15.5,,,,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.39999962,,,,,,
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.899999976,1.5,1.899999976,2.700000048,2.400000095,3.400000095,2.700000048,1.799999952,1.5,1.5,1.799999952,2.299999952,3,2.599999905,
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.599999905,5.2556,4.9111,4.5667,4.2222,3.8778,3.5333,3.1889,2.8444,2.5,3.2333,3.9667,4.699999809,4.3667,4.0333,3.700000048,,,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.5,33.85,33.2,32.55,31.9,31.25,30.60000038,29.72,28.84,27.96,27.08,26.20000076,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,3.299999952,3.2375,3.175,3.1125,3.05,2.9875,2.925,2.8625,2.799999952,,,,,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.60000038,13.425,14.25,15.075,15.89999962,14.94,13.98,13.02,12.06,11.10000038,,,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.70000076,17.8429,17.9857,18.1286,18.2714,18.4143,18.5571,18.70000076,17.8333,16.9667,16.1,15.2333,14.3667,13.5,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,3.799999952,3.8833,3.9667,4.05,4.1333,4.2167,4.3,4.3833,4.4667,4.55,4.6333,4.7167,4.800000191,,,,,,,,
"Macedonia (F.Y.R.O.M.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,1.52,1.44,1.36,1.28,1.200000048,1.899999976,1.7667,1.6333,1.5,1.3667,1.2333,1.100000024,,,,
Madagascar,,,,,,,,,,,,,,,,,,,,,,,32.59999847,32.3,32,31.7,31.4,31.10000038,31.5857,32.0714,32.5571,33.0429,33.5286,34.0143,34.5,,,,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,22.39999962,22.1125,21.825,21.5375,21.25,20.9625,20.675,20.3875,20.10000038,19.375,18.65,17.925,17.20000076,15.55,13.89999962,13.0333,12.1667,11.30000019,12.60000038,,,,,
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69999981,,,,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,31.89999962,31.6667,31.4333,31.20000076,29.9,28.6,27.3,26,24.9,23.8,22.7,21.6,20.5,19.4,18.3,17.20000076,,,,,,
Mali,,,,,,,,,,,,,,,,,,27,28.1333,29.2667,30.4,31.5333,32.6667,33.8,34.9333,36.0667,37.20000076,35.46,33.72,31.98,30.24,28.5,28,27.5,27,26.5,26,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,42.09999847,40.71,39.32,37.93,36.54,35.15,33.76,32.37,30.98,29.59,28.20000076,27.4286,26.6571,25.8857,25.1143,24.3429,23.5714,22.79999924,13.89999962,16.9333,19.9667,23,17.20000076,,,
Mexico,,,,,,,,,,,,,,,,,,,,13.10000038,12.2333,11.3667,10.5,9.6333,8.7667,7.9,7.0333,6.1667,5.300000191,4.9625,4.625,4.2875,3.95,3.6125,3.275,2.9375,2.599999905,2.6333,2.6667,2.7,2.7333,2.7667,2.799999952,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.400000095,3.2286,3.0571,2.8857,2.7143,2.5429,2.3714,2.200000048,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.39999962,10.60000038,9,7.4,5.8,4.199999809,5.300000191,5.04,4.78,4.52,4.26,4,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.600000024,1.5125,1.425,1.3375,1.25,1.1625,1.075,0.9875,0.899999976,,
Morocco,,,,,,,,,,,,,,,,,,13,11.94,10.88,9.82,8.76,7.699999809,7.6,7.5,7.4,7.3,7.199999809,7.5333,7.8667,8.2,8.5333,8.8667,9.199999809,8.4375,7.675,6.9125,6.15,5.3875,4.625,3.8625,3.099999905,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.29999924,24.4,23.5,22.6,21.7,20.8,19.89999962,19.12,18.34,17.56,16.78,16,15.2,14.4,13.60000038,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,19.70000076,19.6625,19.625,19.5875,19.55,19.5125,19.475,19.4375,19.39999962,18.9857,18.5714,18.1571,17.7429,17.3286,16.9143,16.5,15.6333,14.7667,13.9,13.0333,12.1667,11.30000019,,
Nepal,,,,,,60.29999924,59.4524,58.6048,57.7571,56.9095,56.0619,55.2143,54.3667,53.519,52.6714,51.8238,50.9762,50.1286,49.281,48.4333,47.5857,46.7381,45.8905,45.0429,44.1952,43.3476,42.5,40,37.5,39.5667,41.6333,43.70000076,42.92,42.14,41.36,40.58,39.79999924,37.52,35.24,32.96,30.68,28.39999962,,,,
Netherlands,,,,,,,,,,,1.100000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,8.899999619,9.04,9.18,9.32,9.46,9.600000381,8.7667,7.9333,7.099999905,5.8333,4.5667,3.299999952,4.6,5.900000095,,,,,,,,,
Niger,,,,,,,,,,,,,,,,,,,,,,,39.70000076,40.4,41.1,41.8,42.5,43.2,43.90000153,43.15,42.40000153,41.5833,40.7667,39.95,39.1333,38.3167,37.5,37.4333,37.3667,37.3,37.2333,37.1667,37.09999847,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,33.29999924,32.6923,32.0846,31.4769,30.8692,30.2615,29.6538,29.0462,28.4385,27.8308,27.2231,26.6154,26.0077,25.39999962,25.1,24.8,24.5,24.20000076,24.79999924,24.5667,24.3333,24.10000038,26.55,29,18.29999924,
"North Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.20000076,16.5714,16.9429,17.3143,17.6857,18.0571,18.4286,18.79999924,17.5333,16.2667,15,,,
Oman,,,,,,,,,,,,,,,,,,,,,,,,,6,6.98,7.96,8.94,9.92,10.89999962,10.64,10.38,10.12,9.86,9.6,9.34,9.08,8.82,8.56,8.300000191,,,,,,
Pakistan,,,,,,,,,,,,,,,,,,,,,,37.59999847,37.2333,36.8667,36.5,35.7143,34.9286,34.1429,33.3571,32.5714,31.7857,31,30.94,30.88,30.82,30.76,30.7,30.64,30.58,30.52,30.46,30.39999962,29.10000038,,,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.900000095,5.8364,5.7727,5.7091,5.6455,5.5818,5.5182,5.4545,5.3909,5.3273,5.2636,5.199999809,,,,,,,
"Papua New Guinea",,,,,,,,,,,,,,23,22.6182,22.2364,21.8545,21.4727,21.0909,20.7091,20.3273,19.9455,19.5636,19.1818,18.8,18.4182,18.0364,17.6545,17.2727,16.8909,16.5091,16.1273,15.7455,15.3636,14.9818,14.60000038,16.6167,18.6333,20.65,22.6667,24.6833,26.70000076,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,3.400000095,3.35,3.3,3.25,3.2,3.15,3.1,3.05,3,2.95,2.9,2.85,2.8,2.75,2.7,2.65,2.6,2.55,2.5,2.45,2.4,2.35,2.299999952,,,
Peru,,,,,,,,,,,,,,,,,,,,,,7.900000095,7.3,6.7,6.1,5.5,4.900000095,4.95,5,5.05,5.099999905,5.04,4.98,4.92,4.86,4.800000191,4.7,4.6,4.5,3.700000048,3.900000095,4.300000191,3.200000048,3.05,2.900000095,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.29999924,21.16,21.02,20.88,20.74,20.60000038,20.5,20.4,20.29999924,20.4,20.5,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.799999952,2.799999952,3,2.900000095,,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,23.20000076,22.5875,21.975,21.3625,20.75,20.1375,19.525,18.9125,18.29999924,18.08,17.86,17.64,17.42,17.20000076,15.84,14.48,13.12,11.76,10.39999962,,,,,
"Saint Thomas and Principe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.800000191,9.2375,9.675,10.1125,10.55,10.9875,11.425,11.8625,12.30000019,,,,,,,
"Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,15.30000019,16.0857,16.8714,17.6571,18.4429,19.2286,20.0143,20.79999924,20.5714,20.3429,20.1143,19.8857,19.6571,19.4286,19.20000076,18.28,17.36,16.44,15.52,14.60000038,15.3,16,16.7,17.4,18.1,18.79999924,13.19999981,15.39999962,11.80000019,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.299999952,1.38,1.46,1.54,1.62,1.700000048,,,,,
"Sierra Leone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10000038,22.08,23.06,24.04,25.02,26,23.5,21,18.5,19.05,19.60000038,18.7667,17.9333,17.10000038,,
Singapore,,,,,10.80000019,10.4962,10.1923,9.8885,9.5846,9.2808,8.9769,8.6731,8.3692,8.0654,7.7615,7.4577,7.1538,6.85,6.5462,6.2423,5.9385,5.6346,5.3308,5.0269,4.7231,4.4192,4.1154,3.8115,3.5077,3.2038,2.900000095,,,,,,,,,,,,,,,
"Solomon Islands",15.5,15.4316,15.3632,15.2947,15.2263,15.1579,15.0895,15.0211,14.9526,14.8842,14.8158,14.7474,14.6789,14.6105,14.5421,14.4737,14.4053,14.3368,14.2684,14.19999981,,,,,,,,,,,,,,,,,,,,,,,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.29999924,27.9667,24.6333,21.29999924,,,,,,
"South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.600000381,,,,,,,,,,,
"South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600000024,0.5571,0.5143,0.4714,0.4286,0.3857,0.3429,0.300000012,,,,,
"South Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.70000076,27.65,26.6,25.55,24.5,,,,,
"Sri Lanka",,,,,,,,,,,,,,,,,,27.29999924,27.0308,26.7615,26.4923,26.2231,25.9538,25.6846,25.4154,25.1462,24.8769,24.6077,24.3385,24.0692,23.79999924,23.3143,22.8286,22.3429,21.8571,21.3714,20.8857,20.39999962,21,21.60000038,23.3333,25.0667,26.79999924,,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,31.89999962,32.5857,33.2714,33.9571,34.6429,35.3286,36.0143,36.70000076,34.9,33.1,31.3,29.5,27.7,25.89999962,,,,,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.10000038,9.5833,9.0667,8.55,8.0333,7.5167,7,6.6,6.2,5.8,5.400000095,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.699999809,8.2333,7.7667,7.3,6.8333,6.3667,5.900000095,5.675,5.45,5.225,5,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,10.39999962,10.275,10.15,10.025,9.9,9.775,9.65,9.525,9.399999619,9.18,8.96,8.74,8.52,8.300000191,8.4333,8.5667,8.699999809,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30000019,13.65,14,10.85,7.699999809,9.5,11.3,13.10000038,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,23.29999924,23.7,24.1,24.5,24.9,25.29999924,25.8,26.3,26.79999924,24.52,22.24,19.96,17.68,15.39999962,15.34,15.28,15.22,15.16,15.10000038,14.60000038,12.89999962,,,,
Thailand,,,,,,,,,,,,,,,,,,16,15.5316,15.0632,14.5947,14.1263,13.6579,13.1895,12.7211,12.2526,11.7842,11.3158,10.8474,10.3789,9.9105,9.4421,8.9737,8.5053,8.0368,7.5684,7.099999905,7.3167,7.5333,7.75,7.9667,8.1833,8.399999619,,,
"Timor Leste",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.09999847,39.38,40.66,41.94,43.22,44.5,44.1,43.70000076,41.85,40,38.15,36.29999924,,
Togo,,,,,,,,,,,,,,,,,,,19.70000076,19.82,19.94,20.06,20.18,20.3,20.42,20.54,20.66,20.78,20.89999962,20.9125,20.925,20.9375,20.95,20.9625,20.975,20.9875,21,20.75,20.5,17.45,14.39999962,14.6,14.8,15,15.19999981,
"Trinidad and Tobago",,,,,,,,,,,,,,,,,,4.699999809,4.6692,4.6385,4.6077,4.5769,4.5462,4.5154,4.4846,4.4538,4.4231,4.3923,4.3615,4.3308,4.300000191,,,,,,,,,,,,,,,
Tunisia,,,,,19.10000038,18.2857,17.4714,16.6571,15.8429,15.0286,14.2143,13.4,12.5857,11.7714,10.9571,10.1429,9.3286,8.5143,7.699999809,7.8,7.9,8,8.1,8.2,8.300000191,7.85,7.4,6.95,6.5,6.05,5.6,5.15,4.7,4.25,3.8,3.35,2.900000095,2.65,2.4,2.15,1.9,1.65,1.399999976,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,7.900000095,7.74,7.58,7.42,7.26,7.099999905,6.5667,6.0333,5.5,4.9667,4.4333,3.900000095,3.7,3.5,3.3,3.1,2.9,2.7,2.5,2.3,2.099999905,,
