Country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.5,80.8,81.1,81.4,81.7,82,82.3,82.6,82.9,83.54,84.18,84.82,85.46,86.1,86.74,87.38,88.02,88.66,89.3
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6,45.45,46.3,47.15,48,48.85,49.7,45.9667,42.2333,38.5,36.0333,33.5667,31.1,31.95,32.8,33.65,34.5,35.75,37,34.2,34.2,33.8,
Argentina,,,,,,,,,,,,,,7.5,7.4333,7.3667,7.3,7.2333,7.1667,7.1,10.9,12.925,14.95,16.975,19,18.4,17.8,20.6,24.6,26.3,25.1,27.9,28.5,31.5,36.9,49.9,34.2,29.4,25.5,20.9,19.8,17.7,16.2,15.3,11.5,10.5,10.4,11.5,11.3,11.1,9.8,12.2
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.2,79.6,81,79.7,78.9,68.1,61.3,55.9,48.4,45.5,54.3,55,51.3,48.3,46.1,44.9,39.8,37.5,41.5,42.5
Australia,,,,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.6333,1.5667,1.5,1.4333,1.3667,1.3,1.4,1.5,1,0.925,0.85,0.775,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2,1.35,0.7,0.5333,0.3667,0.2,0.3333,0.4667,0.6,0.3,0.4,0.4,0.7,0.9,1,0.8,1,1,0.6,0.7,0.9,1.2,0.7,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.3,59.75,58.2,56.65,55.1,53.55,52,16.2,17.5,13.9,7.1,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,98.75,98.6,98.45,98.3,98.15,98,98.05,98.1,98.15,98.2,98.25,98.3,98.35,98.4,98.1857,97.9714,97.7571,97.5429,97.3286,97.1143,96.9,,,,,
Belgium,,,,,,,,,,,,,,,,,,,0.7,0.7,0.7,0.7,0.825,0.95,1.075,1.2,1.1333,1.0667,1,0.85,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.2,0.5,0.4,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.2,0.2,0.2,0.3,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.1,92.725,92.35,91.975,91.6,91.225,90.85,90.475,90.1,90.225,90.35,90.475,90.6,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,,,,97.2,96.975,96.75,96.525,96.3,95.66,95.02,94.38,93.74,93.1,93.2833,93.4667,93.65,93.8333,94.0167,94.2,93.82,93.44,93.06,92.68,92.3,,,,
Bangladesh,,,,,,,,,,,,,,,,,95.9,94.95,94,94.5,95,95.5,95.9667,96.4333,96.9,95.825,94.75,93.675,92.6,92.38,92.16,91.94,91.72,91.5,91.04,90.58,90.12,89.66,89.2,88.88,88.56,88.24,87.92,87.6,87.05,86.5,85.95,85.4,84.85,84.3,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,12.2,9.1,9,11.4,11.9,11.6,11.5,9.1,12.4,9.4,7.9,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,7.0333,5.4667,3.9,3.5333,3.1667,2.8,3.05,3.3,3.55,3.8,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.9,72,65.9,50,42.7,39.1,27.4,17.1,11.7,7.6,5.5,5.1,3.6,2.7,1.2,0.7,0.4,0.9,0.8,0.8,0.4
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,52.2,54.95,57.7,57.8,56.1,51.1,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,64.9,62.4,59.9,57.4,54.9,52.4,53.55,54.7,62,57.3,59.2,56,52.8,51.9,47.9,46.3,39,34.6,31.25,27.9,28,25.8,24.8,25.4,24.9,24.6,22.8
Brazil,,,,,,,,,,,,,,,60.2,59.8,66.4,66.5,61.4,42.2,52.7,54.8,52,57.6,57.8,58,56.6,50.8,45,45.5,45.5,44.5,45.8,43.45,41.1,40.3,41.5,40.1,37.9,34,31.9,28.7,27.3,25.55,23.8,21.1,19.3,17.6,18.6,20,20.2,19.8
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,70.15,67.3,64.45,61.6,58.14,54.68,51.22,47.76,44.3,43.22,42.14,41.06,39.98,38.9,
