Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Algeria,0.786030708,0.667047768,0.97096588,1.069,1.141354848,1.0446588,1.0676588,1.1426588,1.216,1.1736588,1.2376588,1.3526116,1.296588,1.1949056,1.234134204,1.2899764,1.2566588,1.201755762,1.247,1.244,1.266540653,1.271702644,1.314228488,1.326,1.296,1.493776059,1.567422288,1.551234488,1.678591932,1.775848096,1.785449428,2.001344348,2.115694668,2.028816239,
"American Samoa",0.006,0.007,0.01,0.006,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.005,0.005,0.005,0.005
Angola,0.059,0.058,0.061,0.066,0.06,0.073,0.074,0.076,0.078,0.077,0.079,0.082,0.086,0.084,0.082,0.088,0.084,0.093,0.085,0.094,0.11,0.12,0.129,0.142,0.157,0.132967803,0.167166322,0.194433248,0.227576962,0.25889488,0.279765496,0.293543372,0.328532744,0.348023979,0.359
"Antigua and Barbuda",0.006,0.005,0.007,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,0.01,0.01,0.01,0.01
Argentina,1.638075064,1.595058004,1.67615354,1.697979528,1.83998294,1.746979528,1.902979528,1.949658516,1.957999716,1.941023316,1.880886552,1.97071908,2.04322548,2.202745524,2.233056868,2.3055064,2.3867042,2.452213195,2.563291301,2.60678271,2.667451435,2.610306717,2.469532229,2.662199998,2.780664286,3.101148044,3.302269568,3.337518427,3.468566465,3.400754418,3.528718331,3.661498864,3.649068211,3.712078548,
Armenia,,,,,,,,,,,,,0.198846176,0.148,0.14106824,0.13205118,0.168,0.1436588,0.1516352,0.1533176,0.1606352,0.1616352,0.1616352,0.1729764,0.1786116,0.200141982,0.202968067,0.219573736,0.215061116,0.19924599,0.130785267,0.141585861,0.150366872,0.147005675,
Aruba,,,,,,,0.001,0.001,0.006,0.007,0.008,0.009,0.009,0.01,0.01,0.012,0.008,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,0.014,0.014,0.0142928,0.014,0.013,0.013,0.016,0.016
Australia,2.665,2.643,2.887,2.788,2.898,3.05,3.103,3.243,3.38,3.576,3.645,3.635,3.706107557,3.773113399,3.863175372,3.984237176,4.14226884,4.26230639,4.441367092,4.559634012,4.599979296,4.647454652,4.76850865,4.882604219,5.065691518,5.293334765,5.366295502,5.390313264,5.415467644,5.43951024,5.415758908,5.71276248,5.5544324,5.671753982,
Austria,1.1306932,1.120646,1.0609872,1.068058,1.1035644,1.1221996,1.1082232,1.0568928,1.1307876,1.1471524,1.192294,1.2497296,1.2170472,1.241621909,1.232280716,1.288490624,1.34613284,1.343495086,1.369479259,1.386717978,1.36830207,1.429051665,1.428122076,1.453656338,1.48643644,1.538386647,1.522546295,1.495662884,1.497693392,1.44050184,1.490085556,1.421957848,1.462159012,1.457368141,
Azerbaijan,,,,,,,,,,,,,0.991294,0.839,0.7616824,0.7303648,0.6456824,0.6374356,0.5446588,0.5633884,0.529706,0.6066824,0.591118,0.6014592,0.6367768,0.658888245,0.700754511,0.595316504,0.642743788,0.56838036,0.567062084,0.56242776,0.60331828,0.607092441,
Bahamas,0.06,0.063,0.054,0.041,0.037,0.033,0.033,0.036,0.034,0.038,0.041,0.037,0.031,0.033,0.036,0.043,0.048,0.048,0.054,0.048,0.047,0.047,0.047,0.057,0.057,0.066,0.066,0.063,0.043,0.049,0.049,0.049,0.049,0.053,0.053
Bahrain,0.138,0.158,0.168,0.178,0.171,0.205,0.22,0.266,0.229,0.235,0.257,0.287,0.241,0.287,0.283,0.284,0.284,0.335,0.352,0.356,0.365,0.377,0.398,0.408,0.419,0.457,0.489010236,0.522044356,0.546361574,0.557592736,0.545590276,0.54840944,0.59047114,0.690058004,0.742
Bangladesh,0.121,0.132,0.142,0.136,0.166,0.173,0.186,0.203,0.226,0.246,0.237,0.256,0.285,0.315,0.347,0.38,0.385,0.401000204,0.41900051,0.465001023,0.501005101,0.550010333,0.582020346,0.632030723,0.673040088,0.718853715,0.782757653,0.817353696,0.888292322,0.9620504,0.947092612,0.98940434,1.07732732,1.106481949,
Barbados,0.01436645,0.01536645,0.01536645,0.0164188,0.0154188,0.0174188,0.0184188,0.01736645,0.015971407,0.018,0.018,0.018834064,0.018804682,0.019,0.01781666,0.017969599,0.016,0.02,0.021,0.021,0.024,0.023,0.023,0.023,0.016,0.022,0.021,0.019,0.017,0.020739496,0.019,0.020739496,0.02,0.024,0.024
Belarus,,,,,,,,,,,,,1.527353814,1.284667871,1.072502804,1.00743144,1.00682624,0.995534073,0.971240316,0.983078294,1.047841827,0.95900519,0.905003644,0.9823435,0.94860015,1.121430766,1.152155871,1.150047344,1.121997422,1.049279852,1.127568484,1.165493988,1.146856844,1.187577658,
Belgium,2.1281288,1.8970236,1.7870236,1.7716352,1.8503648,1.928,2.0073176,2.074897314,2.127917392,2.142543024,2.188448414,2.267941888,2.286434278,2.252588872,2.374740844,2.405082008,2.56441312,2.587341304,2.632888967,2.597203738,2.655199616,2.636113921,2.657534661,2.760761608,2.777988422,2.762775758,2.746031944,2.746705549,2.884393244,2.664792078,2.848477241,2.687971396,2.565537482,2.61682684,2.476
Belize,0.00341552,0.00341812,0.00341816,0.003420801,0.0034176,0.00341788,0.00441784,0.00341676,0.00241296,0.00341728,0.00541608,0.00541744,0.00441368,0.00441236,0.00441264,0.00582496,0.005034,0.007103004,0.007072724,0.007178035,0.010359079,0.014042264,0.013989356,0.01371358,0.014718747,0.015954589,0.016878495,0.017916808,0.010861112,0.009572165,0.010112041,0.009964163,0.009805658,0.010274298,
Benin,0.0063412,0.0063412,0.0046824,0.0066824,0.0066824,0.0076824,0.0076824,0.0056824,0.0076824,0.0076824,0.0086824,0.0096824,0.0116824,0.0126824,0.0126824,0.0140236,0.015041178,0.017040962,0.018040935,0.019040984,0.024385202,0.024385466,0.025385146,0.03072625,0.036057216,0.037040139,0.044062675,0.048015084,0.05229816,0.065974312,0.073209732,0.06617212,0.066318436,0.084553219,
Bermuda,0.008,0.007,0.007,0.008,0.008,0.007,0.007,0.01,0.011,0.013,0.009,0.008,0.006,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.009,0.009,0.009,0.012,0.008,0.01,0.01,0.01,0.01,0.006,0.006
