Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Argentina,3201,3257,1650,1536,1260,2800,2632,2804,2954,3101,3027,2899,3015,3018,3016,1646,1645.20,442.9,,,,,,,,,
Australia,8263,7485.40,6752.60,6644,4452.40,3849.90,3079.32,2308.74,1538.16,767.58,-3,-3.4,-6.2,-9,-11.8,-51.4,-80,-55,-42,-46.4,-23.9,-30.1,-15.2,-7.5,-14.6,-8.9,-7.2
Belgium,,,,,,,,-17.6,-37.6,-25.1,-12.6,-26.8,-113.4,-45,-67.3,-95.6,-76.1,-59.6,-54.25,-48.9,-43.55,-38.2,-3.3,-0.6,-2.3,-32.3,
Brazil,8538.80,9551.40,9345,13012,11860.20,11750.50,9434,9362,7986,11286,9404.9833,7523.9667,5642.95,3761.9333,1880.9167,-0.1,,,,,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,-1.5,-6,-8,-11,,,,
Canada,11959.20,8330,13694,1135,1007.4889,879.9778,752.4667,624.9556,497.4444,369.9333,242.4222,114.9111,-12.6,-0.2,,,,,,,,,,,,,
China,20687.60,26017.80,24941,31658,50809,46671.60,44016.20,50323.80,55401.80,44739.40,39962.80,36167.20,32269,29964.40,25264,18700.20,13060.10,6085.10,531.8,547.4,1180.60,339,270.4,-174.6,208.2,-15.5,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,-2.8,-0.2,-0.4
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,-0.1,,
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.5
"Czech Republic",,,,897.3,231.3,320,7,12.1,6.1,11.2,4.8,-0.3667,-5.5333,-10.7,-0.8,-13.8,-7.7,-7.9,-19.3,-19.7,-19.7,-16.1,-25,-15.9,-14.4,-10.6,-20.6
"North Korea",,,,,,765,242,203,112,106,77,290.8,299,587.4,,,,,,,,,,,,,
Denmark,,,,,,,,,-39,-21,-60,-24.2,-23.15,-22.1,-21.1333,-20.1667,-19.2,-14.2,-17.5,-42.2333,-66.9667,-91.7,-87.5,-93.55,-99.6,-107.9,-88.3
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,-0.4
Finland,,,,,,,-8,-3,-6,-11,-21,-22.5,-24,-30.9,-78.7,-95,-100.5,-124.5,-120.2,-106.9,-92,-88.8,-24.4,,,,
France,38988.80,22896,3756.80,3061.20,3687.80,244.4,119.2667,-5.8667,-131,-109.8833,-88.7667,-67.65,-46.5333,-25.4167,-4.3,-5.5,-179.6,-640.4,-650,-554.4,-126.4,-457.8,-330,-414.5,-316.8,-259.6,-273.1
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,,
Germany,78470,63400.60,57698,51258.40,15997.20,12817.92,9638.64,6459.36,3280.08,100.8,-53.2,-662.6,-58.6,118.8,-591,-351.3,-386,-272.5,-296.5,-258,-341,-215,-165.2,-172,-295.9,-152.2,-345.9
Greece,8559,11397,12635,11667,3505,2453,1450,1530,765,1210,1828,1460,1440,1168,2793,2142,150,,,,,,,,,,
Hungary,,,,,,,,,,,,,,-1.3,-2.2,-3.1,-5.85,-8.6,-9,-9.8,-0.2,-0.35,-0.5,-0.3,-6.7,-24.4,-3.2
India,,,6096.80,11438.80,16646,21779.60,22459.60,23658,20012.80,22498.60,20403.80,18689.20,16883.70,15008.20,13047.30,11259.90,6889.80,2294.70,672.5,495.4,318.3,151.45,-15.4,-19.8,-26.95,-34.1,
Italy,36394.80,35087.40,40996.80,36035.60,9842.20,6192.60,8474.80,7011.40,7578.20,6422.80,7081.20,8421.80,9131.30,7294.40,6728.4615,6162.5231,5596.5846,5030.6462,4464.7077,3898.7692,3332.8308,2766.8923,2200.9538,1635.0154,1069.0769,503.1385,-62.8
Japan,109311.40,99361.60,65670,51213.80,21593.20,29757.40,704.8,164.6,-59,-76.7,-94.4,-112.1,-129.8,-147.5,-165.2,-182.9,-200.6,-218.3,-236,-253.7,-271.4,-226,-218.1,-181.3,-155.3,-180,
Liechtenstein,,,,,,,,,-0.2,-0.2,-0.2,-0.2,-0.2,-0.1,-0.1,,,,,,,,,,,,
Mexico,10576,9784,9964,12525,15417,15737,8959,8431,5252,5530,7546,6636,5653,8694,8044,5201,3467.1,1733.2,-0.7,-6.2857,-11.8714,-17.4571,-23.0429,-28.6286,-34.2143,-39.8,-11.6
Netherlands,33288,22432,30777.20,34712.60,21013,12245,13293,14844,15049,15721,12235.20,9635,9233.50,2904.40,1545,2006,-124.7,-86.2,-61.2,-54.7,,,,,,,
Norway,,,,,,,,,-19,-62.5,-41.6,-50.4,-74.8,-65.6,-54.6,-21.8,-26.8,-64.2,-3.8,-20.7,-0.3,-0.1,,,,,
Poland,,,,,,,,,,,,,,,,,,,-9.1,-25.1,-8.7,-11.8,-4.3,-20.8,-12.9,-19,-27.3
"South Korea",,,9686,8507,8836,9746,8621,9239,5528,7238,7388,7526,7507,6838,9152,3518,4601,1380,1380,1380,,,,,,,
Romania,,,,508.1,191,30,-404.2143,-838.4286,-1272.6429,-1706.8571,-2141.0714,-2575.2857,-3009.5,-3443.7143,-3877.9286,-4312.1429,-4746.3571,-5180.5714,-5614.7857,-6049,-3024.55,-0.1,-4.9,-11.1,-5.7,-4.8,
Russia,103696,84289,62127.40,40580.40,42526,39322.40,16770,14731.70,13807.60,18416.70,25535.90,21905.0571,18274.2143,14643.3714,11012.5286,7381.6857,3750.8429,120,112,104,96,80,80,76,68,60,
Slovakia,,,,,,,,,,,,,,,,-1.9,-3,-3.7,-3.7,-0.2,-0.2,-0.2,-0.2,,,,
"South Africa",6639,4748,3437,3722,1947,1627,1423.5,1220,1016.5,813,609.5,406,202.5,-1,,,,,,,,,,,,,
Spain,23596.40,25292.20,30752,27172.60,18729,5435,5424,6405,5570,5839,5439,6836,6491,4901,4390,3600,2964,1364.90,1293,1426,,,,,,,
Sweden,,,,,,,,,,,,,,,,-33,-117.5,-157.7,-41.9,-0.1,-139.6,-173.6,-74.7,-72.9,-109.5,-114.6,-82.6
Switzerland,,,,,,,-49.1,-54,-58,-58.3,-51,-54,-45,-30,-20,-30,,,,,,,,,,,
