Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,51153,50109,52129,60544,63984,66607,71047,75299,74973,72606,55448,68844,73348,73071,74199,68744,38241,59550,62996,64075,69123,68260,72546,78135,83793,79883,94048,81312,74510,69135,70891,71296,74629,76331,78069,79788,81782,83572,85322,86945,88178,89913,90909,95468,99291,103369,107870,120000,150000,120000,70000,73690,74902,75000,82025,78961
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16572,30000,30000,22340,30000,30000,28029,30700,33333,25000,25000,25000,59042,79395,100775,123011,150931,167507,193755,218410,242465,278788,360314,375309,229494,349935
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,52019,48562,60351,53181,46630,55952,51042,55050,60456,65375,62935,69435,62472,51489,61094,63205,53591,55391,54890,60000,62119,75458,66746,57481,72195,63489,49942,71802,31951,26434,61521,85874
"American Samoa",,,,,,,,,,,,,,,,,,,,,,,,,50000,50000,50000,50000,50000,52949,49875,55750,54875,56875,54125,57875,58875,59875,62375,66875,70625,72750,,,,,,,,,,,,,,
Angola,41538,43077,43077,43077,44615,44615,44615,46154,46154,46154,46154,43077,46154,49231,38462,46154,49231,46154,46154,47692,46154,46154,47692,46154,43077,44615,46154,46154,43077,40742,43701,43824,43948,44072,44196,44320,44397,43636,43333,46154,45714,45112,44921,44464,43594,43240,40960,41758,42435,39024,44837,48751,49144,47472,46046,46038
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12143,4615,10667,11176,14286,15000,28750,17778,18889,21429,14725,19482,20971,36000,42000,42692,33223,40000,30000,72000,56667,66667,33333,40000,51975
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109571,108833,107909,109545,107083,93923,88082,114571,105698,98556,110000,107363,88854,116774,92331,115268,127091,121754,110606,114593,126977,111935,110570,112500,114177
Bahrain,55556,54545,57143,57143,56140,56140,58621,58621,58621,60000,60000,64516,62500,62500,62500,61538,70455,71429,71429,71429,71429,71429,71429,71429,71429,71429,72857,72222,73611,72973,73684,75000,75139,75243,77108,76782,76846,77083,77108,76986,77012,77033,77049,77031,77028,77024,77019,77011,77002,76992,76982,76923,76967,76953,76891,76903
Bangladesh,66667,66667,66667,66667,66667,66667,66667,64516,66201,62155,61980,60845,55525,53705,50251,51114,47478,44505,42394,42069,45682,40511,44280,40361,40862,39236,38203,34909,39608,37873,37354,36897,37056,37157,37371,37947,38112,38078,36863,37838,38571,38396,39537,37553,50722,68236,49049,45996,57519,67394,65162,63258,66368,68465,70561,72657
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,25000,50000,57143,85714,63636,36364,45455,63636,63636,80991,108333,108333,108333,107843,109091,109091,108333,107692,107143,106667,108520,108793,107059,111045,113470,116087,120000,122222,120000,118754,119148
Belize,,,,,,,,,,,,,,,,,,,,,,,,,44094,44882,45669,45669,47244,47244,47244,47244,47244,47244,47244,47244,47244,47244,47244,48438,49231,49242,49254,49265,49265,49265,49531,50000,49474,50000,49462,50000,50000,50007,50189,50163
Benin,,,,,,,,,,,,,,,,,,,,,,,,,43233,43609,43985,43985,43985,43774,43502,43315,43077,43137,43137,43200,43333,43470,43750,43654,43691,43534,43474,43392,43437,43624,43505,43265,41449,39972,38000,37143,36791,38974,38554,38203
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,47500,47500,50000,50000,50000,50117,49618,50020,48393,50000,53274,54649,55649,56519,57350,58171,58991,59811,60634,61888,63145,64405,65666,66930,68197,69467,70739,75000,72996,73766,74521,75888
Bolivia,45000,45238,44444,44898,45098,45283,44828,45161,44118,44706,45333,45176,46000,44100,46917,46773,47318,44136,49100,45495,43889,46891,36162,38000,40000,35833,39167,41667,37692,36923,39231,45000,40000,39148,39060,39286,40000,38049,35000,36234,36079,34091,34667,34558,36519,36931,37650,38012,39063,41040,44404,42689,40835,39993,37802,38865
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,47619,40000,25000,25735,20000,25317,25000,26485,26635,26747,26295,26324,26380,26756,26641,26543,26433,26667,25846,25000,25000,26667,26565,26218
Botswana,37273,35000,37500,40000,37692,38462,39231,40000,42857,43571,43333,44667,43125,44375,42941,44706,44444,44737,44737,43500,45000,48780,48780,48780,48780,48780,42105,42105,47727,47826,46665,42105,47619,47826,45000,47826,45455,42105,45000,45455,42684,41756,40809,39415,38242,36934,35725,34542,30556,32294,30000,32500,29825,29390,28443,27572
"British Virgin Islands",,,,,,,,,,,,,,,,,,,,,,,,,57143,60000,60000,62857,60000,53333,55499,56568,57321,57936,58497,59038,59572,60104,60636,61168,61701,62236,62771,63567,64365,65163,65963,66764,67566,68369,69174,71875,70547,70900,71247,72169
Brunei,50000,50000,60000,40000,50000,35938,37188,36970,38182,39091,40000,45455,57143,64865,62162,62500,62791,66667,58333,66460,61640,68540,69120,66000,60000,62000,64000,64000,62000,61450,59430,59194,60564,60753,63636,60076,56000,58785,57143,58283,58039,60000,58333,61111,56199,55309,54647,52739,51579,50390,49174,40000,46805,48675,49498,48992
Bulgaria,39453,40257,46365,43484,37606,50798,47284,68444,82514,61310,60437,52729,65952,37644,47577,60299,37478,39759,32676,27987,34509,34638,34393,38774,30338,38766,30606,33036,36291,32576,24954,11945,2594,18340,3454,2980,8689,9742,8916,7551,18600,20000,20000,12500,9900,15833,17138,17728,18319,18909,19500,20090,20680,21271,21861,22452
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,,50485,51456,52427,52381,53333,61113,52727,53032,53207,53382,53557,53734,53911,54089,54268,54449,54631,54814,54783,55189,55393,55319,55974,56341,56701,57034,57317,58846,57037,57419,57781,57684
Burundi,42529,42697,43011,42857,43000,42857,43925,43636,43478,43478,43887,43964,44000,43846,44444,44286,44138,44000,44371,45033,45098,44444,44516,45161,46012,47239,49080,50307,48555,48042,47929,48081,48234,48386,48492,48760,49143,50000,48500,45902,48571,50289,49180,50532,50256,50000,50000,51364,51923,49145,49362,51304,51064,50803,50820,50744
"Cape Verde",46667,46667,46667,46667,50667,50667,50667,50667,46667,46667,45333,45333,44000,44000,45333,46667,46667,46667,48000,48000,48000,46667,46667,46667,46358,46358,47682,49007,49351,48785,48447,48485,48810,48837,48864,48889,48913,47831,47571,47302,47009,46750,46516,46457,48421,45657,48000,42458,39403,25351,36553,38636,40636,41866,10622,12995
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,55814,58915,60465,62016,63566,61429,62342,62904,63478,64865,64452,64548,65000,62353,60000,60106,61014,61030,60526,62204,63340,64797,66364,65652,64407,63274,62497,60833,61117,63383,63374,63408
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,52023,52601,53179,53757,54335,54286,54259,54443,54623,54799,55556,55095,55191,55676,55306,55263,55358,54872,55478,55102,55000,56090,55172,56773,55814,55909,60202,70455,65427,60922,61470,61861
Chad,,,,,,,,,,,,,,,,,,,,,,,,,45045,45045,45045,46667,46667,44181,45082,45210,45132,45113,44982,44900,45139,45000,44256,43778,43226,42533,41157,40377,39606,37476,37250,37022,36879,36111,37285,37778,37746,37463,36360,36028
Chile,47328,48485,48872,49254,49926,51471,51825,52174,52518,52857,53571,51429,50360,54286,54930,55556,56164,64103,66364,62308,63571,65967,62500,62500,62500,65625,60000,60000,60000,65508,51277,51502,51728,51953,52179,52404,52630,52855,53081,53306,53586,53802,56818,55652,52000,53062,53026,52992,52957,52924,52890,51852,53211,53163,53176,53136
