Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Burundi,2309,2359,2404,2445,2487,2531,2578,2627,2679,2732,2786,2840,2894,2950,3011,3078,3153,3234,3316,3392,3456,3505,3544,3578,3619,3671,3740,3821,3914,4013,4117,4223,4333,4449,4571,4702,4842,4988,5136,5280,5415,5542,5661,5771,5872,5962,6041,6112,6186,6279,6401,6556,6742,6953,7182,7423,7675,7940,8212,8489,8767,9044,9320,9600,9892,10199,10524.117,10864.245,11216.45,11575.964,11939.227,12305.457,12675.47,13049.303,13427.343,13810.006,14197.139,14588.733,14985.535,15388.616,15798.849,16216.487,16641.716,17075.25,17517.888,17970.195,18432.401,18904.397,19386.058,19877.068,20377.076,20885.948,21403.341,21928.513,22460.525,22998.539,23542.141,24090.95,24644.319,25201.545,25762.044,26325.44,26891.487,27459.946,28030.64,28603.449,29178.168,29754.726,30333.36,30914.416,31498.166,32084.542,32673.443,33265.055,33859.597,34457.167,35057.683,35660.871,36266.362,36873.658,37482.273,38091.884,38702.163,39312.593,39922.636,40531.733,41139.567,41745.726,42349.552,42950.318,43547.409,44140.408,44729.141,45313.611,45894.024,46470.435,47042.722,47610.615,48173.867,48732.199,49285.379,49833.248,50375.719,50912.73,51444.249,51970.231,52490.599,53005.252,53514.07,54016.906,54513.584
Comoros,159,163,167,170,173,176,179,182,185,188,191,194,197,200,204,207,211,216,221,225,230,235,239,244,250,257,266,276,287,297,308,318,327,336,345,355,366,377,388,400,412,424,436,449,462,475,489,502,515,529,542,556,569,583,597,612,626,642,657,673,690,707,724,742,759,777,795.601,813.912,832.347,850.91,869.601,888.407,907.306,926.312,945.406,964.591,983.86,1003.211,1022.641,1042.164,1061.775,1081.47,1101.26,1121.119,1141.054,1161.071,1181.144,1201.284,1221.477,1241.703,1261.942,1282.209,1302.467,1322.72,1342.933,1363.098,1383.2,1403.227,1423.17,1443.013,1462.735,1482.329,1501.786,1521.104,1540.271,1559.288,1578.14,1596.83,1615.345,1633.672,1651.809,1669.746,1687.489,1705.017,1722.363,1739.525,1756.494,1773.254,1789.804,1806.118,1822.178,1837.966,1853.485,1868.728,1883.68,1898.357,1912.739,1926.815,1940.586,1954.052,1967.204,1980.049,1992.584,2004.781,2016.646,2028.157,2039.33,2050.158,2060.636,2070.786,2080.599,2090.1,2099.264,2108.11,2116.622,2124.822,2132.686,2140.242,2147.481,2154.425,2161.085
Djibouti,62,63,65,66,68,70,71,74,76,80,84,88,94,101,108,115,123,131,140,150,160,169,179,191,205,224,249,277,308,336,359,375,385,394,406,426,454,490,529,564,590,607,615,618,622,630,644,661,681,700,718,733,746,759,771,783,796,809,823,837,851,866,881,897,912,927,942.333,956.985,971.408,985.69,999.899,1014.025,1028.031,1041.88,1055.552,1069.009,1082.248,1095.262,1108.021,1120.511,1132.71,1144.609,1156.203,1167.462,1178.401,1189.001,1199.256,1209.17,1218.739,1227.967,1236.85,1245.401,1253.614,1261.491,1269.036,1276.268,1283.179,1289.766,1296.038,1301.978,1307.615,1312.919,1317.902,1322.563,1326.904,1330.906,1334.592,1337.932,1340.951,1343.63,1345.96,1347.944,1349.591,1350.894,1351.881,1352.536,1352.88,1352.927,1352.664,1352.125,1351.296,1350.199,1348.847,1347.255,1345.455,1343.453,1341.281,1338.939,1336.447,1333.818,1331.086,1328.251,1325.316,1322.31,1319.244,1316.122,1312.964,1309.772,1306.535,1303.257,1299.918,1296.526,1293.08,1289.587,1286.044,1282.463,1278.844,1275.181,1271.459,1267.674,1263.813
Eritrea,1142,1160,1180,1201,1224,1249,1276,1303,1333,1364,1397,1433,1470,1508,1548,1589,1631,1674,1719,1764,1812,1861,1912,1965,2020,2076,2134,2193,2254,2318,2386,2455,2526,2598,2674,2753,2837,2924,3006,3072,3113,3127,3119,3099,3085,3090,3116,3161,3224,3302,3393,3497,3615,3738,3859,3969,4067,4153,4233,4310,4391,4475,4561,4651,4746,4847,4954.645,5068.831,5187.948,5309.659,5432.216,5555.141,5678.798,5803.376,5929.298,6056.88,6186.016,6316.482,6448.451,6582.129,6717.687,6855.107,6994.25,7135.034,7277.273,7420.805,7565.543,7711.344,7857.969,8005.125,8152.54,8300.073,8447.599,8594.901,8741.756,8887.988,9033.461,9178.086,9321.828,9464.689,9606.664,9747.675,9887.684,10026.695,10164.756,10301.88,10438.046,10573.202,10707.355,10840.49,10972.592,11103.618,11233.513,11362.223,11489.663,11615.75,11740.447,11863.684,11985.32,12105.203,12223.199,12339.236,12453.286,12565.299,12675.271,12783.154,12888.925,12992.537,13094.022,13193.371,13290.621,13385.742,13478.715,13569.555,13658.246,13744.78,13829.153,13911.361,13991.41,14069.275,14144.954,14218.451,14289.753,14358.866,14425.792,14490.515,14553.043,14613.381,14671.525,14727.455,14781.199
Ethiopia,18128,18467,18820,19184,19560,19947,20348,20764,21201,21662,22151,22671,23221,23798,24397,25014,25641,26281,26946,27654,28415,29245,30133,31025,31852,32567,33147,33622,34068,34590,35265,36120,37137,38286,39519,40800,42121,43493,44932,46459,48087,49821,51648,53533,55431,57310,59155,60976,62794,64640,66537,68492,70497,72545,74624,76727,78851,81000,83185,85416,87703,90047,92444,94888,97367,99873,102403.196,104957.438,107534.882,110135.635,112759.07,115403.326,118065.225,120741.324,123427.617,126120.682,128817.98,131517.867,134218.92,136920.107,139620.178,142317.586,145010.282,147695.897,150371.875,153036.024,155686.416,158322.006,160942.553,163548.404,166139.393,168714.421,171271.652,173809.294,176325.273,178817.639,181284.897,183725.643,186137.98,188519.926,190869.632,193185.551,195466.255,197710.275,199916.172,202082.564,204208.147,206291.692,208332.018,210328.007,212278.592,214182.834,216039.798,217848.514,219608.052,221317.582,222976.385,224583.933,226139.95,227644.312,229096.851,230497.429,231845.706,233141.129,234383.041,235571.073,236705.093,237785.421,238812.773,239788.134,240712.37,241586.168,242409.837,243183.424,243906.792,244580.164,245204.073,245779.682,246308.653,246793.009,247234.529,247634.562,247994.071,248313.819,248594.555,248837.223,249042.98,249213.269,249349.816,249454.608,249529.919
Kenya,6077,6240,6412,6593,6782,6980,7186,7401,7626,7860,8105,8361,8629,8908,9200,9505,9822,10154,10502,10868,11252,11658,12083,12530,12998,13487,13997,14528,15083,15663,16269,16902,17559,18239,18938,19651,20379,21119,21871,22633,23403,24180,24964,25754,26548,27346,28148,28954,29770,30600,31450,32321,33214,34131,35075,36048,37052,38086,39148,40237,41350,42487,43647,44827,46024,47236,48461.567,49699.862,50950.879,52214.791,53491.697,54780.852,56081.772,57395.145,58722.068,60063.158,61418.176,62786.272,64166.647,65558.242,66959.993,68371.214,69791.017,71217.897,72650.119,74086.106,75524.882,76965.577,78406.959,79847.748,81286.865,82723.272,84156.324,85585.822,87011.808,88434.154,89852.235,91265.247,92672.52,94073.394,95467.137,96853.106,98230.578,99598.638,100956.312,102302.686,103636.956,104958.416,106266.321,107559.944,108838.578,110101.466,111347.854,112576.964,113788.006,114980.216,116153.024,117305.781,118437.579,119547.404,120634.465,121698.202,122738.386,123754.904,124747.873,125717.353,126663.059,127584.812,128482.766,129357.199,130208.287,131036.079,131840.328,132620.596,133376.232,134106.797,134812.145,135492.403,136147.678,136778.185,137384.135,137965.646,138522.82,139055.72,139564.455,140049.179,140510.131,140947.64,141362.093,141753.991,142123.899
Madagascar,4084,4168,4257,4349,4444,4544,4647,4754,4865,4980,5099,5224,5353,5486,5625,5769,5919,6074,6234,6402,6576,6758,6947,7143,7346,7556,7773,7998,8230,8470,8717,8971,9234,9504,9781,10063,10352,10648,10952,11269,11599,11943,12301,12675,13067,13475,13903,14348,14809,15283,15767,16261,16765,17279,17803,18337,18880,19434,19996,20569,21152,21744,22347,22961,23590,24234,24894.551,25570.895,26262.81,26969.642,27690.798,28426.106,29175.412,29938.052,30713.196,31500.077,32298.311,33107.434,33926.654,34755.062,35591.943,36436.782,37289.343,38149.373,39016.761,39891.388,40772.971,41661.283,42556.397,43458.494,44367.656,45283.723,46206.441,47135.665,48071.248,49012.988,49960.619,50913.785,51872.127,52835.205,53802.574,54773.869,55748.627,56726.164,57705.696,58686.533,59668.151,60650.175,61632.182,62613.812,63594.676,64574.346,65552.365,66528.398,67502.139,68473.226,69441.3,70405.96,71366.711,72323.008,73274.376,74220.37,75160.7,76095.178,77023.691,77946.072,78862.021,79771.13,80672.891,81566.749,82452.185,83328.886,84196.584,85054.91,85903.486,86742.01,87570.153,88387.712,89194.664,89991.059,90776.882,91551.99,92316.134,93068.99,93810.235,94539.567,95256.762,95961.633,96654.079,97334.059,98001.584
Malawi,2954,3008,3065,3125,3187,3252,3320,3391,3464,3540,3619,3700,3784,3872,3963,4059,4158,4262,4371,4484,4604,4729,4860,4997,5141,5293,5455,5628,5807,5986,6163,6328,6484,6661,6896,7211,7625,8120,8637,9095,9438,9641,9730,9756,9797,9909,10110,10382,10705,11044,11376,11696,12014,12337,12676,13040,13429,13841,14271,14715,15167,15628,16097,16577,17069,17574,18091.575,18622.104,19164.728,19718.743,20283.691,20859.191,21445.468,22043.258,22653.625,23277.224,23914.217,24564.021,25225.545,25897.347,26578.247,27267.73,27965.73,28672.108,29386.842,30109.857,30840.793,31579.218,32324.869,33077.454,33836.707,34602.3,35373.855,36150.88,36932.805,37719.155,38509.466,39303.412,40100.768,40901.375,41705.002,42511.285,43319.721,44129.755,44940.79,45752.245,46563.628,47374.487,48184.363,48992.765,49799.238,50603.295,51404.42,52202.051,52995.621,53784.568,54568.455,55346.797,56119.055,56884.673,57643.148,58394.046,59137.004,59871.705,60597.887,61315.271,62023.525,62722.331,63411.467,64090.755,64759.965,65418.924,66067.352,66704.866,67331.017,67945.464,68547.968,69138.448,69716.887,70283.385,70837.984,71380.638,71911.223,72429.602,72935.618,73429.175,73910.216,74378.765,74834.903,75278.782,75710.602
Mauritius,493,506,521,537,554,571,588,605,623,641,660,679,698,717,736,753,770,785,799,813,826,840,852,865,878,892,907,922,938,953,966,978,989,999,1008,1016,1023,1030,1037,1046,1056,1068,1083,1099,1114,1129,1142,1154,1165,1176,1185,1194,1202,1209,1216,1222,1228,1234,1239,1244,1248,1251,1253,1255,1257,1259,1262.132,1265.138,1268.315,1271.368,1274.114,1276.475,1278.528,1280.313,1281.882,1283.273,1284.502,1285.507,1286.275,1286.76,1286.934,1286.778,1286.302,1285.475,1284.273,1282.701,1280.74,1278.396,1275.684,1272.612,1269.2,1265.448,1261.389,1257.038,1252.432,1247.598,1242.572,1237.352,1231.995,1226.541,1221.03,1215.489,1209.919,1204.349,1198.773,1193.212,1187.671,1182.151,1176.653,1171.161,1165.67,1160.163,1154.667,1149.147,1143.603,1138.022,1132.403,1126.719,1120.996,1115.207,1109.336,1103.404,1097.395,1091.311,1085.168,1078.966,1072.704,1066.386,1060.026,1053.653,1047.26,1040.88,1034.498,1028.138,1021.811,1015.508,1009.267,1003.072,996.944,990.897,984.928,979.056,973.274,967.613,962.067,956.636,951.347,946.194,941.188,936.339,931.656
Mayotte,15,16,16,17,18,19,20,21,22,23,24,25,27,28,29,31,32,33,34,36,37,39,40,42,44,45,47,49,51,53,55,58,61,64,68,72,76,80,85,90,95,100,106,112,117,123,129,134,140,145,150,156,161,167,172,178,184,190,196,203,209,215,221,227,234,240,246.489,253.045,259.682,266.38,273.11,279.874,286.689,293.554,300.493,307.518,314.623,321.799,329.066,336.396,343.809,351.278,358.821,366.418,374.06,381.739,389.43,397.148,404.876,412.607,420.33,428.032,435.713,443.368,450.985,458.543,466.059,473.509,480.897,488.235,495.498,502.702,509.836,516.908,523.91,530.854,537.729,544.533,551.272,557.926,564.525,571.038,577.474,583.829,590.096,596.297,602.405,608.43,614.361,620.201,625.952,631.597,637.146,642.595,647.937,653.17,658.306,663.32,668.228,673.026,677.691,682.256,686.69,691.014,695.195,699.257,703.181,706.966,710.623,714.151,717.54,720.794,723.912,726.892,729.739,732.448,735.008,737.42,739.704,741.845,743.847
Mozambique,6152,6249,6353,6463,6580,6702,6829,6961,7099,7241,7389,7541,7699,7862,8030,8203,8381,8566,8756,8955,9162,9375,9596,9828,10076,10344,10633,10937,11248,11555,11848,12133,12409,12658,12854,12984,13034,13021,13003,13060,13248,13592,14071,14637,15217,15759,16248,16701,17137,17585,18068,18589,19140,19717,20313,20923,21547,22188,22847,23524,24221,24939,25677,26434,27212,28011,28829.476,29668.834,30528.673,31408.823,32309.195,33229.664,34170.326,35131.42,36113.311,37116.198,38139.962,39184.31,40249.062,41333.97,42438.703,43562.982,44706.339,45867.925,47046.694,48241.764,49452.538,50678.58,51919.357,53174.368,54443.113,55725.109,57019.852,58326.75,59645.171,60974.587,62314.434,63664.382,65024.388,66394.596,67774.943,69165.064,70564.323,71972.177,73387.971,74811.033,76240.848,77676.782,79117.963,80563.416,82012.248,83463.708,84917.172,86372.067,87827.896,89284.091,90739.999,92194.876,93647.846,95097.992,96544.446,97986.459,99423.388,100854.703,102279.941,103698.559,105109.892,106513.216,107907.75,109292.718,110667.324,112031.01,113383.121,114722.716,116048.774,117360.436,118656.904,119937.789,121203.151,122453.334,123688.395,124907.963,126111.28,127297.364,128465.185,129613.774,130742.318,131850.2,132936.977,134002.393,135046.35
Reunion,248,259,268,277,284,292,300,308,317,326,336,345,355,366,378,391,405,421,437,451,462,470,475,479,482,485,488,492,497,503,509,517,527,537,548,559,569,579,589,599,611,622,635,648,661,674,686,699,712,724,737,749,760,771,782,792,801,809,816,824,831,837,844,850,857,863,869.925,876.562,883.247,889.918,896.536,903.082,909.57,915.978,922.279,928.446,934.472,940.343,946.051,951.595,956.97,962.184,967.197,972,976.589,980.93,985.014,988.849,992.402,995.683,998.682,1001.399,1003.824,1005.966,1007.823,1009.419,1010.731,1011.789,1012.598,1013.183,1013.561,1013.743,1013.736,1013.558,1013.241,1012.795,1012.229,1011.573,1010.816,1009.972,1009.082,1008.129,1007.12,1006.089,1005.033,1003.972,1002.901,1001.828,1000.755,999.674,998.595,997.507,996.414,995.301,994.168,992.99,991.777,990.518,989.201,987.821,986.385,984.873,983.281,981.607,979.841,977.966,975.99,973.91,971.714,969.415,966.992,964.471,961.848,959.113,956.286,953.364,950.366,947.289,944.144,940.947,937.703
