Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,,,,,,,1,1,1,1,1,4,1,3,2,1,2,3
Bangladesh,,,,,,204,702,15,15,103,52,23,183,76,1294,19,96,86
Bhutan,,,,,,,,,,3,27,14.5,2,5,5,3,1,
Brunei,,,,,,,,,,,,,,1,1,,,
Cambodia,,,,,,295,372,193,41,45,55,41,60,48,10,5,11,1
China,,,,,7647,4330,2975,3913,2541,1625,1763,2178,858,624,1130,1147,1800,369
"Czech Republic",,,,,,,1,1,1,1,1,1,1,1,1,1,,
"North Korea",,,,,,,124,10,,,,,,,,,,
India,,,,,,4017,427,653,555,1214,1146,1078,1657,1620,1627,2043,1707,2496
Indonesia,,,,,,,,,,,,,72,40,43,281,,
Japan,,,,,5,4,3,3,4,9,2,9,2,2,11,3,6,9
Laos,,,,,12,44,35,26,82,24,23,9,4,13,19,9,11,96
Malaysia,,,,,,,17,9,10.5,12,22,12,47,36,59,20,28,48
"Burma (Myanmar)",,,,,,28,5,8,18,20,14,3,50,113,393,442,126,115
Nepal,,,,,290,435,329,146,183,126,75,118,1304,937,98,63,57,71
Norway,,,,,,,,,,,,,,,,1,,
"Papua New Guinea",,,,,,,2,1.8333,1.6667,1.5,1.3333,1.1667,1,4,2.5,1,,
Philippines,,,,,,,34,5,181,128.6667,76.3333,24,69,115,312,361,204,143
"South Korea",,,,,,7,6,3,26,3,20,14,26,40,24.5,9,21.5,34
"Sierra Leone",,,,,7,,,,,,,,,,,,,
Singapore,,,,,1,1,1,1,1,,,,,,,,,
"Sri Lanka",,,,,29,45,118,72,27,30,60,70,21,17,18,23,29,19
Sweden,,,,,,,,,1,1,1,1,1,1,1,1,,
Thailand,49,37,39,78,49,43,64,36,40,52,54,59,31,23,21,28,19,
"Timor Leste",,,,,,,,3,3.5,4,4.5,5,3.6667,2.3333,1,7,15,23
Vietnam,,,,,,38,17,68,140,126,183,224,421,368,357,200,313,196
