Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,442000000,500000000,530000000,337000000,379000000,484000000,367000000,261000000,91000000,104000000,18000000,42000000,34000000,54000000,89000000,395000000,480000000,260000000,196000000,446000000,482000000,513000000,398000000,314000000,512000000,344000000,337000000,303000000,352000000,311000000,454000000,482000000,446000000,234000000,173000000,139000000,186000000,118000000,211000000,280000000,182000000,209000000,166000000,185000000,255000000,253000000,296000000,302000000,459000000,229000000,251000000,327000000,230000000,175000000,330000000,471000000,212000000,173000000,237000000,254000000
Chile,,,,,,,,,,,,,,,,,,,,,,,,1000000,1666666.6667,2333333.3333,3000000,3000000,4000000,4000000,3500000,3000000,8000000,13250000,18500000,23750000,29000000,15500000,2000000,1000000,1000000,1000000,1000000,17500000,34000000,50500000,67000000,83500000,100000000,86666666.6667,73333333.3333,60000000,46666666.6667,33333333.3333,20000000,,,,,
China,285000000,35000000,51000000,11000000,67000000,386000000,619000000,410000000,730000000,657000000,893000000,1292000000,1238000000,674000000,511000000,668000000,586000000,224000000,617000000,560000000,949000000,642000000,1504000000,1770000000,1929000000,1263000000,1861000000,2605000000,1411000000,1041000000,941000000,1312000000,700000000,1436000000,1105000000,1010000000,768000000,429000000,353000000,332000000,299000000,515000000,525000000,700000000,413000000,286000000,668000000,510000000,652000000,1140000000,1478000000,1277000000,1540000000,2080000000,1226000000,1799000000,2372000000,1346000000,1140000000,1423000000
"Ivory Coast",,,,,,,,,,,,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,1000000,2166666.6667,3333333.3333,4500000,5666666.6667,6833333.3333,8000000,9166666.6667,10333333.3333,11500000,12666666.6667,13833333.3333,15000000,16166666.6667,17333333.3333,18500000,19666666.6667,20833333.3333,22000000,,,,,,,,,,,,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000000,5333333.3333,5666666.6667,6000000,6333333.3333,6666666.6667,7000000,7333333.3333,7666666.6667,8000000,8333333.3333,8666666.6667,9000000,9333333.3333,9666666.6667,10000000,10000000,10000000
Cuba,,,,,,,,,,,,,,,,1000000,4666666.6667,8333333.3333,12000000,10000000,8000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36000000,,,,,,,,,,,,,,,,,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202000000,319000000,143000000,126000000,24000000,21000000,57000000,81000000,88000000,60000000,64000000,1000000,70000000,44000000,32000000,32000000,23000000,4000000,10000000,8000000,40000000,26000000,150000000,148000000,88000000,88000000,13000000
Germany,156000000,12000000,146000000,133000000,438000000,332000000,713000000,775000000,574000000,739000000,1434000000,1364000000,1377000000,226000000,1208000000,1446000000,1662000000,1895000000,1671000000,1464000000,1591000000,1896000000,1525000000,2246000000,2799000000,1283000000,1373000000,924000000,1398000000,1285000000,1856000000,2395000000,1490000000,1489000000,2843000000,1509000000,1950000000,939000000,1808000000,1858000000,1612000000,896000000,906000000,1652000000,1111000000,2071000000,2758000000,3292000000,2362000000,2461000000,2664000000,1317000000,747000000,779000000,1788000000,1766000000,2514000000,1982000000,1071000000,1185000000
Denmark,20000000,30000000,40000000,50000000,60000000,20000000,75500000,131000000,28000000,3000000,6333333.3333,9666666.6667,13000000,16333333.3333,19666666.6667,23000000,22000000,21000000,20000000,19000000,18000000,29000000,64000000,115000000,115500000,116000000,116500000,117000000,40000000,56000000,72000000,10000000,96500000,183000000,272000000,16000000,11000000,6000000,1000000,6000000,20000000,1000000,10000000,5000000,6333333.3333,7666666.6667,9000000,6000000,17000000,14000000,8000000,30000000,33000000,9000000,17000000,25000000,25000000,21000000,28000000,4000000
"Dominican Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000000,,
Algeria,,,,,,,,,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,6000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000000,5000000,4000000,3000000,2000000,
Egypt,,,7000000,8000000,2000000,7500000,13000000,3000000,26000000,15000000,39000000,34400000,29800000,25200000,20600000,16000000,42500000,69000000,80000000,13000000,29000000,77000000,81000000,71000000,37000000,5000000,19000000,61000000,65000000,63000000,20000000,16500000,13000000,22000000,15000000,9000000,5000000,5000000,5117647.0588,5235294.1176,5352941.1765,5470588.2353,5588235.2941,5705882.3529,5823529.4118,5941176.4706,6058823.5294,6176470.5882,6294117.6471,6411764.7059,6529411.7647,6647058.8235,6764705.8824,6882352.9412,7000000,22000000,17000000,12000000,7000000,2000000
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000000,,,,,,,,,,,,,,,,,,,,,
Spain,1000000,5000000,6000000,6000000,7000000,21000000,21000000,7000000,7000000,6000000,70000000,140000000,4000000,4000000,84000000,267000000,46000000,25000000,38000000,18000000,10000000,130000000,251000000,352000000,242000000,85000000,177000000,148000000,141000000,174000000,108000000,100000000,65000000,98000000,237000000,82000000,105000000,625000000,162000000,43000000,46000000,8000000,16000000,95000000,52000000,108000000,840000000,601000000,602000000,951000000,263000000,1429000000,546000000,728000000,1050000000,1163000000,471000000,820000000,1025000000,1061000000
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000000,,,,,,,,,,,,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,35000000,43000000,51000000,47600000,44200000,40800000,37400000,34000000,30600000,27200000,23800000,20400000,17000000,,,,,,,,,,,,,,,,,,,,,,
Finland,60000000,1000000,1000000,1000000,1000000,1000000,86000000,33000000,33000000,33000000,2000000,39000000,30000000,46500000,63000000,63000000,63000000,63000000,63000000,63000000,48666666.6667,34333333.3333,20000000,16833333.3333,13666666.6667,10500000,7333333.3333,4166666.6667,1000000,8000000,15000000,22000000,11000000,17000000,26000000,26000000,9000000,10000000,34000000,28000000,12000000,33000000,34000000,40000000,34000000,52000000,138000000,77000000,79000000,52000000,61000000,41000000,104000000,77000000,93000000,20000000,43000000,25000000,42000000,24000000
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,942000000,971000000,974000000,1232000000,1417000000,1196000000,1646000000,1533000000,1483000000,1460000000,1692000000,2298000000,2603000000,2875000000,2096000000,2190000000,2006000000,2677000000,3297000000,3009000000,3847000000,3786000000,3828000000,3461000000,3008000000,4037000000,3023000000,1800000000,1994000000,2289000000,1818000000,1200000000,1250000000,979000000,901000000,1018000000,1937000000,3272000000,3167000000,1817000000,1082000000,1416000000,1433000000,1400000000,2283000000,1817000000,1666000000,2369000000,1968000000,1888000000,866000000,1731000000,1010000000,1468000000,1627000000,1995000000,2041000000,2367000000,1773000000,3368000000
Gabon,,,,,,,,,,,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
