Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209516233.3,197832247.8,172450000,172724108.8,169492368.1,177099388.5,186595734.1,199025505.9,222443195.9,225227464.8,236900000,238050000,234100000,259650000,267650000,267950000,277900000,278150000,282400000,268900000,259350000,239650000,204100000,183650000,156100000,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8264000000,7050000000,6606962963,4583801653,4033820074,3909053242,4361807692,4294927592,4486997052,3422616980,3444492988,3286330935,3790069557,4751103097,6606988610,7655885821,9240385529,11276801969,15907573380,11745944182,12883186560,16319092304,16278883959,16612773404,16619737527,11654692726,9318430978
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53415435140,51330293160,47072620659,47540564570,45296185809,41534918003,40485906040,43422736684,51383747178,59330767321,61098122124,62248149542,71227758007,73678043064,62032509030,63663759189,67283862538,62714122166,65103103277,66537023843,58133953335,59237742367
Belize,,,,,,,,,,,,,,,,,,,22550000,20950000,40700000,34600000,25950000,30450000,36500000,30600000,30600000,44450000,49150000,52900000,47000000,46312750,53311700,54391250,56777700,60524050,64291650,62776300,64696600,66192900,79110850,77646450,77313400,76993000,82396200,86132500,123932550,142486450,171425700,152852750,170592850,200418000,189555550,160783150,146943300,120872450,104295450
Benin,,,,,,,,,,,,38270389.11,45480733.06,56403361.85,70662558.73,82814892.62,64217950.58,67726437.31,99953518.61,105161871.7,112005136.3,85726569.79,115335589.4,94996692.7,83303450.89,82488427.27,95944078.34,112052905.4,131734894.5,117714808.7,144567171,142237019.7,134632926.4,168914307.5,128717736,175248859.9,195385918.2,192092908.4,196091043,561313147.9,539624703.8,568182980.8,638604785.6,798519890.6,865820860.3,931620319.8,960240019.8,986924193.4,1056262621,1024807369,963299325.4,1040125578,1003864437,1183304996,1279087406,1010737180,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77586000,84077000,71565000,78134000,80210000,90004000,84979000,90043000,76916000,74799000,65214000,52102000,49078000,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,3849770.99,8215935.34,8229238.9,10423554.46,10699568.66,10046426.84,10212759.71,14356782.41,15057327.59,20541059.77,23096122.22,21281547.93,22015933.64,20827704.17,24624950.59,31241825.47,35523361.56,36002756.82,34721863.79,36155441.24,36022583.44,39849591.02,39835182.06,44744467.58,50665401.59,58296986.39,68377422.91,97542227.65,105583794.6,103650335.8,138305945.4,150948029.3,161366987.8,149817911.3,159021456.8,164352108,167029688.1
Bolivia,,,,,,,,,,,134932659.9,148316498.3,161865362.9,162268865.6,257871064.5,295552223.9,350124937.5,405847076.5,465467266.4,577063514.2,584277328.7,867402520.4,419768467.2,650504778.3,699186121.7,862209081.7,746889113.2,742845463.2,819668204.1,801029468.6,825689250.3,947392895,967442891.9,967587629.8,996349312.8,1123417286,1214990541,1150825610,1188982051,1126283979,1111976550,1086469600,1030513389,1033285722,1097335559,1110266052,1297680363,1497605462,1862267521,2014339316,2214517793,2477409543,2766467149,3043801302,3213276990,3363113169,3709165412
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144487654.3,213470588.2,318626063.3,412045441.4,496855941.4,501376906.3,467915214.3,491171303.1,559176612.1,727218118.9,939737777.8,1114199784,1287319607,1704098670,2102422858,1843255203,1867216090,2032826782,1815021679,1986911276,2027217474,1887317834,1957282959
Botswana,,,,,,5305039.79,4044630.4,4811715.48,4463040.45,4386575.69,5653266.33,7480425.06,9751657.78,13686788.65,18248712.29,23664638.27,25126494.94,27612826.6,37732431.78,41349693.25,46706124.55,65077088.56,68903564.14,69468502.14,62577017.87,56212551.25,77217817.04,107778902.9,135267417.7,152687478.3,180838484.3,190294816,202185144.8,179233213.7,207665946.5,251821657.9,272185789.1,285142982.4,297877375.2,305099039.9,325708573.4,320601931.1,329435190.7,428576557.1,497509237.4,491541992.8,535086591.5,685247530.6,626770378.9,651606266.9,816693638.1,888277699.6,856158901.3,868205720.3,862325465,834812280.8,
Brazil,3852188025,4193057036,4772116036,6257148157,5172614043,5087286129,6341101585,6868292262,8083123876,9057518719,10427349463,12302545578,14659092894,20247558634,27916785406,33056629539,40879104319,45552868289,54595852922,62757114219,71097586791,77880098857,87523772929,60618125231,64546457187,68476275594,78679017564,84582540925,92434063039,125000000000,129000000000,133000000000,86744312500,94847826087,130000000000,125000000000,111000000000,115000000000,105000000000,73775830716,86087455589,73219114021,62768774097,80681182970,101000000000,131000000000,156000000000,198000000000,237000000000,218000000000,281000000000,308000000000,263000000000,259000000000,254000000000,182000000000,182000000000
Brunei,,,,,,,,,,,,,,,93151134.64,136633913.9,201554152.5,207428056.1,231310466.1,300285109.9,582383710.1,433568419.6,422429906.5,386180785.6,383010641.8,356347438.8,244787361.1,276828110.2,271814748.6,370999384.7,392017600,461461796.7,539483425.4,503886681.5,491125049.1,615611895,652784751.8,779548558.7,553554373.8,623151150.4,921964211.1,880803315.3,916475538.9,1004303295,1046026742,1173087839,1211718799,1271448477,1972974880,1499243778,2043270994,3044757135,3166613316,2985134271,2757695343,1878682086,1306563980
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589601093,1823499794,2190129995,2885265770,3281569424,4017914999,4567562368,6195941218,6686784833,6615838487,5928252335,7875790970,7366491459,7050895765,7479310813,6730163228,
"Burkina Faso",37226998.42,37217132.34,42228739.77,43881624.61,44709861.89,47190314.73,55324144.49,67627967.62,71295812.89,76484034.31,76337513.94,84014370.83,106285703.2,128379162.6,139110136.7,170447254.9,173227426.7,185855368.9,226626862.2,277612996,284313342.3,256165712.9,252587402.2,256156147.8,220606131.1,206878866.7,278770879.4,355238057.3,394160524.1,378999660.5,457411497,419369381.6,324233493.7,331783780.7,254877213.2,336006112,345800737.5,351404168.3,387091359.3,468641911,324639551.2,344145634.9,330623961.8,555963236.8,638394290.4,577394159,609958000.7,684896321.8,662754697.8,703292472.3,648122161.9,752580022.2,753905130.6,628046312,694535586.1,677792499.1,670857292.9
