Country,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,53.2,54.0714,54.9429,55.8143,56.6857,57.5571,58.4286,59.3,57.2,55.1,53,50.9,48.8,46.7,44.6,42.5,40.4,39.96,39.52,39.08,38.64,38.2,
Angola,,,,,,,,,,,,,,61.1,58.2,55.3,52.4,49.5,46.6,43.7,40.8,37.9,35,32.1,29.2,30.25,31.3,32.35,33.4,34.45,35.5,36.55,37.6,,,,
Albania,,,,,,,,,,,,,,,20.4,26.6667,32.9333,39.2,36.7,34.2,31.7,29.2,26.7,25.825,24.95,24.075,23.2,21.7125,20.225,18.7375,17.25,15.7625,14.275,12.7875,11.3,,
Argentina,,,,,,,,,,,,7.1,12,16.9,15.9333,14.9667,14,13.0333,12.0667,11.1,10.1333,9.1667,8.2,8.1786,8.1571,8.1357,8.1143,8.0929,8.0714,8.05,8.0286,8.0071,7.9857,7.9643,7.9429,7.9214,7.9
Armenia,,,,,,,,,,,,,,,,15.1,16.2,17.3,17.42,17.54,17.66,17.78,17.9,18.5,19.1,19.7,20.3,20.9,18.9833,17.0667,15.15,13.2333,11.3167,9.4,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,28,27.05,26.1,25.15,24.2,18,19.7,21.4,23.1,24.8,26.5,24.48,22.46,20.44,18.42,16.4,17.1,17.8,,,,,,
Burundi,,,,,56.2,56.8,57.4,58,58.6,59.2,59.8,60.4,61,61.6,62.2,62.8,63.4,64,62.74,61.48,60.22,58.96,57.7,57.68,57.66,57.64,57.62,57.6,57.3167,57.0333,56.75,56.4667,56.1833,55.9,55.3333,54.7667,54.2
Benin,,,,,,,,,,,,,,39.1,38.52,37.94,37.36,36.78,36.2,36.0308,35.8615,35.6923,35.5231,35.3538,35.1846,35.0154,34.8462,34.6769,34.5077,34.3385,34.1692,34,33.55,33.1,32.65,32.2,
"Burkina Faso",,,,,,,,,,,38.7,39.15,39.6,40.05,40.5,40.95,41.4,41.825,42.25,42.675,43.1,42.0667,41.0333,40,38.3667,36.7333,35.1,34.7,34.6,32.8,31.3,29,27.9,26.8,21.1,24.9,
Bangladesh,,,,70.9,69.025,67.15,65.275,63.4,73.6,71.5,69.2,67.3,65.8,63.8,59.6,59.3,59.9,51.1,53.2,51.4,47.8,50.5,45.9,45.1,43.2,42.725,42.25,41.775,41.3,40,38.7,36.2,34.85,33.5,32.15,30.8,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,8.8,8.0667,7.3333,6.6,6.6571,6.7143,6.7714,6.8286,6.8857,6.9429,7,,,,,
Bahrain,,,,,,,13.9,13.85,13.8,13.75,13.7,13.65,13.6,,,,,,,,,,,,,,,,,,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,12.1,12.05,12,11.95,11.9,11.85,11.8,11.3167,10.8333,10.35,9.8667,9.3833,8.9,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,22,21.46,20.92,20.38,19.84,19.3,18.225,17.15,16.075,15,,,,
Bolivia,,,,,,,44,42.62,41.24,39.86,38.48,37.1,36.125,35.15,34.175,33.2,33.04,32.88,32.72,32.56,32.4,31.34,30.28,29.22,28.16,27.1,24.875,22.65,20.425,18.2,17.675,17.15,16.625,16.1,,,
Brazil,,,,,,,19.8,18.8286,17.8571,16.8857,15.9143,14.9429,13.9714,13,12.4545,11.9091,11.3636,10.8182,10.2727,9.7273,9.1818,8.6364,8.0909,7.5455,7,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,,,,,
Bhutan,,,,,60.9,59.8,58.7,57.6,56.5,55.4,54.3,53.2,52.1,51,49.9,48.8,47.7,46.2778,44.8556,43.4333,42.0111,40.5889,39.1667,37.7444,36.3222,34.9,34.2,33.5,,,,,,,,,
