Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Botswana,176000000,105000000,141000000,179000000,239000000,227000000,235000000,324000000,459000000,582000000,563000000,540000000,548300000,510700000,663600000,440100000,468300000,515600000,484200000,529300000,534300000,505000000,541600000,575300000
"Central African Republic",4000000,3000000,2000000,4000000,8000000,5000000,5000000,3000000,4000000,7800000,7200000,10200000,10800000,11800000,7500000,14400000,15000000,15000000,15600000,,,,,
Canada,9176000000,10073000000,10390000000,11049000000,12024000000,13035000000,12680000000,12744000000,12236000000,15135000000,15887000000,16837000000,17961000000,18190000000,15580000000,18439000000,19993000000,17404000000,17650000000,17798000000,16531000000,18144000000,20400000000,21978000000
Switzerland,11354000000,10779000000,10036000000,10188000000,9135000000,8988000000,9290000000,9117000000,10493000000,11404000000,11952000000,12855000000,14720000000,17596000000,16667000000,17614000000,20659000000,19594000000,20345000000,21432000000,19597000000,19042000000,19654000000,20276000000
Chile,1186000000,1209000000,1401000000,1431000000,1243000000,1179000000,1184000000,1221000000,1309000000,1571000000,1608000000,1853000000,2224000000,2481000000,2380000000,2362000000,2723000000,3158000000,3171000000,3202000000,3412000000,3744000000,4372000000,3972000000
China,8730000000,10200000000,12626000000,13229000000,15006000000,17318000000,19006000000,21742000000,18707000000,27755000000,29296000000,33949000000,37233000000,40843000000,39675000000,45814000000,48464000000,50028000000,51664000000,44044000000,44969000000,44432000000,38559000000,40386000000
"Ivory Coast",103000000,107000000,103000000,111000000,107000000,53000000,58000000,56000000,76000000,91000000,93000000,104000000,115000000,129000000,164000000,213000000,186000000,172500000,191000000,195000000,214000000,477000000,508000000,
Cameroon,75000000,151000000,119000000,114000000,92000000,132000000,182000000,124000000,266000000,212000000,229000000,231000000,254000000,167000000,271000000,171000000,423000000,377000000,607000000,629000000,476000000,508000000,543000000,633000000
"Congo (Kinshasa)",,,,,,,,,,,3200000,3100000,700000,700000,24000000,10700000,11400000,6900000,8400000,45400000,100000,4300000,6000000,60500000
"Congo (Brazzaville)",14669140,11017590,10000000,9000000,13500000,12400000,22600000,25600000,30000000,23100000,40000000,45000000,31400000,37000000,85000000,39000000,47000000,68000000,52400000,56900000,46900000,42900000,,
Colombia,887000000,1362000000,1315000000,1216000000,1231000000,1313000000,1483000000,1237000000,1191000000,1535000000,1891000000,2370000000,2586000000,2936000000,3050000000,3441000000,3801000000,4363000000,4759000000,4887000000,5235000000,5584000000,5882000000,6617000000
Comoros,22000000,23000000,26000000,16000000,19000000,15000000,9000000,10900000,15600000,21400000,24400000,27400000,30400000,37400000,32300000,35200000,42200000,39300000,51050000,62800000,51600000,50500000,60600000,76700000
"Cape Verde",29000000,37000000,50000000,45000000,56000000,64000000,77000000,100000000,135000000,153000000,177000000,280000000,375000000,432000000,349000000,387000000,438000000,452000000,483000000,453000000,380000000,397000000,450000000,524000000
"Costa Rica",763000000,797000000,860000000,1038000000,1256000000,1629000000,1480000000,1429000000,1573000000,1755000000,2008000000,2066000000,2454000000,2811000000,2216000000,2426000000,2646000000,2773000000,3171000000,3137000000,3408000000,3776000000,3826000000,3995000000
Cuba,1100000000,1333000000,1515000000,1759000000,1901000000,1948000000,1840000000,1769000000,1999000000,2114000000,2591000000,2414000000,2415000000,2535000000,2249000000,2396000000,2503000000,2614000000,2608000000,2546000000,2819000000,3069000000,3302000000,2969000000
Curacao,175000000,186000000,201000000,261000000,260000000,227000000,271000000,217000000,223000000,224000000,244000000,277000000,329000000,383000000,378000000,438000000,540000000,676000000,778000000,820000000,712000000,644000000,572000000,605000000
"Cayman Islands",394000000,368000000,501000000,534000000,525000000,559000000,585000000,607000000,518000000,523000000,356000000,509000000,481000000,518000000,458000000,465000000,472000000,489000000,500000000,565000000,680000000,696000000,782000000,880000000
Cyprus,2018044000,1904724000,1850361000,1918304000,2115000000,2137000000,2203000000,2178000000,2325000000,2552000000,2644000000,2692008000,3107000000,3232000000,2476000000,2137000000,2603000000,2603000000,2930000000,2924000000,2525664000,2870000000,3274000000,3449000000
"Czech Republic",2880000000,4079000000,3620000000,3894000000,3153000000,2973000000,3104000000,3376000000,4069000000,4931000000,5772000000,6702000000,7803000000,9228000000,8164000000,8068000000,8930000000,8174000000,7792000000,7614000000,6766000000,7041000000,7695000000,8291000000
Germany,24053000000,23982000000,24500000000,25806000000,25327000000,24943000000,24182000000,26717000000,30129000000,36417000000,40518000000,45560000000,49320000000,53402000000,47499000000,49116000000,53465000000,51626000000,55486000000,58721000000,50669000000,52229000000,56330000000,60260000000
Djibouti,5400000,4600000,4200000,9300000,7600000,8100000,8600000,8900000,6900000,6800000,7100000,9800000,6800000,7800000,16000000,18000000,19200000,20500000,21600000,24700000,30900000,33500000,36200000,57000000
Dominica,42000000,44000000,48000000,47000000,51000000,48000000,46000000,46000000,52000000,61000000,57000000,72000000,74000000,76000000,77000000,94000000,106000000,76000000,82000000,216000000,202000000,198000000,161000000,111000000
Denmark,3691000000,3420000000,3156000000,3236000000,3698000000,3671000000,4003000000,4791000000,5271000000,5652000000,5293000000,5562000000,5978000000,6281000000,5617000000,5704000000,6366000000,6135000000,6490000000,7617000000,6685000000,7494000000,8508000000,9097000000
"Dominican Republic",1571000000,1781000000,2099000000,2153000000,2483000000,2860000000,2798000000,2730000000,3128000000,3152000000,3518000000,3917000000,4064000000,4166000000,4049000000,4162000000,4391000000,4687000000,5055000000,5630000000,6116000000,6720000000,7184000000,7561000000
Algeria,32000000,45000000,28000000,74000000,80000000,102000000,100000000,111000000,112000000,178000000,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,316000000,347000000,246000000,172000000,
Ecuador,315000000,330000000,335000000,330000000,377000000,451000000,438000000,449000000,408000000,464000000,488000000,492000000,626000000,745000000,674000000,786000000,849000000,1039000000,1251000000,1487000000,1557000000,1450000000,1554000000,1878000000
Egypt,2954000000,3583000000,4046000000,2942000000,4361000000,4657000000,4119000000,4133000000,4704000000,6328000000,7206000000,8133000000,10327000000,12104000000,11757000000,13633000000,9333000000,10823000000,6747000000,7979000000,6897000000,3306000000,8636000000,12704000000
Eritrea,58000000,69000000,90000000,34000000,28000000,36000000,74000000,73000000,74000000,73000000,66000000,60000000,61000000,46000000,26000000,29142857.1429,32285714.2857,35428571.4286,38571428.5714,41714285.7143,44857142.8571,48000000,,
Spain,27369000000,29751000000,28649000000,31592000000,32733000000,31528000000,32519000000,34130000000,42786000000,48746000000,51959000000,56181000000,63491000000,68875000000,59795000000,58348000000,67809000000,62936000000,68414000000,71656000000,62449000000,66982000000,75906000000,81250000000
Estonia,452000000,565000000,597000000,668000000,702000000,657000000,661000000,737000000,883000000,1111000000,1229000000,1361000000,1416000000,1643000000,1090000000,1065000000,1256000000,1286000000,2022000000,2278000000,1893000000,1916000000,2126000000,2332000000
Ethiopia,177000000,170000000,157000000,152000000,176000000,205000000,218000000,261000000,336000000,458000000,533000000,639000000,790000000,1184000000,1119000000,1434000000,1998000000,1980000000,2236000000,2107000000,2279000000,2138000000,2505000000,3548000000
Finland,2383000000,2408000000,2358000000,2371000000,2236000000,2035000000,2065000000,2235000000,2676000000,2975000000,3069000000,3515000000,4287000000,4874000000,4070000000,4497000000,5612000000,5419000000,5774000000,5407000000,4009000000,4016000000,5207000000,5663000000
Fiji,369000000,374000000,386000000,309000000,365000000,291000000,316000000,384000000,496000000,588000000,722000000,684000000,722000000,952000000,688000000,825000000,955000000,989000000,966000000,1091000000,1093000000,1149000000,1243000000,1370000000
France,31295000000,32088000000,27402000000,29490000000,44551000000,38706000000,37826000000,41113000000,46576000000,53068000000,52126000000,54615000000,63890000000,68034000000,58906000000,56178000000,66133000000,63975000000,66054000000,67402000000,66441000000,63557000000,67936000000,73125000000
Micronesia,,,15800000,13200000,13900000,17000000,14700000,16800000,16700000,19000000,21000000,23000000,25000000,27000000,22000000,24000000,22000000,22000000,27000000,29000000,25000000,,,
Gabon,94000000,91000000,103000000,110000000,143000000,99000000,46000000,77000000,84000000,74000000,13000000,19500000,26000000,26500000,26200000,89000000,25400000,39500000,50350000,61200000,43000000,28700000,,
"United Kingdom",27577000000,29181000000,30483000000,31658000000,22911000000,22413000000,20819000000,22874000000,25193000000,30919000000,32948000000,38468000000,43149000000,39224000000,33249000000,34715000000,38814000000,40927000000,46043000000,51582000000,50904000000,47777000000,47719000000,48515000000
Georgia,,,75000000,229000000,131000000,107000000,136000000,144000000,172000000,209000000,287000000,361000000,440000000,505000000,537000000,737000000,1069000000,1565000000,1916000000,1972000000,2049000000,2315000000,2971000000,3518000000
