Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.7000008,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6000004,17.14,14.68,12.22,9.76,7.30000019,7.125,6.95,6.775,6.5999999,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,,,9.80000019,10.6,11.4,12.1999998,10.82,9.44,8.06,6.68,5.30000019,9,12.6999998,9.7,6.7,3.70000005,3.6143,3.5286,3.4429,3.3571,3.2714,3.1857,3.0999999,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2000008,36.44,34.68,32.92,31.16,29.3999996,27.2667,25.1333,23,20.8667,18.7333,16.6000004,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000001,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79999995,2.85,2.9000001,3,3.1,3.2,3.3,3.4000001,3.66,3.92,4.18,4.44,4.69999981,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1999998,12.45,11.7,10.95,10.2,9.45,8.69999981,8.1571,7.6143,7.0714,6.5286,5.9857,5.4429,4.9000001,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,63.0999985,63.5,59,60.7999992,57.4000015,56.4000015,51.9000015,53.7000008,53.2999992,41.4000015,46.0999985,43.0999985,40.5999985,42.7999992,38.9000015,39.2999992,40.2000008,38.85,37.5,36.15,34.7999992,34.1,33.4000015,32.2999992,
Barbados,,,,,,,,,,,,5,4.9194,4.8387,4.7581,4.6774,4.5968,4.5161,4.4355,4.3548,4.2742,4.1935,4.1129,4.0323,3.9516,3.871,3.7903,3.7097,3.629,3.5484,3.4677,3.3871,3.3065,3.2258,3.1452,3.0645,2.9839,2.9032,2.8226,2.7419,2.6613,2.5806,2.5,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.34,4.68,5.02,5.36,5.69999981,,,,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,29.8999996,28.62,27.34,26.06,24.78,23.5,23.34,23.18,23.02,22.86,22.7000008,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7000008,16.0111,15.3222,14.6333,13.9444,13.2556,12.5667,11.8778,11.1889,10.5,11.95,13.3999996,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,10.3999996,11.34,12.28,13.22,14.16,15.1000004,12.825,10.55,8.275,6,6.02,6.04,6.06,6.08,6.0999999,5.86,5.62,5.38,5.14,4.9000001,,,,,,,
"Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0999999,4.6167,4.1333,3.65,3.1667,2.6833,2.20000005,2.1333,2.0667,2,1.9333,1.8667,1.79999995,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3000002,10.5571,10.8143,11.0714,11.3286,11.5857,11.8429,12.1000004,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,5.30000019,5.2286,5.1571,5.0857,5.0143,4.9429,4.8714,4.80000019,4.7167,4.6333,4.55,4.4667,4.3833,4.30000019,3.88,3.46,3.04,2.62,2.20000005,,,,,,,,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8000002,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.29999995,,,,,,,,,,,
"Burkina Faso",,,,,,,,,,,,,,,,,,,,,,,,31.7000008,32.2833,32.8667,33.45,34.0333,34.6167,35.2000008,35.6,36,36.4,36.7999992,37.7,38.6,39.5,35.3667,31.2333,27.1000004,27.7000008,,,,,
"Burma (Myanmar)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7000008,31.5,31.3,31.1000004,29.75,28.4,27.05,25.7,24.35,23,,,,,,
Burundi,,,,,,,,,,,,,,,,,,32.5999985,33.0769,33.5538,34.0308,34.5077,34.9846,35.4615,35.9385,36.4154,36.8923,37.3692,37.8462,38.3231,38.7999992,38.12,37.44,36.76,36.08,35.4,34.72,34.04,33.36,32.68,32,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,47,45.375,43.75,42.125,40.5,38.36,36.22,34.08,31.94,29.7999992,29.3333,28.8667,28.3999996,28.6,28.7999992,27.45,26.1,24.75,23.3999996,
Cameroon,,,,,,,,,,,,,,,,,,,,,,17.6000004,17.9571,18.3143,18.6714,19.0286,19.3857,19.7429,20.1000004,19.3,18.5,17.7,16.9,16.1,15.3000002,17.1,18.8999996,18.28,17.66,17.04,16.42,15.8000002,,,,
Canada,,1.79999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Central African Republic",,,,,,,,,,,,,,,,,,,,,,,,,25.2000008,25.0167,24.8333,24.65,24.4667,24.2833,24.1000004,25.1833,26.2667,27.35,28.4333,29.5167,30.6000004,29.475,28.35,27.225,26.1000004,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9000015,34.0667,32.2333,30.3999996,31.55,32.7,33.85,35,34.5833,34.1667,33.75,33.3333,32.9167,32.5,32,31.5,31,30.5,30
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60000002,0.60000002,0.60000002,0.60000002,0.60000002,0.60000002,0.60000002,
China,,,,,,,,,,,,,,,,,,,,,13.1000004,13.45,13.8000002,13.0667,12.3333,11.6000004,10.1333,8.6667,7.19999981,7.25,7.30000019,7.25,7.19999981,6.3667,5.5333,4.69999981,4.69999981,4.69999981,4.69999981,4.69999981,3.5,,,,,
Colombia,,,,,,,,,,,,,,,,,9,8.7778,8.5556,8.3333,8.1111,7.8889,7.6667,7.4444,7.2222,7,6.58,6.16,5.74,5.32,4.9000001,5.02,5.14,5.26,5.38,5.5,5.1,4.7,4.3,3.9,3.5,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7000008,26.275,26.85,27.425,28,27.0667,26.1333,25.2,24.2667,23.3333,22.4,21.4667,20.5333,19.6,18.6667,17.7333,16.7999992,,,
"Congo (Brazzaville)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8999996,12.9667,13.0333,13.1,13.1667,13.2333,13.3000002,,,,
"Congo (Kinshasa)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.5,35.4833,34.4667,33.45,32.4333,31.4167,30.3999996,29.3333,28.2667,27.2000008,26.7,26.2,25.7000008,,
"Costa Rica",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60000002,,,,,,,
"Czech Republic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7000008,28.8,29.9,31,32.0999985,31.95,31.8,31.65,31.5,31.35,31.2000008,,,
"Dominican Republic",,,,,,,,,,,,,,,,,11.3999996,10.98,10.56,10.14,9.72,9.30000019,8.5,7.7,6.9,6.1,5.30000019,4.975,4.65,4.325,4,4.3,4.5999999,4.32,4.04,3.76,3.48,3.20000005,3.3167,3.4333,3.55,3.6667,3.7833,3.9000001,,
