Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,2160,2160,2160,2290,2410,2660,2970,2910,2950,2970,2970,3060,3120,3170,3180,3180,3180,3160,3060,3060,3000,2880,2760,2650,2580,2520,2170,2260,2270,2294,2236,2583,2517,2503,2493,2485,2479,2475,2510,2498,2487,2479,2869,2170,1943,1500,1200,1200,1200,1200,1200,1200,1350,1350,1305,2632,2441
Albania,,,,,,,,,,,,,,,,,,,,,,,,,3000,3000,3000,3000,2000,1700,1600,900,1000,600,575,450,470,480,480,489,528,500,611,835,913,727,884,1090,830,781,720,768,1151,1075,1426,1489,1596
Algeria,53200,57150,59030,66580,60060,58050,58000,60100,68240,71100,68800,69620,67750,67750,67050,69930,66200,58600,59580,57040,48220,43260,37150,41720,35480,36970,38360,38960,37060,37740,37502,39537,41825,41545,40647,39184,40616,41492,41160,41760,42956,43784,43314,43944,44450,46259,47931,50370,50956,63511,64563,65793,65220,59597,60380,66417,69118
Angola,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14500,14500,14500,13500,14000,14500,14000,14000,14000,13900,13900,13900,13900,13900,13900,13900,13900,13900,14172,14892,14556,13556,13141,12759,12562,12139,12862,13000,13500,13763,13981,14250,14382,14873,14482,11746,8967,19490,21027,21196,27644,37570,27752,24890,26313,26700
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,60,60,59,71,77,68,66,60,63,63,64,63,60,61,65,70,75,52,78,80,79,81,90,87,88,88,82,85,86,86
Argentina,,,,,,,,,,,,,,,,,,,,126580,128200,125650,124000,125030,129550,120970,119548,113650,111110,113566,124681,126178,121390,124082,124310,124367,129539,136774,125374,125773,135291,145000,146000,145000,157523,155500,156500,156000,152101,134419,139470,129394,116137,118350,131511,131020,134954
Australia,19323,19323,19924,20483,21002,21508,21661,22339,23754,23793,23760,23670,23590,23260,22780,22670,22760,22980,23160,23850,25030,25700,26380,26690,27760,27080,28630,28640,29760,30189,30909,31670,33940,35035,33595,34195,34245,32991,32736,33638,29988,27807,32356,28874,28855,32051,30998,28651,25231,26583,21183,26165,26893,24753,24353,29067,25431
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,2251,2236,2196,1853,1760,1619,1616,1847,1786,1852,1911,1887,1937,1576,2078,1793,2046,1760,2102,2364,2423,2435,2749,3230,3219
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,30,30,30,45,90,140,142,195,280,445,690,665,930,800,810,760,760,740,760,800,780,780,870,810,640,905,916,918,917,929,946,941,943
Bahrain,38,38,38,38,39,42,43,46,50,55,55,60,65,65,68,70,75,78,79,79,80,83,84,84,85,85,86,87,88,90,91,92,95,96,97,95,96,95,95,95,96,97,97,98,98,100,97,90,100,98,97,95,97,98,98,98,98
Bangladesh,3600,5000,5600,6500,6000,4000,4000,4000,4402,4677,4647,4241,5171,5305,5496,5722,5656,5599,5770,5863,5955,6194,6672,6871,7417,7432,7447,7681,8107,8690,8522,8671,9000,9761,10253,11107,12303,11789,12139,12949,14165,14570,15640,16106,27047,28720,22288,26292,29946,34503,34813,29090,31383,28460,38152,33175,38268
Belize,2481,1980,2248,2665,3304,3507,3507,3608,3647,3671,3723,3754,3735,3845,4047,3930,3100,3250,2350,5215,5350,5450,3200,4000,4100,4600,6200,5150,13091,16177,21479,24143,27963,12065,19500,18767,23305,26392,29991,23440,20279,14263,14725,14725,15385,15570,18676,18676,17996,15980,19035,18866,19071,19071,17726,16226,15313
Benin,1410,1500,1500,1500,2000,2000,2100,2100,2200,2200,2200,2300,2300,2300,2400,2400,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2221,1415,1478,1544,1613,1686,1762,1842,1926,2014,2107,2205,2308,2418,2546,2436,2557,2550,2944,3198,3486,3812,5000,6149,5348,5337,5818,6375
Bhutan,3950,4050,4200,4300,4400,4600,4650,4800,4900,5000,5150,5300,5400,5500,5650,5800,5900,6100,6150,6200,6200,6500,6800,7849,6000,6500,8000,8000,8300,8400,8463,8437,8450,7526,7198,6684,6335,5750,8946,7915,7999,8480,8405,8331,8812,8602,8700,6300,7279,8465,10476,8444,8231,7366,4369,7413,5702
Bolivia,8600,9100,9300,9500,9900,10300,10600,10900,9000,10300,11300,11900,12400,13200,13800,14900,15400,16900,18300,20315,20695,20870,21055,22481,22407,22543,22922,23010,24010,24328,24555,24882,25330,25755,26298,27160,26870,28335,28430,28590,28645,28673,22789,17452,17807,18117,18436,18607,43408,42407,42955,46252,44322,52530,53907,54424,54263
